date,totalLiquidityUSD,readable_date,protocol
1648857600,484127383.61457,2022-04-02 00:00:00,alchemix
1648944000,486067476.24397,2022-04-03 00:00:00,alchemix
1649030400,491157611.69112,2022-04-04 00:00:00,alchemix
1649116800,489107587.75017,2022-04-05 00:00:00,alchemix
1649203200,482628866.96418,2022-04-06 00:00:00,alchemix
1649289600,465256280.70034,2022-04-07 00:00:00,alchemix
1649376000,464058371.86846,2022-04-08 00:00:00,alchemix
1649462400,462042772.14149,2022-04-09 00:00:00,alchemix
1649548800,467120851.69745,2022-04-10 00:00:00,alchemix
1649635200,460768661.84606,2022-04-11 00:00:00,alchemix
1649721600,422654408.15113,2022-04-12 00:00:00,alchemix
1649808000,425556270.37218,2022-04-13 00:00:00,alchemix
1649894400,430939426.47887,2022-04-14 00:00:00,alchemix
1649980800,405626844.80549,2022-04-15 00:00:00,alchemix
1650067200,406719378.88153,2022-04-16 00:00:00,alchemix
1650153600,408422725.30909,2022-04-17 00:00:00,alchemix
1650240000,404742449.90228,2022-04-18 00:00:00,alchemix
1650326400,388449523.60943,2022-04-19 00:00:00,alchemix
1650412800,367529325.18697,2022-04-20 00:00:00,alchemix
1650499200,365752237.28348,2022-04-21 00:00:00,alchemix
1650585600,360065820.36215,2022-04-22 00:00:00,alchemix
1650672000,359399789.6531,2022-04-23 00:00:00,alchemix
1650758400,357399148.30417,2022-04-24 00:00:00,alchemix
1650844800,356663986.23754,2022-04-25 00:00:00,alchemix
1650931200,361197933.01202,2022-04-26 00:00:00,alchemix
1651017600,312144906.02066,2022-04-27 00:00:00,alchemix
1651104000,317355392.97925,2022-04-28 00:00:00,alchemix
1651190400,320627636.58013,2022-04-29 00:00:00,alchemix
1651276800,315265621.02162,2022-04-30 00:00:00,alchemix
1651363200,311198482.12139,2022-05-01 00:00:00,alchemix
1651449600,315674629.74784,2022-05-02 00:00:00,alchemix
1651536000,316454366.74011,2022-05-03 00:00:00,alchemix
1651622400,312945376.32228,2022-05-04 00:00:00,alchemix
1651708800,319707194.72354,2022-05-05 00:00:00,alchemix
1651795200,305086008.04195,2022-05-06 00:00:00,alchemix
1651881600,266349275.81882,2022-05-07 00:00:00,alchemix
1651968000,259455576.59425,2022-05-08 00:00:00,alchemix
1652054400,253449807.17673,2022-05-09 00:00:00,alchemix
1652140800,240273308.74102,2022-05-10 00:00:00,alchemix
1652227200,232719544.33268,2022-05-11 00:00:00,alchemix
1652313600,221109646.90992,2022-05-12 00:00:00,alchemix
1652400000,211583269.31529,2022-05-13 00:00:00,alchemix
1652486400,213893701.77539,2022-05-14 00:00:00,alchemix
1652572800,212919483.97322,2022-05-15 00:00:00,alchemix
1652659200,197413279.3198,2022-05-16 00:00:00,alchemix
1652745600,193625081.28516,2022-05-17 00:00:00,alchemix
1652832000,194038061.05339,2022-05-18 00:00:00,alchemix
1652918400,184448950.95447,2022-05-19 00:00:00,alchemix
1653004800,188242442.40642,2022-05-20 00:00:00,alchemix
1653091200,181658834.19722,2022-05-21 00:00:00,alchemix
1653177600,177560758.43112,2022-05-22 00:00:00,alchemix
1653264000,182993597.20572,2022-05-23 00:00:00,alchemix
