applicationId,projectId,applicationCategory,organization_name,name,has_github,has_contracts,has_venture_funding,has_revenue,past_grants,past_retrofunding,team_usernames,num_badgeholders
0x59718022161d39195c341d8c9a36f744c9070f73e0ba8d52553d594380aa8460,0x6dab3b38a62faa0195c0a989aca19c1b11e8ebbc97cf9d7269018850e0606550,GOVERNANCE_ANALYTICS,DeepDAO,DeepDAO,False,False,True,False,0.0,49689.64,['kof'],0
0x96b2064cfd8c96d7d6c3f52caca942368ab30ae504491afe7bc871eb46bc5f6b,0xaf7653803fedd458240baf20bd3156170d251fea19d07b565ba076a9e6835267,GOVERNANCE_LEADERSHIP,Divergent,L2 Lounge: Call’s,False,False,False,False,0.0,9938.0,['divergent'],0
0xa20d1b6a8932ad32d8ca9e2ffb3c581c524fecf552c20ea8760382d35987acc8,0x229bbc8163bdee3891cde1c18c74ab3afc72e8683692fc7f1b767570cbe7c4a7,GOVERNANCE_ANALYTICS,Dspyt,EVM Explorer,True,False,False,False,0.0,0.0,['pfedprog'],0
0x38ad2ef5857c4e8e82016817086e022e0be35d558856fbf4bf342300755ea0f8,0xa20ade372da3150ca8720c7dc096768f273c60d5d9fddd5c82bd0954126009df,GOVERNANCE_INFRA_AND_TOOLING,EZKL,Proving Retroactive Funding with EZKL,True,False,True,False,10000.0,49689.64,['jasonmorton'],0
0x6017e31f2a04030f37a34207299d2f154b21d774a930cf2b084c7b58d03824f9,0x6ceb5c34712b46e7680bb49f1c55a5054b23bc146e944079585343bd619745ea,GOVERNANCE_INFRA_AND_TOOLING,EthStaker,EthStaker,False,False,False,False,0.0,81987.9,"['lamboshi', 'nixo']",1
0x532335fe1cb82d751adc9ae8489cfc82d8623b50f1a3770e02f70f1996483427,0x3cb4f0aa229688086892ef9059db814d0643c551faed159a59f855e5c022730b,GOVERNANCE_INFRA_AND_TOOLING,Ethereans Protocol,Ethereans Protocol,True,True,False,False,0.0,16894.0,['ethosprotocol'],0
0xc68d5a1b9170d4f560a4e7b18901e8cdcefca36667dd4d9559ea473020807594,0xa88844cea135382e3484e39c3172033437121b35ca0bc8b10b9b8253984876b5,GOVERNANCE_INFRA_AND_TOOLING,Ethereum Attestation Service (EAS),Ethereum Attestation Service (EAS),True,False,False,False,313819.0,0.0,['bap'],0
0x8519e1dc9f5022319efabffaafd37889498590bfbd8ffc87f6b4c9a9fc75d657,0x0c803940dbc4431e3a24f750becdd055105e0798bf8cb83ee7aa6017c225d7a3,GOVERNANCE_LEADERSHIP,Ethereum Nigeria,Ethereum Nigeria,False,False,False,False,0.0,0.0,['divinevessel'],0
0xf3e418134cd5d5e293540986292d41e539bc13c862de1bd84991822112c2314f,0x0195f68a7bb14957b36e5fe8a384a7f7f6eacc84e856b83aab2125081e99a64f,GOVERNANCE_LEADERSHIP,Felps Miera,Felps Miera,False,False,False,False,0.0,0.0,['felpsmiera'],0
0x176e4151a62d4f67990f90c5d7744afeb1cd4332c11ae00852f9c8af6a5056be,0xba55e9105a705f1a6f1ade71ae09d9e30706e553864f27c5412ef27bc6056e1c,GOVERNANCE_INFRA_AND_TOOLING,Flexy,Flexy,True,True,False,False,0.0,0.0,['django'],0
0xa4c06b0df45ea3cf4797ad8738377f7ea42410e56e7ca2ff94813ad73fdf81f4,0x9878b43855fa30e4a9c770cf80d777dc41c9ba2483d4f6a4d0eb185becc9a7ed,GOVERNANCE_ANALYTICS,Fracton Research,Fracton Research - Retrospective Quantitative Review of Grants,False,False,False,False,0.0,0.0,"['shutanaka.eth', 'shinya-mori']",0
