date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Total Transferred,forecasted_Gas Fees,forecasted_Retained Daily Active Users,forecasted_DAA/MAA,forecasted_TVL-derive,forecasted_TVL_opchain-derive,forecasted_TVL-derive_v1_protocol,forecasted_TVL_opchain-derive_v1_protocol,forecasted_TVL-derive_v2_protocol,forecasted_TVL_opchain-derive_v2_protocol
2024-09-27 00:00:00,111.78114222661254,52.97997776427663,2.3032006649719645,55974260686.02973,0.014376582379063535,2.7754562860189433,1.3574797269243013,29615117.100803025,56383672.64535454,1138692.4664641074,1411846.8168094824,61067086.20518346,49700860.541352406
2024-09-28 00:00:00,108.85766542604028,69.93711399375742,2.1875484486950176,88965846583.8369,0.043494386588344515,2.842506558937731,1.5800601854985683,28568880.351920303,56982282.92084004,1404104.600923626,1444475.1555082875,61948486.91115421,58864637.56008544
2024-09-29 00:00:00,92.2111849619962,109.00829213467355,2.15603731952427,118654796113.64966,0.03368462492313941,3.536117307423425,2.1474236659832764,29274885.58108575,57161899.34068532,1194464.9058673312,1344737.2384461833,69104357.64833823,56935670.898933396
2024-09-30 00:00:00,95.41422280763673,55.60032687419033,2.2724880553923104,66605613014.076775,0.054312343846421134,3.414814554898593,1.749067577064372,26641475.357118294,56355672.81518603,1155941.678308391,1453910.8050753735,65905261.894128434,52286087.51303436
2024-10-01 00:00:00,83.78006567170615,38.8069051065051,2.207649399850209,4039348986.2937007,0.04588499886604485,3.1863297083548563,2.000942472629095,27893225.01122823,61387038.82173879,1326295.8664822779,1486825.5727681057,63714979.763928734,59472958.15148421
2024-10-02 00:00:00,78.81098931316677,90.9425752075692,2.277583444740139,5262765475.784208,0.057555657248645184,1.9811568284169938,1.998957140924113,24534212.609020106,61710094.38348666,1360980.205769729,1453842.3991991808,64850267.216047235,60382887.47656118
2024-10-03 00:00:00,86.56288238517632,75.2445368452664,2.0640730090467487,3714479295.1743274,0.037985462842021915,3.036938197414547,1.9619088684331594,25757638.214220192,62925455.26752384,1085135.3243523622,1329978.0770725736,69338768.26274252,64538955.79904402
2024-10-04 00:00:00,81.74527868861455,80.12653876024659,1.8285081669984191,540161905831.57166,0.027228574895657283,2.7732845133719706,0.7209589304344598,23592770.401107747,54056417.35259383,1175417.954150362,1236205.018488368,62061056.25254325,60707662.42958255
2024-10-05 00:00:00,103.63796545377969,68.35789254259119,1.9695260346990997,309945067515.6311,0.02615591896497561,2.1698757914623683,2.1012657225740536,23081247.386206295,65997205.69831607,1402591.0557474305,1324495.799744475,62438957.90027878,58396076.73540638
2024-10-06 00:00:00,115.76224514354948,59.30925528567026,1.7723555617019602,24635613243.92757,0.02673645728615534,2.454426678157269,1.5414158730278136,21691592.953428578,62726488.90013727,1111300.3965132812,1385522.353366206,70540548.87255937,62043677.535497874
2024-10-07 00:00:00,137.5924392317142,58.441075127439134,2.7261733103910997,29152137307.838062,0.017877906692658242,3.232766858014041,1.5348025898717799,21924005.172887284,55850122.52087524,1163796.1971693318,1420431.9358883726,63073596.335318804,60577700.02322919
2024-10-08 00:00:00,56.86005028572077,25.712703322910826,1.8597053686114515,31543434382.560284,0.019083918006098908,2.317190962609022,0.8253944830877014,19076813.222575665,55101201.96734527,1288484.219725883,1355609.6978476099,68171715.15183121,64326747.32461331
2024-10-09 00:00:00,100.48262889604312,73.00651505186927,2.193312642706761,33289296972.88702,0.02016018345671265,3.1482372979753332,1.5581121603551602,18621099.48804015,58504075.467233546,1358707.5082965845,1378552.2879460144,71212147.71208748,58860996.370911315
2024-10-10 00:00:00,90.83465465565268,42.23175312406262,2.843790476764383,4343138855.544902,0.03478868328400622,0.9850495816374122,1.8239535531455322,18929012.449997332,62866455.311540075,1021038.8790200171,1415512.123950677,69546852.97332166,61893920.52381246
2024-10-11 00:00:00,80.4468599625737,44.882498993825784,0.852690355319676,7911051454.868156,0.03699673067916354,2.5053243853071914,1.3853836553785108,18048868.70528484,62309654.21884376,1161865.5730228263,1303140.006363891,75253906.2575599,65216894.361835785
2024-10-12 00:00:00,84.70307594260528,83.32982836276281,2.6091995276687783,7346415193.4486685,0.03637541128367058,1.8517938421164322,1.7290084040340048,15137535.147557639,60531681.13436818,1296893.3301827668,1442175.2909422135,72189443.1621387,61784110.602184035
