date,token,value,readable_date,protocol
1737763200,BOTTO,72509.84045,2025-01-25 00:00:00,extra_finance_leverage_farming_protocol
1737763200,ANZ,970736.13058,2025-01-25 00:00:00,extra_finance_leverage_farming_protocol
1737763200,HENLO,32536.2348,2025-01-25 00:00:00,extra_finance_leverage_farming_protocol
1737763200,MODE,12591.93208,2025-01-25 00:00:00,extra_finance_leverage_farming_protocol
1737763200,TOWER,1014.08688,2025-01-25 00:00:00,extra_finance_leverage_farming_protocol
1737763200,QI,295.24948,2025-01-25 00:00:00,extra_finance_leverage_farming_protocol
1737763200,ANIME,475.8333,2025-01-25 00:00:00,extra_finance_leverage_farming_protocol
1737763200,CHAMP,131907.70901,2025-01-25 00:00:00,extra_finance_leverage_farming_protocol
1737763200,HEU,11.30702,2025-01-25 00:00:00,extra_finance_leverage_farming_protocol
1737763200,SEXY,72868.01881,2025-01-25 00:00:00,extra_finance_leverage_farming_protocol
1737763200,WBASEDOGE,3282.87776,2025-01-25 00:00:00,extra_finance_leverage_farming_protocol
1737763200,RFL,43692.0279,2025-01-25 00:00:00,extra_finance_leverage_farming_protocol
1737849600,2192,52.37873,2025-01-26 00:00:00,extra_finance_leverage_farming_protocol
1737849600,WETH,22734134.65231,2025-01-26 00:00:00,extra_finance_leverage_farming_protocol
1737849600,USDBC,46156.45383,2025-01-26 00:00:00,extra_finance_leverage_farming_protocol
1737849600,AERO,29930122.87783,2025-01-26 00:00:00,extra_finance_leverage_farming_protocol
1737849600,EXTRA,1037720.21862,2025-01-26 00:00:00,extra_finance_leverage_farming_protocol
1737849600,TAROT,229207.94583,2025-01-26 00:00:00,extra_finance_leverage_farming_protocol
1737849600,DAI+,0.0,2025-01-26 00:00:00,extra_finance_leverage_farming_protocol
1737849600,USD+,238296.00685,2025-01-26 00:00:00,extra_finance_leverage_farming_protocol
1737849600,DOLA,1174174.34563,2025-01-26 00:00:00,extra_finance_leverage_farming_protocol
1737849600,MAI,571234.40911,2025-01-26 00:00:00,extra_finance_leverage_farming_protocol
1737849600,CBETH,1669.55245,2025-01-26 00:00:00,extra_finance_leverage_farming_protocol
1737849600,TBTC,147.80872,2025-01-26 00:00:00,extra_finance_leverage_farming_protocol
1737849600,STG,2892.03573,2025-01-26 00:00:00,extra_finance_leverage_farming_protocol
1737849600,SONNE,428.04964,2025-01-26 00:00:00,extra_finance_leverage_farming_protocol
1737849600,EURA,8.62209,2025-01-26 00:00:00,extra_finance_leverage_farming_protocol
1737849600,USDC,41348914.12978,2025-01-26 00:00:00,extra_finance_leverage_farming_protocol
1737849600,WELL,2680161.01694,2025-01-26 00:00:00,extra_finance_leverage_farming_protocol
1737849600,OVN,128484.95249,2025-01-26 00:00:00,extra_finance_leverage_farming_protocol
1737849600,WSTETH,995420.07873,2025-01-26 00:00:00,extra_finance_leverage_farming_protocol
1737849600,EUSD,1570.51996,2025-01-26 00:00:00,extra_finance_leverage_farming_protocol
