project_id,name,num_contract,valid_oso_link,valid_defillama_link,num_txns,distinct_users,active_days,gas_fees,chains,is_eligible,retrolist_url
0xefaeef1446de875ab6e50d31c8dbe776f99d884cb8cb68d50b1384067e4aeb6b,Synapse Protocol,8,True,False,739051.0,56549.0,181.0,1293.7577309800636,['UNICHAIN' 'BASE' 'OPTIMISM'],True,https://s7-onchain.retrolist.app/project/0xefaeef1446de875ab6e50d31c8dbe776f99d884cb8cb68d50b1384067e4aeb6b
0xb26d9315cec30e60b52efd523c25a260c41d573458b246e60cf2de76eefd15a4,MintSwap Finance,5,False,True,738348.0,16668.0,181.0,34.039656177740234,['MINT'],True,https://s7-onchain.retrolist.app/project/0xb26d9315cec30e60b52efd523c25a260c41d573458b246e60cf2de76eefd15a4
0x0008577196fa6ec286440b418e2f6305fc10e62ce759625d826be272ee6b45a3,CreateX,20,True,False,705353.0,51574.0,181.0,10.651939616279044,"['OPTIMISM' 'SHAPE' 'METAL' 'MODE' 'LISK' 'ZORA' 'BOB' 'BASE' 'WORLDCHAIN'
 'FRAX']",True,https://s7-onchain.retrolist.app/project/0x0008577196fa6ec286440b418e2f6305fc10e62ce759625d826be272ee6b45a3
0x0b8acaf73a25ba1f64bf829f9678beb8b7edf825353ebea38085590d78d74d5d,Tokiemon,166,False,False,691801.0,49657.0,167.0,13.079788975009246,['BASE'],True,https://s7-onchain.retrolist.app/project/0x0b8acaf73a25ba1f64bf829f9678beb8b7edf825353ebea38085590d78d74d5d
0x7539f43dc91f9c406c83a06339708e4033cdbf630916c6dfb9de2b5ef811affd,Seamless Protocol,54,False,False,676935.0,81491.0,179.0,410.2368359660858,['BASE'],True,https://s7-onchain.retrolist.app/project/0x7539f43dc91f9c406c83a06339708e4033cdbf630916c6dfb9de2b5ef811affd
0x3526b9c6fdc34076d7d2c31893b94e760f4d5a010387b6b76b45f8b5577ceb98,Gyroscope,67,False,False,585351.0,154860.0,181.0,85.97820644197533,['BASE' 'OPTIMISM'],True,https://s7-onchain.retrolist.app/project/0x3526b9c6fdc34076d7d2c31893b94e760f4d5a010387b6b76b45f8b5577ceb98
0x4eaa0df4cfbda85126db57a231598d33c283b8aacf3a441539877ce7e17be22a,daos.world,212,False,False,508608.0,81625.0,70.0,127.26773676615927,['BASE'],True,https://s7-onchain.retrolist.app/project/0x4eaa0df4cfbda85126db57a231598d33c283b8aacf3a441539877ce7e17be22a
0x5614d129eba060ce7d224e8e8f9f29aeddfdb572b0dd45edc81f18f5307bc01a,Send,3,False,False,494620.0,2801.0,179.0,74.87979800389293,['BASE'],True,https://s7-onchain.retrolist.app/project/0x5614d129eba060ce7d224e8e8f9f29aeddfdb572b0dd45edc81f18f5307bc01a
0x0ee3defac0e2a31b995bc073ac02a2140aaf01679e141eb8d1d80409f75f90ea,Mint Club,24,False,False,442642.0,81880.0,181.0,72.42064430488503,['OPTIMISM' 'BASE' 'ZORA'],True,https://s7-onchain.retrolist.app/project/0x0ee3defac0e2a31b995bc073ac02a2140aaf01679e141eb8d1d80409f75f90ea
0xffffeb1d3576c1e847701c225975ee1a10259e05366b477e98fea7a47c5e5896,Rainbow (Rainbow Router),4,False,False,426445.0,46293.0,181.0,5.536599871262133,['INK' 'BASE' 'OPTIMISM' 'ZORA'],True,https://s7-onchain.retrolist.app/project/0xffffeb1d3576c1e847701c225975ee1a10259e05366b477e98fea7a47c5e5896
0xf24315614063278ba3543e1717791132a9afa79b0e65baa01a85bcccbdfa215f,deBridge,10,False,False,425064.0,66185.0,181.0,45.923735046037926,['OPTIMISM' 'BASE'],True,https://s7-onchain.retrolist.app/project/0xf24315614063278ba3543e1717791132a9afa79b0e65baa01a85bcccbdfa215f
0xc938557155993da8f33857e52d7deb04421d1bb341fc24216563aae64fe32d36,BSX,59,False,False,411888.0,10048.0,179.0,1616.085411256656,['BASE'],True,https://s7-onchain.retrolist.app/project/0xc938557155993da8f33857e52d7deb04421d1bb341fc24216563aae64fe32d36
0x482720e73e91229b5f7d5e2d80a54eb8a722309c26dba03355359788b18f4373,RubyScore,31,False,False,363207.0,28148.0,181.0,0.291235462911333,['BASE' 'OPTIMISM' 'ZORA'],True,https://s7-onchain.retrolist.app/project/0x482720e73e91229b5f7d5e2d80a54eb8a722309c26dba03355359788b18f4373
0x850df51e29f2846a5f085d88e6b6fc13fad51ad7161f8a825ed09d470668161a,Party.app + Party Protocol,25,False,False,328711.0,50388.0,181.0,20.525978500443497,['BASE' 'ZORA'],True,https://s7-onchain.retrolist.app/project/0x850df51e29f2846a5f085d88e6b6fc13fad51ad7161f8a825ed09d470668161a
0xdc28e29764ca79368f426f106458f2c427392e32d088b04f4c372ab51b25d2cf,Meson Finance,54,False,False,322748.0,15802.0,181.0,3.408853833360617,['OPTIMISM' 'BOB' 'LISK' 'MODE' 'BASE'],True,https://s7-onchain.retrolist.app/project/0xdc28e29764ca79368f426f106458f2c427392e32d088b04f4c372ab51b25d2cf
0x098fca4a62159ddfc2c45dc2931a727d56f039b8f68e31222b927aaf2ce75b9e,pods.media,65,False,False,309322.0,33718.0,181.0,45.11928425661922,['BASE' 'OPTIMISM' 'ZORA'],True,https://s7-onchain.retrolist.app/project/0x098fca4a62159ddfc2c45dc2931a727d56f039b8f68e31222b927aaf2ce75b9e
0xeecfa614f020c2ea4c2eb431246befedf35ddc6c52cfaa83d0c4caf2f580f9f4,doginme memecoin,1,False,False,271316.0,31475.0,179.0,50.45693736313451,['BASE'],True,https://s7-onchain.retrolist.app/project/0xeecfa614f020c2ea4c2eb431246befedf35ddc6c52cfaa83d0c4caf2f580f9f4
0x96767e87a27cdb9798f40c3a6fd78e70da611afe53a5e45cbaafc50cae4ad0e7,Sonus Exchange,29,False,False,269614.0,37621.0,48.0,14.369085443260133,['SONEIUM'],True,https://s7-onchain.retrolist.app/project/0x96767e87a27cdb9798f40c3a6fd78e70da611afe53a5e45cbaafc50cae4ad0e7
0xe5c133e05956a3939b9a78f4ad5d0a897a027da60a7d5e1b6276a2266211f69f,BMX,11,False,False,263478.0,30329.0,179.0,133.05345246708433,['BASE'],True,https://s7-onchain.retrolist.app/project/0xe5c133e05956a3939b9a78f4ad5d0a897a027da60a7d5e1b6276a2266211f69f
0x4d71401a0dbd9b3dd890fbc70baaf872d16db80af149e20f7ef1805fc94f6df6,Router Protocol,9,False,False,239040.0,61799.0,181.0,1.666828820214638,['MODE' 'OPTIMISM' 'BASE'],True,https://s7-onchain.retrolist.app/project/0x4d71401a0dbd9b3dd890fbc70baaf872d16db80af149e20f7ef1805fc94f6df6
0xd54e1032bf16d649f8f8f0a7da42a249966ad4a270b4c17b24ded1e32c97b2bf,NFTs2Me,14,False,False,238290.0,55378.0,181.0,4.9592205272543195,"['LISK' 'MODE' 'OPTIMISM' 'WORLDCHAIN' 'ZORA' 'INK' 'SWELL' 'BASE'
 'SONEIUM' 'SHAPE' 'FRAX']",True,https://s7-onchain.retrolist.app/project/0xd54e1032bf16d649f8f8f0a7da42a249966ad4a270b4c17b24ded1e32c97b2bf
0xc8ce0bfc7cd141c57a816cce213471208a1f6136c7aed5282c2c41b434006518,Bedrock on Optimism Superchain,16,False,False,230206.0,64890.0,181.0,143.15641668241602,['BOB' 'MODE' 'OPTIMISM'],True,https://s7-onchain.retrolist.app/project/0xc8ce0bfc7cd141c57a816cce213471208a1f6136c7aed5282c2c41b434006518
0x259b729af86ba38c0c84be9b739dfbca109a6df985371d8cabd43116d18d7a1a,Flaunch,38,False,False,226824.0,17054.0,29.0,775.5622862287602,['BASE'],True,https://s7-onchain.retrolist.app/project/0x259b729af86ba38c0c84be9b739dfbca109a6df985371d8cabd43116d18d7a1a
0x7974baaeef5e3af2e165a0911471ccddcb47d8ca74438558a89abb515aa64275,Krystal,9,False,False,223252.0,4302.0,181.0,6.902781786653227,['BASE' 'OPTIMISM'],True,https://s7-onchain.retrolist.app/project/0x7974baaeef5e3af2e165a0911471ccddcb47d8ca74438558a89abb515aa64275
0x149bc5c396fd3dccac39c92164bb6b8bccc4d215321b58e241af07a76616e031,Hop Protocol,49,True,False,212707.0,114428.0,181.0,24.901427554152527,['OPTIMISM' 'BASE'],True,https://s7-onchain.retrolist.app/project/0x149bc5c396fd3dccac39c92164bb6b8bccc4d215321b58e241af07a76616e031
0x3d009f8f7c1e8a3bcbc81ca8ed60d2e86b956dd0fa68c4595f851be37052a2b5,Guild.xyz,8,False,False,204980.0,127609.0,180.0,1.7936590286929142,['BASE' 'OPTIMISM'],True,https://s7-onchain.retrolist.app/project/0x3d009f8f7c1e8a3bcbc81ca8ed60d2e86b956dd0fa68c4595f851be37052a2b5
0x85bef37b528ec9d7e1a9cb864e298e3c117071507acd3f522c28561435d167f5,rhinofi,3,False,False,202791.0,54087.0,181.0,0.8116238608746902,['MODE' 'BASE' 'OPTIMISM'],True,https://s7-onchain.retrolist.app/project/0x85bef37b528ec9d7e1a9cb864e298e3c117071507acd3f522c28561435d167f5
0xff1edf67227651293a9cff4dce3577c6ca52bf8c7c6f5f133f07b05255379b27,Kelp,51,True,False,195413.0,26210.0,181.0,51.38324386044434,['BASE' 'MODE' 'OPTIMISM'],True,https://s7-onchain.retrolist.app/project/0xff1edf67227651293a9cff4dce3577c6ca52bf8c7c6f5f133f07b05255379b27
0x7eb6ba7a1057659d04ec414446c1b32509bf57704958139266c7120903446ad6,Pinto Protocol,51,False,False,186260.0,9191.0,100.0,168.19398236008564,['BASE'],True,https://s7-onchain.retrolist.app/project/0x7eb6ba7a1057659d04ec414446c1b32509bf57704958139266c7120903446ad6
0x18e7582de42dd9a7fd2cb69fb6566b8bcb3e86b936b229b0c5af78fa1de791a4,DackieSwap,14,False,False,173623.0,17601.0,181.0,15.50325659483448,['OPTIMISM' 'MODE' 'BASE'],True,https://s7-onchain.retrolist.app/project/0x18e7582de42dd9a7fd2cb69fb6566b8bcb3e86b936b229b0c5af78fa1de791a4
0x9c691ba3012549259099205cc1a7ca4d09d9b7a24a1b7b821b52c7bf1c9b89f4,Origin Protocol,33,False,False,161641.0,19696.0,179.0,79.06910477592095,['BASE'],True,https://s7-onchain.retrolist.app/project/0x9c691ba3012549259099205cc1a7ca4d09d9b7a24a1b7b821b52c7bf1c9b89f4
0xa09305aa57a60e362b11911666f6310f46c959ead9116333d2e7ca91aee180bf,Super Account,5,False,False,159121.0,57944.0,139.0,0.2425918253151261,['OPTIMISM'],True,https://s7-onchain.retrolist.app/project/0xa09305aa57a60e362b11911666f6310f46c959ead9116333d2e7ca91aee180bf
0x82edc3ac2a03da21c5a6033159ba8e97aab2f61dc5d1d9813929fea6d6c35362,Superform,5,False,True,151780.0,22766.0,181.0,2.186708166679004,['OPTIMISM'],True,https://s7-onchain.retrolist.app/project/0x82edc3ac2a03da21c5a6033159ba8e97aab2f61dc5d1d9813929fea6d6c35362
0x558ad0914eaf21a4965b2e4b7fef4cd66ef9d5bb861c5c42f4795a9e4614df71,Chonks,20,False,False,140464.0,12783.0,84.0,1591.1220979813934,['BASE'],True,https://s7-onchain.retrolist.app/project/0x558ad0914eaf21a4965b2e4b7fef4cd66ef9d5bb861c5c42f4795a9e4614df71
0x0e5d90c5b5b75851d02f8286e78ed3b7af85d6920ca92a0f73cdc268fff185c0,Moshicam,593,False,False,134425.0,27651.0,179.0,0.8746473226191663,['BASE'],True,https://s7-onchain.retrolist.app/project/0x0e5d90c5b5b75851d02f8286e78ed3b7af85d6920ca92a0f73cdc268fff185c0
0xbcb5c437d5347be21add3972512679054416805274f80e85ab8053ae79340a69,Ionic Protocol,2,False,False,128688.0,22995.0,179.0,18.967920647078707,['BASE' 'MODE'],True,https://s7-onchain.retrolist.app/project/0xbcb5c437d5347be21add3972512679054416805274f80e85ab8053ae79340a69
0xc0901c8f9503f0bf91a1cca0c6c90e55af8719cc2237fb4a0bf0770b307cbd11,Basepaint,4,False,False,120252.0,4581.0,179.0,1.533250943434352,['BASE'],True,https://s7-onchain.retrolist.app/project/0xc0901c8f9503f0bf91a1cca0c6c90e55af8719cc2237fb4a0bf0770b307cbd11
0xa88844cea135382e3484e39c3172033437121b35ca0bc8b10b9b8253984876b5,Ethereum Attestation Service (EAS),0,True,False,117569.0,22898.0,181.0,0.3242900601595135,['OPTIMISM'],True,https://s7-onchain.retrolist.app/project/0xa88844cea135382e3484e39c3172033437121b35ca0bc8b10b9b8253984876b5
0x867b0364ac86ff4cc61a47ee99a0f96c8b952af8728442a048f7e3ac5892aae9,Gaslite Drop,1,False,False,109588.0,567.0,171.0,5.537227634550794,['BASE'],True,https://s7-onchain.retrolist.app/project/0x867b0364ac86ff4cc61a47ee99a0f96c8b952af8728442a048f7e3ac5892aae9
