project_id,project_name,display_name,chain,measurement_period,amount,sample_date
H1DdvseIeFYJUwYwfSNvsXvbgxfwasspZw2MT3Apkfg=,velodrome,Velodrome,SONEIUM,Feb 2025,50883.6,2025-02-01
H1DdvseIeFYJUwYwfSNvsXvbgxfwasspZw2MT3Apkfg=,velodrome,Velodrome,SONEIUM,Jan 2025,42350.333333333336,2025-01-17
KCeeqilfYS6rUldDE-Q9apO8mVSwTkhxlt7H3QuVlEc=,hai-on-op,Let's Get HAI,OPTIMISM,Dec 2024,4489064.225806451,2024-12-01
KCeeqilfYS6rUldDE-Q9apO8mVSwTkhxlt7H3QuVlEc=,hai-on-op,Let's Get HAI,OPTIMISM,Feb 2025,2822819.15,2025-02-01
KCeeqilfYS6rUldDE-Q9apO8mVSwTkhxlt7H3QuVlEc=,hai-on-op,Let's Get HAI,OPTIMISM,Jan 2025,3892379.35483871,2025-01-01
KCeeqilfYS6rUldDE-Q9apO8mVSwTkhxlt7H3QuVlEc=,hai-on-op,Let's Get HAI,OPTIMISM,Nov 2024,3127088.1,2024-11-01
R557uIAkqgPzgzpItTOy1G3hq6JGvQEpWqXxib2qqPU=,exactly,Exactly,OPTIMISM,Dec 2024,4849160.161290322,2024-12-01
R557uIAkqgPzgzpItTOy1G3hq6JGvQEpWqXxib2qqPU=,exactly,Exactly,OPTIMISM,Feb 2025,3561890.5,2025-02-01
R557uIAkqgPzgzpItTOy1G3hq6JGvQEpWqXxib2qqPU=,exactly,Exactly,OPTIMISM,Jan 2025,4197473.322580645,2025-01-01
R557uIAkqgPzgzpItTOy1G3hq6JGvQEpWqXxib2qqPU=,exactly,Exactly,OPTIMISM,Nov 2024,5269349.666666667,2024-11-01
XyKL4912vsx41aNjTJDLDexSgi4_BcPkilZ8twJlqxI=,aave,Aave,BASE,Dec 2024,313361647.3548387,2024-12-01
XyKL4912vsx41aNjTJDLDexSgi4_BcPkilZ8twJlqxI=,aave,Aave,BASE,Feb 2025,438605674.2,2025-02-01
XyKL4912vsx41aNjTJDLDexSgi4_BcPkilZ8twJlqxI=,aave,Aave,BASE,Jan 2025,385498047.3548387,2025-01-01
XyKL4912vsx41aNjTJDLDexSgi4_BcPkilZ8twJlqxI=,aave,Aave,BASE,Nov 2024,182093414.13333333,2024-11-01
XyKL4912vsx41aNjTJDLDexSgi4_BcPkilZ8twJlqxI=,aave,Aave,OPTIMISM,Dec 2024,203712085.0967742,2024-12-01
XyKL4912vsx41aNjTJDLDexSgi4_BcPkilZ8twJlqxI=,aave,Aave,OPTIMISM,Feb 2025,166526497.65,2025-02-01
XyKL4912vsx41aNjTJDLDexSgi4_BcPkilZ8twJlqxI=,aave,Aave,OPTIMISM,Jan 2025,185866872.29032257,2025-01-01
XyKL4912vsx41aNjTJDLDexSgi4_BcPkilZ8twJlqxI=,aave,Aave,OPTIMISM,Nov 2024,164968392.2,2024-11-01
aVyyHCAyvC17oFRmyiZz_fgZ1yWnZPrBwhmF3oRqT1w=,synthetix,Synthetix,BASE,Dec 2024,9677253.129032258,2024-12-01
aVyyHCAyvC17oFRmyiZz_fgZ1yWnZPrBwhmF3oRqT1w=,synthetix,Synthetix,BASE,Feb 2025,7460154.05,2025-02-01
aVyyHCAyvC17oFRmyiZz_fgZ1yWnZPrBwhmF3oRqT1w=,synthetix,Synthetix,BASE,Jan 2025,11727975.870967742,2025-01-01
aVyyHCAyvC17oFRmyiZz_fgZ1yWnZPrBwhmF3oRqT1w=,synthetix,Synthetix,BASE,Nov 2024,9977468.866666667,2024-11-01
aVyyHCAyvC17oFRmyiZz_fgZ1yWnZPrBwhmF3oRqT1w=,synthetix,Synthetix,OPTIMISM,Dec 2024,138315876.8,2024-12-17
aVyyHCAyvC17oFRmyiZz_fgZ1yWnZPrBwhmF3oRqT1w=,synthetix,Synthetix,OPTIMISM,Feb 2025,88696518.45,2025-02-01
aVyyHCAyvC17oFRmyiZz_fgZ1yWnZPrBwhmF3oRqT1w=,synthetix,Synthetix,OPTIMISM,Jan 2025,128463788.03225806,2025-01-01
aVyyHCAyvC17oFRmyiZz_fgZ1yWnZPrBwhmF3oRqT1w=,synthetix,Synthetix,OPTIMISM,Nov 2024,120615117.08333333,2024-11-02
f2MYOoiZR6UKrs2fhiF3CzFRvQyiw0tMvGrJmYe0ttk=,moonwell-fi,Moonwell,BASE,Dec 2024,183858651.96774194,2024-12-01
f2MYOoiZR6UKrs2fhiF3CzFRvQyiw0tMvGrJmYe0ttk=,moonwell-fi,Moonwell,BASE,Feb 2025,135161500.65,2025-02-01
f2MYOoiZR6UKrs2fhiF3CzFRvQyiw0tMvGrJmYe0ttk=,moonwell-fi,Moonwell,BASE,Jan 2025,159651527.61290324,2025-01-01
f2MYOoiZR6UKrs2fhiF3CzFRvQyiw0tMvGrJmYe0ttk=,moonwell-fi,Moonwell,BASE,Nov 2024,152734437.33333334,2024-11-01
f2MYOoiZR6UKrs2fhiF3CzFRvQyiw0tMvGrJmYe0ttk=,moonwell-fi,Moonwell,OPTIMISM,Dec 2024,21854583.741935484,2024-12-01
f2MYOoiZR6UKrs2fhiF3CzFRvQyiw0tMvGrJmYe0ttk=,moonwell-fi,Moonwell,OPTIMISM,Feb 2025,12594260.9,2025-02-01
f2MYOoiZR6UKrs2fhiF3CzFRvQyiw0tMvGrJmYe0ttk=,moonwell-fi,Moonwell,OPTIMISM,Jan 2025,18973942.387096774,2025-01-01
f2MYOoiZR6UKrs2fhiF3CzFRvQyiw0tMvGrJmYe0ttk=,moonwell-fi,Moonwell,OPTIMISM,Nov 2024,17994704.5,2024-11-01
kVeul81pcomlG3BHGnuKWAECfpCk_XLxN_AUgTWbkWo=,sushi,Sushi,BASE,Dec 2024,15440914.573770491,2024-12-01
