,github_url,is_available,is_fork,fork_of,first_commit,last_commit,total_commits,total_developers,project_id,name,round_ids,github_owner,in_oso
65,https://github.com/must479/openzeppelin-contracts,True,True,OpenZeppelin/openzeppelin-contracts,2016-08-01T20:54:54Z,2024-08-20T00:03:22Z,2975,354,0x8bfdc42f26bf691d378d2073ae509c46b85c0eed8db8abc6987b6725dd0d056a,Superfluid ,"7, 8",https://github.com/must479,
118,https://github.com/must479/zora-protocol,True,True,ourzora/zora-protocol,2023-02-01T22:15:29Z,2024-07-21T08:59:27Z,735,12,0x8bfdc42f26bf691d378d2073ae509c46b85c0eed8db8abc6987b6725dd0d056a,Superfluid ,"7, 8",https://github.com/must479,
109,https://github.com/must479/go-ethereum,True,True,ethereum/go-ethereum,2013-12-26T11:45:52Z,2025-01-17T20:10:38Z,15307,929,0x8bfdc42f26bf691d378d2073ae509c46b85c0eed8db8abc6987b6725dd0d056a,Superfluid ,"7, 8",https://github.com/must479,
133,https://github.com/trustswap/teamfinance-stakingpool,True,False,,2024-11-01T16:31:50Z,2025-02-27T16:47:13Z,3,1,0x46d819ee72e9b51fb0175286e6ade010776b39cdb56aee88bc9f39501050eb92,Team Finance,8,https://github.com/trustswap,
17,https://github.com/jseiferth/testing,False,False,,,,0,0,0x51504348243d8e8fa59cf2ba983d9255373e5eb23fe22a0d18c0d36028561ace,Test Project,7,https://github.com/jseiferth,
8,https://github.com/jseiferth/testingthisthing,False,False,,,,0,0,0x51504348243d8e8fa59cf2ba983d9255373e5eb23fe22a0d18c0d36028561ace,Test Project,7,https://github.com/jseiferth,
77,https://github.com/titanlayer/contracts,True,True,hyperlane-xyz/hyperlane-monorepo,2021-01-14T01:06:58Z,2025-02-21T21:33:35Z,3083,84,0x991062ec81edb818a542e45d7c142cc62bc06e68b582273bd2ae1b037c2d6791,Titan Layer,8,https://github.com/titanlayer,
96,https://github.com/omgbbqhaxx/vrnouns,True,False,,2023-09-28T12:48:41Z,2024-05-30T06:27:02Z,9,1,0x8997fa34367532a9072ca36c424498162980303a8d36fc49d58c5ac7daac9311,VRNouns,8,https://github.com/omgbbqhaxx,
116,https://github.com/veildotcash/veildotcash_contracts,True,False,,2025-02-17T08:11:51Z,2025-02-19T19:43:27Z,9,1,0x40cda7edf27894d647d9433ded29290966f5c258dade2c3ea36427fccf0ef3c9,Veil Cash,8,https://github.com/veildotcash,
21,https://github.com/web3bridge/web3bridge-records,True,False,,2025-02-19T21:37:10Z,2025-02-20T20:09:50Z,4,2,0xb60780abaff82da08ddb98703d6792d806f03f190f6dcd7d0b8e7346533bd4eb,Web3bridge,8,https://github.com/web3bridge,
124,https://github.com/webhash-eth/websitessmartcontract,False,False,,,,0,0,0x5c76f623580566171af2a9553e8b7b230acc71aeb8829446d5eae2579ecda369,WebHash.com,8,https://github.com/webhash-eth,
100,https://github.com/azflin/daos-world-contracts,True,False,,2025-02-19T03:23:07Z,2025-02-19T03:29:05Z,3,0,0x4eaa0df4cfbda85126db57a231598d33c283b8aacf3a441539877ce7e17be22a,daos.world,8,https://github.com/azflin,
10,https://github.com/fzn0x/discord-deepseek-r1-bot,False,False,,,,0,0,0x85f58c1ce6ef97a8b2f4fd2b0cf4099798a598a02da7a0d2fc53ef75b5fb7fcb,discord-deepseek-r1-bot,7,https://github.com/fzn0x,
71,https://github.com/apoorvlathey/evm-rpcs-list,False,False,,,,0,0,0x3a942492f564e13e4a3fc11e9a8b5dcd8bf0213f9dd8571d888f32db84271c5f,evm-rpcs-list,7,https://github.com/apoorvlathey,
13,https://github.com/oleksiivinogradov/motodextopos,True,False,,2023-11-04T07:59:57Z,2024-07-02T09:06:13Z,3,1,0x512e27ae7e194a31bbde426c25d78b5d43916192674d71a0c4deeea1c622f166,motoDEX,8,https://github.com/oleksiivinogradov,
