github_url,is_available,is_fork,fork_of,first_commit,last_commit,total_commits,total_developers
https://github.com/gainsnetwork-org/trading-sdk,True,False,,2024-09-10T14:56:26Z,2025-02-24T14:41:10Z,99,4
https://github.com/paulrberg/prb-math,True,False,,2021-03-24T15:21:33Z,2025-02-22T13:03:26Z,585,19
https://github.com/backseats/chonks,True,False,,2024-06-10T02:17:06Z,2025-02-28T19:12:11Z,490,2
https://github.com/dennis-tra/nebula,True,False,,2021-06-22T11:00:50Z,2025-02-26T09:34:31Z,563,10
https://github.com/superchaineco/superchain-raffle,True,False,,2024-08-23T13:33:48Z,2025-02-22T13:07:14Z,44,2
https://github.com/0xbaratie/mud-hackathon,True,False,,2023-06-20T09:24:26Z,2024-05-30T03:13:13Z,281,3
https://github.com/omgbbqhaxx/vrnouns,True,False,,2023-09-28T12:48:41Z,2024-05-30T06:27:02Z,9,1
https://github.com/web3privacy/cypherpunkacademy,True,False,,2024-08-14T17:54:31Z,2025-02-07T18:51:24Z,59,4
https://github.com/lasmetaio/glasm,True,False,,2024-06-17T18:50:23Z,2025-02-22T20:29:50Z,3,1
https://github.com/seetadev/op-conceirge-suite,True,False,,2024-08-08T05:20:22Z,2025-02-27T21:27:38Z,33,1
https://github.com/azflin/daos-world-contracts,True,False,,2025-02-19T03:23:07Z,2025-02-19T03:29:05Z,3,0
https://github.com/mintswapfinance/mintswap-nft-marketplace,True,False,,2024-04-07T06:28:31Z,2025-02-26T10:19:03Z,11,2
https://github.com/farcaster-attestation/farcaster-solidity,True,True,pavlovdog/farcaster-solidity,2023-12-16T13:01:20Z,2024-10-14T16:15:07Z,40,4
https://github.com/nerzofc/contacts,True,False,,2025-02-24T18:00:55Z,2025-02-24T19:07:44Z,4,2
https://github.com/onchaingm/onchaingm,True,False,,2025-02-21T07:20:54Z,2025-03-01T12:33:06Z,17,1
https://github.com/web3privacy/news,True,False,,2024-02-05T21:31:19Z,2025-02-25T14:47:06Z,553,13
https://github.com/gainsnetwork-org/nft-bot-v3,True,False,,2021-11-20T09:12:15Z,2025-02-24T14:36:41Z,438,6
https://github.com/amazinghunt-contracts/amazinghunt-contracts,True,False,,2025-02-20T08:44:52Z,2025-02-20T09:07:43Z,3,1
https://github.com/zwergdev/rainbowkit-theme-generator,True,False,,2024-01-22T00:00:38Z,2025-02-19T22:36:03Z,10,1
https://github.com/must479/go-ethereum,True,True,ethereum/go-ethereum,2013-12-26T11:45:52Z,2025-01-17T20:10:38Z,15307,929
https://github.com/hostit-events/host-it-contract,False,False,,,,0,0
https://github.com/jacobhomanics/scaffold-nft,False,False,,,,0,0
https://github.com/steemhunt/mint.club-v2-sdk,True,False,,2024-02-03T13:31:39Z,2025-02-19T07:00:59Z,440,3
https://github.com/eatthepie/contracts-layer2,True,True,eatthepie/contracts,2024-09-09T08:38:11Z,2025-02-20T19:42:07Z,76,1
https://github.com/eatthepie/contracts,True,False,,2024-09-09T08:38:11Z,2025-02-20T19:44:51Z,61,1
https://github.com/wildcardlabs/records.xyz,True,False,,2025-02-10T18:03:31Z,2025-02-28T14:27:17Z,32,2
https://github.com/veildotcash/veildotcash_contracts,True,False,,2025-02-17T08:11:51Z,2025-02-19T19:43:27Z,9,1
https://github.com/gnsps/solidity-bytes-utils,True,False,,2017-10-11T00:18:50Z,2025-02-06T01:00:17Z,121,10
https://github.com/must479/zora-protocol,True,True,ourzora/zora-protocol,2023-02-01T22:15:29Z,2024-07-21T08:59:27Z,735,12
https://github.com/farcaster-attestation/farcaster-resolver,True,False,,2024-07-04T08:55:55Z,2025-01-08T22:44:22Z,68,2
https://github.com/gayatrigt/baselogonftproject,False,False,,,,0,0
https://github.com/stepandel/eas-resolver,True,False,,2024-06-23T08:27:09Z,2025-02-19T02:06:52Z,36,1
https://github.com/lasmetaio/unique-id-sbt,False,False,,,,0,0
https://github.com/samir0x/smellcheckmate,True,False,,2025-02-06T17:41:06Z,2025-02-06T20:29:22Z,6,1
https://github.com/superchaineco/sunny_airdrop,True,False,,2025-01-17T14:41:07Z,2025-02-22T13:07:43Z,10,2
https://github.com/webhash-eth/websitessmartcontract,False,False,,,,0,0
https://github.com/superchaineco/superchainsmartaccounts,True,True,Kolektivo-Labs/Ecosystem-Accounts,2024-04-06T11:25:56Z,2025-02-22T12:55:52Z,158,2
https://github.com/web3privacy/explorer-app,True,False,,2023-12-19T17:43:42Z,2025-02-08T12:16:28Z,212,13
https://github.com/saurabhburade/substream-eth-blobs,True,False,,2024-10-02T17:12:38Z,2025-02-06T16:53:37Z,20,1
https://github.com/mod-protocol/micro-party-larry,True,False,,2024-11-26T12:16:23Z,2025-02-24T11:31:05Z,19,2
https://github.com/javsphere/contracts,True,False,,2023-10-04T08:38:09Z,2025-02-19T15:12:29Z,33,2
https://github.com/javsphere/subgraph-leveragex,True,False,,2024-07-10T08:29:01Z,2025-02-19T15:14:53Z,50,2
https://github.com/linkdrophq/linkdrop-p2p-sdk,True,False,,2023-06-05T12:05:53Z,2024-12-20T13:40:21Z,362,2
https://github.com/gallery-so/moshicam-contracts,True,False,,2025-02-21T23:29:49Z,2025-02-21T23:45:22Z,3,1
https://github.com/trustswap/teamfinance-stakingpool,True,False,,2024-11-01T16:31:50Z,2025-02-27T16:47:13Z,3,1
