date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Total Transferred,forecasted_TVL,forecasted_TVL_opchain
2024-11-21 00:00:00,0.0,0.0,0.0,0.0,256545898.673201,156670418.7112243
2024-11-22 00:00:00,0.0,0.0,0.0,0.0,277574104.05245835,164288329.3480056
2024-11-23 00:00:00,0.0,0.0,0.0,0.0,243336716.00437993,165296041.51443985
2024-11-24 00:00:00,0.0,0.0,0.0,0.0,251465512.32384703,175384951.06219548
2024-11-25 00:00:00,0.0,0.0,0.0,0.0,220562921.3709781,165329027.54406032
2024-11-26 00:00:00,0.0,0.0,0.0,0.0,241571056.8495063,163847223.7588688
2024-11-27 00:00:00,0.0,0.0,0.0,0.0,247817537.3327623,179064739.24419436
2024-11-28 00:00:00,0.0,0.0,0.0,0.0,236554134.64034575,168506424.87350208
2024-11-29 00:00:00,0.0,0.0,0.0,0.0,234415471.8272321,174460824.12309647
2024-11-30 00:00:00,0.0,0.0,0.0,0.0,212875126.8303926,169103691.19971466
2024-12-01 00:00:00,0.0,0.0,0.0,0.0,215074977.40926465,179487490.3339179
2024-12-02 00:00:00,0.0,0.0,0.0,0.0,198911916.1361971,184126056.56109893
2024-12-03 00:00:00,0.0,0.0,0.0,0.0,213616259.11867133,181321737.26682824
2024-12-04 00:00:00,0.0,0.0,0.0,0.0,200385076.19134432,188635912.00439596
2024-12-05 00:00:00,0.0,0.0,0.0,0.0,200630915.5392115,189749796.11288273
2024-12-06 00:00:00,0.0,0.0,0.0,0.0,185351032.52625185,171301485.61996734
2024-12-07 00:00:00,0.0,0.0,0.0,0.0,211249913.0535505,196731821.6425411
2024-12-08 00:00:00,0.0,0.0,0.0,0.0,198729294.85247615,175215613.11533532
2024-12-09 00:00:00,0.0,0.0,0.0,0.0,215741510.90381697,199111290.3488475
2024-12-10 00:00:00,0.0,0.0,0.0,0.0,198534903.25626665,189062547.7400161
2024-12-11 00:00:00,0.0,0.0,0.0,0.0,187046981.2764099,181637972.3356132
2024-12-12 00:00:00,0.0,0.0,0.0,0.0,183817047.71886083,176560017.50566763
2024-12-13 00:00:00,0.0,0.0,0.0,0.0,174345199.88059327,181942910.59428284
2024-12-14 00:00:00,0.0,0.0,0.0,0.0,202106575.45132115,191897645.19388643
2024-12-15 00:00:00,0.0,0.0,0.0,0.0,201048552.72183236,188076243.1201484
2024-12-16 00:00:00,0.0,0.0,0.0,0.0,200567252.1327425,176730644.16296187
2024-12-17 00:00:00,0.0,0.0,0.0,0.0,197050921.72362,173339996.33136398
2024-12-18 00:00:00,0.0,0.0,0.0,0.0,206301061.11413544,187197238.86111936
2024-12-19 00:00:00,0.0,0.0,0.0,0.0,184622904.5081133,169213296.89339474
2024-12-20 00:00:00,0.0,0.0,0.0,0.0,189097414.39368236,149596027.62518397
2024-12-21 00:00:00,0.0,0.0,0.0,0.0,163254214.67152697,156787315.45361263
2024-12-22 00:00:00,0.0,0.0,0.0,0.0,199469098.20028007,140191493.76863825
2024-12-23 00:00:00,0.0,0.0,0.0,0.0,176739103.45602372,154886214.0413785
2024-12-24 00:00:00,0.0,0.0,0.0,0.0,199702923.73507097,156813583.02351752
2024-12-25 00:00:00,0.0,0.0,0.0,0.0,180366277.94147143,147081828.22653875
2024-12-25 22:04:47,0.0,0.0,0.0,0.0,175577701.1867058,
2024-12-26 00:00:00,0.0,0.0,0.0,0.0,176064522.48361155,
2024-12-27 00:00:00,0.0,0.0,0.0,0.0,176940590.47211203,
2024-12-28 00:00:00,0.0,0.0,0.0,0.0,176899852.2658275,
2024-12-29 00:00:00,0.0,0.0,0.0,0.0,175552602.7180574,
2024-12-30 00:00:00,0.0,0.0,0.0,0.0,175477229.4035534,
2024-12-31 00:00:00,0.0,0.0,0.0,0.0,181813827.8638211,
2025-01-01 00:00:00,0.0,0.0,0.0,0.0,190210884.1850984,
2025-01-02 00:00:00,0.0,0.0,0.0,0.0,196247783.4715788,
2025-01-03 00:00:00,0.0,0.0,0.0,0.0,181500511.44862568,
2025-01-04 00:00:00,0.0,0.0,0.0,0.0,168709706.82892334,
2025-01-05 00:00:00,0.0,0.0,0.0,0.0,190603706.962734,
2025-01-06 00:00:00,0.0,0.0,0.0,0.0,171772385.66228324,
2025-01-07 00:00:00,0.0,0.0,0.0,0.0,183060541.0842506,
2025-01-08 00:00:00,0.0,0.0,0.0,0.0,170117304.86637768,
2025-01-09 00:00:00,0.0,0.0,0.0,0.0,164244455.37688476,
2025-01-10 00:00:00,0.0,0.0,0.0,0.0,165640464.46096584,
2025-01-11 00:00:00,0.0,0.0,0.0,0.0,156622759.3829838,
2025-01-12 00:00:00,0.0,0.0,0.0,0.0,148627668.48897433,
2025-01-13 00:00:00,0.0,0.0,0.0,0.0,155829554.27734366,
2025-01-14 00:00:00,0.0,0.0,0.0,0.0,152807240.98696464,
2025-01-15 00:00:00,0.0,0.0,0.0,0.0,151705836.50803128,
2025-01-16 00:00:00,0.0,0.0,0.0,0.0,164992283.03672564,
2025-01-17 00:00:00,0.0,0.0,0.0,0.0,163217917.04923627,
2025-01-18 00:00:00,0.0,0.0,0.0,0.0,147805225.40480655,
2025-01-19 00:00:00,0.0,0.0,0.0,0.0,150300868.91995955,
2025-01-20 00:00:00,0.0,0.0,0.0,0.0,151251633.4891054,
2025-01-21 00:00:00,0.0,0.0,0.0,0.0,153990416.66599104,
2025-01-22 00:00:00,0.0,0.0,0.0,0.0,148737882.60509446,
