date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Total Transferred,forecasted_Gas Fees,forecasted_Retained Daily Active Users,forecasted_DAA/MAA,forecasted_TVL-frax_swap_protocol,forecasted_TVL_opchain-frax_swap_protocol
2024-09-18 00:00:00,28118.004079507213,4480.08579881758,1384.1998780796707,1.4010378991537005e+20,0.908982177142905,0.6545637581937773,0.22869307111768652,29123312.80183593,35859345.9889418
2024-09-19 00:00:00,20180.8246061961,3033.7340647322308,1302.5816120137033,1.8921997098419952e+20,0.9959002020793674,0.850422086207551,0.23640878843244764,27532785.587638497,41524038.5050862
2024-09-20 00:00:00,20914.712714808946,4243.912134499458,2493.6354842655887,1.5762899249341524e+20,1.0119059154045638,0.7945359923670383,0.2635770823864408,28357027.996008355,41355211.95966849
2024-09-21 00:00:00,8027.263156329545,4984.490609434219,2276.398765733694,2.4117777200881235e+20,0.5938052611827493,0.956583733747169,0.29840185221180876,30081172.853738345,44795079.810114786
2024-09-22 00:00:00,21041.155490850215,4748.050735793505,2469.7590446962486,2.4502547748229926e+20,0.9774306287945927,0.7338746806043814,0.332157254115292,30539598.25124311,42347168.42862481
2024-09-23 00:00:00,9734.621729293538,3407.7955185842866,2334.136654724672,2.4329348198642116e+20,0.6345861520955927,0.6210504325504789,0.3918196512080977,26994617.329834957,41315343.93267799
2024-09-24 00:00:00,22739.429542197056,4210.9066581698,2171.2616601824197,2.4860461938020188e+20,0.9693966453219924,0.9273815586383446,0.3089836177481473,28068920.163843665,42483049.92541737
2024-09-25 00:00:00,28772.725496085157,7261.766174713837,2435.418064617038,2.583065485629882e+20,1.2775090364709245,0.6733889327943975,0.3158414589257147,26276837.619250827,45180870.15948303
2024-09-26 00:00:00,17395.783499897076,4362.994507745684,1994.6322733234988,1.5485201377498746e+20,0.9871127213586925,1.1542867823308258,0.1832434528642602,28939493.604166493,42054193.3988394
2024-09-27 00:00:00,19930.442717228412,3301.420587979887,1271.5985341854587,1.7214674608810652e+20,0.8532260357781534,0.9576902946139406,0.08917767157776679,26037643.262367945,43927525.63561829
2024-09-28 00:00:00,33389.6274202554,4489.166920915597,1664.636389065163,2.3465333075946065e+20,0.5731193758933982,0.8395727395061666,0.2170912421865829,26479822.14864257,39383007.24221446
2024-09-29 00:00:00,34822.4394149198,4704.492528117235,2440.0145137319346,1.987063906395477e+20,0.9430953968521744,1.1487903405841207,0.16916086566868815,27037672.68552049,41779045.136279345
2024-09-30 00:00:00,20972.65470217903,4755.132880190893,1771.8654947918512,2.214489153932754e+20,0.7305159192746388,1.2545670638504103,0.12934054654209856,24598834.77059422,42051493.016746804
2024-10-01 00:00:00,26567.241564450673,3594.094215372896,1041.5120651263035,1.3800757522632288e+20,0.7864441979122265,0.852584201294798,0.09915683175078105,27580427.386897147,42136749.24145775
2024-10-02 00:00:00,23478.100978026265,4312.633086397162,1821.066449777726,1.0170222485505096e+20,1.0090162917395222,1.1685446678076137,0.15518764331012966,24410511.623904403,38137533.85759301
2024-10-03 00:00:00,28347.593715383086,4819.40471326244,2534.4528812588596,1.6728513227716333e+20,1.3061567900168112,0.8367768845675547,0.1970450944894308,26161523.50763394,33137743.211031474
2024-10-04 00:00:00,18969.902828959323,4206.88788888883,1115.7845845689285,3.187365198819843e+20,1.0808992221149936,0.966215715896472,0.28420531841936375,26745759.938598152,35445534.34025892
2024-10-05 00:00:00,15204.898962393534,4843.456008743773,686.2317466660044,1.2191252101320696e+20,0.8628324032997384,0.7579035301179493,0.3031024920805701,27633940.665630884,37625303.21619333
2024-10-06 00:00:00,15583.815490501993,3536.754570334758,1595.8514372418792,1.6054516580814003e+20,0.9011348211573723,0.9440393166979351,0.1596213968990334,24351533.04371299,38162987.997826636
2024-10-07 00:00:00,7007.386393408982,3256.707568733431,2163.2352258464166,2.118959447844473e+20,0.9277633463100828,0.9854774111775434,0.15744450711694824,23604246.07618027,38342210.375277385
2024-10-08 00:00:00,13540.77919149943,4497.906619988523,1564.0779916950912,1.2920112863812503e+20,1.0267584801477327,1.102295643376487,0.15585955923568418,23686165.314197868,41615000.69016615
2024-10-09 00:00:00,10433.73856182168,4399.1161991100835,1286.1234247445886,2.013481085875284e+20,0.596136090492204,0.6084448706222112,0.13789226756625417,25043471.668584425,38944157.60237516
2024-10-10 00:00:00,12798.534612457397,4488.391960383513,2378.6804863410407,2.0589872577604053e+20,0.7528759267036037,0.6294894898667455,0.129679210011066,25267814.54245743,37970725.38031042
2024-10-11 00:00:00,13251.584956252978,4722.687402740161,1510.5502427857232,2.176184908526262e+20,0.8600063493677165,0.5639690254840055,0.22152210006050455,23080997.264596656,35949792.41259944
2024-10-12 00:00:00,6592.100566330303,5298.571460851987,1528.466281463008,1.6214713730812576e+20,0.808913667102704,0.8136373360239642,0.1946268944292369,23398093.838278197,34885433.500972055
2024-10-13 00:00:00,9756.361089600865,4224.830906228073,1402.5608282854669,2.210903971961399e+20,1.2776200191540619,0.8476515379578303,0.19583576850579135,22477800.855599035,38540671.6952627
2024-10-14 00:00:00,11448.36662589829,4922.119924898857,1802.074873633734,1.641944150892713e+20,0.6234882769110296,0.9477201605473772,0.21679549102457776,23339220.30498329,36524257.28395766
2024-10-15 00:00:00,10196.794824998555,4530.540752773133,1556.4762363123527,1.967830769857163e+20,1.0927683698514326,1.0160983331096847,0.11998303314953494,23306441.27502894,43953091.69360748
