uuid,name,recipient,project_type,category,address,chain,contract_type,transactions_90D,transactions_180D,active_addresses_90D,active_addresses_180D,farcaster_users_90D,farcaster_users_180D,daily_active_addresses_90D,daily_active_addresses_180D,block_explorer
aa0baef9-7dda-4cf5-a235-b2a8265a0ce2,Clutch,0xb6A2Db1a7bE6d7C41f397f49dfB258468580f33E,App,Gaming,0xe84ccdd7bc243a021df06a2062785d933c0ca274,Kroma,pending_kroma,36653.0,36653.0,30492.0,30492.0,120.0,120.0,368.0,184.0,https://kromascan.com/address/0xe84ccdd7bc243a021df06a2062785d933c0ca274
cb6ef65c-3136-4af7-9be1-c993d8789376,Collectr,0x08D816526BdC9d077DD685Bd9FA49F58A5Ab8e48,App,Art NFTs,0x5d594f484fd286e77363ef5c1deac44d255b5484,Base,dapp_contract,217.0,217.0,164.0,164.0,57.0,57.0,2.0,1.0,https://basescan.org/address/0x5d594f484fd286e77363ef5c1deac44d255b5484
96eacee2-22ed-498e-9423-3ed4a545c1b1,Comet Protocol,0x5D06A3EDC921B5F69bE1D21b66A5160C3b5e2856,App,Bridges,0xb50ac92d6d8748ac42721c25a3e2c84637385a6b,Mint,pending_mint,3.0,57.0,2.0,43.0,1.0,12.0,0.0,0.0,https://explorer.mintchain.io/address/0xb50ac92d6d8748ac42721c25a3e2c84637385a6b
c34b5ac9-9ccc-44ea-81a7-86b2971dce51,coNFT,0xb4D0E8Be45395E72e9C1aF25f59d854bc7Dc5B48,App,Art Marketplace,0x7990414a50e306972b54f7d1c8a58fb1da4315c3,Mint,pending_mint,,,,,,,,,https://explorer.mintchain.io/address/0x7990414a50e306972b54f7d1c8a58fb1da4315c3
724e08e7-f5dd-4dcd-bb4f-cf50045c4d53,Coop Records Music,0x512b55b00d744fC2eDB8474f223a7498c3e5a7ce,Other Application,Other Media NFTs,0xb791556273b26389bcb4865db028898f125e4319,Base,dapp_contract,2.0,208.0,2.0,119.0,2.0,94.0,0.0,0.0,https://basescan.org/address/0xb791556273b26389bcb4865db028898f125e4319
1f2e7de2-fd5e-4df9-ba8c-f37e1bec64fd,Copin.io,0xcb8515FD5A82e9aCf0c4A96959504ffcAB891B97,App,DEX,0xb27a14fa98608a95d81c22023f09648f2cb714c2,Optimism,trace_contract,44.0,1271.0,9.0,862.0,1.0,3.0,0.0,5.0,https://optimistic.etherscan.io/address/0xb27a14fa98608a95d81c22023f09648f2cb714c2
10d1b5dc-de39-4529-a9d8-d08517d87c8c,CryptoRank Token & NFT Bridge,0x0000000000000000000000000000000000000000,App,Other Media NFTs,0x80f1483f117c8eb82748f707d4447fad30086d30,Base,dapp_contract,8273.0,20987.0,3856.0,10238.0,625.0,2554.0,47.0,61.0,https://basescan.org/address/0x80f1483f117c8eb82748f707d4447fad30086d30
1986d0d8-3cfc-4685-899e-909464944ae5,Crypto: The Game S2,0xc446b8Dee9721C1E28A2Cd2E010bcAd7e3BC5909,App,Gaming,0x3abb25038da5a6ee9f524cc16c7f7ec68db7eb3b,Base,factory_contract,24.0,1541.0,21.0,971.0,14.0,402.0,0.0,7.0,https://basescan.org/address/0x3abb25038da5a6ee9f524cc16c7f7ec68db7eb3b
7ffac1e8-4d34-4e95-b9a6-5bbe40ac81ff,Crypto: The Game S2,0xc446b8Dee9721C1E28A2Cd2E010bcAd7e3BC5909,App,Gaming,0x3abb25038da5a6ee9f524cc16c7f7ec68db7eb3b,Base,factory_contract,24.0,1541.0,21.0,971.0,14.0,402.0,0.0,7.0,https://basescan.org/address/0x3abb25038da5a6ee9f524cc16c7f7ec68db7eb3b
dcb7fb46-54dd-4887-954f-53c69f819f8e,Daimo,0xF05b5f04B7a77Ca549C0dE06beaF257f40C66FDB,App,Payments,0xf9d643f5645c6140b8eeb7ef42878b71ebfee40b,Base,factory_contract,1994.0,4000.0,16.0,26.0,5.0,8.0,1.0,1.0,https://basescan.org/address/0xf9d643f5645c6140b8eeb7ef42878b71ebfee40b
