,recipient,name,status,transactions_90D,active_addresses_90D,daily_active_addresses_90D,farcaster_users_90D,transactions_180D,active_addresses_180D,daily_active_addresses_180D,farcaster_users_180D,uuid_list
82,0xA582360DA4ae1fBb912C975fcce1A0C0e2af91e8,Surreal,metrics_available,119.0,69.0,1.0,38.0,266.0,154.0,1.0,65.0,['e50d1f7e-57e9-4d5c-8e71-ec627032d4b0']
83,0xA5D224B43EAB837aa2Ee9C6Ed727f1613f301A5E,Flappycaster,metrics_available,53.0,52.0,0.0,47.0,53.0,52.0,0.0,47.0,['30e2ef09-65f0-49de-9f98-6625a67353e4']
84,0xA8F0048A0d1A04663Ca5010d0bEaC5BCAEeA0eef,Attesta_Mesta,metrics_available,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,['fdceb040-c3e7-4096-a801-6c75adf400ed']
85,0xAa66fC4433DFD254F05A720A8c8a2f1F2fbDCB58,Nouns Boy,metrics_available,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,['d4661317-9967-4a9a-bda9-f6a19b2ca498']
86,0xB03E094e643a50E145E804b35787C28292E6Afe4,Ethereum Ecosystem,metrics_available,12886.0,834.0,19.0,346.0,40355.0,1694.0,23.0,685.0,['e76e956b-4d97-4568-ab35-3f2753f37969']
87,0xB1dD2Fdb023cB54b7cc2a0f5D9e8d47a9F7723ce,BMX,metrics_available,189355.0,5836.0,203.0,790.0,343047.0,9269.0,185.0,1470.0,"['094ee083-01d1-41f8-81c6-3fe33232a8c7', '5569f166-7c5c-4cdf-a11b-5a4280086a5a', '6a1f5979-e9ab-4971-a7ec-80ce58ad15d6', '78b87055-ab6e-4fea-8808-d78eaadc2d3f', '8e44e5b4-87ae-4d63-96eb-b0849eb394ad', '954f07a8-715d-415f-a211-0602eaeac7d2', 'fb221b04-388b-4bb2-be7b-fc95dfc13e51']"
88,0xB1dD2Fdb023cB54b7cc2a0f5D9e8d47a9F7723ce,BMX by Morphex,metrics_available,1160.0,116.0,5.0,10.0,3545.0,253.0,5.0,37.0,['a622ebca-d695-487e-adc9-931372135973']
89,0xBc57373c9B99524f6300664e2602A0427A9ec0db,Degenfans gated frames,metrics_available,41.0,18.0,0.0,15.0,41.0,18.0,0.0,15.0,['c6bad58d-bae9-443d-baa4-40f2548a7e3c']
90,0xC4FC57Dedd2463314A3fD2DBadB86B4404C257e5,Fractal Visions,metrics_available,519.0,17.0,0.0,7.0,1084.0,251.0,2.0,37.0,['0c01f116-4cbb-4123-90a7-b8067be7907a']
91,0xC925bD0E839E8e22A7DDEbe7f4C21b187deeC358,BUILD,metrics_available,236731.0,50356.0,871.0,30915.0,388406.0,61979.0,655.0,35003.0,['9833b9ba-50c0-4119-a480-1815f0b8fd3f']
92,0xC925bD0E839E8e22A7DDEbe7f4C21b187deeC358,Talent Protocol,metrics_available,18659.0,2.0,0.0,0.0,18659.0,2.0,0.0,0.0,['f3a42626-c33e-40c6-bea0-fbfc53aa402a']
93,0xCFFbda2841Ef95DF3e977982eCc55429B8D82eB5,Tasseo,metrics_available,193.0,92.0,1.0,43.0,193.0,92.0,0.0,43.0,['7c4ccb00-8e0d-4b6f-8f95-befe7d702d10']
94,0xD50A234082C1CEa12A7A9DD6F37a85fcc55ED459,RubyScore,metrics_available,277499.0,28821.0,1100.0,4133.0,575960.0,77125.0,1587.0,8301.0,"['02439dc9-9d63-4ba9-a0b0-b995251586ed', '44f074aa-6ccd-4f72-be91-92c406f0bdca', '5f969f7d-8725-48d9-9249-e7655827caba', '860b6f97-d7d3-4da6-85f0-3d83d94a8256', 'cbd87620-2028-4bc0-a2a2-d915bb2454b9']"
