,name,project_type,category,chain,explorer,contract_type,status,transactions_90D,active_addresses_90D,daily_active_addresses_90D,farcaster_users_90D,transactions_180D,active_addresses_180D,daily_active_addresses_180D,farcaster_users_180D,uuid,recipient,address
90,L2Pass,App,Bridges,Zora,https://zora.thesuperscan.io/address/0x0000049f63ef0d60abe49fdd8bebfa5a68822222,dapp_contract,metrics_available,599.0,507.0,5.0,42.0,23185.0,12947.0,84.0,731.0,ef1a8dd7-8708-4b0d-87a5-2560df048a80,0xEAF56cF68C38281252E49b460c5a66925991475B,0x0000049f63ef0d60abe49fdd8bebfa5a68822222
91,L2Pass,App,Bridges,Optimism,https://optimistic.etherscan.io/address/0x222228060e7efbb1d78bb5d454581910e3922222,dapp_contract,metrics_available,640.0,584.0,6.0,18.0,64330.0,29313.0,238.0,476.0,f62ec95e-b0ff-4aa6-a255-8b706700dc36,0xEAF56cF68C38281252E49b460c5a66925991475B,0x222228060e7efbb1d78bb5d454581910e3922222
92,Lizard,App,Airdrop,Base,https://basescan.org/address/0xf17a42f18c3cf4e58d238e95dd60b4d148eeb47e,token_contract,metrics_available,844802.0,1198.0,22.0,76.0,863075.0,1398.0,14.0,78.0,4d172a4b-7c8e-40b6-84f6-475906c42d67,0x9A1d17c82b8FdD83aB3004bEd20C44d3b0131C0b,0xf17a42f18c3cf4e58d238e95dd60b4d148eeb47e
93,Merkl,App,Other Category,Optimism,https://optimistic.etherscan.io/address/0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,dapp_contract,metrics_available,40786.0,11756.0,399.0,3434.0,45126.0,12095.0,217.0,3462.0,76a5ab6c-a252-4c73-90c9-cff05b85a2b1,0x92caBFc81734bf827B037065076eF8C78AcBd12F,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae
94,Metronome,App,Lending,Optimism,https://optimistic.etherscan.io/address/0xe01df4ac1e1e57266900e62c37f12c986495a618,trace_contract,metrics_available,4.0,3.0,0.0,0.0,70.0,24.0,0.0,0.0,76e7ae2e-7aa9-4d6b-832a-6a838772da18,0x37A6156e4a6E8B60b2415AF040546cF5e91699bd,0xe01df4ac1e1e57266900e62c37f12c986495a618
95,Moonwell,App,Lending,Base,https://basescan.org/address/0xe9005b078701e2a0948d2eac43010d35870ad9d2,dapp_contract,metrics_available,39.0,1.0,0.0,0.0,131.0,1.0,0.0,0.0,90db12ec-ba0c-4d85-a2d0-4c207ddc2092,0x4ECfFE726461504516B6B0A93Ab1CE33793E878B,0xe9005b078701e2a0948d2eac43010d35870ad9d2
96,Moshicam,App,Other Media NFTs,Base,https://basescan.org/address/0xaceb0de9f3efab3c50bf4dc6b14706f119e39dd8,dapp_contract,metrics_available,12926.0,2.0,0.0,0.0,12926.0,2.0,0.0,0.0,ad694136-109e-4227-a214-1329f099aff0,0x4Dd958cA0455BFb231770cD06898894b4c974671,0xaceb0de9f3efab3c50bf4dc6b14706f119e39dd8
97,motoDEX,App,Gaming,Base,https://basescan.org/address/0x1c050ea3673fad2ac2f8559c81f2cd23a9ec195e,dapp_contract,metrics_available,272.0,139.0,1.0,3.0,293.0,155.0,0.0,11.0,8dcfac3e-f424-4589-9f63-ac08d3783d0a,0x963D564CA6377Ee5581eE6204A13184bb887bfc8,0x1c050ea3673fad2ac2f8559c81f2cd23a9ec195e
98,Namespace - ENS Subname Sorcery,App,Frames,Base,https://basescan.org/address/0x62e5271bc935e25f6e6e48d3c8b8b88b2d483985,dapp_contract,metrics_available,1683.0,143.0,1.0,117.0,1683.0,143.0,0.0,117.0,45ca2132-cb78-4e41-aca2-61f2fe8c71c1,0x035eBd096AFa6b98372494C7f08f3402324117D3,0x62e5271bc935e25f6e6e48d3c8b8b88b2d483985
99,NFTarot,App,Other Media NFTs,Base,https://basescan.org/address/0x67d7e7bcc964de5bef0951eb818e3a9a136312b5,dapp_contract,metrics_available,2150.0,1540.0,18.0,642.0,2150.0,1540.0,9.0,642.0,9b4e49fb-b436-41eb-8cf2-d66f53bab05a,0x1b9706227704F49e412ABC9da7Dd7D35aFa60c22,0x67d7e7bcc964de5bef0951eb818e3a9a136312b5
