date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Total Transferred,forecasted_Retained Daily Active Users,forecasted_DAA/MAA
2024-12-27,37272.460027504254,10742.636533169738,1645.115687115901,1.2663680779305912e+19,0.6274323384950862,0.13023920516113655
2024-12-28,22391.851079378957,22780.46926781635,2190.517956577579,1.2954957654529241e+19,0.6222825480472687,0.14058245245843326
2024-12-29,27137.472497175608,12431.936435619979,2789.5329404804475,8.016779531151754e+18,0.6813839057292789,0.2517379811073594
2024-12-30,27381.930162214132,8440.540421714975,2972.7612042868523,1.1383936640059503e+19,0.24188495109448863,0.13795754102885266
2024-12-31,29358.018758979866,19210.5359218238,1580.6076927328825,1.2524942012951249e+19,0.45882783636210794,0.19663680134358116
2025-01-01,31724.162465710033,19819.403909557343,2683.739895276329,7.023082117728141e+18,0.6273922544783379,0.15946337771733926
2025-01-02,47848.7715497637,14316.637637169038,1675.0833650075108,1.0891000029084944e+19,0.5056336254289509,0.15279740815598303
2025-01-03,28993.957960043215,11211.421740858721,1976.2041203384176,8.980251036213492e+18,0.4540005267378155,0.1400488151272224
2025-01-04,27540.391663156388,23364.517116731,3202.1758002930605,1.1339465716912433e+19,0.4069806173317133,0.12803950399080635
2025-01-05,23879.36638720576,11481.808570321991,2636.789544951832,1.649811281985256e+19,0.2853288715693295,0.18171574748885738
2025-01-06,30597.458446667508,13719.240984652055,1671.2013328020653,1.395389329779057e+19,0.454135011781613,0.16202162836386408
2025-01-07,42689.44338940579,16781.78217674888,2634.499539174031,8.712436287004994e+18,0.37013454207684754,0.14977221672408864
2025-01-08,32025.913281835506,8129.797714620371,2720.3149012359136,1.7729600976097282e+19,0.5140715923356085,0.09630709454640875
2025-01-09,26831.58444488122,15324.05582426337,2263.6044364579393,8.176052655825623e+18,0.6280938246375016,0.14979101818374568
2025-01-10,29631.339921287887,13658.603925617868,3167.9124844670173,9.30628072898293e+18,0.28638650627746415,0.07514115092753616
2025-01-11,27369.66765775022,23267.425915022617,1228.5415600208983,3.381953584927614e+18,0.3050766125197316,0.13114864847797741
2025-01-12,39574.281472668015,24310.15457436563,2953.8160682879425,8.943511995907727e+18,0.6598636301180785,0.08058711629022562
2025-01-13,14268.212569951622,16027.76666775855,2343.7160839941016,1.3941438051263832e+19,0.4520803379292361,0.1345995347950119
2025-01-14,26171.29772160849,8034.830958278831,2027.1885645817715,1.296033108593007e+19,0.5397597190758134,0.12477438911583587
2025-01-15,31150.135530673288,29562.70181500898,2867.499117733808,1.7906508480228186e+19,0.10143506192726592,0.13760504679340518
2025-01-16,30044.24318459977,19476.359288196265,2684.8209244801096,1.103360788756775e+19,0.4593637290296535,0.17285221133081521
2025-01-17,29435.970331073342,25534.16315799528,2119.0591628429465,1.132879015679162e+19,0.45519029974695724,0.1478982726664477
