uuid,charmverseId,agoraProjectRefUID,id,recipient,time,name,status,profile_name,profile_url,metadata_name,metadata_website,project_type,category,address_type,address,chain_id,chain,flag_multiple_projects_same_profile,flag_creator_no_address,flag_app_missing_contract,flag_channel_no_channel,flag_charmverse_in_name,flag_creator_address_conflict,count_flags,has_flag
6c11bfcc-3f23-4e89-a564-7be2c5da8fa8,6c11bfcc-3f23-4e89-a564-7be2c5da8fa8,0x1a51d6a52ab19af7d328f96c3e1ea12b602ac0eea5c733e1228a9b1231a542be,0x7039d5a1f8253d021fc6fb80535ed3fb3a1828bf87253047dbbc127e21c833f8,0x381CC779761212344f8400373a994d29E17522c6,1724769375,ANTIDOTE,pending,xtinct,https://warpcast.com/xtinct,ANTIDOTE,https://www.sound.xyz/djlethalskillz/antidote,Other Application,Other Media NFTs,N/A,,,,False,True,False,False,False,False,1,1
25a799d6-b838-4f5c-9e83-728eb2fd37d7,25a799d6-b838-4f5c-9e83-728eb2fd37d7,0x2767ec41c1e54899ff076bcbac58edc902cb5b0714a33b3d936806d488d629b6,0x36e6c33abb6c420cb074ce7f520ba29cdcb2091a30fa4fc2c739c59becb07a4d,0x8948F73A61dFa51fCED0cF146db9FCa799Dd7323,1725291915,arleyaustin,pending,arleyy,https://warpcast.com/arleyy,arleyaustin,https://charmverse.io,Other Application,Art Marketplace,N/A,,,,False,False,True,False,False,False,1,1
6fcf37f4-c34a-439b-86b6-342ffd9b7e78,6fcf37f4-c34a-439b-86b6-342ffd9b7e78,0x1ddc107f00294f7feeb7b59703f8d0da290ccb607b273d7062381571dc84fd50,0x5122156ce0d6ac8c07d2a4b1d0d9090b70d4d0808dd8dfbb77f73ea4f1d2956a,0x0000000000000000000000000000000000000000,1724849899,Arrasartistic nft gallery ,pending,kawz,https://warpcast.com/kawz,Arrasartistic nft gallery ,https://linktr.ee/arrasartistic,Other Application,Art NFTs,N/A,,,,True,True,False,False,False,False,2,1
1827c204-69ed-49ef-9393-d45811c38f57,1827c204-69ed-49ef-9393-d45811c38f57,0x38ce2953ec29a09aa4f73d480b330ac048087861b15c8ffac8cf8ee679c4049e,0x804d1e18264ccd06afed8e83c2fb03de857a40bc5aa2e1a144ad79914e2044af,0x9aDdd91874B08F6856bF6b4A2263665d2Bc0d933,1727516715,Artists Spotlight sessions,pending,bfg,https://warpcast.com/bfg,Artists Spotlight sessions,https://zora.co/collect/base:0x6c6fe6cbf843d137a532e2277f12767222863cb1,Creator,Channels,mintingWallet,0xa2746b2a56f9886925c03af1d1e10b8b3dfbbe29,,All Superchain,False,False,False,True,False,False,1,1
a61e5dc9-797b-4dbf-ad7d-15f39a13534f,a61e5dc9-797b-4dbf-ad7d-15f39a13534f,,0xaaac0003272178a76612904733e8a347217732fb05459b8faf354822456b1c8b,0x8Df4e551cC464492eF7858256e57A57006D338e5,1724766075,Art,pending,0xethl2,https://warpcast.com/0xethl2,Art,https://opensea.io/0x8Df4e551cC464492eF7858256e57A57006D338e5,Other Application,Art Marketplace,N/A,,,,False,False,True,False,False,False,1,1
3fc382c6-969e-4687-9efb-2cb0d40a878b,3fc382c6-969e-4687-9efb-2cb0d40a878b,0xb266fe21b013c45810517838810107675ff87a4ff0e940b135f22c1871ae11ca,0xffd2d7d05731c7cd4bc0d00910d4d61407fecff175a0e20b9979ca76929217de,0x371d7A5CaFe96FA1A213790259e562932eb9a284,1724767161,ART OF PSPTA,pending,pspta.eth,https://warpcast.com/pspta.eth,ART OF PSPTA,https://psptaonfarcaster.blogspot.com/,Other Application,Other Category,N/A,,,,False,False,True,False,False,False,1,1
02903009-c35e-4641-819c-1a4e94929865,02903009-c35e-4641-819c-1a4e94929865,,0xea6572b5c6ff5c041ead0fa5041b13f0fa256c0bd5858d9e5e63ebe452422bba,0xc17547cAc2e3275B95730c3Ca385aC47a6698C02,1724764577,Art Residency BosqueGracis,pending,bosquegracias,https://warpcast.com/bosquegracias,Art Residency BosqueGracis,https://bosqueartresidency.tumblr.com/,Other Application,Community & Curation,N/A,,,,False,True,False,False,False,False,1,1
17454c9a-b55d-424d-ada4-1ca2de525b6d,17454c9a-b55d-424d-ada4-1ca2de525b6d,0xe639e437c36fc77d631be3ea6b60386a3b89878a88dd980c8f3a6534af0e46e1,0xdd152a1a68099df30018bdf6c2ae3b65f47f4ab593587be1b7df01d9463e4258,0x54E56f95807738A1eAbA0177177b03cb4b88191F,1724724691,AstraDeFi,pending,sachingurjar.eth,https://warpcast.com/sachingurjar.eth,AstraDeFi,https://astradefi.vercel.app/,Other Application,Staking,N/A,,,,False,False,True,False,False,False,1,1
7811ed47-1b24-4a2f-a1a0-e6ecbe3b2fc1,7811ed47-1b24-4a2f-a1a0-e6ecbe3b2fc1,0x1311a5b6d12ed39e1c593e85f0e41b216174659369d9509b215e02214ae7ab69,0xa85320481c583a40106ed58cc0ea07c1facbbd8c53681da86160531d02b16d31,0xB68B3e0BfA96fd90c1D889e6F8F519FE14666814,1724724023,Athena,pending,athena99,https://warpcast.com/athena99,Athena,https://x.com/ShardsOfficial/status/1825817969278194049,Other Application,Airdrop,N/A,,,,False,False,True,False,False,False,1,1
a452f594-025d-4391-9879-4f8127c990b0,a452f594-025d-4391-9879-4f8127c990b0,0xde43adeead861fb9ec0aaab85cfd2e72c25d9c549d0751a35a59f0f354553506,0x2965d4f5a5ffbb2604eb322ec815ee4090cd6ed520a0b5f33ba8d96ea1412185,0x58085DdC6050825495060735B8a41999150879E2,1725276035,atlas,pending,jemboods.eth,https://warpcast.com/jemboods.eth,atlas,https://atlascasts.com,Other Application,Channels,N/A,,,,False,False,False,True,False,False,1,1
2ad69147-403b-4ebe-a23c-17c0e6d7e5c7,2ad69147-403b-4ebe-a23c-17c0e6d7e5c7,0x7bb526093d456f0b639de487714bc4f6c1c1407da9da8dd49f6c859cc9a97f4e,0x7dae8760f0d7a1b7e945047501ef777241c914d1d5a942f9ffb3e3eec1952f4d,0xbAcC138C9575699b187420F4796dF35df0851163,1724833405,!attack north🏴‍☠️🐌,pending,shmoobliher,https://warpcast.com/shmoobliher,!attack north🏴‍☠️🐌,https://warpcast.com/~/channel/farcastles,Creator,Gaming,mintingWallet,0xbacc138c9575699b187420f4796df35df0851163,,All Superchain,False,False,True,False,False,False,1,1
8de485fb-2822-4eac-b6e1-a064604317d1,8de485fb-2822-4eac-b6e1-a064604317d1,,0xdf5cbcfa0d94e9ba9b42d1172103778189cd7c2e0d04c493b4c97a3dd5cc8584,0x704CF202792341d79A9Fd6DD97046aa7eF3F4319,1724895515,Automod,approved,jtgi,https://warpcast.com/jtgi,Automod,https://automod.sh,App,Channels,contract,0x704cf202792341d79a9fd6dd97046aa7ef3f4319,8453.0,Base,False,False,False,True,False,False,1,1
b5dc7047-293e-4381-a296-9a121c7b6b74,b5dc7047-293e-4381-a296-9a121c7b6b74,0x8adf19e73231bc2dc1a231996eb2519fc1ba58471fe789ef3182508d62afde86,0x4005063f2201bc9483308c00acae7e0b3c5f8e599b033a96d6e00f249aa4455a,0x3Be81802f0875Ca7e76577B97a087637d87C3EEe,1724926857,Awesome-Farcaster-Dev,pending,chrisdom,https://warpcast.com/chrisdom,Awesome-Farcaster-Dev,https://github.com/FTCHD/awesome-farcaster-dev,Other Application,Channels,N/A,,,,False,False,False,True,False,False,1,1
