,uuid,recipient,project_type,category,address,chain
35,b21440f2-f4e8-4eb1-87d1-04323317abc2,0x08E0a3E752D1338c0F02b986B9504f1009a962ca,Creator,Art NFTs,0x08e0a3e752d1338c0f02b986b9504f1009a962ca,Zora
36,5880ec5b-6180-423d-97d7-0457ab05c429,0x85F15D0E945D96Cf43a9156BC6ff63f8821b904a,Creator,Art NFTs,0x85f15d0e945d96cf43a9156bc6ff63f8821b904a,Base
37,5880ec5b-6180-423d-97d7-0457ab05c429,0x85F15D0E945D96Cf43a9156BC6ff63f8821b904a,Creator,Art NFTs,0x85f15d0e945d96cf43a9156bc6ff63f8821b904a,Optimism
38,5880ec5b-6180-423d-97d7-0457ab05c429,0x85F15D0E945D96Cf43a9156BC6ff63f8821b904a,Creator,Art NFTs,0x85f15d0e945d96cf43a9156bc6ff63f8821b904a,Zora
39,f82b5f57-be2a-479e-a068-e2bff7351db8,0x05F5EB1f02aCB65dF6A2f0f6D7Ba36490eE2D693,Creator,Art NFTs,0x6fb53031e2b3d7d4d6f7fad6d69952f87477bc82,Base
40,f82b5f57-be2a-479e-a068-e2bff7351db8,0x05F5EB1f02aCB65dF6A2f0f6D7Ba36490eE2D693,Creator,Art NFTs,0x6fb53031e2b3d7d4d6f7fad6d69952f87477bc82,Optimism
41,f82b5f57-be2a-479e-a068-e2bff7351db8,0x05F5EB1f02aCB65dF6A2f0f6D7Ba36490eE2D693,Creator,Art NFTs,0x6fb53031e2b3d7d4d6f7fad6d69952f87477bc82,Zora
42,18f80718-61ca-4bb5-a684-275c2c05e600,0xcbc7d0Ff51D37b60ba741bF566496BBa53b5eea2,Creator,Art NFTs,0xcbc7d0ff51d37b60ba741bf566496bba53b5eea2,Base
43,18f80718-61ca-4bb5-a684-275c2c05e600,0xcbc7d0Ff51D37b60ba741bF566496BBa53b5eea2,Creator,Art NFTs,0xcbc7d0ff51d37b60ba741bf566496bba53b5eea2,Optimism
44,18f80718-61ca-4bb5-a684-275c2c05e600,0xcbc7d0Ff51D37b60ba741bF566496BBa53b5eea2,Creator,Art NFTs,0xcbc7d0ff51d37b60ba741bf566496bba53b5eea2,Zora
45,6036754e-c263-4bbb-8580-6fc085b71748,0x8503B211aFF39b7c9d0AA8f22E12E74C6F5e3b2F,Creator,Art NFTs,0x230ae3b25b46a5b6dc60a4eed173e1abd6c24133,Base
46,6036754e-c263-4bbb-8580-6fc085b71748,0x8503B211aFF39b7c9d0AA8f22E12E74C6F5e3b2F,Creator,Art NFTs,0x230ae3b25b46a5b6dc60a4eed173e1abd6c24133,Optimism
47,6036754e-c263-4bbb-8580-6fc085b71748,0x8503B211aFF39b7c9d0AA8f22E12E74C6F5e3b2F,Creator,Art NFTs,0x230ae3b25b46a5b6dc60a4eed173e1abd6c24133,Zora
48,7c94c0d5-0fd7-4c17-9935-f4ba6a94b2af,0x9391546d6A2A73FC5F2FD61237De9F783c535570,Creator,Art NFTs,0x391102852da9bf9c7644dce39864f3edb2f9a162,Base
49,7c94c0d5-0fd7-4c17-9935-f4ba6a94b2af,0x9391546d6A2A73FC5F2FD61237De9F783c535570,Creator,Art NFTs,0x391102852da9bf9c7644dce39864f3edb2f9a162,Optimism
50,7c94c0d5-0fd7-4c17-9935-f4ba6a94b2af,0x9391546d6A2A73FC5F2FD61237De9F783c535570,Creator,Art NFTs,0x391102852da9bf9c7644dce39864f3edb2f9a162,Zora
51,7cd06486-3233-45f6-8820-17799cf7f439,0xb48cB3742868bFEfE0B29c1f298Dae0573E1C79c,Creator,Art NFTs,0xb48cb3742868bfefe0b29c1f298dae0573e1c79c,Base
52,7cd06486-3233-45f6-8820-17799cf7f439,0xb48cB3742868bFEfE0B29c1f298Dae0573E1C79c,Creator,Art NFTs,0xb48cb3742868bfefe0b29c1f298dae0573e1c79c,Optimism
53,7cd06486-3233-45f6-8820-17799cf7f439,0xb48cB3742868bFEfE0B29c1f298Dae0573E1C79c,Creator,Art NFTs,0xb48cb3742868bfefe0b29c1f298dae0573e1c79c,Zora
54,be0db3c4-1c4f-4dc2-9865-2903faba16b8,0x04715503034aE1DF07883A3Ad01aEa4e58c32D94,Creator,Other Media NFTs,0x68a375bf740163db10ef7c2f705fbab37b5cc6ea,Base
55,be0db3c4-1c4f-4dc2-9865-2903faba16b8,0x04715503034aE1DF07883A3Ad01aEa4e58c32D94,Creator,Other Media NFTs,0x68a375bf740163db10ef7c2f705fbab37b5cc6ea,Optimism
56,be0db3c4-1c4f-4dc2-9865-2903faba16b8,0x04715503034aE1DF07883A3Ad01aEa4e58c32D94,Creator,Other Media NFTs,0x68a375bf740163db10ef7c2f705fbab37b5cc6ea,Zora
