uuid,charmverseId,agoraProjectRefUID,id,recipient,time,name,status,profile_name,profile_url,metadata_name,metadata_website,project_type,category,address_type,address,chain_id,chain,flag_multiple_projects_same_profile,flag_creator_no_address,flag_app_missing_contract,flag_channel_no_channel,flag_charmverse_in_name,count_flags,has_flag
50a893f9-438b-4405-9ded-73762af7fdac,50a893f9-438b-4405-9ded-73762af7fdac,0x72e7abc03149e27c02784082810f6124cd91ac16ce1f9f92f81f8a6214575b22,0xc7cbaf7ba73aaae290c73aa9204e8790d560c6a2cbf42795c8eec99bc623cedf,0xa7d0898038973B151Cb532061A2Ea7c4F9c6eFff,1724768581,Nastaran.T,approved,nastaran-t,https://warpcast.com/nastaran-t,Nastaran.T,http://linktr.ee/nastaran.tp,Creator,Art Marketplace,mintingWallet,0xa7d0898038973b151cb532061a2ea7c4f9c6efff,,All Superchain,False,False,True,False,False,1,1
651fd500-20ef-4dda-928f-6f05174e4967,651fd500-20ef-4dda-928f-6f05174e4967,0x8a85f1ef9476919eceed9b7cb9b976b499fc1e92b876cebe9e41f9f84228c0ab,0x91becbd5f80597c2dbf3a884c9c0eac42376ebfdef783549f2f292143811cf73,0xd75cCA4D0CC46bf0D3A5dc9cC40d133d80A6F322,1724722619,Nouns Esports,approved,patyiutazza,https://warpcast.com/patyiutazza,Nouns Esports,https://nouns.gg/,Creator,Gaming,mintingWallet,0xa22e30ec47bf0a2005e11e81d9b08427bbca0b8b,,All Superchain,False,False,True,False,False,1,1
5edb5ec1-5b9e-4818-b680-e9ab8e8e4ad3,5edb5ec1-5b9e-4818-b680-e9ab8e8e4ad3,0x4265e9d9089227251308ab03c3b8c9d41994eb431ddbdfbd92da0cf43f538eb7,0x5350cb904d89fc978189aaa6f32da6798e3507cacf9c0028c7eb4d9ff8b93f64,0x3224cb90EBBA03054D0D1E4d5d8B7d4Aa78001B6,1724725707,Oasis Onchain,approved,stefdelev,https://warpcast.com/stefdelev,Oasis Onchain,www.oasisonchain.xyz,Other Application,Community & Curation,N/A,,,,False,False,True,False,False,1,1
ead2dc89-13ea-4e19-ad70-cacaedfdccc9,ead2dc89-13ea-4e19-ad70-cacaedfdccc9,0x126225c17846a74a105aa49449a2a57ca4d3fdfb77d3afdb25e57a7248bec58f,0x0168120212a472547e0eaf8364fbc7a9250840b9a19c9136ea6781f2da9dcfbe,0x8aaeF3C365f90318d15944587D1D3d842e16565A,1724722893,Onchain Metaverse Adventures,approved,0xzara.eth,https://warpcast.com/0xzara.eth,Onchain Metaverse Adventures,https://x.com/0xZaraArt/status/1766938341197693062,Creator,Community & Curation,mintingWallet,0x8aaef3c365f90318d15944587d1d3d842e16565a,,All Superchain,False,False,True,False,False,1,1
1ac1875b-dc3a-4de5-b682-af914d45b61a,1ac1875b-dc3a-4de5-b682-af914d45b61a,0x499e379cf09368d388e77a87817479400df4424b8fa34edcf6e981ddbdfee333,0x35b52843e73f2bf8c5720e509985d2bb386807ce7ccb90b75adfa71d43f88780,0x9A84D7cD1Ce11F2f52EE7417B43c6dbc1F7aC4F1,1724723681,"Onchainomics Essay #2 'Bridging Onchainomics with Decentralised Social: a Social Platform, or an Emerging Re-globalisation Society'",approved,183aaros.eth,https://warpcast.com/183aaros.eth,"Onchainomics Essay #2 'Bridging Onchainomics with Decentralised Social: a Social Platform, or an Emerging Re-globalisation Society'",https://onchainomics.xyz,Creator,Other Media NFTs,N/A,,,,False,True,False,False,False,1,1
c843cf76-c9d6-443d-b153-64d6df747a0e,c843cf76-c9d6-443d-b153-64d6df747a0e,0x907c5277a82e3bbbd72a03b512d78574957c0031e83052be40ccf04db4d9f714,0xf2700cac38574a7df47d446bbed80493d534e5d9c4ae4dee92e13aeff6862e83,0x0000000000000000000000000000000000000000,1725368355,Optimism: the Superchain,approved,kawz,https://warpcast.com/kawz,wenaltszn AI Music Contest,https://suno.com/song/76761f0e-4e82-4b8d-96d8-4592eff3c862,Other Application,Other Category,N/A,,,,True,False,True,False,False,2,1
0c54a252-8896-4feb-a1a4-0935bf9d2e8d,0c54a252-8896-4feb-a1a4-0935bf9d2e8d,,0x790d1dc4acc978ed600c9ad45d4a0c4f86bdfffb3473168f2258cc630ef0a8a4,0x0000000000000000000000000000000000000000,1725730485,Owlto Finance,approved,kawz,https://warpcast.com/kawz,Owlto Finance,https://owlto.finance,App,Bridges,contract,0x3f0f0e6411f859da1a1bbf8bd6217ca93820bb98,1135.0,Lisk,True,False,False,False,False,1,1
13b449e9-24cc-4ee8-839a-fd84fd002ed4,13b449e9-24cc-4ee8-839a-fd84fd002ed4,,0x8c724e0da2faa05665be48ccc05d1f814742d93e8f287d8d90271d049c44606f,0x0000000000000000000000000000000000000000,1725730261,Owlto Finance,approved,kawz,https://warpcast.com/kawz,Owlto Finance,https://owlto.finance,App,Bridges,contract,0xc626845bf4e6a5802ef774da0b3dfc6707f015f7,7777777.0,Zora,True,False,False,False,False,1,1
388c66d6-366c-4656-8770-1aa8b6a78fca,388c66d6-366c-4656-8770-1aa8b6a78fca,,0xd855e5b06a1a03a5cc4d3e75dcce7c1efb5e7f8f8c453badedc7de335fd83db2,0x0000000000000000000000000000000000000000,1725730621,Owlto Finance,approved,kawz,https://warpcast.com/kawz,Owlto Finance,https://owlto.finance,App,Bridges,contract,0xc626845bf4e6a5802ef774da0b3dfc6707f015f7,2522.0,All Superchain,True,False,False,False,False,1,1
66e5f027-63a1-4880-953d-89000b9050f3,66e5f027-63a1-4880-953d-89000b9050f3,,0xf0aaeef07e6674aa6edb6d9b0caa7e9386ebf7576b9656b6e795674ede4b0d52,0x0000000000000000000000000000000000000000,1725730801,Owlto Finance,approved,kawz,https://warpcast.com/kawz,Owlto Finance,https://owlto.finance,App,Bridges,contract,0xc626845bf4e6a5802ef774da0b3dfc6707f015f7,6080.0,All Superchain,True,False,False,False,False,1,1
