slug,# GitHub Repos,Date First Commit,Total Contributors,Contributors Last 6 Months,# Arb Deployers,# Arb Contracts,Date First Txn,total_onchain_users,total_txns,total_txn_fees_eth
zerodao-finance,11,2021-05-15 22:50:42.000000 UTC,11,1,0,0,,0,,
arrakis-finance,13,2022-03-01 20:41:53.000000 UTC,6,2,0,2,2022-11-05 00:00:00.000000 UTC,10,27.0,3.9667284000000006e-11
stackup,9,2022-10-11 05:53:04.000000 UTC,3,2,0,0,,0,,
acrypto-s,7,2020-12-07 04:41:13.000000 UTC,7,2,0,0,,0,,
neptune-mutual-blue,13,2022-02-13 16:37:24.000000 UTC,3,2,0,0,,0,,
unlimitednetwork,1,,0,0,0,0,,0,,
vesta-protocol,0,,0,0,0,24,2022-01-28 00:00:00.000000 UTC,135936,617900.0,4.0031410569199985e-07
spindl-xyz,2,2023-09-20 22:32:53.000000 UTC,1,1,0,0,,0,,
alpsfinance,5,2021-12-11 09:06:50.000000 UTC,3,0,0,0,,0,,
rabbithole,4,2023-01-11 20:13:51.000000 UTC,11,9,0,1,2023-06-23 00:00:00.000000 UTC,5,264.0,2.3119182600000009e-10
hundred-finance,13,2021-03-17 07:37:38.000000 UTC,4,0,0,1,2021-09-23 00:00:00.000000 UTC,2158,8834.0,5.770331697999996e-09
arbswap-official,2,2022-07-07 01:30:58.000000 UTC,2,0,0,11,2021-12-09 00:00:00.000000 UTC,133836,316436.0,2.7010072740900014e-07
jojoexchange,3,2022-06-30 05:14:51.000000 UTC,3,1,0,7,2023-03-27 00:00:00.000000 UTC,113,23275.0,5.7289130621000021e-08
openocean-finance,18,2021-03-01 01:57:41.000000 UTC,6,2,0,1,2022-12-13 00:00:00.000000 UTC,25,102.0,5.6317461999999995e-11
anima-protocol,5,2022-04-11 15:55:05.000000 UTC,3,1,0,0,,0,,
white-hat-dao,7,2022-02-14 17:46:36.000000 UTC,2,1,0,0,,0,,
yieldyak,8,2021-03-13 10:17:10.000000 UTC,4,3,0,0,,0,,
templedao,10,2022-02-01 17:07:34.000000 UTC,16,5,0,0,,0,,
dethcrypto,11,2017-09-02 16:53:08.000000 UTC,7,1,0,0,,0,,
superfluid,31,2020-09-28 12:07:32.000000 UTC,26,19,0,0,,0,,
aboard-exchange,3,2021-12-12 06:51:39.000000 UTC,2,0,0,0,,0,,
chromatic-protocol,13,2023-06-02 06:20:35.000000 UTC,8,7,0,0,,0,,
kromatika-finance,5,2021-11-01 16:49:51.000000 UTC,7,4,0,2,2022-02-28 00:00:00.000000 UTC,1679,6945.0,8.5157129349999947e-09
overnight,8,2022-01-05 08:28:41.000000 UTC,8,5,0,2,2023-02-21 00:00:00.000000 UTC,4735,30078.0,2.8008034048000046e-08
galxe,10,2021-09-15 06:20:05.000000 UTC,15,5,0,0,,0,,
artblocks,20,2021-03-05 04:04:17.000000 UTC,19,9,0,0,,0,,
jones-dao,3,2022-02-12 08:01:43.000000 UTC,5,2,0,15,2022-01-23 00:00:00.000000 UTC,59913,165900.0,7.4293493910000017e-08
zigzagexchange,14,2021-09-17 04:23:48.000000 UTC,14,1,0,3,2022-09-01 00:00:00.000000 UTC,6432,107486.0,1.21568592518e-07
ezswap-labs,5,2023-03-06 08:33:01.000000 UTC,5,2,0,0,,0,,
yubiai,9,2021-09-18 21:46:22.000000 UTC,6,1,0,0,,0,,
wombat-exchange,7,2023-03-17 07:23:27.000000 UTC,9,8,0,17,2023-03-09 00:00:00.000000 UTC,3633,26551.0,3.3268889163000015e-08
clover-network,52,2020-09-25 09:00:03.000000 UTC,22,2,0,0,,0,,
mummy-finance,4,2022-12-13 07:03:29.000000 UTC,1,0,0,1,2023-06-01 00:00:00.000000 UTC,11808,56850.0,3.8184322963999995e-08
swellnetwork,8,2022-02-06 09:46:38.000000 UTC,7,2,0,0,,0,,
ensofinance,11,2021-12-11 00:03:26.000000 UTC,8,5,0,0,,0,,
metamask,226,2015-07-24 20:13:05.000000 UTC,176,121,0,2,2022-11-04 00:00:00.000000 UTC,475825,2650302.0,5.7206844786480039e-06
aragon,156,2016-12-16 19:30:49.000000 UTC,79,20,0,0,,0,,
router-protocol,32,2021-02-11 10:11:24.000000 UTC,20,10,0,1,2022-03-20 00:00:00.000000 UTC,1238,66326.0,6.2844772276000019e-08
tracer-protocol,24,2021-03-05 06:36:44.000000 UTC,17,0,0,10,2022-06-01 00:00:00.000000 UTC,5970,1302944.0,6.774347207700004e-07
aave,132,2019-02-15 14:10:11.000000 UTC,40,20,0,14,2022-03-11 00:00:00.000000 UTC,159597,2327450.0,1.7806461792640001e-06
mozaic-fi,2,2023-08-23 17:42:58.000000 UTC,1,1,0,0,,0,,
rodeofi,0,,0,0,0,8,2022-11-18 00:00:00.000000 UTC,3248,27144.0,3.4936887780999963e-08
risedle,20,2021-09-23 18:05:26.000000 UTC,5,0,0,0,,0,,
battledog-games,14,2023-05-13 13:13:51.000000 UTC,2,1,0,0,,0,,
yearn,125,2020-02-01 03:37:42.000000 UTC,58,16,0,0,,0,,
jarvis-network,9,2018-05-14 15:50:38.000000 UTC,4,1,0,0,,0,,
arb-id,2,2023-02-09 13:41:53.000000 UTC,2,0,0,17,2022-07-12 00:00:00.000000 UTC,206347,1114418.0,9.5832103196999963e-07
hop-protocol,25,2021-01-28 03:37:19.000000 UTC,7,6,0,7,2021-09-11 00:00:00.000000 UTC,211574,2346434.0,1.4715846199759997e-06
savvy-finance,4,2023-03-14 11:47:47.000000 UTC,3,3,0,31,2023-06-01 00:00:00.000000 UTC,7716,72412.0,5.734698061399996e-08
stargate-finance,3,2022-03-17 19:09:29.000000 UTC,4,1,0,12,2022-03-17 00:00:00.000000 UTC,2074327,22420360.0,2.4109365540249995e-05
connext,73,2019-03-25 21:24:44.000000 UTC,32,12,0,8,2021-10-04 00:00:00.000000 UTC,67582,395837.0,4.0719356255200008e-07
winrprotocol,2,2023-04-25 10:59:29.000000 UTC,2,0,0,15,2023-03-03 00:00:00.000000 UTC,20346,128568.0,8.8905940287000037e-08
eqbtech,1,2023-06-12 07:59:06.000000 UTC,1,1,0,5,2023-05-09 00:00:00.000000 UTC,1320,14999.0,1.6162386719e-08
mean-finance,30,2021-08-04 02:18:32.000000 UTC,11,8,0,2,2022-11-08 00:00:00.000000 UTC,28595,40910.0,4.6475060157000035e-08
safe-global,94,2017-07-06 17:37:21.000000 UTC,54,32,0,2,2021-09-03 00:00:00.000000 UTC,104327,501440.0,5.0975701647600023e-07
beethoven-x,36,2021-08-25 10:52:18.000000 UTC,10,4,0,13,2021-08-25 00:00:00.000000 UTC,270291,2517292.0,2.7042190123889959e-06
zeroex,12,2020-12-10 20:33:22.000000 UTC,6,0,1,1,2021-12-23 00:00:00.000000 UTC,266565,3066786.0,6.2462925784829974e-06
itsobvioustech,5,2022-09-26 13:54:49.000000 UTC,5,4,0,0,,0,,
dodoex,29,2020-07-29 17:05:30.000000 UTC,17,6,0,14,2021-08-30 00:00:00.000000 UTC,54785,438376.0,4.94120592928e-07
solv-finance,12,2021-07-28 04:51:33.000000 UTC,3,1,0,8,2023-04-25 00:00:00.000000 UTC,2196,13236.0,1.3008383326000002e-08
elk-finance,11,2021-03-10 23:25:42.000000 UTC,8,2,0,1,2022-04-30 00:00:00.000000 UTC,21217,29755.0,9.1680113340000051e-09
tornadocash,40,2019-07-17 21:26:50.000000 UTC,11,0,0,3,2021-09-03 00:00:00.000000 UTC,25826,31737.0,2.8700408209999982e-08
unsheth,2,2023-04-08 21:28:34.000000 UTC,2,0,0,2,2023-05-15 00:00:00.000000 UTC,6178,13490.0,9.712214047e-09
rubicon,26,2020-10-05 16:18:29.000000 UTC,8,5,0,2,2023-06-09 00:00:00.000000 UTC,216,5410.0,5.4415770560000026e-09
alt-research,46,2022-01-24 03:52:29.000000 UTC,19,9,0,0,,0,,
defi-llama,52,2020-11-14 00:55:56.000000 UTC,23,11,0,1,2022-09-17 00:00:00.000000 UTC,58,852.0,1.106987606e-09
lyra-finance,24,2021-06-14 06:41:16.000000 UTC,11,2,0,7,2023-01-12 00:00:00.000000 UTC,49,839.0,1.9286262549999993e-09
redstone-finance,76,2021-05-17 12:54:39.000000 UTC,17,8,0,0,,0,,
gitcoin,163,2017-07-10 10:53:30.000000 UTC,94,25,0,0,,0,,
range-protocol,17,2023-03-16 03:37:05.000000 UTC,2,2,0,5,2023-05-12 00:00:00.000000 UTC,1,84.0,1.0463924e-10
saddle-finance,19,2021-01-19 17:34:50.000000 UTC,15,2,0,17,2021-11-16 00:00:00.000000 UTC,2775,36632.0,2.3750102863999984e-08
rari,37,2020-09-17 17:43:50.000000 UTC,21,0,0,0,,0,,
synfutures,1,2023-06-02 08:44:31.000000 UTC,1,0,0,1,2021-08-20 00:00:00.000000 UTC,92,644.0,1.1261090800000006e-09
pinedefi,5,2022-01-29 17:53:13.000000 UTC,5,4,0,0,,0,,
olympus,40,2021-05-14 13:27:30.000000 UTC,36,6,0,0,,0,,
brokkrfinance,9,2022-03-29 15:45:13.000000 UTC,7,4,0,0,,0,,
chronicleprotocol,24,2021-10-05 15:09:42.000000 UTC,17,7,0,0,,0,,
dex-guru,14,2021-07-04 18:14:32.000000 UTC,10,8,0,0,,0,,
bhavish-finance,2,2022-12-20 11:06:57.000000 UTC,1,1,0,0,,0,,
witnet,46,2017-12-20 11:05:03.000000 UTC,23,6,0,0,,0,,
abacus,4,2022-02-10 15:32:19.000000 UTC,1,0,0,1,2023-11-03 00:00:00.000000 UTC,1674,2872.0,2.493692999999998e-09
zklinkprotocol,28,2021-09-02 14:40:53.000000 UTC,14,10,0,0,,0,,
livepeer,150,2017-03-08 15:55:37.000000 UTC,68,22,0,3,2022-02-11 00:00:00.000000 UTC,37919,184375.0,1.4864312816099995e-07
forta-network,26,2021-07-27 18:49:18.000000 UTC,24,14,0,0,,0,,
hedgey-finance,12,2021-11-16 14:52:53.000000 UTC,3,2,0,1,2023-10-31 00:00:00.000000 UTC,47,271.0,2.4216695099999995e-10
tellor-io,142,2019-03-19 12:52:50.000000 UTC,25,10,0,0,,0,,
123swapproject,8,2021-06-22 07:47:16.000000 UTC,2,0,0,0,,0,,
bitquery,45,2019-12-20 10:14:48.000000 UTC,19,13,0,0,,0,,
ramsesexchange,6,2023-03-31 21:41:30.000000 UTC,7,6,0,18,2023-02-27 00:00:00.000000 UTC,13675,332101.0,4.6087909630700019e-07
mangrovedao,18,2023-02-01 21:31:02.000000 UTC,13,13,0,0,,0,,
hats-finance,39,2021-06-21 09:27:48.000000 UTC,10,4,0,1,2023-03-06 00:00:00.000000 UTC,63,482.0,4.0891052400000011e-10
unlock-protocol,53,2018-07-24 15:03:07.000000 UTC,16,4,0,1,2022-07-11 00:00:00.000000 UTC,152,546.0,9.5093550200000034e-10
pickle-finance,20,2020-09-09 05:38:14.000000 UTC,17,1,0,0,,0,,
curve,68,2020-02-20 01:47:21.000000 UTC,17,13,0,13,2021-09-12 00:00:00.000000 UTC,65495,1298540.0,7.5020153285400051e-07
satsuma-xyz,5,2022-08-26 21:43:51.000000 UTC,8,1,0,0,,0,,
wido,11,2021-04-19 17:49:08.000000 UTC,7,4,0,2,2023-03-25 00:00:00.000000 UTC,1810,2820.0,5.492213113000005e-09
niftyswap,1,2019-07-12 19:08:24.000000 UTC,4,0,0,1,2022-06-17 00:00:00.000000 UTC,3,15.0,7.709471999999999e-12
openleveragedev,12,2021-08-05 08:20:42.000000 UTC,6,4,0,5,2023-02-10 00:00:00.000000 UTC,1115,13495.0,1.6704375545999988e-08
transit-finance,6,2021-06-28 07:16:46.000000 UTC,3,0,0,1,2022-11-02 00:00:00.000000 UTC,37930,409676.0,1.3005414478680002e-06
treasureproject,27,2021-10-15 01:21:59.000000 UTC,14,7,0,60,2021-10-06 00:00:00.000000 UTC,258216,9278690.0,1.0462073810396001e-05
ante-finance,3,2021-06-15 05:01:00.000000 UTC,7,1,0,0,,0,,
magpiexyz,8,2022-11-11 14:43:55.000000 UTC,7,4,0,1,2023-05-19 00:00:00.000000 UTC,5072,14240.0,3.1748813533999969e-08
openfort-xyz,17,2023-04-11 09:43:44.000000 UTC,5,5,0,0,,0,,
warden-swap,2,2021-03-17 05:21:09.000000 UTC,3,0,0,2,2021-09-02 00:00:00.000000 UTC,11783,23460.0,1.4251891900999991e-08
composablefi,65,2021-06-18 09:09:57.000000 UTC,63,17,0,0,,0,,
fluidity-money,9,2022-01-22 11:55:09.000000 UTC,13,4,0,0,,0,,
revert-finance,13,2022-02-14 09:21:07.000000 UTC,4,2,0,4,2022-07-21 00:00:00.000000 UTC,2487,57162.0,6.7252890926999963e-08
weavrdao,5,2021-07-21 15:11:12.000000 UTC,6,2,0,0,,0,,
showtime-xyz,14,2021-12-13 23:01:37.000000 UTC,13,7,0,0,,0,,
spheronfdn,44,2020-08-24 18:41:10.000000 UTC,17,8,0,0,,0,,
defiedge,5,2022-09-13 12:02:47.000000 UTC,3,1,0,4,2022-10-20 00:00:00.000000 UTC,177,355.0,2.230203966e-09
pimlicolabs,14,2023-03-02 00:04:50.000000 UTC,6,5,0,0,,0,,
lemma-finance,11,2022-09-16 09:59:09.000000 UTC,2,0,0,0,,0,,
dforce-network,26,2019-06-02 12:47:37.000000 UTC,11,2,0,0,,0,,
chocomintapp,5,2021-03-23 04:19:24.000000 UTC,4,0,0,0,,0,,
