project_id,project_name,first_commit_date,last_commit_date,repos,stars,forks,contributors,contributors_6_months,new_contributors_6_months,avg_fulltime_devs_6_months,avg_active_devs_6_months,commits_6_months,issues_opened_6_months,issues_closed_6_months,pull_requests_opened_6_months,pull_requests_merged_6_months,project_id_1,num_contracts,first_txn_date,total_txns,total_l2_gas,total_users,txns_6_months,l2_gas_6_months,users_6_months,new_user_count,active_users,high_frequency_users,more_active_users,less_active_users,multi_project_users
W1Y0YdIHScazGk_CfHebBjnKTvksjvzTHI2Spt8JrBM=,GoodEntry,2023-04-26 07:07:35.000000 UTC,2023-12-28 04:44:50.000000 UTC,3.0,16.0,13.0,2.0,2.0,0.0,0.1666666666666666,0.8333333333333333,56.0,,,4.0,4.0,W1Y0YdIHScazGk_CfHebBjnKTvksjvzTHI2Spt8JrBM=,28.0,2023-05-01,16739.0,45686980352.0,5019.0,13971.0,32770614841.0,4841.0,2968.0,4329.0,0.0,54.0,4275.0,3571.0
qRyqCommUGZNbYkbV9w2ahq18XkMFhNEGt2wjU4s5no=,Jones DAO,2022-02-12 08:01:43.000000 UTC,2023-12-14 13:17:02.000000 UTC,3.0,0.0,0.0,5.0,2.0,1.0,0.0,0.3333333333333333,22.0,,,3.0,3.0,qRyqCommUGZNbYkbV9w2ahq18XkMFhNEGt2wjU4s5no=,68.0,2022-01-01,220229.0,283418012273.0,72179.0,39789.0,75715026132.0,14075.0,4947.0,7127.0,0.0,349.0,6778.0,5363.0
CJakpGMh0AAU4wDPTDnHbnWDECXJ5Sr1cAzQGTga7qY=,primex-finance,2023-10-18 12:09:40.000000 UTC,2024-01-11 08:14:18.000000 UTC,3.0,8.0,0.0,3.0,3.0,3.0,0.5,1.1666666666666667,264.0,,,9.0,10.0,CJakpGMh0AAU4wDPTDnHbnWDECXJ5Sr1cAzQGTga7qY=,22.0,2023-11-01,11778.0,22978108406.0,1086.0,11778.0,22978108406.0,1086.0,1050.0,1070.0,0.0,434.0,636.0,1017.0
oU3gL_l9kM9dSmdxwBXf7S3uIadidxMDJn58f1_etMo=,XY Finance,2022-07-07 06:52:55.000000 UTC,2024-02-27 04:48:13.000000 UTC,3.0,10.0,5.0,5.0,3.0,1.0,0.1666666666666666,0.6666666666666666,117.0,,,1.0,1.0,oU3gL_l9kM9dSmdxwBXf7S3uIadidxMDJn58f1_etMo=,15.0,2022-09-01,170162.0,259230625452.0,63722.0,92830.0,162016839282.0,35766.0,7813.0,9022.0,6.0,38.0,8978.0,5298.0
JTZuP9Whvro-2Ym1UOlOSVaK_g0iBR4g9p_oln_Bue4=,Pulsar Finance,2022-02-14 11:44:11.000000 UTC,2024-02-16 11:40:52.000000 UTC,3.0,25.0,9.0,5.0,3.0,1.0,0.0,1.3333333333333333,25.0,,,1.0,,JTZuP9Whvro-2Ym1UOlOSVaK_g0iBR4g9p_oln_Bue4=,9.0,,,,,,,,,,,,,
jKtrX2PruKd0nr2nElWzSsxXTihN1taPQCYi-BX5J0Q=,Ramses,2023-03-31 21:41:30.000000 UTC,2024-02-23 20:55:12.000000 UTC,3.0,0.0,2.0,8.0,7.0,5.0,0.6666666666666666,2.8333333333333335,167.0,,,5.0,5.0,jKtrX2PruKd0nr2nElWzSsxXTihN1taPQCYi-BX5J0Q=,42.0,2023-02-01,366268.0,519207839508.0,14105.0,158916.0,236641747210.0,5156.0,1853.0,3737.0,7.0,1170.0,2560.0,3031.0
KoV2XkNegMDELrh1_7D3_OBlAW3M_ATE1w4GQ7hrWcQ=,OuterbridgeIO,2022-06-12 12:35:53.000000 UTC,2023-04-11 20:49:01.000000 UTC,4.0,156.0,58.0,14.0,0.0,0.0,0.0,0.0,,,,,,KoV2XkNegMDELrh1_7D3_OBlAW3M_ATE1w4GQ7hrWcQ=,6.0,,,,,,,,,,,,,
65K5d_X8UBsg8X13VCbM5UlZESHbJQzjYw6HYkXHXvo=,WardenSwap,2021-03-17 05:21:09.000000 UTC,2021-05-09 14:24:52.000000 UTC,4.0,58.0,37.0,4.0,0.0,0.0,0.0,0.0,,,,,,65K5d_X8UBsg8X13VCbM5UlZESHbJQzjYw6HYkXHXvo=,51.0,2021-09-01,23491.0,14291564545.0,11785.0,380.0,374921255.0,154.0,18.0,64.0,0.0,2.0,62.0,55.0
z0Em-Re4aQ0CskkqM7CxTKJvGC7yF_PmI-kdAAud9C8=,Reveel,2022-10-11 17:38:17.000000 UTC,2023-12-05 20:27:17.000000 UTC,4.0,15.0,4.0,3.0,1.0,0.0,0.0,0.1666666666666666,20.0,,,1.0,1.0,z0Em-Re4aQ0CskkqM7CxTKJvGC7yF_PmI-kdAAud9C8=,5.0,,,,,,,,,,,,,
BMuXETmzwOvleB4ZUu2N6Uh13a44oR8A8mzNT80p71Y=,JOJO Exchange,2022-06-30 05:14:51.000000 UTC,2024-02-26 07:35:01.000000 UTC,4.0,18.0,23.0,3.0,1.0,0.0,0.3333333333333333,0.6666666666666666,101.0,,,,,BMuXETmzwOvleB4ZUu2N6Uh13a44oR8A8mzNT80p71Y=,17.0,2023-03-01,24595.0,59742620842.0,117.0,13161.0,28345067408.0,103.0,46.0,70.0,1.0,29.0,40.0,51.0
ltRGzqGUqyLO-S_NeYsD-wEMDI5LfMeGsHw3M4xI_H4=,Pulsar Protocol,2022-04-22 08:08:50.000000 UTC,2024-02-17 06:44:12.000000 UTC,4.0,2.0,0.0,2.0,1.0,0.0,0.0,0.1666666666666666,1.0,,,,,ltRGzqGUqyLO-S_NeYsD-wEMDI5LfMeGsHw3M4xI_H4=,22.0,,,,,,,,,,,,,
Z0T9wEXp-hHZkb1E0oyX_0NovbDNRt1V6J4D5KxFKf8=,Propy,2018-07-19 10:37:41.000000 UTC,2024-02-22 11:56:26.000000 UTC,4.0,32.0,18.0,4.0,1.0,1.0,0.5,0.6666666666666666,239.0,,,151.0,154.0,Z0T9wEXp-hHZkb1E0oyX_0NovbDNRt1V6J4D5KxFKf8=,11.0,,,,,,,,,,,,,
8u3_K9NRvf6vvbl5fEzcpKqG1wV3v-E9KW5_2NDc_L4=,Cora Protocol,2022-06-06 11:34:35.000000 UTC,2023-09-11 12:24:12.000000 UTC,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.1666666666666666,1.0,,,,,8u3_K9NRvf6vvbl5fEzcpKqG1wV3v-E9KW5_2NDc_L4=,4.0,,,,,,,,,,,,,
EKh6Q9-cn86l_vM4XSXwT-C7S_4rRUVHKC4v2vtbDj0=,iCat Game,2023-05-27 05:30:13.000000 UTC,2024-01-16 02:37:22.000000 UTC,4.0,3.0,2.0,2.0,1.0,0.0,0.1666666666666666,0.8333333333333333,50.0,,,,,EKh6Q9-cn86l_vM4XSXwT-C7S_4rRUVHKC4v2vtbDj0=,4.0,,,,,,,,,,,,,
PbQGxzWZJKeooMmTIHIXz0sAIIBt5den5mFUQ2MlBa0=,Tigris-Trade,2022-10-29 10:54:49.000000 UTC,2024-02-24 13:46:43.000000 UTC,4.0,3.0,2.0,2.0,2.0,0.0,0.3333333333333333,1.1666666666666667,79.0,,,,1.0,PbQGxzWZJKeooMmTIHIXz0sAIIBt5den5mFUQ2MlBa0=,34.0,2022-10-01,60442.0,61832638704.0,7461.0,19328.0,18070916314.0,2601.0,432.0,760.0,0.0,22.0,738.0,598.0
2c6WSYbsLym9oB6K5NeOZqFDU446l_vBTbc6PrRPK5U=,MUFEX,2023-05-04 04:57:38.000000 UTC,2024-02-20 05:25:56.000000 UTC,4.0,0.0,0.0,4.0,2.0,1.0,0.0,0.3333333333333333,15.0,,,,,2c6WSYbsLym9oB6K5NeOZqFDU446l_vBTbc6PrRPK5U=,4.0,,,,,,,,,,,,,
R2ZbjfTJE6Ht3t7mSWrKsGTiKYv7vgSRMdeS02oZBaM=,NiftyKit,2021-11-12 05:13:20.000000 UTC,2024-02-07 14:35:12.000000 UTC,4.0,19.0,17.0,4.0,2.0,0.0,0.3333333333333333,1.1666666666666667,63.0,,,17.0,15.0,R2ZbjfTJE6Ht3t7mSWrKsGTiKYv7vgSRMdeS02oZBaM=,140.0,2022-12-01,14699.0,9804136708.0,1185.0,424.0,1003877091.0,135.0,22.0,51.0,0.0,6.0,45.0,30.0
RqVUBinw3duaIfMSf1k8NTF64DNV5Ic9todEMGTRHR8=,Mirror,2021-02-03 23:04:16.000000 UTC,2023-11-07 21:44:18.000000 UTC,4.0,605.0,81.0,13.0,3.0,0.0,0.0,0.6666666666666666,6.0,,,8.0,6.0,RqVUBinw3duaIfMSf1k8NTF64DNV5Ic9todEMGTRHR8=,89.0,2022-02-01,16563.0,9089071515.0,1544.0,153.0,55747476.0,44.0,3.0,14.0,0.0,0.0,14.0,11.0
4EPwkS16GjiUHXZJ30CPf2c4JQF7VX3HaDSjUUFSUn8=,Safe Yields,2022-12-02 05:48:40.000000 UTC,2024-01-06 04:35:17.000000 UTC,4.0,1.0,1.0,4.0,3.0,2.0,0.1666666666666666,1.0,38.0,,,8.0,7.0,4EPwkS16GjiUHXZJ30CPf2c4JQF7VX3HaDSjUUFSUn8=,5.0,,,,,,,,,,,,,
tHa6Of5yN_WQu4S1vKhM38ty0pQMIJi_rTi4lC5WUFo=,Stella,2023-06-21 04:29:41.000000 UTC,2024-02-22 09:49:04.000000 UTC,4.0,0.0,1.0,3.0,3.0,1.0,0.0,1.5,51.0,,,,,tHa6Of5yN_WQu4S1vKhM38ty0pQMIJi_rTi4lC5WUFo=,28.0,2023-06-01,9441.0,7562835954.0,2853.0,8570.0,6977971380.0,2727.0,373.0,820.0,0.0,69.0,751.0,691.0
