slug,month,maus
equilibria-xyz,2023-02-01 00:00:00.000000 UTC,2405
hundred-finance,2023-04-01 00:00:00.000000 UTC,92
ragetrade,2023-10-01 00:00:00.000000 UTC,550
livepeer,2023-06-01 00:00:00.000000 UTC,765
vesta-protocol,2023-08-01 00:00:00.000000 UTC,1124
orbiter-finance,2022-08-01 00:00:00.000000 UTC,1354
shipyard-software,2023-11-01 00:00:00.000000 UTC,173
rango-exchange,2023-02-01 00:00:00.000000 UTC,978
yieldprotocol,2023-10-01 00:00:00.000000 UTC,1520
aura,2024-01-01 00:00:00.000000 UTC,580
rainbow,2023-03-01 00:00:00.000000 UTC,716
jones-dao,2023-07-01 00:00:00.000000 UTC,1083
elk-finance,2022-07-01 00:00:00.000000 UTC,103
guildxyz,2023-10-01 00:00:00.000000 UTC,694
umamidao,2023-08-01 00:00:00.000000 UTC,1230
omnisea,2023-12-01 00:00:00.000000 UTC,38
safe-global,2021-11-01 00:00:00.000000 UTC,103
layer-zero,2022-03-01 00:00:00.000000 UTC,6
nftearth,2023-07-01 00:00:00.000000 UTC,14
shipyard-software,2023-09-01 00:00:00.000000 UTC,153
omnisea,2023-10-01 00:00:00.000000 UTC,184
guildxyz,2023-12-01 00:00:00.000000 UTC,186
mindgames-io,2023-05-01 00:00:00.000000 UTC,238
tornadocash,2022-12-01 00:00:00.000000 UTC,203
shipyard-software,2023-07-01 00:00:00.000000 UTC,533
sperax,2023-11-01 00:00:00.000000 UTC,1111
qidao-mai-finance,2022-11-01 00:00:00.000000 UTC,192
rango-exchange,2023-01-01 00:00:00.000000 UTC,1126
guildxyz,2023-08-01 00:00:00.000000 UTC,1082
saddle-finance,2023-10-01 00:00:00.000000 UTC,28
tracer-protocol,2023-04-01 00:00:00.000000 UTC,109
qidao-mai-finance,2023-06-01 00:00:00.000000 UTC,1046
third-web,2023-09-01 00:00:00.000000 UTC,145
overnight,2023-11-01 00:00:00.000000 UTC,223
fuji-finance,2023-08-01 00:00:00.000000 UTC,85
open-sea,2023-11-01 00:00:00.000000 UTC,148
beamer-bridge,2023-05-01 00:00:00.000000 UTC,149
celer,2023-10-01 00:00:00.000000 UTC,237
yieldprotocol,2023-07-01 00:00:00.000000 UTC,1077
biconomy,2023-08-01 00:00:00.000000 UTC,181
symbiosis-finance,2023-12-01 00:00:00.000000 UTC,18
router-protocol,2022-10-01 00:00:00.000000 UTC,60
rainbow,2023-07-01 00:00:00.000000 UTC,231
aura,2023-10-01 00:00:00.000000 UTC,844
nftearth,2023-11-01 00:00:00.000000 UTC,43
mean-finance,2023-07-01 00:00:00.000000 UTC,530
elk-finance,2024-01-01 00:00:00.000000 UTC,181
beefy-finance,2023-02-01 00:00:00.000000 UTC,428
vendorfinance,2023-01-01 00:00:00.000000 UTC,76
beefy-finance,2022-06-01 00:00:00.000000 UTC,15
nftearth,2023-10-01 00:00:00.000000 UTC,66
hundred-finance,2021-11-01 00:00:00.000000 UTC,148
nftearth,2023-09-01 00:00:00.000000 UTC,74
orange-finance,2023-12-01 00:00:00.000000 UTC,40
revert-finance,2023-11-01 00:00:00.000000 UTC,216
goodentry-io,2023-07-01 00:00:00.000000 UTC,77
dolomite-exchange,2023-12-01 00:00:00.000000 UTC,279
abacus,2023-12-01 00:00:00.000000 UTC,480
timeswap-labs,2023-08-01 00:00:00.000000 UTC,550
abracadabra,2023-04-01 00:00:00.000000 UTC,234
tornadocash,2023-09-01 00:00:00.000000 UTC,403
router-protocol,2022-11-01 00:00:00.000000 UTC,54
sperax,2022-07-01 00:00:00.000000 UTC,286
1-inch,2022-09-01 00:00:00.000000 UTC,228
saddle-finance,2021-12-01 00:00:00.000000 UTC,198
hundred-finance,2022-08-01 00:00:00.000000 UTC,55
tornadocash,2022-10-01 00:00:00.000000 UTC,258
debridge-finance,2023-04-01 00:00:00.000000 UTC,337
yieldprotocol,2023-11-01 00:00:00.000000 UTC,517
lido,2022-11-01 00:00:00.000000 UTC,1237
x-dao,2023-03-01 00:00:00.000000 UTC,121
aperture-finance,2023-07-01 00:00:00.000000 UTC,41
qidao-mai-finance,2023-09-01 00:00:00.000000 UTC,768
nifty-kit,2023-01-01 00:00:00.000000 UTC,24
qidao-mai-finance,2022-07-01 00:00:00.000000 UTC,165
sablier,2022-06-01 00:00:00.000000 UTC,233
granary,2023-11-01 00:00:00.000000 UTC,116
