transaction_date,address,cnt,total_transferred,total_transferred_in_tokens,net_transferred,net_transferred_in_tokens
2024-09-26,0xbc404429558292ee2d769e57d57d6e74bbd2792d,2,0.0,0.0,0.0,0.0
2024-09-27,0xbc404429558292ee2d769e57d57d6e74bbd2792d,2,0.0,0.0,0.0,0.0
2024-09-29,0xbc404429558292ee2d769e57d57d6e74bbd2792d,3,0.0,0.0,0.0,0.0
2024-09-30,0xbc404429558292ee2d769e57d57d6e74bbd2792d,2,0.0,0.0,0.0,0.0
2024-10-01,0xbc404429558292ee2d769e57d57d6e74bbd2792d,3,0.0,0.0,0.0,0.0
2024-10-02,0xbc404429558292ee2d769e57d57d6e74bbd2792d,2,0.0,0.0,0.0,0.0
2024-10-03,0xbc404429558292ee2d769e57d57d6e74bbd2792d,15,0.0,0.0,0.0,0.0
2024-10-04,0xbc404429558292ee2d769e57d57d6e74bbd2792d,11,0.0,0.0,0.0,0.0
2024-10-05,0xbc404429558292ee2d769e57d57d6e74bbd2792d,3,0.0,0.0,0.0,0.0
2024-10-07,0xbc404429558292ee2d769e57d57d6e74bbd2792d,12,0.0,0.0,0.0,0.0
2024-10-08,0xbc404429558292ee2d769e57d57d6e74bbd2792d,22,0.0,0.0,0.0,0.0
2024-10-09,0xbc404429558292ee2d769e57d57d6e74bbd2792d,10,0.0,0.0,0.0,0.0
2024-10-10,0xbc404429558292ee2d769e57d57d6e74bbd2792d,11,0.0,0.0,0.0,0.0
2024-10-11,0xbc404429558292ee2d769e57d57d6e74bbd2792d,1,0.0,0.0,0.0,0.0
2024-10-12,0xbc404429558292ee2d769e57d57d6e74bbd2792d,1,0.0,0.0,0.0,0.0
2024-10-13,0xbc404429558292ee2d769e57d57d6e74bbd2792d,2,0.0,0.0,0.0,0.0
2024-10-14,0xbc404429558292ee2d769e57d57d6e74bbd2792d,2,0.0,0.0,0.0,0.0
2024-10-15,0xbc404429558292ee2d769e57d57d6e74bbd2792d,1,0.0,0.0,0.0,0.0
2024-10-16,0xbc404429558292ee2d769e57d57d6e74bbd2792d,6,0.0,0.0,0.0,0.0
2024-10-17,0xbc404429558292ee2d769e57d57d6e74bbd2792d,2,0.0,0.0,0.0,0.0
2024-10-18,0xbc404429558292ee2d769e57d57d6e74bbd2792d,5,0.0,0.0,0.0,0.0
2024-10-20,0xbc404429558292ee2d769e57d57d6e74bbd2792d,3,0.0,0.0,0.0,0.0
2024-10-22,0xbc404429558292ee2d769e57d57d6e74bbd2792d,2,0.0,0.0,0.0,0.0
2024-10-24,0xbc404429558292ee2d769e57d57d6e74bbd2792d,1,0.0,0.0,0.0,0.0
2024-10-25,0xbc404429558292ee2d769e57d57d6e74bbd2792d,2,0.0,0.0,0.0,0.0
2024-10-27,0xbc404429558292ee2d769e57d57d6e74bbd2792d,3,0.0,0.0,0.0,0.0
2024-10-28,0xbc404429558292ee2d769e57d57d6e74bbd2792d,3,0.0,0.0,0.0,0.0
2024-10-29,0xbc404429558292ee2d769e57d57d6e74bbd2792d,4,0.0,0.0,0.0,0.0
2024-10-31,0xbc404429558292ee2d769e57d57d6e74bbd2792d,5,0.0,0.0,0.0,0.0
2024-11-05,0xbc404429558292ee2d769e57d57d6e74bbd2792d,2,0.0,0.0,0.0,0.0
2024-11-06,0xbc404429558292ee2d769e57d57d6e74bbd2792d,1,0.0,0.0,0.0,0.0
2024-11-07,0xbc404429558292ee2d769e57d57d6e74bbd2792d,4,0.0,0.0,0.0,0.0
2024-11-08,0xbc404429558292ee2d769e57d57d6e74bbd2792d,3,0.0,0.0,0.0,0.0
2024-11-11,0xbc404429558292ee2d769e57d57d6e74bbd2792d,3,0.0,0.0,0.0,0.0
2024-11-13,0xbc404429558292ee2d769e57d57d6e74bbd2792d,1,0.0,0.0,0.0,0.0
2024-11-14,0xbc404429558292ee2d769e57d57d6e74bbd2792d,2,0.0,0.0,0.0,0.0
2024-11-15,0xbc404429558292ee2d769e57d57d6e74bbd2792d,3,0.0,0.0,0.0,0.0
2024-11-20,0xbc404429558292ee2d769e57d57d6e74bbd2792d,13,0.0,0.0,0.0,0.0
2024-11-21,0xbc404429558292ee2d769e57d57d6e74bbd2792d,5,0.0,0.0,0.0,0.0
2024-11-24,0xbc404429558292ee2d769e57d57d6e74bbd2792d,1,0.0,0.0,0.0,0.0
2024-11-26,0xbc404429558292ee2d769e57d57d6e74bbd2792d,1,0.0,0.0,0.0,0.0
2024-11-27,0xbc404429558292ee2d769e57d57d6e74bbd2792d,2,0.0,0.0,0.0,0.0
2024-11-28,0xbc404429558292ee2d769e57d57d6e74bbd2792d,1,0.0,0.0,0.0,0.0
2024-12-02,0xbc404429558292ee2d769e57d57d6e74bbd2792d,2,0.0,0.0,0.0,0.0
2024-12-04,0xbc404429558292ee2d769e57d57d6e74bbd2792d,4,0.0,0.0,0.0,0.0
