Project Name,Bio,Website,Base Evidence,Agora Link,West Link,OSO Page
CrossAngle (“Xangle”),CrossAngle is a data & intelligence platform offering gateway to Web3 adoption. ,https://xangle.io/en,Narrative,https://vote.optimism.io/retropgf/3/application/0xc769fbdc23daaddf4267c4026326106783271a78f1be761c859c9f508ebe895e,https://round3.optimism.io/projects/0xc769fbdc23daaddf4267c4026326106783271a78f1be761c859c9f508ebe895e,
DackieSwap,Native DEX and Launchpad on Base,https://dackieswap.xyz/,Narrative,https://vote.optimism.io/retropgf/3/application/0x97cacef9bf5fce74535c27a69bfd929cfe48b862253ce3fa53fe4dde4963a788,https://round3.optimism.io/projects/0x97cacef9bf5fce74535c27a69bfd929cfe48b862253ce3fa53fe4dde4963a788,
DappRadar,"DappRadar is the gateway for web3 dapps, data, and insights.",https://www.dappradar.com,Narrative,https://vote.optimism.io/retropgf/3/application/0xcab1256cd3698caa9028d2bd357d50587a5876530cc310b890051df99f626a76,https://round3.optimism.io/projects/0xcab1256cd3698caa9028d2bd357d50587a5876530cc310b890051df99f626a76,https://opensource.observer/project/dappradar
dm3 protocol.,We are a web3 messaging protocol built as a public good. ,https://dm3.network/,Narrative,https://vote.optimism.io/retropgf/3/application/0xa97288157a5dbd10e18e03c08b6434e4999a7741ec8f4b5e5d10d5638560e7a4,https://round3.optimism.io/projects/0xa97288157a5dbd10e18e03c08b6434e4999a7741ec8f4b5e5d10d5638560e7a4,https://opensource.observer/project/dm3-protocol
Endaoment,Endaoment is a 501(c)(3) nonprofit community foundation built entirely onchain.,https://endaoment.org/,Onchain,https://vote.optimism.io/retropgf/3/application/0xe04b509d073efc17c44e3dd988dbb46724a11836aff71575424bcc7a0ec91123,https://round3.optimism.io/projects/0xe04b509d073efc17c44e3dd988dbb46724a11836aff71575424bcc7a0ec91123,https://opensource.observer/project/endaoment
Equalizer,Liquidity and trading hub for Base,https://base.equalizer.exchange/,Narrative,https://vote.optimism.io/retropgf/3/application/0x3fefb03794a7df62a191bd6d771f6ccfa00a52b266b352a9d1d070b6b257bf44,https://round3.optimism.io/projects/0x3fefb03794a7df62a191bd6d771f6ccfa00a52b266b352a9d1d070b6b257bf44,
Frame,System-wide web3 Platform,https://frame.sh,Narrative,https://vote.optimism.io/retropgf/3/application/0xdb768783fabfa13b0755542de7af4cb1d4a0c3e0b52ba68069c5d06b3718b7d5,https://round3.optimism.io/projects/0xdb768783fabfa13b0755542de7af4cb1d4a0c3e0b52ba68069c5d06b3718b7d5,https://opensource.observer/project/frame-floating
Galxe,Galxe is the leading platform for building web3 communities.,https://galxe.com/,Onchain,https://vote.optimism.io/retropgf/3/application/0x198fe5e11670cd1195067815e48f7e696fe5e7bf43a1c15f9bbbdcd72442c319,https://round3.optimism.io/projects/0x198fe5e11670cd1195067815e48f7e696fe5e7bf43a1c15f9bbbdcd72442c319,https://opensource.observer/project/galxe
Golden Boys (GOLD),Golden Boys is a DeFi community of builders creating new products on Base.,https://humpysgold.eth.limo,Onchain,https://vote.optimism.io/retropgf/3/application/0x354f3199bd976ba1839b8d893b7fd0234e2c6f29ccbc38e66fefbadeb060642f,https://round3.optimism.io/projects/0x354f3199bd976ba1839b8d893b7fd0234e2c6f29ccbc38e66fefbadeb060642f,https://opensource.observer/project/humpysgold
Grappa Finance,An option protocol that focuses on composability and liquidation aggregation,https://github.com/grappafinance,Narrative,https://vote.optimism.io/retropgf/3/application/0x8950355a1dd8ddcbd9acc926563e980bc6df7b41358a6ba6fa58822f235baedb,https://round3.optimism.io/projects/0x8950355a1dd8ddcbd9acc926563e980bc6df7b41358a6ba6fa58822f235baedb,https://opensource.observer/project/grappafinance
Iggy Social - Web3 Social for DAOs,Open source Web3 Social tools for web3 communities. WordPress for Web3 Social.,https://iggy.social/,Onchain,https://vote.optimism.io/retropgf/3/application/0x7d3016ec843e04aa195883ac9287fb02b66f67ccbece89883463b9a0ae7f10f1,https://round3.optimism.io/projects/0x7d3016ec843e04aa195883ac9287fb02b66f67ccbece89883463b9a0ae7f10f1,https://opensource.observer/project/punk-domains
Interface,Mobile companion for your Ethereum journey.,https://www.interface.social/,Narrative,https://vote.optimism.io/retropgf/3/application/0x74332149d2712aaf8639acfcc5de8aaad60365f28b5348896a8a3a174163d98a,https://round3.optimism.io/projects/0x74332149d2712aaf8639acfcc5de8aaad60365f28b5348896a8a3a174163d98a,
IntoTheBlock Optimism Analytics,"ITB launched analytics for Optimism, Base, and projects building on the OP Stack",https://app.intotheblock.com/,Narrative,https://vote.optimism.io/retropgf/3/application/0x53b27d6f1094914fd15913484f1330a1186f0479f796e173acebe3fe72ce3300,https://round3.optimism.io/projects/0x53b27d6f1094914fd15913484f1330a1186f0479f796e173acebe3fe72ce3300,
Ivan on Tech,I run of the biggest and most watched crypto YouTube channels.,https://www.youtube.com/channel/UCrYmtJBtLdtm2ov84ulV-yg,Onchain,https://vote.optimism.io/retropgf/3/application/0x79d8e9c58f9727a6381824e67e5b540c1d6b17ab5270d3f7af49d521fbbd28a1,https://round3.optimism.io/projects/0x79d8e9c58f9727a6381824e67e5b540c1d6b17ab5270d3f7af49d521fbbd28a1,
LandTorn - Lorak,"Lorak is an innovative scalable onchain game on Base, using the 6551-eip.",https://landtorn.com/lorak,Onchain,https://vote.optimism.io/retropgf/3/application/0x89fb018dfa7d20cc5d1e0f7153cd123972fce65842e0df352dbff2913682193c,https://round3.optimism.io/projects/0x89fb018dfa7d20cc5d1e0f7153cd123972fce65842e0df352dbff2913682193c,
Layer3,"Layer3 makes learning and exploring crypto fun, engaging, and rewarding.",https://layer3.xyz/,Narrative,https://vote.optimism.io/retropgf/3/application/0x9c62c8c4e6a4f3612d4dde56bdff7115f8934983284a250c50b7519913197f40,https://round3.optimism.io/projects/0x9c62c8c4e6a4f3612d4dde56bdff7115f8934983284a250c50b7519913197f40,
Lore,Lore helps communities form capital and coordinate at internet scale. ,https://lore.xyz/,Onchain,https://vote.optimism.io/retropgf/3/application/0x0eb54adbc7b4564eea0b18f9270d201dde386ad9aba771dff0cc0370ca4df523,https://round3.optimism.io/projects/0x0eb54adbc7b4564eea0b18f9270d201dde386ad9aba771dff0cc0370ca4df523,https://opensource.observer/project/project-squallet-refractor-labs
mehran @ castle,Castle is a multi-chain EOA and multi-sig aggregator for NFTs and coins on OP.,https://castle.link/,Narrative,https://vote.optimism.io/retropgf/3/application/0xb61ed750e99be2df7e825ec88ab34f4e52afa65478f54ed8e8229ce391608cea,https://round3.optimism.io/projects/0xb61ed750e99be2df7e825ec88ab34f4e52afa65478f54ed8e8229ce391608cea,
Moonwell,Moonwell is an open and decentralized lending and borrowing protocol.,https://moonwell.fi,Onchain,https://vote.optimism.io/retropgf/3/application/0xeff464a4d1163c24dea3777598667b31c6b68cea03649e0e8dbaa80fad82fc5f,https://round3.optimism.io/projects/0xeff464a4d1163c24dea3777598667b31c6b68cea03649e0e8dbaa80fad82fc5f,https://opensource.observer/project/moonwell-fi
MultiBaas blockchain middleware,Curvegrid's MultiBaas blockchain middleware powers many of the leading DApps.,https://curvegrid.com,Narrative,https://vote.optimism.io/retropgf/3/application/0x647d213cfe0907891af5e26a8baa386b8f6ffbaa8206219c2deab554f6f0cbcf,https://round3.optimism.io/projects/0x647d213cfe0907891af5e26a8baa386b8f6ffbaa8206219c2deab554f6f0cbcf,https://opensource.observer/project/curvegrid-multibaas
Odos,DeFi Aggregator with multi-input and multi-output swaps.,https://app.odos.xyz,Onchain,https://vote.optimism.io/retropgf/3/application/0xd27984d196342b49f7e3019510482e2dab1a80d9b3e1b292a5dcf60134dce7b8,https://round3.optimism.io/projects/0xd27984d196342b49f7e3019510482e2dab1a80d9b3e1b292a5dcf60134dce7b8,
Onchain Media Enthusiast,Open edition mint celebrating onchain media.,https://www.onvessel.world/onchain-media-enthusiast,Onchain,https://vote.optimism.io/retropgf/3/application/0x0f58770e28eee769f12903e9f1a7bb057fbe07869e5f026d30e1d06458a55105,https://round3.optimism.io/projects/0x0f58770e28eee769f12903e9f1a7bb057fbe07869e5f026d30e1d06458a55105,
Optimism Prices Contracts,Open source smart contracts that price any ERC20 asset on OP & Base trustlessly,https://github.com/ethzoomer/optimism-prices,Onchain,https://vote.optimism.io/retropgf/3/application/0x2436f1b74b54ca65793596f47abf27a6f333057f0d76d0c4224723e5a93832a8,https://round3.optimism.io/projects/0x2436f1b74b54ca65793596f47abf27a6f333057f0d76d0c4224723e5a93832a8,https://opensource.observer/project/optimism-prices
Ponder,Social surveys for the next generation of thinkers,https://weponder.io,Onchain,https://vote.optimism.io/retropgf/3/application/0x134cdf191a5a805f5069b74bff91a1e2f641053908d50ab9c2531de6baf03de1,https://round3.optimism.io/projects/0x134cdf191a5a805f5069b74bff91a1e2f641053908d50ab9c2531de6baf03de1,https://opensource.observer/project/ponder-surveys
PR0,"Scry is the ONLY self-hostable oracle infra. With crosschain data, VRFs and more",http://scry.finance/,Narrative,https://vote.optimism.io/retropgf/3/application/0x938958cbd40bff58453dad061a22b9ee0e525767622cc363bdd69af8f9b2d9c7,https://round3.optimism.io/projects/0x938958cbd40bff58453dad061a22b9ee0e525767622cc363bdd69af8f9b2d9c7,https://opensource.observer/project/scryprotocol
rhino.fi,Rhino.fi is the ultimate layer 2 bridge and DeFi aggregator,https://www.rhino.fi/,Onchain,https://vote.optimism.io/retropgf/3/application/0x6ff9260b94544e3a51d026a98f7c3d7a420d32f8ccb169a592a7de913f42be06,https://round3.optimism.io/projects/0x6ff9260b94544e3a51d026a98f7c3d7a420d32f8ccb169a592a7de913f42be06,
Seamless Protocol,"First native Base lending protocol. Isolated, permissionless, capital efficient.",https://www.seamlessprotocol.com/,Narrative,https://vote.optimism.io/retropgf/3/application/0x7f2bcd6d20e753b49c12c96eee3304715ecb33bdc6750c572530c90750e47713,https://round3.optimism.io/projects/0x7f2bcd6d20e753b49c12c96eee3304715ecb33bdc6750c572530c90750e47713,https://opensource.observer/project/seamless-protocol
Small Brain Games,"Building & launching a new fully onchain, open source, game every 6 weeks.",https://twitter.com/0xsmallbrain,Onchain,https://vote.optimism.io/retropgf/3/application/0x9a3872d9d2a22b3d9e0cd88a7169fbc897a3aea36159e62253be38c06cf97bb2,https://round3.optimism.io/projects/0x9a3872d9d2a22b3d9e0cd88a7169fbc897a3aea36159e62253be38c06cf97bb2,https://opensource.observer/project/smallbraingames
Socket ,Socket is an interoperability bringing seamless connectivity to blockchains. ,https://socket.tech/,Onchain,https://vote.optimism.io/retropgf/3/application/0xef72bca84161d8ba1e471dbe58b8a3fef9cd56e697e885d78c6ec5c77e81b71a,https://round3.optimism.io/projects/0xef72bca84161d8ba1e471dbe58b8a3fef9cd56e697e885d78c6ec5c77e81b71a,https://opensource.observer/project/socket
Stable.fish,Actual investment performance to find the best stablecoin farming pools,https://stable.fish,Onchain,https://vote.optimism.io/retropgf/3/application/0x43fe522287123a1ec1cd4b0ea4f346db3d9ed4cf8ade3f011bfda15cdbc0a80d,https://round3.optimism.io/projects/0x43fe522287123a1ec1cd4b0ea4f346db3d9ed4cf8ade3f011bfda15cdbc0a80d,
SupraOracles,Supra is a middleware network pioneering cross-chain oracle solutions.,https://supra.com,Onchain,https://vote.optimism.io/retropgf/3/application/0x6e41c1f59d6d42d2a6e7e9b246cd8b1081b8c54dc8c7c2112e5d73e48540b0f9,https://round3.optimism.io/projects/0x6e41c1f59d6d42d2a6e7e9b246cd8b1081b8c54dc8c7c2112e5d73e48540b0f9,
Sushi,A leading multi-chain DEX supporting the DeFi needs of 25+ Blockchain Ecosystems,https://www.Sushi.com,Narrative,https://vote.optimism.io/retropgf/3/application/0x176d93beb29316e51b21e42cc1d49ef0867b37bda258b06ba410a3043fee7df5,https://round3.optimism.io/projects/0x176d93beb29316e51b21e42cc1d49ef0867b37bda258b06ba410a3043fee7df5,https://opensource.observer/project/sushi
Tokepad,"The easiest to create a functional, tradable token. Jump start your community!",https://tokepad.xyz/,Onchain,https://vote.optimism.io/retropgf/3/application/0x36052f8bd5466f6f9569ced3f7b8755d67fd20b6eb320c6302821b13dccb6377,https://round3.optimism.io/projects/0x36052f8bd5466f6f9569ced3f7b8755d67fd20b6eb320c6302821b13dccb6377,
Velocimeter,Velocimeter is a ve33 Dex offering options tokens as emissions and as a service.,https://velocimeter.xyz/,Narrative,https://vote.optimism.io/retropgf/3/application/0x3a19a401d8892df9abdc19a255ef686d98ff5e2cb629a03f90272e89725ac3e5,https://round3.optimism.io/projects/0x3a19a401d8892df9abdc19a255ef686d98ff5e2cb629a03f90272e89725ac3e5,
Wagmi / Viem,TypeScript Interfaces for Ethereum,https://github.com/wagmi-dev,Narrative,https://vote.optimism.io/retropgf/3/application/0xc593432238cfdcaf9bb9c5d5b87e447f2b6a42d59a91135e0119cccc0d15aa32,https://round3.optimism.io/projects/0xc593432238cfdcaf9bb9c5d5b87e447f2b6a42d59a91135e0119cccc0d15aa32,https://opensource.observer/project/wagmi-dev
Wildcards Protocol,Instant ENS sub-domains for NFT communities on the Superchain. ,https://wildcards.wtf,Narrative,https://vote.optimism.io/retropgf/3/application/0xff47a8efd1b697c569903d9f0630712212dc9860276a2a7acbf59e67a11c6573,https://round3.optimism.io/projects/0xff47a8efd1b697c569903d9f0630712212dc9860276a2a7acbf59e67a11c6573,https://opensource.observer/project/wildcards-protocol
WOOFi,"One DEX to rule all chains. Trade and earn with best pricing, cross-chain swaps.",https://fi.woo.org/,Onchain,https://vote.optimism.io/retropgf/3/application/0xfbc5b3bbff7b3e97d80ae04bfefc389dd9caf7085ce788d752bd3a04cf1165fa,https://round3.optimism.io/projects/0xfbc5b3bbff7b3e97d80ae04bfefc389dd9caf7085ce788d752bd3a04cf1165fa,
XomNFT,XomNFT is an NFT researching & community brand. We make NFT-focus public goods.,https://dareplay.io/news/vi/bai-viet/,Narrative,https://vote.optimism.io/retropgf/3/application/0xf9713a96a949426afc4139884b71adab7b17dd6f269fc2ad8f4f8623ca01162a,https://round3.optimism.io/projects/0xf9713a96a949426afc4139884b71adab7b17dd6f269fc2ad8f4f8623ca01162a,
Yearn,Yearn is a decentralized suite of products that earn yield.,https://yearn.fi/,Narrative,https://vote.optimism.io/retropgf/3/application/0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,https://round3.optimism.io/projects/0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652,https://opensource.observer/project/yearn
