project_name,repo_url,created_date,hackathon_name,bounty_title,org,gitcoin/buidlbox
Zeggo,https://github.com/OpenZeggo,2020-02-01 02:18:02.992934+00,Sustain Web3,From 1-to-100: Growth Hacking For Established Projects,consensys,gitcoin
dArray,https://github.com/jpaulet/dcrm,2020-02-01 12:04:46.516391+00,Sustain Web3,From 1-to-100: Growth Hacking For Established Projects,consensys,gitcoin
Charged Particles - DeFi NFTs,https://github.com/robsecord/ChargedParticlesEth,2020-02-02 18:24:06.007333+00,Sustain Web3,From 1-to-100: Growth Hacking For Established Projects,consensys,gitcoin
Kickback,https://github.com/wearekickback/app/pull/283,2020-02-07 22:02:38+00,Sustain Web3,From 1-to-100: Growth Hacking For Established Projects,consensys,gitcoin
Affogato,https://github.com/AffogatoNetwork,2020-02-03 17:23:44+00,Sustain Web3,From 1-to-100: Growth Hacking For Established Projects,consensys,gitcoin
Token Allowance Checker,https://github.com/TripleSpeeder/token-allowance-checker,2020-02-12 16:39:56+00,Sustain Web3,$350 USDT - Most Innovative Integration of dfuse Search ,dfuse-io,gitcoin
Charged Particles - DeFi NFTs,https://github.com/robsecord/ChargedParticlesWeb,2020-02-02 18:28:21+00,Sustain Web3,$1000 USDT - Best User Experience in a Dapp Utilizing dfuse,dfuse-io,gitcoin
Young Generations ,https://github.com/Tomyumz/passion-spirit/commit/7ec1644c19a26dfaed17a7172b6f40a7b9557fad,2020-02-04 10:36:44.229023+00,Sustain Web3,$1000 USDT - Best User Experience in a Dapp Utilizing dfuse,dfuse-io,gitcoin
Streamworks,https://github.com/KashmereLabs/Streamworks,2020-02-12 16:49:21.284613+00,Sustain Web3,$1000 USDT - Best User Experience in a Dapp Utilizing dfuse,dfuse-io,gitcoin
my project,https://github.com/linggar155,2020-02-03 02:29:04.216058+00,Sustain Web3,$100 ETH - Tweet Web 3.0 Tutorial Topics,simpleaswater,gitcoin
Bifrost,https://github.com/482solutions/bifrost,2020-02-24 14:50:11.894688+00,Sustain Web3,"[$1000 XRP] Bifrost - XRP, ETH & ERC-20 bridge over Interledger Protocol",xpring-eng,gitcoin
Sustain Web 3: Hacker Feedback,https://github.com/ivanmolto,2020-02-06 10:12:32.40924+00,Sustain Web3,Sustain Web 3 Feedback Survey,gitcoinco,gitcoin
Sustain Web 3: Hacker Feedback,https://github.com/ivanmolto,2020-02-06 21:02:30.458204+00,Sustain Web3,Sustain Web 3 Feedback Survey,gitcoinco,gitcoin
I've completed the survey.,https://github.com/chejazi/points-challenge/pull/8/commits/1da8355f1cfda8dc06d6a1b0e52d188a716d44e8,2020-02-06 20:16:40.511345+00,Sustain Web3,Sustain Web 3 Feedback Survey,gitcoinco,gitcoin
Linker,https://github.com/aturX/Linker-Dapp-Shop,2020-02-12 14:35:28.709688+00,Sustain Web3,Sustain Web 3 Feedback Survey,gitcoinco,gitcoin
Future Ledger,https://github.com/futurebankxyz/futureledger,2020-01-29 21:51:15.356333+00,Sustain Web3,[$1000 XRP] Niflheim - Interledger Protocol support for ERC-20 on Layer 2 Network,xpring-eng,gitcoin
MetamaskDemo,https://github.com/SusuwatariCoder/MetaMask-Login,2021-06-16 11:20:33.653293+00,Sustain Web3,Sustain Web 3 Feedback Survey,gitcoinco,gitcoin
Mysterium iOS,https://github.com/mul1sh/mysterium-ios,2020-03-31 18:45:44.138793+00,Funding the Future,[1 ETH] Challenge One: iOS application that can’t be censored,mysteriumnetwork,gitcoin
Mysterium Tv,https://github.com/mul1sh/mysteriumtv,2020-03-22 21:02:41.446172+00,Funding the Future,[1 ETH] Challenge Two: Android TV application that can’t be censored,mysteriumnetwork,gitcoin
mystNetwork,https://github.com/dhaileytaha/mystNetwork,2020-03-21 20:46:47.189726+00,Funding the Future,[1 ETH] Challenge Three: Lightning Network payments on Mysterium Network,mysteriumnetwork,gitcoin
Mysterium Secure Email,https://github.com/Developer-Dewd/mysterium-email,2020-04-07 15:47:51.816233+00,Funding the Future,[1 ETH] Challenge Four: Windows application that can’t be censored,mysteriumnetwork,gitcoin
Mysterium Windows App,https://github.com/mul1sh/mysterium-windows,2020-03-31 19:07:41.466276+00,Funding the Future,[1 ETH] Challenge Four: Windows application that can’t be censored,mysteriumnetwork,gitcoin
Mysterium OSX,https://github.com/mul1sh/mysterium-osx,2020-03-31 18:54:54.786705+00,Funding the Future,[1 ETH] Challenge Five: Mystery challenge,mysteriumnetwork,gitcoin
Katanapols,https://github.com/pRoy24/katanapools/tree/feature/allow-one-token-funding,2020-04-07 08:52:44.103043+00,Funding the Future,Challenge 1 - New Liquidity Pool Designs,bancorprotocol,gitcoin
Katanapools,https://github.com/pRoy24/katanapools,2020-03-30 09:04:05.731055+00,Funding the Future,Challenge 1 - New Liquidity Pool Designs,bancorprotocol,gitcoin
2in1 DeFi,https://github.com/RideSolo/BancorCompoundPool,2020-03-17 08:12:16.597886+00,Funding the Future,Challenge 1 - New Liquidity Pool Designs,bancorprotocol,gitcoin
Bancor Invest,https://github.com/leckylao/bancor-invest,2020-04-06 20:38:42.280072+00,Funding the Future,Challenge 2 - Fiat On-Ramp for Liquidity Pools,bancorprotocol,gitcoin
Bancor Fiat On-Ramp,https://github.com/mds1/Bancor-Fiat-On-Ramp,2020-04-06 19:09:41.078207+00,Funding the Future,Challenge 2 - Fiat On-Ramp for Liquidity Pools,bancorprotocol,gitcoin
Bots.sh - On Ramp automation,https://github.com/botssh/ramp-automator,2020-03-16 19:17:59.213965+00,Funding the Future,Challenge 2 - Fiat On-Ramp for Liquidity Pools,bancorprotocol,gitcoin
Crypto Car Battle,https://github.com/CodinMaster/Crypto-Car-Battle,2020-04-06 23:59:22.767344+00,Funding the Future,[OPGames Challenge 1]  Create an Open-Source HTML5 Game with crypto payout,alto-io,gitcoin
Space Miners,https://github.com/moonniy/game,2020-04-06 22:15:22.988354+00,Funding the Future,[OPGames Challenge 1]  Create an Open-Source HTML5 Game with crypto payout,alto-io,gitcoin
TBD,https://github.com/zoek1/tbd,2020-03-23 21:09:02.539997+00,Funding the Future,[OPGames Challenge 1]  Create an Open-Source HTML5 Game with crypto payout,alto-io,gitcoin
TBD,https://github.com/ivanmolto,2020-03-25 23:12:28.732315+00,Funding the Future,[OPGames Challenge 1]  Create an Open-Source HTML5 Game with crypto payout,alto-io,gitcoin
