dt,chain,receipt_status,tx_count,l2_fees,l1_fees
2024-08-07,BASE,1,3296980,31.354288074176157,0.22399379447617548
2024-08-07,BOB,0,191,0.0010464641030380943,4.7597666678095032e-05
2024-08-07,BOB,1,58085,0.12272365826175353,0.0036452904242165289
2024-08-07,CYBER,0,115,0.00030279101340605649,0.00031844057206022213
2024-08-07,CYBER,1,151297,0.18026597582707352,0.14383882395983347
2024-08-07,FRAX,0,260,0.0011103911440815413,0.00027102309833582783
2024-08-07,FRAX,1,50062,0.1115921747205325,0.012055560976933886
2024-08-07,HAM,0,82,2.3352515002000002e-08,9.5506487620849e-05
2024-08-07,HAM,1,147164,6.3980955561331986e-06,0.017517108127695157
2024-08-07,KROMA,0,690,0.00077159734296080023,6.8959610743944975e-05
2024-08-07,KROMA,1,261779,0.25566777468623347,0.01774183606908647
2024-08-07,LISK,0,1,4.42966035e-09,6.1784313679e-08
2024-08-07,LISK,1,43275,0.00010200415889856196,4.8987258225954017e-05
2024-08-07,LYRA,0,2,1.001262915e-07,4.91624366698e-07
2024-08-07,LYRA,1,46201,0.00097787841824183456,0.055000273521031914
2024-08-07,METAL,1,43317,0.00013158500618244795,0.000305264885424938
2024-08-07,MINT,0,826,0.00085100054221710355,0.0035777406536741017
2024-08-07,MINT,1,102536,0.23605396199849676,0.25711179863802641
2024-08-07,MODE,0,3543,0.018618913297116881,0.0011019683102395572
2024-08-07,MODE,1,178063,0.073526554109750064,0.027083516188119494
2024-08-07,OPTIMISM,0,61660,0.69275347897747463,0.0051316036449268829
2024-08-07,OPTIMISM,1,522483,7.5074983079098905,0.0631476568512291
2024-08-07,ORDERLY,1,58038,0.00039031043598788278,0.028153329814874804
2024-08-07,POLYNOMIAL,1,44156,0.0017371207573746003,0.024066240691740685
2024-08-07,RACE,1,43120,0.0,
2024-08-07,REDSTONE,0,3065,0.00029910881425302771,0.00057131913374259559
2024-08-07,REDSTONE,1,62553,0.0045488527942249661,0.0040328821409417312
2024-08-07,SHAPE,1,43251,1.5939e-11,7.6069983279e-08
2024-08-07,SWAN,0,2,0.00018258751840482,5.3922174083196e-05
2024-08-07,SWAN,1,17737,0.019596657118965726,0.019949920375128806
2024-08-07,WORLDCHAIN,1,45983,0.028273513435974226,0.000744084055437776
2024-08-07,XTERIO,1,42823,0.0,
2024-08-07,ZORA,0,1104,0.0010713919392171269,0.00023828448104232187
2024-08-07,ZORA,1,199673,0.094118016841584273,0.031921292738977008
