transaction_date,address,transaction_cnt,active_users,total_transferred,unique_users,total_transferred_in_tokens,cum_transferred
2024-07-30,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1035.0,11.0,9.38078807244028e+17,0.0,938.078807244028,1.6609683706631566e+20
2024-07-31,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,838.0,11.0,7.692199304622463e+17,0.0,769.2199304622462,1.6686605699677792e+20
2024-08-01,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1015.0,12.0,9.321605438163204e+17,0.0,932.1605438163203,1.6779821754059424e+20
2024-08-02,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1073.0,11.0,1.0365869602186737e+18,0.0,1036.5869602186738,1.6883480450081292e+20
2024-08-03,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,901.0,11.0,9.050210686095176e+17,0.0,905.0210686095176,1.6973982556942244e+20
2024-08-04,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,681.0,10.0,7.122677316229522e+17,0.0,712.2677316229522,1.704520933010454e+20
2024-08-05,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1057.0,11.0,1.1723871404407235e+18,0.0,1172.3871404407234,1.716244804414861e+20
2024-08-06,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1220.0,10.0,1.5243198748268475e+18,0.0,1524.3198748268476,1.7314880031631298e+20
2024-08-07,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1228.0,12.0,1.4765688707960026e+18,0.0,1476.5688707960026,1.7462536918710898e+20
2024-08-08,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1439.0,12.0,1.8238093189963886e+18,0.0,1823.8093189963886,1.7644917850610536e+20
2024-08-09,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1228.0,14.0,1.4244161682693307e+18,0.0,1424.4161682693307,1.7787359467437467e+20
2024-08-10,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,948.0,10.0,1.0964757125481153e+18,0.0,1096.4757125481153,1.7897007038692278e+20
2024-08-11,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,972.0,10.0,1.1189077755901871e+18,0.0,1118.9077755901872,1.80088978162513e+20
2024-08-12,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1466.0,11.0,1.6844829569737357e+18,0.0,1684.4829569737358,1.8177346111948672e+20
2024-08-13,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1101.0,11.0,1.2422846799149555e+18,0.0,1242.2846799149556,1.8301574579940167e+20
2024-08-14,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,808.0,11.0,8.941028797527555e+17,0.0,894.1028797527555,1.8390984867915442e+20
2024-08-15,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,2089.0,11.0,2.354141407638338e+18,0.0,2354.141407638338,1.8626399008679274e+20
2024-08-16,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1645.0,11.0,1.9196694326959404e+18,0.0,1919.6694326959403,1.881836595194887e+20
2024-08-17,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1318.0,10.0,1.506878507498863e+18,0.0,1506.8785074988632,1.8969053802698755e+20
2024-08-18,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1073.0,10.0,1.2264868946917102e+18,0.0,1226.4868946917102,1.9091702492167927e+20
2024-08-19,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,766.0,13.0,8.640328789588526e+17,0.0,864.0328789588526,1.917810578006381e+20
2024-08-20,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,2065.0,11.0,2.3768214679951293e+18,1.0,2376.8214679951293,1.9415787926863325e+20
2024-08-21,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,982.0,12.0,1.129727476066264e+18,0.0,1129.727476066264,1.952876067446995e+20
2024-08-22,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,830.0,10.0,9.38423474735162e+17,0.0,938.423474735162,1.9622603021943466e+20
2024-08-23,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,1345.0,12.0,1.443085177118911e+18,1.0,1443.085177118911,1.9766911539655357e+20
2024-08-24,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,900.0,10.0,6.538322691063894e+17,0.0,653.8322691063894,1.9832294766565995e+20
2024-08-25,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,658.0,18.0,4.714816298148487e+17,6.0,471.4816298148487,1.987944292954748e+20
2024-08-26,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,819.0,14.0,5.941006185843305e+17,2.0,594.1006185843305,1.9938852991405913e+20
2024-08-27,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,595.0,12.0,4.447550994264389e+17,0.0,444.7550994264389,1.9983328501348555e+20
2024-08-28,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,722.0,11.0,5.6146330241717e+17,1.0,561.46330241717,2.003947483159027e+20
2024-08-29,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,632.0,18.0,4.982568856993751e+17,6.0,498.2568856993751,2.008930052016021e+20
2024-08-30,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,679.0,14.0,5.372327749545335e+17,2.0,537.2327749545335,2.0143023797655663e+20
2024-08-31,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,683.0,10.0,5.4462721027982765e+17,0.0,544.6272102798276,2.0197486518683645e+20
2024-09-01,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,495.0,10.0,3.9578223120770003e+17,0.0,395.7822312077,2.0237064741804415e+20
2024-09-02,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,671.0,13.0,5.353565265448016e+17,0.0,535.3565265448016,2.0290600394458897e+20
2024-09-03,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,601.0,12.0,4.754960388964437e+17,0.0,475.49603889644374,2.033814999834854e+20
2024-09-04,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,647.0,11.0,5.268684996155882e+17,0.0,526.8684996155882,2.0390836848310098e+20
2024-09-05,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,588.0,11.0,4.821102390826146e+17,0.0,482.1102390826146,2.043904787221836e+20
2024-09-06,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,622.0,12.0,5.837889036954728e+17,0.0,583.7889036954728,2.0497426762587908e+20
2024-09-07,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,529.0,12.0,4.772133817320055e+17,0.0,477.21338173200553,2.054514810076111e+20
2024-09-08,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,539.0,12.0,4.7365773479024806e+17,0.0,473.65773479024807,2.0592513874240134e+20
2024-09-09,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,413.0,13.0,3.6429827944909754e+17,1.0,364.29827944909755,2.0628943702185044e+20
2024-09-10,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,438.0,14.0,3.7418009649816474e+17,1.0,374.18009649816474,2.066636171183486e+20
2024-09-11,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,406.0,14.0,3.422224168925609e+17,1.0,342.2224168925609,2.0700583953524117e+20
2024-09-12,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,498.0,12.0,4.2377867147873574e+17,1.0,423.77867147873576,2.074296182067199e+20
2024-09-13,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,498.0,12.0,4.24511185590056e+17,0.0,424.511185590056,2.0785412939230996e+20
2024-09-14,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,366.0,12.0,3.0142943729081e+17,0.0,301.42943729081,2.0815555882960077e+20
2024-09-15,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,252.0,10.0,2.089797188816248e+17,0.0,208.9797188816248,2.083645385484824e+20
2024-09-16,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,393.0,11.0,3.3591867097397786e+17,0.0,335.91867097397784,2.087004572194564e+20
2024-09-17,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,318.0,12.0,2.7870052800974893e+17,1.0,278.70052800974895,2.0897915774746614e+20
2024-09-18,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,426.0,11.0,3.6305010548365894e+17,0.0,363.05010548365897,2.093422078529498e+20
