artifact,star_count,fork_count,fulltime_developer_average_6_months,new_contributor_count_6_months,repo_rank,starred,starred_by_top_devs,forked,forked_by_top_devs,age_of_project_years
boardroom-inc/protocol-info,39,100,0.0,1.0,1941.0,61.0,0.0,139.0,1.0,3.583333333333485
darrylyeo/blockhead,119,43,0.4065934065934066,2.0,1942.0,137.0,1.0,53.0,0.0,3.833333333333485
hausdao/daohaus-app,134,80,0.0,1.0,1983.0,177.0,0.0,95.0,3.0,4.4166666666667425
ethereansos/interfaces-core-new,1,1,0.0,0.0,2230.0,2.0,0.0,2.0,0.0,2.25
kernel-community/kernel-v2,75,52,0.0,0.0,2247.0,82.0,0.0,67.0,1.0,3.4166666666667425
ethernautdao/ethernauts,23,19,0.0,0.0,2263.0,42.0,1.0,30.0,0.0,3.0
truffle-box/optimism-box,23,14,0.0,0.0,2314.0,22.0,0.0,17.0,1.0,3.1666666666667425
bootnodedev/optimism-bedrock-diagram,1,0,0.0,0.0,2335.0,1.0,0.0,0.0,0.0,1.1666666666667425
inverternetwork/sdk,5,1,0.04945054945054945,2.0,2515.0,5.0,0.0,1.0,0.0,0.5
givepraise/praise,34,20,0.0,0.0,2518.0,44.0,0.0,25.0,1.0,2.6666666666667425
gskril/farcaster-indexer,143,57,0.10989010989010989,6.0,2565.0,156.0,1.0,65.0,0.0,2.1666666666667425
makerdao/dss-teleport,81,15,0.0,0.0,2627.0,101.0,10.0,21.0,1.0,2.6666666666667425
wallet-guard/web3-security,15,4,0.0,1.0,2630.0,18.0,0.0,4.0,1.0,1.333333333333485
crypto-stats/site,9,1,0.0,0.0,2664.0,15.0,0.0,4.0,0.0,2.9166666666667425
show-karma/reputation-scores,15,5,0.0,0.0,2746.0,19.0,2.0,3.0,0.0,2.25
lucas-op/awesome-optimism,9,3,0.0,0.0,2748.0,18.0,1.0,3.0,0.0,1.0
cliqueofficial/zk-dcap-verifier,11,1,0.0,3.0,2774.0,11.0,0.0,1.0,0.0,0.6666666666667425
nftearth/marketplace-v2,4,2,0.0,0.0,2786.0,4.0,0.0,5.0,0.0,1.5
delegatexyz/delegate-registry,172,52,0.0,1.0,2808.0,203.0,4.0,63.0,1.0,2.0
chronicleprotocol/scribe,46,5,0.0,3.0,2880.0,43.0,3.0,6.0,0.0,1.0
vacekj/regenscore,11,2,0.0,1.0,2921.0,11.0,0.0,2.0,0.0,2.1666666666667425
bankless-academy/bankless-academy,18,12,0.6263736263736264,0.0,3002.0,24.0,1.0,20.0,1.0,2.5
sourcifyeth/docs,10,11,0.0,3.0,3128.0,15.0,0.0,18.0,2.0,2.6666666666667425
pwnfinance/pwn_contracts,16,4,0.0,0.0,3190.0,19.0,0.0,7.0,0.0,2.583333333333485
iainnash/ether.actor,54,7,0.0,0.0,3202.0,56.0,1.0,6.0,0.0,2.833333333333485
banklessdao/bounty-board,27,36,0.0,0.0,3222.0,29.0,0.0,45.0,0.0,3.1666666666667425
kromatika-finance/interface,3,4,0.0,0.0,3234.0,4.0,0.0,20.0,0.0,2.75
brightid/brightid,229,66,0.0,1.0,3238.0,281.0,1.0,75.0,1.0,6.9166666666667425
learnweb3dao/sophomore-track,64,71,0.0,0.0,3388.0,81.0,0.0,82.0,1.0,2.4166666666667425
lexdao/kali,49,14,0.0,0.0,3432.0,65.0,1.0,17.0,0.0,2.75
candidelabs/voltaire,43,12,0.0,2.0,3492.0,44.0,1.0,15.0,0.0,1.5
impersonator-eth/impersonator,260,47,0.0,2.0,3755.0,313.0,5.0,55.0,1.0,3.0
edgeandnode/graphiql-playground,3,2,0.0,3.0,3918.0,6.0,1.0,2.0,0.0,2.0
commons-stack/c-sim-front-end,6,5,0.0,0.0,3929.0,6.0,0.0,6.0,0.0,3.833333333333485
generalmagicio/pw-frontend,15,0,0.0,0.0,4005.0,15.0,0.0,0.0,0.0,1.0
ethereumphone/android,77,5,0.0,0.0,4054.0,91.0,1.0,8.0,0.0,2.75
jolly-roger-eth/ethereum-indexer,76,5,0.0,0.0,4117.0,86.0,3.0,8.0,0.0,1.9166666666667425
indexed-xyz/docs,35,4,0.0,0.0,4141.0,38.0,0.0,3.0,1.0,1.5
govguide/optimism-resource-center,1,0,0.0,0.0,4143.0,3.0,0.0,0.0,0.0,0.9166666666667425
public-assembly/curation-protocol,29,4,0.0,0.0,4564.0,30.0,0.0,5.0,0.0,1.9166666666667425
