,project,repo,license,Total Stars,Total Forks,Total Contributors,Project ID,Project Name
1644,nethermindeth,nethermindeth/horus-compile,NOASSERTION,7.0,,6.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1645,nethermindeth,nethermindeth/int256,MIT,23.0,8.0,12.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1646,nethermindeth,nethermindeth/juno,Apache-2.0,280.0,100.0,75.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1647,nethermindeth,nethermindeth/kudu,GPL-3.0,2.0,3.0,11.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1648,nethermindeth,nethermindeth/kzg-ceremony-client,MIT,10.0,6.0,4.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1649,nethermindeth,nethermindeth/lido_phase_1,MIT,,,4.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1650,nethermindeth,nethermindeth/lighthouse-init-validator,Apache-2.0,1.0,1.0,2.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1651,nethermindeth,nethermindeth/metrics-infrastructure,,5.0,3.0,4.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1652,nethermindeth,nethermindeth/miners-register,,,,1.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1653,nethermindeth,nethermindeth/mock-avs,,,,2.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1654,nethermindeth,nethermindeth/mock-avs-pkg,,,2.0,4.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1655,nethermindeth,nethermindeth/ndm-releases,,,,,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1656,nethermindeth,nethermindeth/nethermind,GPL-3.0,1009.0,330.0,382.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1657,nethermindeth,nethermindeth/nethermind-node-tests,,2.0,,3.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1658,nethermindeth,nethermindeth/nethermind-telemetry,GPL-3.0,,1.0,2.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1659,nethermindeth,nethermindeth/nethermind.launcher,,1.0,2.0,10.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1660,nethermindeth,nethermindeth/nethermind.packager,MIT,,1.0,6.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1661,nethermindeth,nethermindeth/nethersolc,GPL-3.0,,,209.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1662,nethermindeth,nethermindeth/nethersolc-archive,GPL-3.0,,,135.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1663,nethermindeth,nethermindeth/netherverse,,2.0,1.0,1.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1664,nethermindeth,nethermindeth/node-monitor,,,,1.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1665,nethermindeth,nethermindeth/optimized_ecc_cairo,MIT,14.0,,6.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1666,nethermindeth,nethermindeth/pipeline-plugins,MIT,,,1.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1667,nethermindeth,nethermindeth/polybft-cl-poc,,,,1.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1668,nethermindeth,nethermindeth/posmoni,Apache-2.0,2.0,,4.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1669,nethermindeth,nethermindeth/ppa-setup,,,,1.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1670,nethermindeth,nethermindeth/python-eth-amm,MIT,,,1.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1671,nethermindeth,nethermindeth/ray-tracing-bundles,,,1.0,2.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1672,nethermindeth,nethermindeth/research,MIT,5.0,,3.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1673,nethermindeth,nethermindeth/research-basic-cairo-operations-big-integers,MIT,6.0,1.0,6.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1674,nethermindeth,nethermindeth/research-mnemonic,MIT,17.0,3.0,10.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1675,nethermindeth,nethermindeth/research-uint384-cairo,MIT,,1.0,3.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1676,nethermindeth,nethermindeth/restaking-dashboard,GPL-3.0,2.0,1.0,9.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1677,nethermindeth,nethermindeth/rust-verkle-wrapper,Apache-2.0,,4.0,4.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1678,nethermindeth,nethermindeth/secp256k1-bindings,MIT,,,1.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1679,nethermindeth,nethermindeth/sedge,Apache-2.0,115.0,29.0,43.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1680,nethermindeth,nethermindeth/sign-in-with-starknet,MIT,,,2.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1681,nethermindeth,nethermindeth/starknet-remix-plugin,,22.0,11.0,24.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1682,nethermindeth,nethermindeth/starknet-state-verifier,BSD-2-Clause,6.0,2.0,5.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1683,nethermindeth,nethermindeth/starknet.go,MIT,117.0,49.0,50.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1684,nethermindeth,nethermindeth/starknet.unity,Apache-2.0,8.0,,1.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1685,nethermindeth,nethermindeth/teku-init-validator,Apache-2.0,,,2.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1686,nethermindeth,nethermindeth/terraform-nethermind,,3.0,2.0,3.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1687,nethermindeth,nethermindeth/the-merge-scripts,,,,4.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1688,nethermindeth,nethermindeth/truffletest,,,2.0,2.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1689,nethermindeth,nethermindeth/txfuzz,,,,2.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1690,nethermindeth,nethermindeth/unistark-interface,,,,4.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1691,nethermindeth,nethermindeth/unistark-swap-router-contracts,GPL-2.0,,,1.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1692,nethermindeth,nethermindeth/unistark-v3-periphery,GPL-2.0,,,4.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1693,nethermindeth,nethermindeth/validators-alerting-service,,1.0,1.0,1.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1694,nethermindeth,nethermindeth/validators-watcher,,1.0,,2.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1695,nethermindeth,nethermindeth/voyager-cli-verifier,AGPL-3.0,,,1.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1696,nethermindeth,nethermindeth/voyager-translations,Apache-2.0,1.0,10.0,14.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1697,nethermindeth,nethermindeth/voyager-verify,AGPL-3.0,16.0,10.0,8.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1698,nethermindeth,nethermindeth/warp,Apache-2.0,766.0,70.0,69.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1699,nethermindeth,nethermindeth/warp-benchmark,,,,3.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1700,nethermindeth,nethermindeth/warp-build-action,,1.0,,1.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1701,nethermindeth,nethermindeth/warp-plugin,Apache-2.0,1.0,,3.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1702,nethermindeth,nethermindeth/warp-test-box,MIT,,,2.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1703,nethermindeth,nethermindeth/warp-ts-benchmark,,,2.0,2.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1704,nethermindeth,nethermindeth/warping-contracts,Apache-2.0,,,3.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1705,nethermindeth,nethermindeth/workshop,,,3.0,5.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1706,nethermindeth,nethermindeth/cairo-property-tester,,,,2.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1707,nethermindeth,nethermindeth/il-evm,MIT,,,1.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1708,nethermindeth,nethermindeth/starknet-proposals-whisperer,MIT,,,1.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1709,nethermindeth,nethermindeth/rpc-docs,,1.0,,2.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1710,nethermindeth,nethermindeth/halo2-fv,,,,1.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1711,nethermindeth,nethermindeth/cairo_zstd,Apache-2.0,10.0,,3.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1712,nethermindeth,nethermindeth/zksync-remix-plugin,MIT,,,7.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1713,nethermindeth,nethermindeth/suapp,MIT,,,1.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1714,nethermindeth,nethermindeth/starknet-rpc-tests,,,,1.0,0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,Nethermind
1715,nacion-bankless,nacion-bankless/reimagined-octo-spork,,1.0,,1.0,0xaa798e8755a6003a0f337780d1ad90ba73c94dea219515c588ec10221c4aa61e,Nacion Bankless
1716,mirror,mirror-xyz/degen,MIT,457.0,52.0,12.0,0x2d8dc7a3cd967718d8f27253b4a3912653d308620007576ac0697ba65fecd985,Mirror
1717,mirror,mirror-xyz/splits,,78.0,13.0,5.0,0x2d8dc7a3cd967718d8f27253b4a3912653d308620007576ac0697ba65fecd985,Mirror
1718,mirror,mirror-xyz/wnft,,14.0,3.0,2.0,0x2d8dc7a3cd967718d8f27253b4a3912653d308620007576ac0697ba65fecd985,Mirror
1719,mirror,mirror-xyz/write-token,,47.0,9.0,3.0,0x2d8dc7a3cd967718d8f27253b4a3912653d308620007576ac0697ba65fecd985,Mirror
1720,metagov,metagov/dada-sourcecred,,,,3.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1721,metagov,metagov/reputable-contracts,,,,4.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1722,metagov,metagov/safefordaos,,7.0,2.0,1.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1723,metagov,metagov/agreementengine,MIT,4.0,,1.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1724,metagov,metagov/agreements-prototype,MIT,4.0,,2.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1725,metagov,metagov/ai-constitution,MIT,1.0,,1.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1726,metagov,metagov/commons,MIT,3.0,9.0,11.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1727,metagov,metagov/constitution-data,MIT,,,1.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1728,metagov,metagov/constitution-template,MIT,22.0,6.0,4.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1729,metagov,metagov/cryptopolitics-paper,MIT,2.0,1.0,1.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1730,metagov,metagov/d20-governance,MIT,4.0,,3.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1731,metagov,metagov/dao-governance-surfaces,MIT,3.0,2.0,3.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1732,metagov,metagov/dao-uri-data-indexing-backend,,,,,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1733,metagov,metagov/daostar,MIT,37.0,18.0,21.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1734,metagov,metagov/daostar-api,,1.0,,4.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1735,metagov,metagov/daostar-deprecated,CC0-1.0,,,1.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1736,metagov,metagov/daostar-explorer-backend,,,,1.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1737,metagov,metagov/daostar-explorer-frontend,MIT,,,3.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1738,metagov,metagov/daostar-labs,MIT,,,2.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1739,metagov,metagov/discord-research-bot,MIT,9.0,4.0,3.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1740,metagov,metagov/discourse-web-monetization,MIT,,,1.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1741,metagov,metagov/example-driver,,2.0,,1.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1742,metagov,metagov/extitute,,2.0,2.0,7.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1743,metagov,metagov/gateway,MIT,46.0,16.0,21.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1744,metagov,metagov/gateway-website,,,1.0,2.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1745,metagov,metagov/govbase,MIT,70.0,8.0,9.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1746,metagov,metagov/govbase-website,MIT,10.0,,2.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1747,metagov,metagov/governance-archaeology,MIT,,,1.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1748,metagov,metagov/governing-many-worlds,MIT,,,1.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1749,metagov,metagov/open-web-challenge,MIT,4.0,1.0,4.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1750,metagov,metagov/sourcecred-instance,,,,3.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1751,metagov,metagov/to-community,,1.0,,2.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1752,metagov,metagov/validator,,,,2.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1753,metagov,metagov/veephd,MIT,,,1.0,0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov
1754,mechanism-institute,mechanism-institute/slashing-engine,,1.0,,1.0,0x31e6a151a738d9175f93bd96c5578b71f66475ddbd341b5da69ce5ddb2ad7bfc,Mechanism Institute
1755,lyra-finance,lyra-finance/boilerplate-grant-project,,,1.0,1.0,0x8e02390fa0a94edad31224af640fa639f7d62111f05f32ea1e2746111e45a905,Lyra Finance
1756,lyra-finance,lyra-finance/cloudflare-update-action,,,3.0,1.0,0x8e02390fa0a94edad31224af640fa639f7d62111f05f32ea1e2746111e45a905,Lyra Finance
1757,lyra-finance,lyra-finance/governance,,1.0,2.0,2.0,0x8e02390fa0a94edad31224af640fa639f7d62111f05f32ea1e2746111e45a905,Lyra Finance
1758,lyra-finance,lyra-finance/interface,,12.0,19.0,14.0,0x8e02390fa0a94edad31224af640fa639f7d62111f05f32ea1e2746111e45a905,Lyra Finance
1759,lyra-finance,lyra-finance/listing-manager,,,3.0,4.0,0x8e02390fa0a94edad31224af640fa639f7d62111f05f32ea1e2746111e45a905,Lyra Finance
1760,lyra-finance,lyra-finance/lyra-avalon-interfaces,,1.0,5.0,3.0,0x8e02390fa0a94edad31224af640fa639f7d62111f05f32ea1e2746111e45a905,Lyra Finance
1761,lyra-finance,lyra-finance/lyra-js,,24.0,9.0,9.0,0x8e02390fa0a94edad31224af640fa639f7d62111f05f32ea1e2746111e45a905,Lyra Finance
1762,lyra-finance,lyra-finance/lyra-js-starter,,1.0,3.0,1.0,0x8e02390fa0a94edad31224af640fa639f7d62111f05f32ea1e2746111e45a905,Lyra Finance
1763,lyra-finance,lyra-finance/lyra-periphery,,,2.0,2.0,0x8e02390fa0a94edad31224af640fa639f7d62111f05f32ea1e2746111e45a905,Lyra Finance
1764,lyra-finance,lyra-finance/lyra-protocol,ISC,97.0,52.0,7.0,0x8e02390fa0a94edad31224af640fa639f7d62111f05f32ea1e2746111e45a905,Lyra Finance
1765,lyra-finance,lyra-finance/lyra-scripts,,3.0,9.0,2.0,0x8e02390fa0a94edad31224af640fa639f7d62111f05f32ea1e2746111e45a905,Lyra Finance
1766,lyra-finance,lyra-finance/lyra-ui-challenge,,,1.0,1.0,0x8e02390fa0a94edad31224af640fa639f7d62111f05f32ea1e2746111e45a905,Lyra Finance
1767,lyra-finance,lyra-finance/lyra-utils,NOASSERTION,3.0,2.0,3.0,0x8e02390fa0a94edad31224af640fa639f7d62111f05f32ea1e2746111e45a905,Lyra Finance
1768,lyra-finance,lyra-finance/reward-distribution,,3.0,4.0,2.0,0x8e02390fa0a94edad31224af640fa639f7d62111f05f32ea1e2746111e45a905,Lyra Finance
1769,lyra-finance,lyra-finance/stklyra-subgraph,,,4.0,1.0,0x8e02390fa0a94edad31224af640fa639f7d62111f05f32ea1e2746111e45a905,Lyra Finance
1770,lyra-finance,lyra-finance/subgraph,,5.0,2.0,2.0,0x8e02390fa0a94edad31224af640fa639f7d62111f05f32ea1e2746111e45a905,Lyra Finance
1771,lyra-finance,lyra-finance/transfers-subgraph,,,2.0,4.0,0x8e02390fa0a94edad31224af640fa639f7d62111f05f32ea1e2746111e45a905,Lyra Finance
1772,lyra-finance,lyra-finance/v2-aa,,1.0,,1.0,0x8e02390fa0a94edad31224af640fa639f7d62111f05f32ea1e2746111e45a905,Lyra Finance
1773,lyra-finance,lyra-finance/v2-matching,NOASSERTION,,,4.0,0x8e02390fa0a94edad31224af640fa639f7d62111f05f32ea1e2746111e45a905,Lyra Finance
1774,lyra-finance,lyra-finance/v2-scripts,,,,1.0,0x8e02390fa0a94edad31224af640fa639f7d62111f05f32ea1e2746111e45a905,Lyra Finance
1775,lxdao-official,lxdao-official/.github,,,,4.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1776,lxdao-official,lxdao-official/daotaskpay-rebase,,,1.0,3.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1777,lxdao-official,lxdao-official/doaad,,,,4.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1778,lxdao-official,lxdao-official/doaad-contract,,,,2.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1779,lxdao-official,lxdao-official/hashdna-art-engine,GPL-3.0,8.0,1.0,2.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1780,lxdao-official,lxdao-official/idea3,MIT,,,2.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1781,lxdao-official,lxdao-official/lips,,,,1.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1782,lxdao-official,lxdao-official/lxdao-developer-guide,MIT,18.0,2.0,4.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1783,lxdao-official,lxdao-official/personal-secured-transaction-protocols,MIT,,,2.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1784,lxdao-official,lxdao-official/allowlist-contract,,,,1.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1785,lxdao-official,lxdao-official/allowlist-snap,,,,2.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1786,lxdao-official,lxdao-official/buidler-card-backend,,,,2.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1787,lxdao-official,lxdao-official/buidler-card-contracts,MIT,3.0,2.0,5.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1788,lxdao-official,lxdao-official/buidler-card-website,MIT,,,2.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1789,lxdao-official,lxdao-official/docs,,,,2.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1790,lxdao-official,lxdao-official/donate3,,1.0,1.0,1.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1791,lxdao-official,lxdao-official/donate3-backend-new,,1.0,,5.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1792,lxdao-official,lxdao-official/donate3-contract,,3.0,,3.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1793,lxdao-official,lxdao-official/donate3-contract-aptos,,,,1.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1794,lxdao-official,lxdao-official/donate3-contract-solana,,,,1.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1795,lxdao-official,lxdao-official/donate3-sdk,MIT,4.0,5.0,7.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1796,lxdao-official,lxdao-official/donate3-sdk-import-demo,,,1.0,3.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1797,lxdao-official,lxdao-official/donate3-website-new,,3.0,3.0,7.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1798,lxdao-official,lxdao-official/eipfun,MIT,1.0,,7.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1799,lxdao-official,lxdao-official/eipfun-backend,,1.0,,3.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1800,lxdao-official,lxdao-official/expert-wg-research,MIT,,,1.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1801,lxdao-official,lxdao-official/fairsharing,,,1.0,4.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1802,lxdao-official,lxdao-official/fairsharing-backend,,,,5.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1803,lxdao-official,lxdao-official/fairsharing-contract,,,,2.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1804,lxdao-official,lxdao-official/fairsharing-contracts,,,,2.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1805,lxdao-official,lxdao-official/fairsharing-frontend,,,1.0,6.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1806,lxdao-official,lxdao-official/gclx-art-engine,MIT,51.0,38.0,4.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
1807,lxdao-official,lxdao-official/gclx-contracts,,70.0,56.0,6.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO
