project_name,Median,Median (exclude 0s),Mean,Quadratic,variance,category
Learning about,10,12,14,13,0.13941429613550474,Mean
Lemon,3,5,26,13,0.8881970045079869,Mean
LexDAO,79,80,82,72,0.05558248498700698,No difference
Lighthouse,297,286,222,263,0.12425579310630448,Median
Llama Risk,31,31,54,28,0.3356401659331826,Mean
LlamaFolio,56,60,40,27,0.33215174734173186,Median (exclude 0s)
Lodestar,247,238,193,224,0.10484780858125844,No difference
Lore,59,67,36,45,0.2683950615136962,Median (exclude 0s)
Lyra Finance,99,95,122,72,0.211109588362992,Mean
Lyra Research,15,14,13,20,0.20058879684061967,Quadratic (longtail)
MarcoV,10,10,13,17,0.265329983228432,Quadratic (longtail)
Marko,22,24,17,13,0.2613976215044095,Median (exclude 0s)
Mechanism Institute,27,26,93,46,0.6537374742090171,Mean
Messari,25,48,26,33,0.3216501682442557,Median (exclude 0s)
Metagals,10,10,13,19,0.32635697593225266,Quadratic (longtail)
Metagov,99,95,144,110,0.1987150474121857,Mean
MetricsDAO,27,28,27,32,0.0835254786964076,No difference
Mirror,138,134,113,134,0.08728132295110694,No difference
Modular Crypto,15,14,21,36,0.47204146814382414,Quadratic
Modular Media,10,14,10,10,0.18181818181818182,Median (exclude 0s)
Moonwell,54,53,49,51,0.04284745473639314,No difference
Mosaic,35,33,29,31,0.08068715304598785,No difference
Moso,65,63,27,32,0.4286533527200229,Median
MrCrypto Arabic,15,14,6,15,0.3487119154832539,Median
Mrfti,5,5,11,14,0.5142857142857142,Quadratic (longtail)
MultiBaas,25,24,19,18,0.16334346903647656,Median
MyFirstLayer2,5,5,12,13,0.49706622288380525,Quadratic (longtail)
Nacion Bankless,5,14,12,23,0.5493480360811602,Quadratic (longtail)
Nethermind,247,238,204,218,0.08562002989123259,No difference
Newtro Arts,20,19,71,30,0.7002429121772114,Mean
NiceNode,74,72,79,63,0.09282378544334918,No difference
Nimbus,198,191,177,163,0.08516592855011476,No difference
Node Guardians,49,48,49,49,0.010256410256410256,No difference
NumbaNERDs,69,67,58,63,0.07558392884219697,No difference
ODTU Blockchain,10,10,11,19,0.3487119154832539,Quadratic (longtail)
OP Governance,90,88,46,66,0.28613071967819054,Median
OP Reth,148,143,132,144,0.048321511082973584,No difference
OP Security,11,18,17,12,0.24219893684718938,Median (exclude 0s)
OPChainList,10,11,14,12,0.14534681937531344,Mean
Odos,49,48,25,34,0.296816330840775,Median
Onboard en,5,5,5,13,0.5714285714285714,Quadratic (longtail)
Open Source Observer,129,124,85,111,0.1753865143877568,Median
OpenOcean,45,57,29,28,0.349419985744246,Median (exclude 0s)
OpenZeppelin,247,238,206,262,0.09934774714413117,No difference
Optidomains,22,24,15,16,0.22988602679396977,Median (exclude 0s)
OptiChads,11,12,9,11,0.11705169667086433,Median (exclude 0s)
OptiNames ENS,49,48,29,45,0.21807978590170754,Median
Optimism Ambassadors,99,95,53,47,0.37135630106003215,Median
Optimism,47,46,93,66,0.3494467666869496,Mean
Optimism Español,15,15,21,36,0.45572937015170134,Quadratic
Optimism Grant,30,29,25,25,0.09651213356611314,No difference
Optimism,30,29,30,42,0.18884453247103788,Quadratic
Optimism,49,48,59,68,0.1681481772836373,Quadratic
Optimism Guide,20,19,21,34,0.2998918370477443,Quadratic
Optimism,31,30,23,23,0.16259175514890825,Median
Optimism,20,19,19,35,0.33752709296038863,Quadratic
Optimism Translators,99,95,122,70,0.22071971256091122,Mean
Optimism Türkiye,11,12,15,26,0.4299951550114644,Quadratic
Optimism University,20,19,20,29,0.21320071635561044,Quadratic
Optimism,11,10,9,16,0.27035881313300913,Quadratic (longtail)
OptimismArabia,5,5,6,15,0.6266151520143426,Quadratic (longtail)
OptimismCIS,2,3,2,5,0.47140452079103173,Quadratic (longtail)
OptimismCIS,7,10,11,18,0.4047605809788099,Quadratic (longtail)
Optimistic Indexer,99,95,68,68,0.20391034959103907,Median
Optimystics,30,33,18,25,0.2474505103510189,Median (exclude 0s)
Otterscan,178,172,157,233,0.1794399207859225,Quadratic
OurNetwork,10,10,41,24,0.6930866387487177,Mean
P256Verifier,99,95,88,106,0.07760542811433824,No difference
PR0,65,72,44,35,0.32181754068486607,Median (exclude 0s)
PWN DAO,37,43,33,24,0.23281506012468486,Median (exclude 0s)
Paco Bytes,73,71,91,76,0.11664538358338941,Mean
Pairwise,96,95,83,106,0.0991189255566704,No difference
Parsec Finance,20,20,20,20,0.0,No difference
Patrick Workman,60,58,46,52,0.11712139482105109,Median
PatrickAlphaC,84,81,54,66,0.1956120682774225,Median
Peter Priew Sommon,2,4,3,9,0.6909169668954678,Quadratic (longtail)
Pheasant Network,25,24,58,19,0.5670022571267223,Mean
Pidgin Parlour,5,5,5,10,0.4,Quadratic (longtail)
Pin Save,20,24,22,20,0.08906298676803145,No difference
Pocket Network,62,60,51,64,0.09683214896235445,No difference
Polynomial Bytes,14,15,31,21,0.38542780161211837,Mean
Ponder,49,48,24,38,0.292210399732091,Median
Praise,59,67,65,84,0.1559260967843491,Quadratic
Prettier Solidity,93,90,67,114,0.21137784683155322,Quadratic
ProMint,5,5,3,6,0.26490647141300877,Quadratic (longtail)
Proof of Integrity,19,19,19,27,0.19047619047619047,Quadratic
Protocol Guild,663,639,652,455,0.163811615681889,Median
Protofire,20,19,34,35,0.3214621374392972,Quadratic
Public Assembly,49,48,41,41,0.09719171955828594,No difference
Public Goods,59,72,37,27,0.41984520696139827,Median (exclude 0s)
Public HAUS,49,48,32,47,0.1827626982093154,Median
Public Nouns,49,72,97,59,0.2997622004663108,Mean
Pyth Network,74,73,72,68,0.036654434002461087,No difference
RADAR,49,48,35,33,0.2041503854005621,Median
RabbitHole,76,73,60,79,0.11620278146306605,No difference
RadicalxChange,53,51,68,86,0.25143061612754813,Quadratic
Rainbow Wallet,76,73,86,85,0.08100925873009826,No difference
RainbowKit,99,95,104,147,0.21677338357709616,Quadratic
Randomness Ceremony,15,19,11,12,0.2522088731327231,Median (exclude 0s)
RareSkills,13,14,12,11,0.10327955589886445,No difference
ReFi Medellín,15,16,21,22,0.1898315991504998,Quadratic (longtail)
Redacted Research,25,24,22,20,0.09746618824652067,No difference
RegenScore,20,19,30,42,0.3863033929341982,Quadratic
Remix CC,20,19,17,21,0.08871818844986665,No difference
Remix Project,247,238,205,252,0.08977653720537568,No difference
Reno,20,19,28,17,0.23002185311411807,Mean
Republik Rupiah,15,14,12,21,0.24986989330370432,Quadratic (longtail)
RetroPGF Community,49,52,41,39,0.13786347898499374,Median (exclude 0s)
RetroPGF Hub,45,43,36,53,0.15805751607048804,Quadratic
Retrolist,49,48,29,35,0.24458698841610532,Median
Revelo Intel,5,5,8,14,0.5303300858899106,Quadratic (longtail)
Revert,31,30,20,22,0.2159330397101913,Median
Revokecash,148,143,124,192,0.1894969275824178,Quadratic
Revolte,21,20,13,15,0.22389623625616362,Median
RoOptimism,5,5,6,16,0.6692657668420421,Quadratic (longtail)
Rodrigo NuñΞz,10,10,13,18,0.29607193863806863,Quadratic (longtail)
