slug,# GitHub Repos,Date First Commit,Total Stars,Total Forks,Total Contributors,Contributors Last 6 Months,Avg Monthly Active Devs Last 6 Months,# OP Contracts,Date First Txn,Total Onchain Users,Onchain Users Last 6 Months,Total Txns,Total Txn Fees (ETH),Txn Fees Last 6 Months (ETH),# NPM Packages,Date First Download,Total Downloads,Downloads Last 6 Months
jobstash,2,2023-01-16,,,6,5,0.3333333333333333,0,,0,0,,,,0,,,
justcause-smeee23,2,2021-09-14,2.0,1.0,3,1,0.6666666666666666,1,2023-09-05,7,7,117.0,0.0072713493803936435,0.0072713493803936435,0,,,
kairosresearch,4,2023-03-27,,,18,16,1.6666666666666667,0,,0,0,,,,0,,,
kernel-community,16,2019-01-19,72.0,48.0,146,9,0.8333333333333334,0,,0,0,,,,0,,,
keyring-so,1,2023-06-01,2.0,1.0,2,2,0.8333333333333334,0,,0,0,,,,0,,,
kiwi-news-attestate,3,2021-12-21,37.0,13.0,14,9,1.6666666666666667,3,2023-07-11,70,70,155.0,0.00015876035640896005,0.00015876035640896005,0,,,
kredeum,17,2021-01-14,14.0,13.0,15,3,0.6666666666666666,3,2022-11-01,11,11,23.0,0.000163471216556314,0.000162495288556314,0,,,
kromatika-finance,7,2021-10-07,3.0,5.0,13,3,0.16666666666666666,10,2021-11-21,2333,935,23345.0,0.12748865522303487,0.12565408071287443,0,,,
kwenta,22,2020-08-18,119.0,143.0,109,36,6.666666666666667,42,2022-02-27,133127,11800,575077.0,22.557444423395307,22.478230421173972,0,,,
l2beat,10,2020-05-05,388.0,249.0,210,84,8.0,0,,0,0,,,,0,,,
l2planet,4,2022-07-08,1.0,1.0,9,0,,0,,0,0,,,,0,,,
latticexyz,23,2021-09-04,557.0,146.0,135,78,4.5,0,,0,0,,,,0,,,
learnweb3dao,82,2021-12-13,168.0,93.0,227,12,0.6666666666666666,0,,0,0,,,,0,,,
lexdao,96,2019-10-15,174.0,43.0,77,9,1.1666666666666667,0,,0,0,,,,0,,,
libp2p,236,2014-03-11,5493.0,1036.0,1747,279,12.0,0,,0,0,,,,0,,,
lighthouse-sigp,1,2018-07-06,2571.0,647.0,508,94,0.16666666666666666,0,,0,0,,,,0,,,
limechain,122,2017-11-13,192.0,46.0,208,43,2.0,0,,0,0,,,,0,,,
llamafolio,6,2022-06-27,112.0,23.0,18,9,3.0,0,,0,0,,,,0,,,
lodestar-chainsafe,1,2018-06-22,984.0,254.0,187,45,2.6666666666666665,0,,0,0,,,,0,,,
lxdao-official,59,2021-11-21,273.0,130.0,74,36,10.5,0,,0,0,,,,3,2023-02-02,2689.0,1948.0
lyra-finance,20,2021-05-26,97.0,52.0,34,7,0.6666666666666666,265,2021-12-13,63063,4626,639833.0,7.323335049603968,6.770571006261359,0,,,
mechanism-institute,1,2023-07-03,1.0,,1,1,0.16666666666666666,0,,0,0,,,,0,,,
