transaction_name,transaction_name_url,organization_name,organization_name_url,funding_type,money_raised,money_raised_currency,money_raised_usd,announced_date,funding_stage,pre_money_valuation,pre_money_valuation_currency,pre_money_valuation_usd,equity_only_funding,sentiment,total_funding_amount,total_funding_amount_currency,total_funding_amount_usd,number_of_funding_rounds,lead_investors,investor_names,number_of_investors,number_of_partner_investors,organization_website
Series A - Lit Protocol,https://www.crunchbase.com/funding_round/lit-protocol-series-a--9a909e82,Lit Protocol,https://www.crunchbase.com/organization/lit-protocol,Series A,13000000,USD,13000000,2022-09-22,Early Stage Venture,,,,Yes,,15200000,USD,15200000,3,1kx,"1kx, 6th Man Ventures, A.Capital Ventures, Eniac Ventures, Figment, Filecoin Foundation, Lattice Capital, OpenSea Ventures, Slow Ventures, Spaceship, The LAO, Valhalla Ventures, Village Global, Visary Capital",14,,https://litprotocol.com/
Grant - Kindred,https://www.crunchbase.com/funding_round/metapals-grant--bbfbdc34,Kindred,https://www.crunchbase.com/organization/metapals,Grant,400000,USD,400000,2024-01-23,,,,,No,,1207000,USD,1207000,4,,,,,https://www.kindredlabs.ai/
Seed Round - Magna,https://www.crunchbase.com/funding_round/magna-7a00-seed--70a23a89,Magna,https://www.crunchbase.com/organization/magna-7a00,Seed,15200000,USD,15200000,2022-09-15,Seed,54800000,USD,54800000,Yes,,15700000,USD,15700000,2,Tiger Global Management,"Alchemy Ventures, Ali Tamaseb, Alumni Ventures, Asymmetric, Ava Labs, Avalanche, Balaji Srinivasan, Blockchain Founders Fund, Circle Ventures, Galaxy Digital, GSR, gumi Cryptos Capital (gCC), Karatage, Liquid 2 Ventures, Marin Ventures, MetaWeb Ventures, Olive Tree Capital, Pioneer Fund, Plug and Play, Polygon, Protocol Labs, Protofund, Ryan Selkis, Shima Capital, Side Door Ventures, Solana Ventures, Steve Aoki, Tiger Global Management, Tusk Venture Partners, Y Combinator Continuity Fund",30,5,https://magna.so
Series A - Monaverse,https://www.crunchbase.com/funding_round/mona-gallery-inc-series-a--e5ef2318,Monaverse,https://www.crunchbase.com/organization/mona-gallery-inc,Series A,14600000,USD,14600000,2022-06-30,Early Stage Venture,,,,Yes,,16600000,USD,16600000,2,"Archetype, Collab+Currency, Protocol Labs","A.Capital Ventures, Antenna Ventures, Archetype, Big Brain Holdings, Collab+Currency, Conlan Rios, ConsenSys Mesh, Dennison Bertram, Everyrealm, Fourth Revolution Capital, Gaingels, Gmoney CryptoPunk, LongHash Ventures, Miles Anthony, OpenSea Ventures, Palm Tree Crew Investments, Placeholder, POAP, Polygon Studios, Protocol Labs, Rahilla Zafar, Ready Player DAO, SV Angel, Taavet+Sten, The Grey Trust, The Venture Reality Fund/VRF",26,4,http://monaverse.com
Pre Seed Round - Valist,https://www.crunchbase.com/funding_round/valist-pre-seed--6a2e2f12,Valist,https://www.crunchbase.com/organization/valist,Pre-Seed,,,,2021-02-22,Seed,,,,Yes,,,,,1,2048 Ventures,"2048 Ventures, Active Capital, ConsenSys, ConsenSys Mesh, CRV, Protocol Labs",6,,https://valist.io
Seed Round - Joyn,https://www.crunchbase.com/funding_round/joyn-7ada-seed--48f1f0ab,Joyn,https://www.crunchbase.com/organization/joyn-7ada,Seed,3500000,USD,3500000,2022-04-07,Seed,,,,Yes,,3500000,USD,3500000,2,"GBV Capital, IOSG Ventures","Akatsuki Games Inc., Axia8 Ventures, Bixin Ventures, Calvin Chu, ConsenSys, GBV Capital, Geoff Renaud, IOSG Ventures, Keith Rumjahn, Kinsa Durst, LongHash Ventures, Mohak Agarwal, Protocol Labs, Sandeep Nailwal, Signum Capital, Sora Ventures, TN Lee, Travis Wu",18,,https://www.joyn.xyz/
Pre Seed Round - Portrait,https://www.crunchbase.com/funding_round/portrait-e472-pre-seed--77d743db,Portrait,https://www.crunchbase.com/organization/portrait-e472,Pre-Seed,200000,USD,200000,2022-08-15,Seed,,,,Yes,,200000,USD,200000,1,"LongHash Ventures, Protocol Labs","LongHash Ventures, Protocol Labs",2,,https://portrait.so/
Seed Round - Molecule,https://www.crunchbase.com/funding_round/molecule-bcd4-seed--d449b95e,Molecule,https://www.crunchbase.com/organization/molecule-bcd4,Seed,1000000,USD,1000000,2023-12-08,Seed,,,,Yes,,21200000,USD,21200000,4,,Sora Ventures,1,,https://molecule.to/
Series A - Coinshift,https://www.crunchbase.com/funding_round/coinshift-series-a--ca961544,Coinshift,https://www.crunchbase.com/organization/coinshift,Series A,15000000,USD,15000000,2022-05-17,Early Stage Venture,,,,Yes,,17500000,USD,17500000,2,Tiger Global Management,"Alameda Ventures, Alpha Wave Global, Ethereal Ventures, HashKey Capital, iSeed, Lenny Rachitsky, Peak XV Partners, Prabhakar Reddy, Quiet Capital, Ryan Hoover, Sandeep Nailwal, Scott Belsky, Shaan Puri, Shiva Rajaraman, The Spartan Group, Tiger Global Management, Utsav Somani, Volt Capital",18,4,https://coinshift.xyz/
Venture Round - Surus,https://www.crunchbase.com/funding_round/surus-eccd-series-unknown--e5789281,Surus,https://www.crunchbase.com/organization/surus-eccd,Venture - Series Unknown,10620299,USD,10620299,2025-03-21,,,,,Yes,,18620299,USD,18620299,2,,,,,https://www.surus.io/
Seed Round - Surus,https://www.crunchbase.com/funding_round/surus-eccd-seed--d658c434,Surus,https://www.crunchbase.com/organization/surus-eccd,Seed,8000000,USD,8000000,2025-02-13,Seed,,,,Yes,,18620299,USD,18620299,2,Castle Island Ventures,"Castle Island Ventures, Plural VC, Propel, Protagonist, Protocol VC, Restive",6,1,https://www.surus.io/
Seed Round - GitPOAP,https://www.crunchbase.com/funding_round/gitpoap-seed--a796ff86,GitPOAP,https://www.crunchbase.com/organization/gitpoap,Seed,4280000,USD,4280000,2022-08-18,Seed,,,,Yes,,4280000,USD,4280000,1,"Inflection.xyz, Libertus Capital","Anthony Sassano, Avalanche VC, Balaji Srinivasan, Inflection.xyz, Libertus Capital, Mariano Conti, Patricio Worthalter, POAP, Protocol Labs, Superphiz Conti",10,,https://www.gitpoap.io
Series A - Rarify,https://www.crunchbase.com/funding_round/rarify-series-a--81212d45,Rarify,https://www.crunchbase.com/organization/rarify,Series A,10000000,USD,10000000,2022-03-03,Early Stage Venture,90000000,USD,90000000,Yes,,12000000,USD,12000000,2,Pantera Capital,"Greycroft, Hyper, Pantera Capital, Shane Neman, Slow Ventures, Visary Capital",6,1,https://rarify.tech/
Seed Round - Tephra Labs,https://www.crunchbase.com/funding_round/tephra-labs-seed--90160b97,Tephra Labs,https://www.crunchbase.com/organization/tephra-labs,Seed,5000000,USD,5000000,2022-08-01,Seed,,,,Yes,,5000000,USD,5000000,1,"Archetype, Variant","Archetype, BlueYard Capital, Colin Evran, Juan Benet, Kartik Talwar, Protocol Labs, Variant",7,,https://www.tephra.com/
Pre Seed Round - Lomads,https://www.crunchbase.com/funding_round/lomads-pre-seed--f1543e0c,Lomads,https://www.crunchbase.com/organization/lomads,Pre-Seed,320000,USD,320000,2022-09-21,Seed,,,,Yes,,320000,USD,320000,1,,"Farfetch, HBAR Foundation, Outlier Ventures, Polkadot, Protocol Labs",5,,https://www.lomads.xyz
Seed Round - Spice AI,https://www.crunchbase.com/funding_round/spice-ai-seed--e1ddd0a2,Spice AI,https://www.crunchbase.com/organization/spice-ai,Seed,13500000,USD,13500000,2022-09-07,Seed,,,,Yes,,14555000,USD,14555000,2,Madrona,"Alumni Ventures, Asymmetric, Basis Set Ventures, Blackbird Ventures, Cardinia Ventures, Elysium Venture Capital, Founders' Co-op, Geek Ventures, IEX Group, Joe McCann, Madrona, Picus Capital, Protocol Labs, Shane Mac, TA Ventures, Thomas Dohmke",16,4,https://spice.ai
Pre Seed Round - Leather Corp,https://www.crunchbase.com/funding_round/leather-corp-pre-seed--ebad914e,Leather Corp,https://www.crunchbase.com/organization/leather-corp,Pre-Seed,685000,USD,685000,2021-12-06,Seed,,,,Yes,,785000,USD,785000,3,,"Antler, Arian Simone, Gregory Gunn, Oliver Cameron, On Deck, Protocol Labs, Sherveen Mashayekhi, Village Global",8,2,https://www.leather.tv
Series B - Element,https://www.crunchbase.com/funding_round/new-vector-im-series-b--418b3026,Element,https://www.crunchbase.com/organization/new-vector-im,Series B,30000000,USD,30000000,2021-07-19,Early Stage Venture,,,,Yes,,46200000,USD,46200000,5,Protocol Labs,"Automattic, Metaplanet, Notion Capital, Protocol Labs",4,1,https://element.io
Series A - Fleek,https://www.crunchbase.com/funding_round/fleek-2537-series-a--1f82afa4,Fleek,https://www.crunchbase.com/organization/fleek-2537,Series A,25000000,USD,25000000,2022-12-01,Early Stage Venture,,,,Yes,,25000000,USD,25000000,4,Polychain,"Argonautic Ventures, Arweave, Coinbase Ventures, Digital Currency Group, Distributed Global, North Island Ventures, Polychain, Protocol Labs, The LAO",9,1,https://fleek.xyz/
Grant - TransCrypts,https://www.crunchbase.com/funding_round/transcrypts-grant--31e6ef52,TransCrypts,https://www.crunchbase.com/organization/transcrypts,Grant,,,,2021-05-30,,,,,No,,20620000,USD,20620000,6,San Jose State University,"Rice University, San Jose State University, University of Toronto",3,,https://www.transcrypts.com
Pre Seed Round - Āut Labs,https://www.crunchbase.com/funding_round/aut-protocol-pre-seed--d94f9845,Āut Labs,https://www.crunchbase.com/organization/aut-protocol,Pre-Seed,1650000,USD,1650000,2022-02-02,Seed,12500000,USD,12500000,Yes,,1650000,USD,1650000,2,Third Kind Venture Capital,"Arjun Krishan Kalsy, ConSensys Ventures, Edward Lando, Eniac Ventures, Fenbushi Capital, Graph Ventures, HashKey Capital, John Packel, Pareto Holdings, Protocol Labs, Scott Belsky, Third Kind Venture Capital, Youbi Capital",13,4,https://aut.gg/
Pre Seed Round - Bunkyr,https://www.crunchbase.com/funding_round/bunkyr-pre-seed--8b6fca5d,Bunkyr,https://www.crunchbase.com/organization/bunkyr,Pre-Seed,1000000,USD,1000000,2022-06-16,Seed,,,,Yes,,1000000,USD,1000000,1,,"Daniel Shi, Exceptional Capital, FAST — by GETTYLAB, Gianfranco Gentille, Justin Kan, Protocol Labs, Robin Chan, Soma Capital, Thomas Piccirello, Y Combinator",10,,https://bunkyr.com/
Series A - WeatherXM,https://www.crunchbase.com/funding_round/weatherxm-b41a-series-a--9bbaed30,WeatherXM,https://www.crunchbase.com/organization/weatherxm-b41a,Series A,7700000,USD,7700000,2024-05-22,Early Stage Venture,,,,Yes,,12700000,USD,12700000,3,Faction,"Alumni Ventures, Arca, Borderless Capital, ConsenSys Mesh, dlab, Eleftherios Diakomichalis, Faction, GS Futures, Juan Benet, Metaplanet, Placeholder, Protocol Labs, Redbeard Ventures, Westerly Ventures",14,2,https://www.weatherxm.com
Series A - 3Box,https://www.crunchbase.com/funding_round/3box-series-a--95d35c83,3Box,https://www.crunchbase.com/organization/3box,Series A,30000000,USD,30000000,2022-02-16,Early Stage Venture,,,,Yes,,32500000,USD,32500000,2,"Multicoin Capital, Union Square Ventures","6th Man Ventures, Aditi Sriram, Alessio Fanelli, Alexander Salnikov, Alisha Eth, Amplify Partners, Animoca Brands, Annika Lewis, Billy Luedke, BitScale, Blake Jennelle, BlockScience, Brian Flynn, Calvin Liu, Chase Chapman, Chris Hamm, Coinbase Ventures, CoinFund, Collab+Currency, Collaborative Fund, ConsenSys, Dan Romero, Daniel Heyman, DAOsquare, Dapper Labs, David Phelps, DeFi Dad, Derek Yoo, Dialectic, Digital Currency Group, Distributed Global, Edge & Node Ventures, Eleftherios Diakomichalis, Fenbushi Capital, Figment, Florian Hagenbuch, Gaingels, Hashed, Illia Polosukhin, Jad Esber, Jeremy Sklaroff, Joseph Lallouz, Julia Lipton, Julia Rosenberg, Jump Crypto, Keith Grose, Ken Gunter, Kerman Kohli, Mason Nystrom, Meltem Demirors, MetaCartel Ventures, Multicoin Capital, NiMA Asghari, Northzone, Not Boring, Oak sprout, P2P Capital, Page One Ventures, Placeholder, Polymorphic Capital, Protocol Labs, Reciprocal Ventures, Redbeard Ventures, Robert Toews, Roham Gharegozlou, Ryan Selkis, Stefan George, StreamingFast, Suji Yan, Tegan Kline, The Fintech Fund, The LAO, Underscore VC, Union Square Ventures, Vadim Koleoshkin, Variant, Venrock, Warburg Serres Investments, Yannick Folla, Zach Frankel, Zee Prime Capital",81,,https://3boxlabs.com/
Seed Round - Coinfeeds,https://www.crunchbase.com/funding_round/coinfeeds-seed--e846e39a,Coinfeeds,https://www.crunchbase.com/organization/coinfeeds,Seed,2000000,USD,2000000,2021-08-31,Seed,,,,Yes,,2000000,USD,2000000,1,FTX Ventures,"Coinbase Ventures, FTX Ventures, Huobi Ventures, Orange DAO, Protocol Labs, Third Kind Venture Capital, Y Combinator",7,3,http://www.coinfeeds.io
Secondary Market - Mask Network,https://www.crunchbase.com/funding_round/dimension-293e-secondary-market--74081355,Mask Network,https://www.crunchbase.com/organization/dimension-293e,Secondary Market,5000000,USD,5000000,2023-01-19,,,,,No,,53850000,USD,53850000,11,DWF Labs,DWF Labs,1,,https://mask.io
Venture Round - Hex Trust,https://www.crunchbase.com/funding_round/hex-trust-series-unknown--fe27a432,Hex Trust,https://www.crunchbase.com/organization/hex-trust,Venture - Series Unknown,10000000,USD,10000000,2021-10-05,,,,,Yes,,131000000,USD,131000000,7,"Animoca Brands, Cyberport Hong Kong","Algorand Asia Accelerator, Animoca Brands, BCW Group, Cyberport Hong Kong, Double Peak Group, Mind Fund, Ripple, Tessera Capital Partners, Token Bay Capital",9,2,https://www.hextrust.com
Pre Seed Round - Ephere Football,https://www.crunchbase.com/funding_round/ephere-football-pre-seed--b7828516,Ephere Football,https://www.crunchbase.com/organization/ephere-football,Pre-Seed,250000,USD,250000,2022-12-13,Seed,,,,Yes,,535000,USD,535000,2,,"Alexander Torrenegra, C4+, Protocol Labs, Techstars",4,,https://ephere.football
Pre Seed Round - Societal,https://www.crunchbase.com/funding_round/societal-66a5-pre-seed--f2f6adc3,Societal,https://www.crunchbase.com/organization/societal-66a5,Pre-Seed,100000,USD,100000,2022-09-06,Seed,,,,Yes,,100000,USD,100000,1,,"Farfetch, HBAR Foundation, Outlier Ventures, Polkadot, Protocol Labs",5,,https://www.sctl.xyz
Series A - CyberConnect,https://www.crunchbase.com/funding_round/cyberconnect-series-a--b29cf8cc,CyberConnect,https://www.crunchbase.com/organization/cyberconnect,Series A,15000000,USD,15000000,2022-05-17,Early Stage Venture,,,,Yes,,25000000,USD,25000000,3,"Animoca Brands, Sky9 Capital","Amber Group, Animoca Brands, Delphi Ventures, GGV Capital, IOSG Ventures, Polygon Studios, Protocol Labs, SevenX Ventures, Sky9 Capital, StreamingFast, The Spartan Group, Tribe Capital, XRM Media",13,1,https://cyberconnect.me/
Corporate Round - Chingari,https://www.crunchbase.com/funding_round/chingari-corporate-round--31e35c8d,Chingari,https://www.crunchbase.com/organization/chingari,Corporate Round,,,,2023-02-08,,,,,Yes,,88423327,USD,88423327,7,Aptos,Aptos,1,,https://chingari.io/
Series D - double jump.tokyo,https://www.crunchbase.com/funding_round/doublejump-tokyo-series-d--64cac05f,double jump.tokyo,https://www.crunchbase.com/organization/doublejump-tokyo,Series D,1500000000,JPY,10384863,2024-08-28,Late Stage Venture,,,,Yes,,36267354,USD,36267354,6,SBI Investment,"Bing Ventures, Gate Ventures, SBI Investment, Sony Group Corporation, Taisu Ventures, TM Capital",6,6,https://www.doublejump.tokyo/
Series D - ConsenSys,https://www.crunchbase.com/funding_round/consensus-systems-series-d--049c42ff,ConsenSys,https://www.crunchbase.com/organization/consensus-systems,Series D,450000000,USD,450000000,2022-02-15,Late Stage Venture,6550000000,USD,6550000000,Yes,,725000000,USD,725000000,6,ParaFi Capital,"Anthos Capital, C Ventures, ConsenSys Mesh, Corner Capital Management, Ethos Family Office, Jets Capital, Junipero Capital, King River Capital, Marshall Wace, Microsoft, NJF Capital, ParaFi Capital, Pario Ventures, Platinum Capital, SoftBank Vision Fund, Sound Ventures, Tagus Capital, Temasek Holdings, Third Point Ventures, True Capital Management, UTA.VC",21,6,https://consensys.io
Seed Round - Numbers Protocol,https://www.crunchbase.com/funding_round/numbers-protocol-seed--46e8bc8a,Numbers Protocol,https://www.crunchbase.com/organization/numbers-protocol,Seed,150000,USD,150000,2023-05-10,Seed,,,,Yes,,6470000,USD,6470000,12,,"Farfetch, Outlier Ventures",2,,https://numbersprotocol.io
Seed Round - Exorde Labs,https://www.crunchbase.com/funding_round/exorde-labs-seed--5a88b5a1,Exorde Labs,https://www.crunchbase.com/organization/exorde-labs,Seed,1300000,USD,1300000,2022-03-01,Seed,45000000,USD,45000000,Yes,,2500000,USD,2500000,3,,Ceras Ventures,1,,https://exorde.network/
Pre Seed Round - Leather Corp,https://www.crunchbase.com/funding_round/leather-corp-pre-seed--d1f11fe1,Leather Corp,https://www.crunchbase.com/organization/leather-corp,Pre-Seed,100000,USD,100000,2023-03-28,Seed,,,,Yes,,785000,USD,785000,3,,Outlier Ventures,1,,https://www.leather.tv
Seed Round - CurrentsFM,https://www.crunchbase.com/funding_round/currentsfm-seed--ac9f45a5,CurrentsFM,https://www.crunchbase.com/organization/currentsfm,Seed,2500000,USD,2500000,2022-01-04,Seed,,,,Yes,,2500000,USD,2500000,1,Blockchain Capital,"Anatoly Yakovenko, Backstage Capital, Blockchain Capital, Protocol Labs",4,,https://a.currents.fm
Seed Round - Curio Digital,https://www.crunchbase.com/funding_round/curio-digital-seed--74e1f46f,Curio Digital,https://www.crunchbase.com/organization/curio-digital,Seed,7000000,USD,7000000,2021-05-14,Seed,,,,Yes,,8220000,USD,8220000,3,LongHash Ventures,"Double Peak Group, Fenbushi Capital, gumi Cryptos Capital (gCC), Kenetic, LongHash Ventures, Marc Geiger, ODIG, Picus Capital, Protocol Labs, Rich Battista",10,3,https://oncurio.com/
Pre Seed Round - The Convo Space,https://www.crunchbase.com/funding_round/the-convo-space-pre-seed--f0c60cf3,The Convo Space,https://www.crunchbase.com/organization/the-convo-space,Pre-Seed,80000,USD,80000,2021-06-08,Seed,,,,Yes,,80000,USD,80000,1,Tachyon by ConSensys Mesh,"ConsenSys, Protocol Labs, Tachyon by ConSensys Mesh",3,,https://theconvo.space/
Series A - Rarify Labs,https://www.crunchbase.com/funding_round/rarify-labs-series-a--b76be3bb,Rarify Labs,https://www.crunchbase.com/organization/rarify-labs,Series A,10000000,USD,10000000,2022-03-03,Early Stage Venture,,,,Yes,,12000000,USD,12000000,2,Pantera Capital,"Circle Ventures, Eniac Ventures, Greycroft, Hyper, Pantera Capital, Protocol Labs, Scott Belsky, Slow Ventures",8,,https://www.rarifylabs.com/
Funding Round - Impossible Cloud Network,https://www.crunchbase.com/funding_round/impossible-cloud-network-undisclosed--f8d8b6b4,Impossible Cloud Network,https://www.crunchbase.com/organization/impossible-cloud-network,Funding Round,13000000,USD,13000000,2024-11-01,,,,,Yes,,65000000,USD,65000000,5,,,,,https://icn.global
Seed Round - MeMusic,https://www.crunchbase.com/funding_round/memusic-seed--b93bdd08,MeMusic,https://www.crunchbase.com/organization/memusic,Seed,1100000,USD,1100000,2022-05-29,Seed,,,,Yes,,1150000,USD,1150000,2,,"Hoo.com, Protocol Labs, Rawtech Ventures, ZBS CAPITAL",4,,https://memusic.io/
Series A - Gensyn,https://www.crunchbase.com/funding_round/gensyn-series-a--73e273ec,Gensyn,https://www.crunchbase.com/organization/gensyn,Series A,43000000,USD,43000000,2023-06-11,Early Stage Venture,,,,Yes,,50600000,USD,50600000,3,a16z crypto,"a16z crypto, Canonical Crypto, CoinFund, Eden Block, Id4 ventures, M31 Capital, Maven 11 Capital, Peer Venture Partners, Protocol Labs, Zee Prime Capital",10,4,https://www.gensyn.ai
Seed Round - Fayre,https://www.crunchbase.com/funding_round/fayre-seed--4213c9b5,Fayre,https://www.crunchbase.com/organization/fayre,Seed,3800000,USD,3800000,2022-02-14,Seed,,,,Yes,,3800000,USD,3800000,1,,"BMW Venture Capital, China Polka, Dutch Crypto Investors, Outlier Ventures, Protocol Labs, Titans Ventures",6,,https://www.fayre.com
Pre Seed Round - AstraKode,https://www.crunchbase.com/funding_round/astrakode-pre-seed--52881b81,AstraKode,https://www.crunchbase.com/organization/astrakode,Pre-Seed,60000,EUR,63047,2023-10-04,Seed,,,,Yes,,322991,USD,322991,5,,Tatum,1,,https://www.astrakode.tech/
Seed Round - STYLE Protocol,https://www.crunchbase.com/funding_round/style-protocol-seed--a13b0792,STYLE Protocol,https://www.crunchbase.com/organization/style-protocol,Seed,2500000,USD,2500000,2022-06-01,Seed,,,,Yes,,2500000,USD,2500000,1,,"Alpha Ventures, AlphaGrep, Blockhub DAO, Dutch Crypto Investors, Faber, Filecoin, FunFair Ventures, GBV Capital, Morningstar Ventures, Protocol Labs",10,,https://www.protocol.style
Grant - Alt Labs,https://www.crunchbase.com/funding_round/alt-labs-grant--15c43bc0,Alt Labs,https://www.crunchbase.com/organization/alt-labs,Grant,1000000,USD,1000000,2021-11-01,,,,,No,,1000000,USD,1000000,1,,Protocol Labs,1,,https://altlabs.dev
Seed Round - Jordan.ai,https://www.crunchbase.com/funding_round/jordan-ai-seed--7fd8af0e,Jordan.ai,https://www.crunchbase.com/organization/jordan-ai,Seed,3000000,USD,3000000,2022-03-15,Seed,,,,Yes,,3000000,USD,3000000,1,,"Great Oaks Venture Capital, MaC Venture Capital, NOMO Ventures, Protocol Labs, Soma Capital",5,,https://jordan.ai
Pre Seed Round - Matters Lab,https://www.crunchbase.com/funding_round/matters-lab-pre-seed--66699ce6,Matters Lab,https://www.crunchbase.com/organization/matters-lab,Pre-Seed,2000000,USD,2000000,2022-01-27,Seed,,,,Yes,,2000000,USD,2000000,1,,"Assembly Partners, CRUST, Incuba Alpha, Infinity Labs, LongLing Capital, Mask Network, Protocol Labs",7,,https://matters-lab.io/
Seed Round - BlokHost,https://www.crunchbase.com/funding_round/blokhost-seed--9c210284,BlokHost,https://www.crunchbase.com/organization/blokhost,Seed,75000,USD,75000,2023-01-24,Seed,,,,Yes,,75000,USD,75000,1,,"Filecoin, Outlier Ventures, Protocol Labs",3,,https://blok.host
Pre Seed Round - Mint Gate,https://www.crunchbase.com/funding_round/mint-gate-pre-seed--23a41bcb,Mint Gate,https://www.crunchbase.com/organization/mint-gate,Pre-Seed,,,,2022-01-13,Seed,,,,Yes,,,,,2,,"CMT Digital, ConsenSys Mesh, Cypher Capital, Dapper Labs, IOSG Ventures, Kernel Ventures, NEAR, PARSIQ, Protocol Labs, SevenX Ventures, Sterling.VC, Tachyon by ConSensys Mesh, YBB Foundation",13,,https://www.mintgate.io/
Convertible Note - KLOOV,https://www.crunchbase.com/funding_round/kloov-convertible-note--7b7a81fc,KLOOV,https://www.crunchbase.com/organization/kloov,Convertible Note,50000,EUR,51312,2022-08-01,,,,,No,,180000,EUR,195726,3,,Protocol Labs,1,,https://kloov.com
Grant - Mintflick,https://www.crunchbase.com/funding_round/mintflick-grant--f4694fc3,Mintflick,https://www.crunchbase.com/organization/mintflick,Grant,12500,USD,12500,2022-03-01,,,,,No,,32500,USD,32500,3,,Polygon,1,,https://mintflick.app
Pre Seed Round - Finnt,https://www.crunchbase.com/funding_round/finnt-pre-seed--fbc02bb9,Finnt,https://www.crunchbase.com/organization/finnt,Pre-Seed,600000,USD,600000,2022-01-01,Seed,,,,Yes,,3500000,USD,3500000,2,,"Isai, Kima Ventures, Y Combinator",3,,https://www.finnt.com
Pre Seed Round - Functionland,https://www.crunchbase.com/funding_round/functionland-pre-seed--104dfd60,Functionland,https://www.crunchbase.com/organization/functionland,Pre-Seed,115000,USD,115000,2021-07-24,Seed,1000000,USD,1000000,Yes,,2235000,USD,2235000,4,,"CRUST, Filecoin Foundation, Outlier Ventures, Protocol Labs",4,1,https://fx.land/
Seed Round - Expanso,https://www.crunchbase.com/funding_round/expanso-seed--8a72c7d9,Expanso,https://www.crunchbase.com/organization/expanso,Seed,,,,2024-05-16,Seed,,,,Yes,,7500000,USD,7500000,2,,Samsung NEXT,1,,https://www.expanso.io
Seed Round - Parasail,https://www.crunchbase.com/funding_round/parasail-seed--109a13f7,Parasail,https://www.crunchbase.com/organization/parasail,Seed,4000000,USD,4000000,2024-05-28,Seed,46000000,USD,46000000,Yes,,4000000,USD,4000000,1,Protocol Labs,"AGE Crypto Asset Investment Fund, Bitrise Capital, D11 Labs, DWF Labs, Escape Velocity, Faculty Capital, Fenbushi Capital, Foresight Ventures, MH Ventures, Modular Capital, Protocol Labs, Waterdrip Capital",12,,https://www.parasail.network
Seed Round - Secured Finance,https://www.crunchbase.com/funding_round/secured-finance-seed--119a1caf,Secured Finance,https://www.crunchbase.com/organization/secured-finance,Seed,4000000,USD,4000000,2021-07-29,Seed,,,,Yes,,8080000,USD,8080000,3,"FinTech Collective, GSR, Huobi Capital, Protocol Labs","Dialectic, Double Peak Group, FinTech Collective, GSR, Huobi Capital, James DeNaut, Juan Benet, Justin Kan, Protocol Labs, Richard Ma, RockTree Capital, Scott Keto, Tikhon Bernstam, Triblock, Vinny Lingham",15,6,https://secured.finance/
Series B - Golden,https://www.crunchbase.com/funding_round/golden-2cb6-series-b--3c6824a6,Golden,https://www.crunchbase.com/organization/golden-2cb6,Series B,40000000,USD,40000000,2022-10-03,Early Stage Venture,,,,Yes,,59500000,USD,59500000,5,Andreessen Horowitz,"a16z Cultural Leadership Fund, Amirteymour Moazami, Andreessen Horowitz, Arash Ferdowsi, Avlok Kohli, Bastian Lehmann, Bossa Invest, Chaac Ventures, Dan Romero, DCVC, Dylan Field, FalconX, George Lambeth, Hanover Technology Investment Management, Harpoon, Juan Benet, Khaled Naim, Maryanna Saenko, Matt Bellamy, Michael Seibel, Milcom Ventures Partners, Neal Dempsey, OpenSea Ventures, Protocol Labs, Raj Gokal, SAV (Scale Asia Ventures), Socii Capital, Sridhar Ramaswamy, Stefano Bernardi, TRAC, Vela Partners, Wei Guo, Xoogler",33,2,https://golden.com
Seed Round - Molecule,https://www.crunchbase.com/funding_round/molecule-bcd4-seed--0554f285,Molecule,https://www.crunchbase.com/organization/molecule-bcd4,Seed,7500000,USD,7500000,2022-12-01,Seed,,,,Yes,,21200000,USD,21200000,4,Shine Capital,"1kx, Andrew Keys, L1D, Northpond Ventures, Protocol Labs, Shine Capital, Zee Prime Capital",7,1,https://molecule.to/
Seed Round - Chingari,https://www.crunchbase.com/funding_round/chingari-seed--918e9db7,Chingari,https://www.crunchbase.com/organization/chingari,Seed,,,,2020-08-19,Seed,,,,Yes,,88423327,USD,88423327,7,,"Blume Ventures, Brian Norgard, Fabrice Grinda, FJ Labs, Guy Lelouch, Shrishti Sahu, Swordfish Investments",7,,https://chingari.io/
Corporate Round - double jump.tokyo,https://www.crunchbase.com/funding_round/doublejump-tokyo-corporate-round--75679a9f,double jump.tokyo,https://www.crunchbase.com/organization/doublejump-tokyo,Corporate Round,200000000,JPY,1861582,2019-01-02,,,,,Yes,,36267354,USD,36267354,6,"Dera Game, Dream Link Entertainment, Gumi","Dera Game, Dream Link Entertainment, Gumi",3,,https://www.doublejump.tokyo/
Seed Round - thirdweb,https://www.crunchbase.com/funding_round/thirdweb-seed--512baa63,thirdweb,https://www.crunchbase.com/organization/thirdweb,Seed,5000000,USD,5000000,2021-12-13,Seed,,,,Yes,,29000000,USD,29000000,2,"Founders, Inc.","Founders, Inc., Gary Vaynerchuk, Mark Cuban, Presight Capital",4,1,https://thirdweb.com
