transaction_date,transaction_cnt,active_users,total_transferred,unique_users,retained_percent,daa_to_maa_ratio,total_transferred_in_tokens,cum_transferred
2024-06-20,2422.0,1385.0,2.868727025912199e+19,569.0,0.3386281588447653,0.04,28687.270259121993,4.804488002406115e+20
2024-06-21,2974.0,1641.0,3.0195922908569678e+19,823.0,0.28275441803778184,0.05,30195.92290856968,5.1064472314918116e+20
2024-06-22,2407.0,1260.0,3.2647832099757388e+19,468.0,0.36666666666666664,0.04,32647.832099757386,5.432925552489385e+20
2024-06-23,2472.0,1305.0,4.61853989645936e+19,498.0,0.36015325670498083,0.04,46185.3989645936,5.8947795421353214e+20
2024-06-24,6509.0,4584.0,3.0193848984035086e+19,3680.0,0.1106020942408377,0.14,30193.848984035085,6.196718031975673e+20
2024-06-25,3169.0,1916.0,2.8371990060156076e+19,643.0,0.44780793319415446,0.06,28371.990060156077,6.480437932577233e+20
2024-06-26,3465.0,1983.0,3.243229739900943e+19,459.0,0.5451336359051941,0.06,32432.297399009432,6.804760906567327e+20
2024-06-27,10308.0,3531.0,3.3084103981821956e+19,1516.0,0.35655621636930046,0.11,33084.10398182196,7.135601946385547e+20
2024-06-28,15819.0,6537.0,5.155568635145567e+19,4059.0,0.2776502983019734,0.2,51555.68635145567,7.651158809900104e+20
2024-06-29,16615.0,7491.0,4.39377479742204e+19,4789.0,0.25737551728741154,0.23,43937.7479742204,8.090536289642308e+20
2024-06-30,15734.0,5505.0,5.407548734194308e+19,2601.0,0.37475022706630334,0.17,54075.48734194308,8.631291163061739e+20
2024-07-01,61306.0,52073.0,1.9573196420157224e+20,49835.0,0.02592514354848002,0.04,195731.96420157223,1.0588610805077461e+21
2024-07-02,53867.0,46123.0,8.443691183503083e+19,43954.0,0.025995707130932508,0.04,84436.91183503083,1.143297992342777e+21
2024-07-03,26618.0,18675.0,6.584726656660978e+19,15850.0,0.08974564926372156,0.02,65847.26656660977,1.2091452589093867e+21
2024-07-04,40319.0,33103.0,1.0478033380732466e+20,30281.0,0.05102256593058031,0.03,104780.33380732466,1.3139255927167113e+21
2024-07-05,26497.0,20060.0,9.124379294511692e+19,18103.0,0.05333998005982054,0.02,91243.79294511692,1.4051693856618282e+21
2024-07-06,12188.0,3813.0,4.978368639725186e+19,1536.0,0.26173616574875425,0.0,49783.68639725186,1.45495307205908e+21
2024-07-07,12309.0,3720.0,1.133593774644626e+20,2230.0,0.30349462365591395,0.0,113359.37746446261,1.5683124495235427e+21
2024-07-08,14510.0,5325.0,1.324275183840972e+20,2238.0,0.23342723004694835,0.0,132427.5183840972,1.7007399679076399e+21
2024-07-09,15208.0,6653.0,1.4185546697158887e+20,3488.0,0.19930858259431836,0.01,141855.46697158887,1.8425954348792288e+21
2024-07-10,89956.0,80029.0,5.038976501932846e+20,76548.0,0.017381199315248223,0.06,503897.6501932846,2.3464930850725136e+21
2024-07-11,60182.0,50919.0,1.4579837784280241e+20,48459.0,0.027965985192167954,0.04,145798.3778428024,2.4922914629153157e+21
2024-07-12,50260.0,41255.0,3.8807234336834054e+20,37794.0,0.031244697612410617,0.03,388072.3433683405,2.880363806283656e+21
2024-07-13,126722.0,110528.0,3.810836394389083e+20,107499.0,0.014068833236826868,0.09,381083.6394389083,3.2614474457225647e+21
2024-07-14,35806.0,17555.0,1.0769795589833769e+20,6957.0,0.5277698661350043,0.01,107697.95589833769,3.369145401620902e+21
2024-07-15,66549.0,42047.0,3.53777771976167e+20,19284.0,0.2248911931885747,0.03,353777.771976167,3.7229231735970694e+21
2024-07-16,101628.0,77963.0,1.4243106618588804e+20,60930.0,0.09404461090517297,0.06,142431.06618588805,3.8653542397829574e+21
2024-07-17,93628.0,74141.0,2.609728786354491e+20,60502.0,0.12856584076287075,0.06,260972.8786354491,4.1263271184184063e+21
2024-07-18,187103.0,157779.0,3.8310686963735187e+20,119389.0,0.047002452797900864,0.13,383106.8696373519,4.5094339880557583e+21
2024-07-19,152295.0,128916.0,3.1372960605775626e+20,113232.0,0.0822628688448292,0.1,313729.6060577563,4.823163594113515e+21
