date,token,value,readable_date,protocol
1639612800,USDC,0.0,2021-12-16 00:00:00,alchemix
1639612800,WETH,433029409.80689,2021-12-16 00:00:00,alchemix
1639612800,DAI,427621013.7719,2021-12-16 00:00:00,alchemix
1639612800,WSTETH,0.0,2021-12-16 00:00:00,alchemix
1639699200,USDT,0.0,2021-12-17 00:00:00,alchemix
1639699200,RETH,0.0,2021-12-17 00:00:00,alchemix
1639699200,USDC,0.0,2021-12-17 00:00:00,alchemix
1639699200,WETH,430003021.82115,2021-12-17 00:00:00,alchemix
1639699200,DAI,427695722.69134,2021-12-17 00:00:00,alchemix
1639699200,WSTETH,0.0,2021-12-17 00:00:00,alchemix
1639785600,USDT,0.0,2021-12-18 00:00:00,alchemix
1639785600,RETH,0.0,2021-12-18 00:00:00,alchemix
1639785600,USDC,0.0,2021-12-18 00:00:00,alchemix
1639785600,WETH,419750054.95408,2021-12-18 00:00:00,alchemix
1639785600,DAI,428375688.89797,2021-12-18 00:00:00,alchemix
1639785600,WSTETH,0.0,2021-12-18 00:00:00,alchemix
1639872000,USDT,0.0,2021-12-19 00:00:00,alchemix
1639872000,RETH,0.0,2021-12-19 00:00:00,alchemix
1639872000,USDC,0.0,2021-12-19 00:00:00,alchemix
1639872000,WETH,427865362.08833,2021-12-19 00:00:00,alchemix
1639872000,DAI,428743089.03666,2021-12-19 00:00:00,alchemix
1639872000,WSTETH,0.0,2021-12-19 00:00:00,alchemix
1639958400,USDT,0.0,2021-12-20 00:00:00,alchemix
1639958400,RETH,0.0,2021-12-20 00:00:00,alchemix
1639958400,USDC,0.0,2021-12-20 00:00:00,alchemix
1639958400,WETH,425231674.92651,2021-12-20 00:00:00,alchemix
1639958400,DAI,427811528.85651,2021-12-20 00:00:00,alchemix
1639958400,WSTETH,0.0,2021-12-20 00:00:00,alchemix
1640044800,USDT,0.0,2021-12-21 00:00:00,alchemix
1640044800,RETH,0.0,2021-12-21 00:00:00,alchemix
1640044800,USDC,0.0,2021-12-21 00:00:00,alchemix
1640044800,WETH,426638035.36619,2021-12-21 00:00:00,alchemix
1640044800,DAI,442589878.5611,2021-12-21 00:00:00,alchemix
1640044800,WSTETH,0.0,2021-12-21 00:00:00,alchemix
1640131200,USDT,0.0,2021-12-22 00:00:00,alchemix
1640131200,RETH,0.0,2021-12-22 00:00:00,alchemix
1640131200,USDC,0.0,2021-12-22 00:00:00,alchemix
1640131200,WETH,435361552.6338,2021-12-22 00:00:00,alchemix
1640131200,DAI,441578432.5483,2021-12-22 00:00:00,alchemix
1640131200,WSTETH,0.0,2021-12-22 00:00:00,alchemix
1640217600,USDT,0.0,2021-12-23 00:00:00,alchemix
1640217600,RETH,0.0,2021-12-23 00:00:00,alchemix
1640217600,USDC,0.0,2021-12-23 00:00:00,alchemix
1640217600,WETH,432159177.02999,2021-12-23 00:00:00,alchemix
1640217600,DAI,441594530.67565,2021-12-23 00:00:00,alchemix
1640217600,WSTETH,0.0,2021-12-23 00:00:00,alchemix
1640304000,USDT,0.0,2021-12-24 00:00:00,alchemix
1640304000,RETH,0.0,2021-12-24 00:00:00,alchemix
1640304000,USDC,0.0,2021-12-24 00:00:00,alchemix
1640304000,WETH,444611152.23713,2021-12-24 00:00:00,alchemix
1640304000,DAI,441659809.72375,2021-12-24 00:00:00,alchemix
1640304000,WSTETH,0.0,2021-12-24 00:00:00,alchemix
1640390400,USDT,0.0,2021-12-25 00:00:00,alchemix
1640390400,RETH,0.0,2021-12-25 00:00:00,alchemix
1640390400,USDC,0.0,2021-12-25 00:00:00,alchemix
1640390400,WETH,438968668.09787,2021-12-25 00:00:00,alchemix
1640390400,DAI,441784116.13586,2021-12-25 00:00:00,alchemix
1640390400,WSTETH,0.0,2021-12-25 00:00:00,alchemix
1640476800,USDT,0.0,2021-12-26 00:00:00,alchemix
1640476800,RETH,0.0,2021-12-26 00:00:00,alchemix
1640476800,USDC,0.0,2021-12-26 00:00:00,alchemix
1640476800,WETH,442253369.91829,2021-12-26 00:00:00,alchemix
1640476800,DAI,441796903.56894,2021-12-26 00:00:00,alchemix
1640476800,WSTETH,0.0,2021-12-26 00:00:00,alchemix
1640563200,USDT,0.0,2021-12-27 00:00:00,alchemix
1640563200,RETH,0.0,2021-12-27 00:00:00,alchemix
1640563200,USDC,0.0,2021-12-27 00:00:00,alchemix
1640563200,WETH,439960576.65027,2021-12-27 00:00:00,alchemix
1640563200,DAI,443395289.85765,2021-12-27 00:00:00,alchemix
1640563200,WSTETH,0.0,2021-12-27 00:00:00,alchemix
1640649600,USDT,0.0,2021-12-28 00:00:00,alchemix
1640649600,RETH,0.0,2021-12-28 00:00:00,alchemix
1640649600,USDC,0.0,2021-12-28 00:00:00,alchemix
1640649600,WETH,435639857.3644,2021-12-28 00:00:00,alchemix
1640649600,DAI,439468146.30717,2021-12-28 00:00:00,alchemix
1640649600,WSTETH,0.0,2021-12-28 00:00:00,alchemix
1640736000,USDT,0.0,2021-12-29 00:00:00,alchemix
1640736000,RETH,0.0,2021-12-29 00:00:00,alchemix
1640736000,USDC,0.0,2021-12-29 00:00:00,alchemix
1640736000,WETH,401838727.79437,2021-12-29 00:00:00,alchemix
1640736000,DAI,440193256.7511,2021-12-29 00:00:00,alchemix
1640736000,WSTETH,0.0,2021-12-29 00:00:00,alchemix
1640822400,USDT,0.0,2021-12-30 00:00:00,alchemix
1640822400,RETH,0.0,2021-12-30 00:00:00,alchemix
1640822400,USDC,0.0,2021-12-30 00:00:00,alchemix
1640822400,WETH,386362750.79983,2021-12-30 00:00:00,alchemix
1640822400,DAI,388820398.82171,2021-12-30 00:00:00,alchemix
1640822400,WSTETH,0.0,2021-12-30 00:00:00,alchemix
1640908800,USDT,0.0,2021-12-31 00:00:00,alchemix
1640908800,RETH,0.0,2021-12-31 00:00:00,alchemix
1640908800,USDC,0.0,2021-12-31 00:00:00,alchemix
1640908800,WETH,393421830.86985,2021-12-31 00:00:00,alchemix
1640908800,DAI,388046060.90528,2021-12-31 00:00:00,alchemix
1640908800,WSTETH,0.0,2021-12-31 00:00:00,alchemix
1640995200,USDT,0.0,2022-01-01 00:00:00,alchemix
1640995200,RETH,0.0,2022-01-01 00:00:00,alchemix
1640995200,USDC,0.0,2022-01-01 00:00:00,alchemix
1640995200,WETH,390073707.11157,2022-01-01 00:00:00,alchemix
1640995200,DAI,388368153.59545,2022-01-01 00:00:00,alchemix
1640995200,WSTETH,0.0,2022-01-01 00:00:00,alchemix
1641081600,USDT,0.0,2022-01-02 00:00:00,alchemix
1641081600,RETH,0.0,2022-01-02 00:00:00,alchemix
1641081600,USDC,0.0,2022-01-02 00:00:00,alchemix
1641081600,WETH,398705997.69613,2022-01-02 00:00:00,alchemix
1641081600,DAI,382301632.05485,2022-01-02 00:00:00,alchemix
1641081600,WSTETH,0.0,2022-01-02 00:00:00,alchemix
1641168000,USDT,0.0,2022-01-03 00:00:00,alchemix
1641168000,RETH,0.0,2022-01-03 00:00:00,alchemix
1641168000,USDC,0.0,2022-01-03 00:00:00,alchemix
1641168000,WETH,404841404.72622,2022-01-03 00:00:00,alchemix
1641168000,DAI,382071537.38223,2022-01-03 00:00:00,alchemix
1641168000,WSTETH,0.0,2022-01-03 00:00:00,alchemix
1641254400,USDT,0.0,2022-01-04 00:00:00,alchemix
1641254400,RETH,0.0,2022-01-04 00:00:00,alchemix
1641254400,USDC,0.0,2022-01-04 00:00:00,alchemix
1641254400,WETH,399803962.34026,2022-01-04 00:00:00,alchemix
1641254400,DAI,382033114.93847,2022-01-04 00:00:00,alchemix
1641254400,WSTETH,0.0,2022-01-04 00:00:00,alchemix
1641340800,USDT,0.0,2022-01-05 00:00:00,alchemix
1641340800,RETH,0.0,2022-01-05 00:00:00,alchemix
1641340800,USDC,0.0,2022-01-05 00:00:00,alchemix
1641340800,WETH,403016814.95574,2022-01-05 00:00:00,alchemix
1641340800,DAI,374066061.06044,2022-01-05 00:00:00,alchemix
