,oso_project_name,oso_display_name,round_number,oso_generated_round_label,gitcoin_project_id,num_donors,crowd_funding_usd,match_funding_usd
1293,,,18,GG-18 - 0x2871742b184633f8dc8546c6301cbc209945033e,0x58e66501c588833533a2b085cc0426394f5af032a4441146c87360832a6d63e4,37,93.95467305262355,117.0088700625
1294,dfarchon,DFArchon,18,GG-18 - 0x8de918f0163b2021839a8d84954dd7e8e151326d,0x41963755a6073b9828e00e9c0b715d5763d1a1447505aa3ed7964d88269f6c24,291,485.78377143059924,115.208736
1295,,,19,GG-19 - 0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,0xa5ff60887ce8323a4e3d9e69e21e7e458654a6d22f5119820f7d30cf1b1e8bfc,43,63.5020345794037,115.074327734375
1296,,,18,GG-18 - 0x2871742b184633f8dc8546c6301cbc209945033e,0xa1d30c891bd1bba9b70d10c69a92c04388b5c1aed2273b2f13f072d56bb6f110,40,372.13267413603535,113.758623671875
1297,,,18,GG-18 - 0x2871742b184633f8dc8546c6301cbc209945033e,0xd056d69a245241948593f7359f070fccf7995498ba89bc52183651313692437f,40,45.979128154056525,110.758396234375
1298,,,19,GG-19 - 0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,0x17a0d602bf4bdf5019c3282bc89d799cb3ebaa677299a8986b5ac4462fcb71e5,46,53.90636100433767,109.870966828125
1299,dfarchon,DFArchon,22,GG-22 - 608,0x50e981de1e62aaa755ff0046cbd6befac3a296595ecda10f847c143ed6f2543f,58,64.69922626327025,109.68493875
1300,,,20,GG-20 - 25,0xc6fcbbae0147efad518dc4a092d3e659aa775de8b0fe2fd0ced962fb5c64a105,34,103.54186617583036,108.1554420625
1301,grassrootseconomics,Grassroots Economics,18,GG-18 - 0x8de918f0163b2021839a8d84954dd7e8e151326d,0x4d4314353898963e72af60160850f29dd93b14fab3611795fcfa113cc521ddc7,262,722.0851569610604,106.20805349999999
1302,,,19,GG-19 - 0xd4cc0dd193c7dc1d665ae244ce12d7fab337a008,0x42d10861e243a80c27686dc27feb75f60ecff68f479aaf8c53852f32417ad6a8,72,71.08891022019088,105.26799371874999
1303,lemonadesocial,Her Nation,20,GG-20 - 25,0xbd1e0360dd1f192cef8d6108a706bf9a8779b7a39af48b81a192f1afd77b4f0f,28,68.87096385785844,103.9610481875
1304,,,18,GG-18 - 0x2871742b184633f8dc8546c6301cbc209945033e,0x4223211d0af48c4612beb9b679f888d5cc190208660f37884c42bf365ac6028f,51,58.98310462068548,103.757865546875
