project,head-to-head_comparisons,elo_rating,margin_of_error,num_main_round_appearances,highest_unique_donor_count_in_one_round,crowd_funding_usd,match_funding_usd,project_id,project_source,project_namespace,display_name,event_source,repository_count,first_created_at_date,last_updated_at_date,first_commit_date,last_commit_date,star_count,fork_count,developer_count,contributor_count,contributor_count_6_months,new_contributor_count_6_months,fulltime_developer_average_6_months,active_developer_count_6_months,commit_count_6_months,opened_pull_request_count_6_months,merged_pull_request_count_6_months,opened_issue_count_6_months,closed_issue_count_6_months,comment_count_6_months,release_count_6_months,time_to_first_response_days_average_6_months,time_to_merge_days_average_6_months
defieye,144,1638.3985741030756,33.333333333333336,4,4178,22715.178217852423,41910.33564585938,dTOJVgcd44Xv1mkV949Tyyyx_WO6HOsCNSFEP-MP3HU=,OSS_DIRECTORY,oso,DeFiEye,GITHUB,4,2022-01-17 08:44:15+00:00,2025-01-18 05:13:04+00:00,2022-02-27 14:15:18+00:00,2024-09-30 05:46:34+00:00,79,31,5.0,7.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poapin-glory-lab,200,1634.3481119975984,28.2842712474619,4,2448,12403.523799638095,23236.746742875,YY9GbZsXaCuqE14Kga1wHIlIwEUWSGSN0GKZctniZBk=,OSS_DIRECTORY,oso,POAPin,GITHUB,1,2022-08-07 17:03:54+00:00,2024-09-26 10:10:24+00:00,2022-08-09 04:10:06+00:00,2024-04-15 01:26:57+00:00,29,5,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hypercerts,140,1611.7923628752808,33.806170189140666,3,2697,36800.33373287168,21320.725580203125,UsLiYpuh5exI0XENoG3FGM-UhRSf6Xbis8NvjvwMh5w=,OSS_DIRECTORY,oso,Hypercerts,GITHUB,22,2022-12-02 21:36:04+00:00,2025-01-16 14:58:05+00:00,2022-12-06 14:37:16+00:00,2025-01-03 18:13:55+00:00,111,45,11.0,35.0,11.0,6.0,0.021739130434782608,4.0,481.0,263.0,240.0,124.0,119.0,560.0,13.0,26.210170717592597,0.0
zaratandotworld,200,1596.7452427824237,28.2842712474619,4,2641,8079.970181843402,15987.599379906249,YsXhhSltzsyytRGVqGrxtZImtPx0_CDjjXf1Bw5mbV0=,OSS_DIRECTORY,oso,Zaratan,GITHUB,6,2020-01-02 03:26:27+00:00,2025-01-19 15:00:54+00:00,2020-03-19 02:31:29+00:00,2025-01-19 15:00:54+00:00,10,0,1.0,2.0,2.0,0.0,0.1793478260869565,1.0,183.0,19.0,20.0,23.0,19.0,30.0,1.0,4.3024305555555555,0.0
tor-project,164,1595.823510828843,31.234752377721215,4,2074,11285.866394213781,29750.4899403125,4IF5N43rh3j9S83bUBcfoWy_2I4qcP8UulcrMsuJX-o=,OSS_DIRECTORY,oso,The Tor Project,GITHUB,38,2013-02-07 04:31:02+00:00,2025-01-19 01:20:45+00:00,2018-04-23 18:35:12+00:00,2025-01-16 13:50:13+00:00,6733,1980,13.0,736.0,13.0,11.0,0.7282608695652174,2.0,384.0,3.0,0.0,10.0,6.0,22.0,0.0,828.1775462962963,0.0
giveth,152,1593.9645810741993,32.44428422615251,3,2015,7014.366171033924,28840.122870312498,_rSUGbgCLjCC0SxFrS6u6299eSa8Vde7C1ftbaFzBuo=,OSS_DIRECTORY,oso,Giveth,GITHUB,136,2016-10-04 05:02:00+00:00,2025-01-19 08:03:20+00:00,2016-10-04 20:53:50+00:00,2025-01-18 12:00:17+00:00,2077,1111,85.0,324.0,32.0,3.0,1.5434782608695652,20.0,1797.0,521.0,451.0,319.0,583.0,4085.0,11.0,187.52601351351353,0.04097222222222222
rotki,139,1592.3275541960581,33.927557187198836,3,511,7039.798373877289,27048.486538375,64qp1ybgolFxPB47LJA0p7BGYKekaqGS8p3yqqvkL3o=,OSS_DIRECTORY,oso,rotki,GITHUB,30,2018-03-05 11:26:09+00:00,2025-01-19 12:32:12+00:00,2018-12-15 14:32:31+00:00,2025-01-20 11:34:38+00:00,3028,665,16.0,541.0,55.0,32.0,3.5217391304347827,8.0,1806.0,1105.0,1056.0,119.0,120.0,3496.0,54.0,38.391441651148355,0.0
carmineoptions,200,1580.3707506886824,28.2842712474619,4,2433,9832.648950969777,15056.18815328125,IbBHVF0f0bJwNMZly8nsw4r89619p8mKg3LT4S4vMlM=,OSS_DIRECTORY,oso,Carmine Options AMM,GITHUB,32,2022-04-28 12:30:49+00:00,2025-01-19 18:22:18+00:00,2022-04-28 13:17:50+00:00,2025-01-19 18:22:17+00:00,93,143,12.0,103.0,73.0,56.0,1.2826086956521738,9.0,1194.0,274.0,235.0,56.0,75.0,1335.0,68.0,3.3477777777777775,0.0
shapeshift,139,1553.293273889985,33.927557187198836,3,2519,6230.55661417673,12795.948061000001,V-4zX6sbpekcUa8dFB8nfRW3IpxnGtGjDIUHg8eJmnc=,OSS_DIRECTORY,oso,ShapeShift DAO,GITHUB,49,2019-08-05 16:50:09+00:00,2025-01-17 22:03:28+00:00,2019-08-05 17:49:36+00:00,2025-01-20 11:52:31+00:00,573,543,41.0,210.0,31.0,17.0,3.114130434782609,6.0,801.0,834.0,799.0,439.0,442.0,4380.0,0.0,15.5927731092437,0.0
eiptools,186,1541.3715080899894,29.32942300427066,4,1089,7062.535734986299,25849.368023890624,mB7-omMIitevorWHg4QXe2TJRmGEUrBNnYHHWFec8Pc=,OSS_DIRECTORY,oso,EIP.Tools,GITHUB,1,2024-05-28 15:29:17+00:00,2025-01-18 20:40:13+00:00,2024-06-16 14:39:52+00:00,2025-01-18 20:40:12+00:00,17,4,1.0,6.0,4.0,3.0,0.19021739130434784,1.0,81.0,5.0,4.0,3.0,1.0,2.0,0.0,0.7729166666666667,0.0
