,chain_id,round_id,round_name,project_name_x,project_github,payout_address,status,total_donations_count,total_amount_donated_in_usd,unique_donors_count,project_github_org_space,project_id,artifact_namespace,project_source,project_namespace,project_name_y,display_name,event_source,repository_count,first_commit_date,last_commit_date,star_count,fork_count,contributor_count,contributor_count_6_months,new_contributor_count_6_months,fulltime_developer_average_6_months,active_developer_count_6_months,commit_count_6_months,opened_pull_request_count_6_months,merged_pull_request_count_6_months,opened_issue_count_6_months,closed_issue_count_6_months
23,42161,26,Web3 Infrastructure,Lodestar,chainsafe,0xc8F9f8C913d6fF031c65e3bF7c7a51Ad1f3a86E5,APPROVED,296,805.1681,288,chainsafe,imOWe-ffDazpMiTjIJWOp-siTuTAeO6jJ9v-DrUyvXM=,chainsafe,OSS_DIRECTORY,oso,lodestar-chainsafe,Lodestar,GITHUB,1,2022-05-27 14:26:25+00:00,2024-05-16 13:09:57+00:00,1074,263,190.0,40.0,23.0,1.0,9.0,350.0,449.0,389.0,159.0,91.0
24,42161,26,Web3 Infrastructure,Lodestar,chainsafe,0xc8F9f8C913d6fF031c65e3bF7c7a51Ad1f3a86E5,APPROVED,296,805.1681,288,chainsafe,5m263kxquf8y2PdvAfN4keorV1Kv7oGw7g4UtMGaJcQ=,chainsafe,OSS_DIRECTORY,oso,forest-chainsafe,Forest (ChainSafe),GITHUB,2,2020-06-24 15:30:04+00:00,2024-05-19 00:21:09+00:00,612,148,74.0,24.0,9.0,1.0,15.0,425.0,503.0,450.0,157.0,131.0
25,42161,26,Web3 Infrastructure,Ethereum Attestation Service (EAS),ethereum-attestation-service,0x532Ff53DCf3740832Dc6D0AdE9084Fa2deDd1269,APPROVED,2167,6007.459,2118,ethereum-attestation-service,1mBkagpZ6JI5aGrhKsfnb7_M1rtz8N6nraFghzTJs-w=,ethereum-attestation-service,OSS_DIRECTORY,oso,ethereum-attestation-service,Ethereum Attestation Service,GITHUB,12,2021-07-21 19:14:11+00:00,2024-05-17 14:24:08+00:00,357,142,82.0,42.0,36.0,0.0,3.0,213.0,69.0,33.0,20.0,19.0
26,42161,24,ENS Identity,EAS Attestation Explorer,ethereum-attestation-service,0xAff73b6283537E3a15e7420EA91A1F714E8d8638,APPROVED,80,331.2648,78,ethereum-attestation-service,1mBkagpZ6JI5aGrhKsfnb7_M1rtz8N6nraFghzTJs-w=,ethereum-attestation-service,OSS_DIRECTORY,oso,ethereum-attestation-service,Ethereum Attestation Service,GITHUB,12,2021-07-21 19:14:11+00:00,2024-05-17 14:24:08+00:00,357,142,82.0,42.0,36.0,0.0,3.0,213.0,69.0,33.0,20.0,19.0
27,42161,26,Web3 Infrastructure,Epoch Protocol,epochprotocol,0xe223Af979BFf3397Ce02b6741B5D43566B2f3F38,APPROVED,189,326.85403,186,epochprotocol,OIzHC3q9B-8tDuH4gQWtDaGxiTSEZvitGXlB4X9OcLc=,epochprotocol,OSS_DIRECTORY,oso,epochprotocol,Epoch Protocol,GITHUB,12,2023-01-23 14:35:10+00:00,2024-05-10 12:08:37+00:00,2,0,3.0,3.0,0.0,0.0,3.0,140.0,10.0,10.0,0.0,0.0
28,42161,26,Web3 Infrastructure,Ephemery Testnet,ephemery-testnet,0x8d3809951C7F1D18227251B0Cb047735dbf8f8fC,APPROVED,288,494.05792,281,ephemery-testnet,uLPun_X_EZJuXeycmo8MM8KHxkHDX3yuenC_UCwvlr8=,ephemery-testnet,OSS_DIRECTORY,oso,ephemery-testnet,Ephemery Testnet,GITHUB,3,2022-11-13 10:40:52+00:00,2024-05-16 18:26:25+00:00,50,37,11.0,4.0,0.0,0.0,3.0,50.0,5.0,5.0,0.0,0.0
29,42161,26,Web3 Infrastructure,Candide,candidelabs,0xc52FbF3769056cA421656b9C98b14A453A251a28,APPROVED,333,694.69037,326,candidelabs,mvFx5v6zrUwi7jH6brJrEHeofOsQ3wo9oumphUrHc_k=,candidelabs,OSS_DIRECTORY,oso,candide-labs,Candide Labs,GITHUB,20,2022-09-12 21:49:18+00:00,2024-05-21 13:59:38+00:00,180,68,17.0,5.0,2.0,0.0,3.0,263.0,21.0,17.0,4.0,7.0
30,42161,26,Web3 Infrastructure,Dappnode,dappnode,0x53390590476dC98860316e4B46Bb9842AF55efc4,APPROVED,2757,7260.028,2690,dappnode,r1E7lYltpd3pipZ4-yhn6wABCt0mUfRdjxr208MG5fU=,dappnode,OSS_DIRECTORY,oso,dappnode,DAppNode,GITHUB,235,2018-02-27 19:36:04+00:00,2024-05-21 15:25:57+00:00,1074,640,370.0,55.0,24.0,0.6666666666666666,19.0,1497.0,1522.0,845.0,169.0,175.0
31,42161,26,Web3 Infrastructure,AuditDB,auditdbio,0x9069f28B797eCA9D6a75BB3Fad9EC4F2a701Cf49,APPROVED,121,206.99937,119,auditdbio,F7ftGOiQpGTlEjFu_SYmq6_hBHVBEAx8iLQDK1n_Quc=,auditdbio,OSS_DIRECTORY,oso,auditdbio,auditdbio,GITHUB,2,2023-02-08 15:26:37+00:00,2024-02-12 13:46:31+00:00,1,0,5.0,4.0,1.0,0.0,1.0,20.0,113.0,101.0,0.0,0.0
32,42161,26,Web3 Infrastructure,Ethscriptions,ethscriptions-protocol,0xC2172a6315c1D7f6855768F843c420EbB36eDa97,APPROVED,9080,51078.76,8881,ethscriptions-protocol,D9DrTF8eCj8AYJL3YjIuiUy3Y8z3zR-UvVKnfHQt8I8=,ethscriptions-protocol,OSS_DIRECTORY,oso,ethscriptions-protocol,Ethscriptions,GITHUB,4,2023-07-18 20:49:56+00:00,2024-04-09 21:29:40+00:00,25,6,13.0,6.0,4.0,1.0,1.0,44.0,0.0,0.0,9.0,2.0
