Project ID,Project Name,Score,Full-time developer months (cumulative),New GitHub contributors (last 6 months),Fork count (most forked repo owned by the project),Star count (from developers in the OP community only),"NPM downloads (last 6 months, all packages)",L2 sequencer fees (OP ETH),Transactions (on OP Mainnet),High value users (on OP Mainnet)
0xfb1b19ddff60689f73f25dbc033f8423da1a7c9d900ccb6d6b35357823fdb8f8,CryptoMage,,,,,,,,,
0x876550bff1a9cc69817bcf27d37ce8a7f2525dfe1bb54613cfa5b643c0b9f007,Cryptomind Research,,,,,,,,,
0x1cdb926d184bb8a656cb141dadb5c2c01211afa9b060abcb5deb604d0a1cdf93,Cryptosquare,,,,,,,,,
0xae4aa2fec8bda8568083e9f482cd0a08c278959582fd6776ea1e55230a2a487a,CryptoStats & CryptoFees.info,,30.0,,7.0,24.0,,,,
0xfdff090a4b7839348e6e77c07018d20ea187249cd32c3d6661a06baebc82578e,Cryptotesters,,,,,,,,,
0x0f374141f63fadb67585ea00af986b0cce7fadacc91568cb52e3faaecc3db7a2,Cryptoversidad,,,,,,,,,
0xea51114ddd4cd331be77a9318748c5e276a2b3c34c5e220558e6fb88483bec5c,CryptoZombies,2.25,5.0,19.0,1035.0,352.0,,,,
0x6c138f65797f29f8378d1a8bfe362a242b858401b1eddd45717abe7d553693a3,daboyshine,,,,,,,,,
0xf2be22e439749a342bfe13feb107007c7f3f3ff438d869fad8befdf3169d8ee4,DAC on OP Stack,,1.0,2.0,9.0,15.0,,,,
0x97cacef9bf5fce74535c27a69bfd929cfe48b862253ce3fa53fe4dde4963a788,DackieSwap,,,,,,,,,
0xe74dbae19350be6155c66a28b65be982bf7b1a4db210695dde5ed2f53782a315,Dapp-Learning,2.5,100.0,19.0,1123.0,286.0,,0.0007372289443616,137.0,1.0
0x2b665cd3ae32a16f5cdbecc55f61abc071ed32b13398ac741c81a7d372771bad,Dappnode,3.25,248.0,51.0,101.0,266.0,,,,
0xcab1256cd3698caa9028d2bd357d50587a5876530cc310b890051df99f626a76,DappRadar,1.25,87.0,14.0,303.0,57.0,,,,
0xaba3b78dec1a41f6529564b951c9f5277a079cf7c2b29e78e0802af97336eb31,Dasy,,0.0,,,3.0,,,,
0x8afe332e8f4c42d4df6e92389c13e0e1b3a43369655761e4f17af9c50975ba18,Decent.xyz,,23.0,1.0,1.0,15.0,,0.0032878771630106,426.0,5.0
0x7fcb54a60df19932aed931a67527d0c78c82d8d90870d946c49fe5c429a48925,Decentraclasses,,,,,,,,,
0x73e0327a0ed5b09bd040f874faa140adb5b17279c39c0e7febb5c3f111b6ae61,DecentrAgora,,7.0,,,5.0,,1.1052269057714002e-05,56.0,
