project_id,project_name,applicant_type,applicant_address,applicant_ens,award_result,median_amount_result,ballot_result,quorum_result,included_in_ballots,included_in_lists,lists_min_amount,lists_quartile_1_amount,lists_median_amount,lists_quartile_3_amount,lists_max_amount,funding_reported_total,funding_reported_usd,funding_reported_op,vc_funding,has_token,impact_category
0x6b71f6d6aa0190ee949d08c706f772a90e600cc55972287fdb74cbafc2ba099e,CharmVerse,PROJECT,0x1cD919942a8EF3e867Fe9C0813BC4851090cF037,charmverse.eth,109317.21,110000,57,true,57,16,25000,72392.5,161510.57,200000,1000000,0,0,0,,,COLLECTIVE_GOVERNANCE|DEVELOPER_ECOSYSTEM|END_USER_EXPERIENCE_AND_ADOPTION
0x91bba885bafc9e5144c7577f7159778277e17eb6073d4f6adf5acd3b31c9f1fc,BasePaint,PROJECT,0xb48E8dA63c2aFc5633702B7acf4BDe830c1dE48b,zherring.eth,115058.35,115777,57,true,57,7,13064,80123,200000,500000,615385,30950,30950,0,0,false,END_USER_EXPERIENCE_AND_ADOPTION
0x4f382f942845103eace9ad3e46a817e5e95a1676974c58358c7c84d540fdd951,RabbitHole,PROJECT,0x8F5415415d9200cCd8523F3Ee88F96F476141CC3,,76445.53,76923,57,true,57,12,11630,73115,95297,192500,1000000,474088,138613,248500,21600000,false,COLLECTIVE_GOVERNANCE|END_USER_EXPERIENCE_AND_ADOPTION
0x877ded44fae0833c412ef1b802419a7d6d9e668c6f92f1fb439dbbd40ca12b2d,Waffle,PROJECT,0x99FBa19112f221D0B44c9c22241f5e6b2Db715F6,ryanrodenbaugh.eth,99379.28,100000,57,true,57,7,29918,50000,150000,300000,400000,30000,30000,0,,,DEVELOPER_ECOSYSTEM
0x9dd5aa707043c2286fdb625be1a5b46808a10aad3f137e89855683bcb260b013,ITU Blockchain,PROJECT,0xBEC643BD5b7F5e9190617CA4187ef0455950C51C,itublockchain.eth,29813.79,30000,55,true,56,10,0,10000,37252.5,161510.57,200000,64343.295000000006,0,47661.7,,,COLLECTIVE_GOVERNANCE|DEVELOPER_ECOSYSTEM
0x2b4aeb64146ded169a426bde053b3f9e9e925ee740a58149d92812114af83de6,Splits,PROJECT,0x9ebC8E61f87A301fF25a606d7C06150f856F24E2,,92167.83,92743.5,56,true,56,8,33972,90799.5,120000,137500,884956,135408.224,65000,52154.24,,,DEVELOPER_ECOSYSTEM|END_USER_EXPERIENCE_AND_ADOPTION
0xfa0bb32edc38f3704e38dfa2af33310fed14f3a90928143c688643342b7f3466,Token Engineering Commons,PROJECT,0xfc1436EAb5943F90A4cae9fd1aD6ba66408cDe9B,,59627.57,60000,56,true,56,11,25000,39200,75000,85000,200000,31540,31540,0,,true,DEVELOPER_ECOSYSTEM|OP_STACK
0x1053c5fc1597ff030c267d4667898095ca3a42cc370fe9b8d156880b8a2b455e,The Ethernaut,PROJECT,0x7D5a44baad1992092504bb8DCA602615fCe09351,,99379.28,100000,56,true,56,8,25000,62892,119677.42,213504,300000,0,0,0,,,DEVELOPER_ECOSYSTEM
0x7992f31ac0db3aad3dc7edead1a3670a6be071703212129f3a396c043cb23e84,Synpress,PROJECT,0xd35E119782059A27FEAd4EddA8B555f393650BC8,drptbl.eth,99379.28,100000,55,true,55,10,59836,100000,165000,200000,857142.8571,124046.1,0,91886,,,DEVELOPER_ECOSYSTEM|END_USER_EXPERIENCE_AND_ADOPTION|OP_STACK
0x44e382b0845c4bbe3695f5bc8218c1cf75e5c44d1868a08f10571871295ad042,ethOS,PROJECT,0x12dC5fF4AB146D9f70e50bd5f9854114a115e6c9,,76445.53,76923,55,true,55,7,75000,75000,100000,208696,500000,90600,90600,0,,,DEVELOPER_ECOSYSTEM|END_USER_EXPERIENCE_AND_ADOPTION
