transaction_date,address,transaction_cnt,active_users,total_transferred,gas_fee,unique_users,cum_transferred
2024-10-09,0xd152f549545093347a162dce210e7293f1452150,140.0,10.0,2.19428054199665e+16,0.0014667039241391454,5.0,5.7730205518494925e+19
2024-10-10,0xd152f549545093347a162dce210e7293f1452150,115.0,8.0,6.1551436198162e+17,0.0020027079094245876,5.0,5.834571988047654e+19
2024-10-11,0xd152f549545093347a162dce210e7293f1452150,79.0,6.0,1.0461688070878187e+17,0.0005632786557498189,3.0,5.845033676118532e+19
2024-10-12,0xd152f549545093347a162dce210e7293f1452150,94.0,6.0,2362297450986120.0,0.0006136685651099209,4.0,5.845269905863631e+19
2024-10-13,0xd152f549545093347a162dce210e7293f1452150,129.0,8.0,8.662615466853565e+17,0.0049256276406276925,4.0,5.931896060532167e+19
2024-10-14,0xd152f549545093347a162dce210e7293f1452150,124.0,12.0,5.096069213603357e+16,0.0014735727977926577,8.0,5.93699212974577e+19
2024-10-15,0xd152f549545093347a162dce210e7293f1452150,144.0,5.0,4.399072902723412e+16,0.002658997583821492,1.0,5.941391202648493e+19
2024-10-16,0xd152f549545093347a162dce210e7293f1452150,166.0,8.0,3.081424161330852e+17,0.0017136321423422468,3.0,5.972205444261802e+19
2024-10-17,0xd152f549545093347a162dce210e7293f1452150,97.0,5.0,9923865206255330.0,0.0009230097818742031,1.0,5.973197830782427e+19
2024-10-18,0xd152f549545093347a162dce210e7293f1452150,47.0,5.0,1.9046805386383987e+18,0.000149346222655545,2.0,6.163665884646267e+19
2024-10-19,0xd152f549545093347a162dce210e7293f1452150,48.0,7.0,2.0888028608564348e+16,7.147137860019901e-05,4.0,6.165754687507123e+19
2024-10-20,0xd152f549545093347a162dce210e7293f1452150,51.0,7.0,9.208597366394837e+16,8.622235888073798e-05,5.0,6.174963284873518e+19
2024-10-21,0xd152f549545093347a162dce210e7293f1452150,75.0,5.0,1.2757723259820206e+18,0.00919734717696718,3.0,6.30254051747172e+19
2024-10-22,0xd152f549545093347a162dce210e7293f1452150,68.0,4.0,5.742744567927951e+17,0.0013826611538844858,0.0,6.3599679631509996e+19
2024-10-23,0xd152f549545093347a162dce210e7293f1452150,66.0,9.0,5801784276544031.0,0.00019353293342253293,8.0,6.360548141578654e+19
2024-10-24,0xd152f549545093347a162dce210e7293f1452150,88.0,17.0,1.1253451536213725e+17,0.00031134855752400084,11.0,6.371801593114867e+19
2024-10-25,0xd152f549545093347a162dce210e7293f1452150,101.0,37.0,9.273749919617942e+17,0.00016844951139463493,32.0,6.4645390923110466e+19
2024-10-26,0xd152f549545093347a162dce210e7293f1452150,69.0,13.0,1.684003908941195e+16,0.00011921365143737801,11.0,6.466223096219988e+19
2024-10-27,0xd152f549545093347a162dce210e7293f1452150,54.0,4.0,8.496707296910198e+16,9.3705690022653e-05,0.0,6.4747198035168985e+19
2024-10-28,0xd152f549545093347a162dce210e7293f1452150,71.0,5.0,1.2076315731679868e+16,0.000170447462688199,2.0,6.475927435090067e+19
2024-10-29,0xd152f549545093347a162dce210e7293f1452150,78.0,9.0,5.739668560265642e+17,0.00017099815235204998,4.0,6.533324120692723e+19
2024-10-30,0xd152f549545093347a162dce210e7293f1452150,72.0,7.0,1742907556480914.0,0.00011157939492224,2.0,6.533498411448371e+19
2024-10-31,0xd152f549545093347a162dce210e7293f1452150,104.0,13.0,3.038140883988101e+16,0.0016735818632631339,8.0,6.536536552332359e+19
2024-11-01,0xd152f549545093347a162dce210e7293f1452150,81.0,10.0,2.0080320689153277e+17,0.0025387406191905233,4.0,6.556616873021513e+19
