package_name,dependency_github_url,package_source,min_version,max_version
async-object-pool,https://github.com/alexliesenfeld/async-object-pool,RUST,0.1.0,0.1.5
async-priority-channel,https://github.com/rmcgibbo/async-priority-channel,RUST,0.1.0,0.2.0
async-process,https://github.com/smol-rs/async-process,RUST,0.1.0,2.3.0
async-recursion,https://github.com/dcchut/async-recursion,RUST,0.1.0,1.1.1
async-signal,https://github.com/smol-rs/async-signal,RUST,0.1.0,0.2.10
async-sse,https://github.com/http-rs/async-sse,RUST,1.0.0,5.1.0
async-std,https://github.com/async-rs/async-std,RUST,0.1.0,1.13.1
async-stream,https://github.com/tokio-rs/async-stream,RUST,0.0.0,0.3.6
async-stream-impl,https://github.com/tokio-rs/async-stream,RUST,0.1.0,0.3.6
async-task,https://github.com/smol-rs/async-task,RUST,0.1.0,4.7.1
async-trait,https://github.com/dtolnay/async-trait,RUST,0.1.0,0.1.88
async_io_stream,https://github.com/najamelan/async_io_stream,RUST,0.1.0,0.3.3
asynchronous-codec,https://github.com/mxinden/asynchronous-codec,RUST,0.5.0,0.7.0
atomic,https://github.com/amanieu/atomic-rs,RUST,0.1.0,0.6.0
atomic-take,https://github.com/darksonn/atomic-take,RUST,0.1.0,1.1.0
atomic-waker,https://github.com/smol-rs/atomic-waker,RUST,0.0.1,1.1.2
attohttpc,https://github.com/sbstp/attohttpc,RUST,0.3.0,0.29.2
atty,https://github.com/softprops/atty,RUST,0.1.0,0.2.14
aurora-engine-modexp,https://github.com/aurora-is-near/aurora-engine,RUST,1.0.0,1.2.0
auto_impl,https://github.com/auto-impl-rs/auto_impl,RUST,0.1.0,1.3.0
autocfg,https://github.com/cuviper/autocfg,RUST,0.0.1,1.4.0
aws-config,https://github.com/smithy-lang/smithy-rs,RUST,0.0.22-alpha,1.6.2
aws-credential-types,https://github.com/smithy-lang/smithy-rs,RUST,0.0.1,1.2.3
aws-lc-rs,https://github.com/aws/aws-lc-rs,RUST,1.9.0,1.13.1
aws-lc-sys,https://github.com/aws/aws-lc-rs,RUST,0.1.0,0.29.0
aws-runtime,https://github.com/smithy-lang/smithy-rs,RUST,0.0.1,1.5.7
aws-sdk-kms,https://github.com/awslabs/aws-sdk-rust,RUST,0.0.0,1.68.0
aws-sdk-sso,https://github.com/awslabs/aws-sdk-rust,RUST,0.0.0,1.67.0
aws-sdk-ssooidc,https://github.com/awslabs/aws-sdk-rust,RUST,0.0.0,1.68.0
aws-sdk-sts,https://github.com/awslabs/aws-sdk-rust,RUST,0.0.0,1.68.0
aws-sigv4,https://github.com/smithy-lang/smithy-rs,RUST,0.0.1,1.3.1
aws-smithy-async,https://github.com/smithy-lang/smithy-rs,RUST,0.27.0-alpha,1.2.5
aws-smithy-http,https://github.com/smithy-lang/smithy-rs,RUST,0.27.0-alpha,0.62.1
aws-smithy-http-client,https://github.com/smithy-lang/smithy-rs,RUST,1.0.0,1.0.2
