name,githubProjectLink,OSOName,categoryHasOsoName,repo_name_with_owner,repo_owner,repo_name,is_org,verified_oso_name,fork_count,star_count,created_at,updated_at,status
pylotus-rpc,https://github.com/FilForge/pylotus-rpc,filforge,True,filforge/pylotus-rpc,filforge,pylotus-rpc,False,filforge,0,1,2023-10-15 18:18:40+00:00,2024-11-12 16:33:35+00:00,1_oso_match_by_github_repo
Direct Data Onboarding,https://github.com/FilOzone/DDO,,False,filozone/ddo,filozone,ddo,False,filozone,0,0,2024-11-04 12:45:28+00:00,2024-11-04 14:16:37+00:00,1_oso_match_by_github_repo
distribution @gh,https://github.com/gh-efforts/distribution,distribution,True,gh-efforts/distribution,gh-efforts,distribution,False,distribution-gh-efforts,0,1,2024-05-30 03:15:15+00:00,2024-06-04 01:56:38+00:00,1_oso_match_by_github_repo
Lotus Monitor (Monitoring Plugin),https://github.com/gh-efforts/lotus-monitor,Lotus Monitor,True,gh-efforts/lotus-monitor,gh-efforts,lotus-monitor,False,lotus-monitor-gh-efforts,0,3,2023-07-28 10:36:27+00:00,2024-10-24 02:48:46+00:00,1_oso_match_by_github_repo
JZFS,https://github.com/GitDataAI/jzfs,,True,gitdataai/jzfs,gitdataai,jzfs,False,gitdataai,6,87,2023-11-24 03:10:29+00:00,2024-11-20 00:29:39+00:00,1_oso_match_by_github_repo
Glif Nodes & RPC API service,https://github.com/glifio/filecoin-iac,glifio,True,glifio/filecoin-iac,glifio,filecoin-iac,False,glifio,2,13,2022-07-18 16:24:25+00:00,2024-05-29 09:23:06+00:00,1_oso_match_by_github_repo
GovXS – Evaluating Retro Funding Voting Designs,https://github.com/GovXS/Evaluating-Voting-Design-Tradeoffs-for-Retro-Funding ,,False,govxs/evaluating-voting-design-tradeoffs-for-retro-funding,govxs,evaluating-voting-design-tradeoffs-for-retro-funding,False,evaluating-voting-design-tradeoffs-for-retro-funding-govxs,0,3,2024-07-23 07:28:12+00:00,2024-11-07 12:27:23+00:00,1_oso_match_by_github_repo
DWeb for Creators,https://github.com/GrayAreaorg/dweb-curriculum,,False,grayareaorg/dweb-curriculum,grayareaorg,dweb-curriculum,False,grayareaorg,1,0,2023-08-10 18:15:09+00:00,2024-10-23 00:35:22+00:00,1_oso_match_by_github_repo
damocles,https://github.com/ipfs-force-community/damocles,ipfs-force-community-damocles,True,ipfs-force-community/damocles,ipfs-force-community,damocles,False,ipfs-force-community-damocles,22,21,2021-06-09 06:00:26+00:00,2024-11-15 06:10:01+00:00,1_oso_match_by_github_repo
droplet,https://github.com/ipfs-force-community/droplet,ipfs-force-community-droplet,True,ipfs-force-community/droplet,ipfs-force-community,droplet,False,ipfs-force-community-droplet,21,21,2021-04-26 02:01:04+00:00,2024-11-15 05:43:43+00:00,1_oso_match_by_github_repo
gevulot-fil,https://github.com/ipfs-force-community/gevulot-fil,ipfs-force-community-gevulot-fil,True,ipfs-force-community/gevulot-fil,ipfs-force-community,gevulot-fil,False,ipfs-force-community-gevulot-fil,0,0,2024-05-07 12:37:40+00:00,2024-11-14 07:15:15+00:00,1_oso_match_by_github_repo
go-fvm-sdk,https://github.com/ipfs-force-community/go-fvm-sdk,ipfs-force-community-go-fvm-sdk,True,ipfs-force-community/go-fvm-sdk,ipfs-force-community,go-fvm-sdk,False,ipfs-force-community-go-fvm-sdk,4,29,2022-04-13 01:37:56+00:00,2024-11-06 20:44:26+00:00,1_oso_match_by_github_repo
gpuproxy,https://github.com/ipfs-force-community/gpuproxy,ipfs-force-community-gpuproxy,True,ipfs-force-community/gpuproxy,ipfs-force-community,gpuproxy,False,ipfs-force-community-gpuproxy,6,4,2022-01-05 10:30:17+00:00,2024-02-28 05:49:28+00:00,1_oso_match_by_github_repo
metrics,https://github.com/ipfs-force-community/metrics,ipfs-force-community-metrics,True,ipfs-force-community/metrics,ipfs-force-community,metrics,False,ipfs-force-community-metrics,2,0,2021-06-24 09:54:00+00:00,2024-07-25 06:24:00+00:00,1_oso_match_by_github_repo
sophon-auth,https://github.com/ipfs-force-community/sophon-auth,ipfs-force-community-sophon-auth,True,ipfs-force-community/sophon-auth,ipfs-force-community,sophon-auth,False,ipfs-force-community-sophon,12,7,2021-03-31 08:48:05+00:00,2024-07-30 01:47:51+00:00,1_oso_match_by_github_repo
sophon-co,https://github.com/ipfs-force-community/sophon-co,ipfs-force-community-sophon-co,True,ipfs-force-community/sophon-co,ipfs-force-community,sophon-co,False,ipfs-force-community-sophon,7,5,2021-07-15 01:08:37+00:00,2024-11-14 07:07:13+00:00,1_oso_match_by_github_repo
Sophon-gateway,https://github.com/ipfs-force-community/Sophon-gateway,ipfs-force-community-sophon-gateway,True,ipfs-force-community/sophon-gateway,ipfs-force-community,sophon-gateway,False,ipfs-force-community-sophon,6,6,2021-05-20 07:41:33+00:00,2024-11-14 07:39:44+00:00,1_oso_match_by_github_repo
sophon-messager,https://github.com/ipfs-force-community/sophon-messager,ipfs-force-community-sophon-messager,True,ipfs-force-community/sophon-messager,ipfs-force-community,sophon-messager,False,ipfs-force-community-sophon,16,13,2021-02-22 07:26:47+00:00,2024-11-14 06:47:01+00:00,1_oso_match_by_github_repo
sophon-miner,https://github.com/ipfs-force-community/sophon-miner,ipfs-force-community-sophon-miner,True,ipfs-force-community/sophon-miner,ipfs-force-community,sophon-miner,False,ipfs-force-community-sophon,18,20,2021-01-28 17:44:52+00:00,2024-11-14 06:41:02+00:00,1_oso_match_by_github_repo
venus-common-utils,https://github.com/ipfs-force-community/venus-common-utils,ipfs-force-community-venus-common-utils,True,ipfs-force-community/venus-common-utils,ipfs-force-community,venus-common-utils,False,ipfs-force-community-venus-common-utils,1,0,2021-07-12 09:12:27+00:00,2021-11-22 03:29:52+00:00,1_oso_match_by_github_repo
Venus-hub,https://github.com/ipfs-force-community/venus-hub,,False,ipfs-force-community/venus-hub,ipfs-force-community,venus-hub,False,ipfs-force-community-venus-hub,1,0,2022-03-07 06:12:12+00:00,2024-08-28 08:06:11+00:00,1_oso_match_by_github_repo
venus-tool,https://github.com/ipfs-force-community/venus-tool,ipfs-force-community-venus-tool,True,ipfs-force-community/venus-tool,ipfs-force-community,venus-tool,False,ipfs-force-community-venus-tool,0,4,2022-11-24 10:04:22+00:00,2024-07-17 07:38:05+00:00,1_oso_match_by_github_repo
Boxo and Kubo,https://github.com/ipfs/boxo,https://www.opensource.observer/artifacts/github/ipfs/boxo,True,ipfs/boxo,ipfs,boxo,False,ipfs,97,214,2022-11-28 20:48:23+00:00,2024-11-19 17:46:40+00:00,1_oso_match_by_github_repo
Helia,https://github.com/ipfs/helia,https://www.opensource.observer/artifacts/github/ipfs/helia,True,ipfs/helia,ipfs,helia,False,ipfs,104,958,2022-10-25 16:27:56+00:00,2024-11-20 10:40:44+00:00,1_oso_match_by_github_repo
IPFS Desktop and IPFS Companion,https://github.com/ipfs/ipfs-desktop,,False,ipfs/ipfs-desktop,ipfs,ipfs-desktop,False,ipfs,864,6016,2015-05-30 23:42:36+00:00,2024-11-21 00:33:28+00:00,1_oso_match_by_github_repo
Interplanetary Network Indexers,https://github.com/ipni/storetheindex,ipni,True,ipni/storetheindex,ipni,storetheindex,False,ipni,22,78,2021-06-26 16:45:07+00:00,2024-10-29 09:32:50+00:00,1_oso_match_by_github_repo
Kernelogic Fil+ Datacap Allocator (KFDA),https://github.com/kernelogic/kfda-ts,kfda-kernelogic,True,kernelogic/kfda-ts,kernelogic,kfda-ts,False,kfda-kernelogic,0,0,2024-06-27 00:04:06+00:00,2024-10-15 03:27:29+00:00,1_oso_match_by_github_repo
go-libp2p,https://github.com/libp2p/go-libp2p,https://www.opensource.observer/artifacts/github/libp2p/go-libp2p,True,libp2p/go-libp2p,libp2p,go-libp2p,False,libp2p,1074,6105,2015-09-30 23:24:32+00:00,2024-11-21 00:27:07+00:00,1_oso_match_by_github_repo
libp2p Ecosystem,https://github.com/libp2p/libp2p,libpp,True,libp2p/libp2p,libp2p,libp2p,False,libp2p,260,2645,2016-06-18 17:01:46+00:00,2024-11-20 14:50:50+00:00,1_oso_match_by_github_repo
Rust-Libp2p,https://github.com/libp2p/rust-libp2p,libp2p,True,libp2p/rust-libp2p,libp2p,rust-libp2p,False,libp2p,961,4617,2017-03-24 20:05:11+00:00,2024-11-20 18:40:23+00:00,1_oso_match_by_github_repo
