General Info,General Info,General Info,General Info,General Info,General Info,General Info,General Info,General Info,Transaction Count,Transaction Count,Transaction Count,Transaction Count,Transaction Count (forecasted),Transaction Count (forecasted),Transaction Count (forecasted),Transaction Count (forecasted),Active Users,Active Users,Active Users,Active Users,Active Users (forecasted),Active Users (forecasted),Active Users (forecasted),Active Users (forecasted),Unique Users,Unique Users,Unique Users,Unique Users,Unique Users (forecasted),Unique Users (forecasted),Unique Users (forecasted),Unique Users (forecasted),Total Transferred,Total Transferred,Total Transferred,Total Transferred,Total Transferred (forecasted),Total Transferred (forecasted),Total Transferred (forecasted),Total Transferred (forecasted),Net Transferred,Net Transferred,Net Transferred,Net Transferred,Net Transferred (forecasted),Net Transferred (forecasted),Net Transferred (forecasted),Net Transferred (forecasted),TVL,TVL,TVL,TVL,TVL (forecasted),TVL (forecasted),TVL (forecasted),TVL (forecasted),Retained Daily Active Users,Retained Daily Active Users,Retained Daily Active Users,Retained Daily Active Users,Retained Daily Active Users (forecasted),Retained Daily Active Users (forecasted),Retained Daily Active Users (forecasted),Retained Daily Active Users (forecasted),DAA/MAA,DAA/MAA,DAA/MAA,DAA/MAA,DAA/MAA (forecasted),DAA/MAA (forecasted),DAA/MAA (forecasted),DAA/MAA (forecasted)
Project Name,Round,Cycle,Grant Status,Grant Amount,Grant Recieved (to date)?,Date Funds Recieved,Balance Left (to date),Date Range,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted
Swan Superchain Application,Grants Season 6,Cycle 27,Sent,250000,True,2024-12-09 00:00:00,0,2024-10-25 - 2025-01-17,-0.6543,4.8663,5.342589229684336e-06,5.34e-06,-0.4984,3.3949,0.0013923863691764904,0.0014,-0.6853,5.634,2.3491375644724144e-07,2.35e-07,-0.5185,3.6167,0.0006750614851362968,0.0007,3.605,-1.6005,0.1173471364175247,0.1173,7.8122,-1.824,0.07581864385841564,0.0758,0.0774,-0.2529,0.8011598009595264,0.8012,0.9236,-1.9835,0.05426917498930095,0.0543,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.6272,10.1882,2.220446049250313e-16,2.22e-16,-0.6277,10.5144,1.1102230246251565e-15,1.11e-15,-0.7539,6.9355,1.6505854461001945e-09,1.65e-09,-0.6227,6.264,3.199407294651735e-08,3.20e-08
Cyber,Grants Season 6,Cycle 27,Passed,375000,True,2024-10-01 00:00:00,0,2024-06-09 - 2025-01-17,-0.6847,10.9653,0.0,0.00e+00,-0.5761,17.1719,0.0,0.00e+00,-0.6926,10.4872,0.0,0.00e+00,-0.5729,17.4647,0.0,0.00e+00,-0.7751,6.3311,4.700242195454507e-09,4.70e-09,-0.6154,15.6707,0.0,0.00e+00,-0.4532,2.4526,0.015070799618743136,0.0151,0.1991,-0.892,0.3742927395992828,0.3743,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.1354,2.8153,0.00531406156522074,0.0053,-0.0872,2.0793,0.03898639144897942,0.0390,-0.1713,2.4775,0.014139111938148208,0.0141,-0.1622,3.5267,0.0005137929791323437,0.0005
Mode,Grants Season 6,Cycle 27,Sent,900000,False,2024-09-01 00:00:00,900000,2024-06-02 - 2025-01-17,-0.5505,11.8782,0.0,0.00e+00,-0.4069,11.2035,0.0,0.00e+00,-0.6218,13.9352,0.0,0.00e+00,-0.4969,15.7151,0.0,0.00e+00,-0.592,8.0781,8.963940700823514e-13,8.96e-13,-0.2777,5.8097,2.1505757841211448e-08,2.15e-08,-0.2245,1.9027,0.05833899819014032,0.0583,-0.0086,0.0897,0.9286604489936261,0.9287,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.5548,16.9338,0.0,0.00e+00,-0.5115,21.9291,0.0,0.00e+00,-0.413,10.8004,0.0,0.00e+00,-0.2362,5.9258,9.241123866132739e-09,9.24e-09
Lisk - Intent 3B Grant Application,Grants Season 6,Cycle 27,Sent,500000,False,2024-09-01 00:00:00,500000,2024-06-02 - 2025-01-17,368.5689,-9.0084,1.5543122344752192e-15,1.55e-15,436.2115,-9.0122,1.5543122344752192e-15,1.55e-15,164.8509,-7.7146,2.2535306953841427e-12,2.25e-12,198.6683,-7.7226,2.1576074260565292e-12,2.16e-12,36.4612,-9.1141,8.881784197001252e-16,8.88e-16,50.5273,-9.1926,6.661338147750939e-16,6.66e-16,50.1318,-8.7217,7.993605777301127e-15,7.99e-15,215.7402,-8.8619,3.552713678800501e-15,3.55e-15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.469,-7.3861,3.824274230623814e-12,3.82e-12,0.4636,-7.9103,3.1818991885756986e-13,3.18e-13,1.3247,-5.6151,8.53267270173319e-08,8.53e-08,1.2363,-5.6488,8.745682134048138e-08,8.75e-08
DelegateMatch: Governance incentives for a delegation Farcaster frame.,Grants Season 6,Cycle 28,Sent,2500,True,2024-09-14 00:00:00,0,2024-08-25 - 2025-01-22,-0.8473,0.8376,0.41219292577159017,0.4122,0.8546,-0.4589,0.6470571300024206,0.6471,-0.8473,0.8376,0.41219292577159017,0.4122,-0.8749,6.6718,4.1897485481001695e-10,4.19e-10,-0.9237,0.921,0.368473550390199,0.3685,0.6641,-0.3974,0.6917330059183779,0.6917,-0.7092,0.8452,0.3993471459575644,0.3993,20769706494569.246,-1.0,0.3191682370997473,0.3192,-0.5129,0.424,0.6738664975144997,0.6739,1.0366,-0.3621,0.7178407105278528,0.7178,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Scout Game: onchain gamified talent referral platform,Grants Season 6,Cycle 28,Sent,20000,False,2024-11-29 00:00:00,19999,2024-10-18 - 2025-01-22,,-1.0,0.32177063843224385,0.3218,,-1.0,0.32177063843224385,0.3218,,-1.0,0.32177063843224385,0.3218,,-1.0,0.32177063843224385,0.3218,-0.6182,0.7766,0.4402060942944157,0.4402,-0.4713,0.8853,0.3798349503225791,0.3798,,-1.0,0.32177063843224385,0.3218,,-1.0,0.32177063843224385,0.3218,,-1.0,0.3217706384322436,0.3218,,-1.0,0.3217706384322436,0.3218,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OETH on OP 4,Grants Season 6,Cycle 28,Passed,29978,False,2024-09-01 00:00:00,29978,2024-04-09 - 2025-01-22,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.0951,1.9842,0.048863866199044814,0.0489,0.1777,-2.414,0.01640566791204967,0.0164,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Contango ,Grants Season 6,Cycle 28,Passed,100000,False,2024-09-01 00:00:00,100000,2024-06-01 - 2025-01-22,-0.858,2.324,0.022042512398827707,0.0220,-0.7543,4.2989,3.066933605544442e-05,3.07e-05,-0.8403,2.3482,0.02063232609742216,0.0206,-0.7664,4.6093,8.623162972121179e-06,8.62e-06,-1.0,1.422,0.15843066782274673,0.1584,-1.0,28.584,0.0,0.00e+00,,,,nan,,,,nan,,,,nan,,,,nan,0.4002,-5.3793,2.411866295570775e-07,2.41e-07,0.7215,-7.4755,2.1600499167107046e-12,2.16e-12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Velodrome Finance,Grants Season 6,Cycle 28,Sent,200000,False,2024-09-01 00:00:00,200000,2024-06-05 - 2025-01-22,-0.5844,2.0666,0.04061799248813314,0.0406,-0.3205,1.4187,0.15806303346408002,0.1581,-0.4967,1.7367,0.08378167668561831,0.0838,-0.2754,1.1589,0.24836460455276166,0.2484,-1.0,1.7523,0.08324391013942867,0.0832,-1.0,28.9541,0.0,0.00e+00,,,,nan,,,,nan,,,,nan,,,,nan,-0.3054,8.5627,1.7763568394002505e-15,1.78e-15,-0.099,1.7314,0.08446629186196009,0.0845,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Uniswap: YBA Grant,Grants Season 6,Cycle 28,Sent,180000,False,2024-09-01 00:00:00,180000,2024-06-01 - 2025-01-22,0.433,-2.5834,0.010392032121484318,0.0104,0.9172,-5.9867,1.5023641664058118e-08,1.50e-08,0.249,-1.7526,0.08098262849320959,0.0810,0.3054,-3.2052,0.001599930449600162,0.0016,0.0328,-0.2336,0.8155343717860384,0.8155,0.7106,-5.1732,7.170818721036198e-07,7.17e-07,,,,nan,,,,nan,1.2631,-10.1489,0.0,0.00e+00,1.4454,-16.2072,0.0,0.00e+00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
