date,forecasted_transaction_cnt,forecasted_active_users,forecasted_unique_users,forecasted_total_op_transferred,forecasted_cum_op_transferred_in_tokens
2024-10-11,10.825443542435169,2.180920017601513,3.9036120993766024,799921264.522776,-13990.542035869817
2024-10-12,6.726487636849871,7.324530384183037,1.564692542475116,49172422185.00206,-10048.211399445421
2024-10-13,1.8189975594058723,4.9622948415929065,5.783040159625921,2936593103.995187,-14730.682835579686
2024-10-14,7.02966671451702,9.680047313215159,7.44886858453508,3236396106.704209,-14500.584667446115
2024-10-15,6.057342215753443,4.381835360482295,7.347358828281219,2441312727.4042435,-14529.896122894854
2024-10-16,11.485715993234567,7.7904769551006385,6.021595359724983,7309526961.735837,-14572.537908875922
2024-10-17,5.780752579110008,4.448117271686971,3.2610052381642625,17483942632.79849,-14767.870594083695
2024-10-18,6.955338459942465,5.111042041334082,6.687324167997185,26899072001.03567,-14746.049682928755
2024-10-19,6.443498655903282,10.66892439725216,7.115207539286828,1622414278.46512,-14340.837537823245
2024-10-20,8.247539081835711,6.434304972690807,8.768523798181642,33887964248.404186,-14739.552720086336
2024-10-21,6.1229500347368715,14.225815874264658,2.996350523384011,26382681372.36821,-14566.395951021583
2024-10-22,5.381286532499395,10.354969815214705,2.203935458707273,8960606101.232292,-14736.004958663925
2024-10-23,3.9867621455219138,7.491646478944003,5.3734946510154415,19968252319.695053,-14669.220972032388
2024-10-24,9.457174061763205,5.082620128665602,5.2495788423433325,6643659155.713496,-14688.439022759207
2024-10-25,9.882443788587349,8.012762593608864,6.092462940472264,1872730185.5127778,-14779.52437954893
2024-10-26,12.691331022603826,3.5279244667953664,6.788976596319266,1446925752.1434608,-14831.460138257551
2024-10-27,11.992713248804687,4.29430516676646,4.06912399407237,2995929469.213112,-14892.696396195885
2024-10-28,9.392114081698665,5.157979184566878,5.650543569432906,19849207153.525135,-14883.28900565198
2024-10-29,12.819515010478643,4.128675862639658,8.336821727684507,25296861112.250065,-14847.79729231378
2024-10-30,7.428730842593967,9.134173402836952,6.46816007885028,27209310253.768585,-14784.565085774806
2024-10-31,6.98567740299088,4.759238888752015,3.2713554701280563,18035925799.64132,-15055.140517037504
2024-11-01,11.388827099861818,8.324986932084022,4.501326718016322,40421.591667509696,-15085.419955980242
2024-11-02,7.93576031466685,8.023700646789468,5.514144758585664,10531840.608912926,-15025.903423743877
2024-11-03,11.291128096815118,8.087408124522288,7.976087353529095,8370922277.466155,-14859.259819482173
2024-11-04,11.139051546423175,6.850987300874929,5.576308501862759,11761777606.30178,-14930.783380824461
2024-11-05,10.537861845383423,11.500171666103617,5.948121210505009,7559050901.474369,-14968.022643507593
2024-11-06,7.028250113140794,6.725360366463121,7.762622121263245,11451150474.599834,-14790.703781511156
2024-11-07,6.650015154127209,5.746998568021947,8.985664865076243,18921242059.42692,-14795.068091936244
2024-11-08,5.422414506201094,4.995835817374237,6.791427750884522,14545132160.168041,-14601.788510033033
2024-11-09,7.368976397646744,6.695069554816466,3.268383882185498,5797199759.601575,-15015.66815825753
2024-11-10,8.636458160123908,8.870849053496974,6.755262131422303,5629673902.829143,-14952.233334343598
2024-11-11,9.35962209273996,8.051922572040496,4.406686957645999,6323689195.7961035,-14957.797359869252
2024-11-12,8.001191560365774,7.740438029266431,4.0443329093592695,2223763516.059298,-15019.52787870325
2024-11-13,5.330481878692187,6.754606878819486,7.3873298838574115,7699959218.425723,-15104.403318663732
2024-11-14,12.818669877557038,9.306773815393264,5.410222108282225,11434068378.536045,-15048.518957189328
2024-11-15,8.66414600975861,7.7387958242840575,6.065233492322304,33380377895.033035,-14958.848303070614
2024-11-16,3.8907366133372183,9.09741770511153,7.447824441940172,14767444911.00006,-14968.54998292789
2024-11-17,9.225699730609344,3.827437760122587,6.262772455388228,38077503314.00908,-14892.64146109135
2024-11-18,12.189448944747188,3.674128843041575,6.257345728347684,8931116534.43892,-15127.82194363392
2024-11-19,16.798234459662087,4.793171502246558,8.681680374226246,8805346314.227713,-15028.072460838905
2024-11-20,6.695414554700222,4.72678488118251,6.138718295284671,7282162862.968542,-15018.735166829672
2024-11-21,5.270414523626682,11.251030478058444,1.7422737017391028,10412774594.877937,-15092.047774728437
2024-11-22,6.6509871956798134,3.055469627209396,12.551027280984789,10629630501.749844,-15082.649291789354
2024-11-23,6.378937726642967,13.783059318865359,6.723730529976117,5722590963.550444,-15124.751511321481
