date,token,value,readable_date
1715644800,WSTETH,1033673.16521,2024-05-14 00:00:00
1715731200,OP,808013.87096,2024-05-15 00:00:00
1715731200,SNX,29612.78695,2024-05-15 00:00:00
1715731200,WETH,1424363.45597,2024-05-15 00:00:00
1715731200,WSTETH,1010990.03786,2024-05-15 00:00:00
1715817600,OP,834960.40817,2024-05-16 00:00:00
1715817600,SNX,32259.036,2024-05-16 00:00:00
1715817600,WETH,1423180.65989,2024-05-16 00:00:00
1715817600,WSTETH,1055128.4999,2024-05-16 00:00:00
1715904000,OP,785778.18919,2024-05-17 00:00:00
1715904000,SNX,32007.01228,2024-05-17 00:00:00
1715904000,WETH,1382708.56011,2024-05-17 00:00:00
1715904000,WSTETH,1027659.32091,2024-05-17 00:00:00
1715990400,OP,863767.73962,2024-05-18 00:00:00
1715990400,SNX,33645.16646,2024-05-18 00:00:00
1715990400,WETH,1458473.99445,2024-05-18 00:00:00
1715990400,WSTETH,1082915.1103,2024-05-18 00:00:00
1716076800,OP,857695.78852,2024-05-19 00:00:00
1716076800,SNX,33897.19017,2024-05-19 00:00:00
1716076800,WETH,1471582.07047,2024-05-19 00:00:00
1716076800,WSTETH,1094382.91226,2024-05-19 00:00:00
1716163200,OP,827172.74153,2024-05-20 00:00:00
1716163200,SNX,32385.04786,2024-05-20 00:00:00
1716163200,WETH,1451117.80636,2024-05-20 00:00:00
1716163200,WSTETH,1077851.81188,2024-05-20 00:00:00
1716249600,OP,967112.20103,2024-05-21 00:00:00
1716249600,SNX,36669.45108,2024-05-21 00:00:00
1716249600,WETH,1702554.34436,2024-05-21 00:00:00
1716249600,WSTETH,1263531.8935,2024-05-21 00:00:00
1716336000,OP,1021776.41466,2024-05-22 00:00:00
1716336000,SNX,37047.48666,2024-05-22 00:00:00
1716336000,WETH,1957618.8857,2024-05-22 00:00:00
1716336000,WSTETH,1326824.94041,2024-05-22 00:00:00
1716422400,OP,976533.06313,2024-05-23 00:00:00
1716422400,SNX,36165.40364,2024-05-23 00:00:00
1716422400,WETH,1949497.36124,2024-05-23 00:00:00
1716422400,WSTETH,1341682.68775,2024-05-23 00:00:00
1716508800,OP,1068379.88177,2024-05-24 00:00:00
1716508800,SNX,36291.4155,2024-05-24 00:00:00
