,Devtool Project,Devtool URL,Onchain Builder,List of Packages Used by Project,Total Package Dependents in OSO,Total Package Dependents in RF4,Devtool Star Count,Devtool Fork Count,Devtool Created Date,Devtool Language,License
183,Babel,https://github.com/babel/babel,Smol Dapp,"@babel/code-frame, @babel/compat-data, @babel/core, @babel/generator, @babel/helper-annotate-as-pure, @babel/helper-builder-binary-assignment-operator-visitor, @babel/helper-compilation-targets, @babel/helper-create-class-features-plugin, @babel/helper-create-regexp-features-plugin, @babel/helper-environment-visitor, @babel/helper-function-name, @babel/helper-hoist-variables, @babel/helper-member-expression-to-functions, @babel/helper-module-imports, @babel/helper-module-transforms, @babel/helper-optimise-call-expression, @babel/helper-plugin-utils, @babel/helper-remap-async-to-generator, @babel/helper-replace-supers, @babel/helper-simple-access, @babel/helper-skip-transparent-expression-wrappers, @babel/helper-split-export-declaration, @babel/helper-string-parser, @babel/helper-validator-identifier, @babel/helper-validator-option, @babel/helper-wrap-function, @babel/helpers, @babel/highlight, @babel/parser, @babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression, @babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining, @babel/plugin-bugfix-v8-static-class-fields-redefine-readonly, @babel/plugin-proposal-private-property-in-object, @babel/plugin-syntax-async-generators, @babel/plugin-syntax-class-properties, @babel/plugin-syntax-class-static-block, @babel/plugin-syntax-dynamic-import, @babel/plugin-syntax-export-namespace-from, @babel/plugin-syntax-import-assertions, @babel/plugin-syntax-import-attributes, @babel/plugin-syntax-import-meta, @babel/plugin-syntax-json-strings, @babel/plugin-syntax-logical-assignment-operators, @babel/plugin-syntax-nullish-coalescing-operator, @babel/plugin-syntax-numeric-separator, @babel/plugin-syntax-object-rest-spread, @babel/plugin-syntax-optional-catch-binding, @babel/plugin-syntax-optional-chaining, @babel/plugin-syntax-private-property-in-object, @babel/plugin-syntax-top-level-await, @babel/plugin-syntax-unicode-sets-regex, @babel/plugin-transform-arrow-functions, @babel/plugin-transform-async-generator-functions, @babel/plugin-transform-async-to-generator, @babel/plugin-transform-block-scoped-functions, @babel/plugin-transform-block-scoping, @babel/plugin-transform-class-properties, @babel/plugin-transform-class-static-block, @babel/plugin-transform-classes, @babel/plugin-transform-computed-properties, @babel/plugin-transform-destructuring, @babel/plugin-transform-dotall-regex, @babel/plugin-transform-duplicate-keys, @babel/plugin-transform-dynamic-import, @babel/plugin-transform-exponentiation-operator, @babel/plugin-transform-export-namespace-from, @babel/plugin-transform-for-of, @babel/plugin-transform-function-name, @babel/plugin-transform-json-strings, @babel/plugin-transform-literals, @babel/plugin-transform-logical-assignment-operators, @babel/plugin-transform-member-expression-literals, @babel/plugin-transform-modules-amd, @babel/plugin-transform-modules-commonjs, @babel/plugin-transform-modules-systemjs, @babel/plugin-transform-modules-umd, @babel/plugin-transform-named-capturing-groups-regex, @babel/plugin-transform-new-target, @babel/plugin-transform-nullish-coalescing-operator, @babel/plugin-transform-numeric-separator, @babel/plugin-transform-object-rest-spread, @babel/plugin-transform-object-super, @babel/plugin-transform-optional-catch-binding, @babel/plugin-transform-optional-chaining, @babel/plugin-transform-parameters, @babel/plugin-transform-private-methods, @babel/plugin-transform-private-property-in-object, @babel/plugin-transform-property-literals, @babel/plugin-transform-regenerator, @babel/plugin-transform-reserved-words, @babel/plugin-transform-shorthand-properties, @babel/plugin-transform-spread, @babel/plugin-transform-sticky-regex, @babel/plugin-transform-template-literals, @babel/plugin-transform-typeof-symbol, @babel/plugin-transform-unicode-escapes, @babel/plugin-transform-unicode-property-regex, @babel/plugin-transform-unicode-regex, @babel/plugin-transform-unicode-sets-regex, @babel/preset-env, @babel/runtime, @babel/template, @babel/traverse, @babel/types",3014,168,43379,5661,2014-09-28,TypeScript,MIT License
175,Coinbase,https://github.com/coinbase/coinbase-wallet-sdk,Smol Dapp,@coinbase/wallet-sdk,964,93,1540,613,2019-05-01,TypeScript,MIT License
179,DefinitelyTyped,https://github.com/definitelytyped/definitelytyped,Smol Dapp,"@types/bun, @types/chrome, @types/connect, @types/debug, @types/dom-screen-wake-lock, @types/dompurify, @types/estree, @types/filesystem, @types/filewriter, @types/glob, @types/har-format, @types/json-schema, @types/json5, @types/minimatch, @types/minimist, @types/ms, @types/node, @types/normalize-package-data, @types/nprogress, @types/parse-json, @types/prop-types, @types/qrcode, @types/react, @types/react-dom, @types/resolve, @types/scheduler, @types/secp256k1, @types/semver, @types/trusted-types, @types/ws",3187,186,49096,30292,2012-10-05,TypeScript,Other
178,ESLint,https://github.com/eslint/js,Smol Dapp,"eslint-scope, eslint-visitor-keys",2722,153,2301,207,2014-12-06,JavaScript,"BSD 2-Clause ""Simplified"" License"
163,EthereumJS,https://github.com/ethereumjs/ethereumjs-monorepo,Smol Dapp,"@ethereumjs/common, @ethereumjs/rlp, @ethereumjs/tx, @ethereumjs/util",2298,170,2631,783,2015-07-10,TypeScript,
184,Facebook Open Source,https://github.com/facebook/react,Smol Dapp,"eslint-plugin-react-hooks, react, react-dom, react-is, scheduler, use-sync-external-store",2629,151,231896,47467,2013-05-24,JavaScript,MIT License
182,Jared Wray,https://github.com/jaredwray/keyv,Smol Dapp,keyv,2493,153,2727,158,2017-07-07,TypeScript,MIT License
164,Metamask,https://github.com/metamask/core,Smol Dapp,"@metamask/eth-json-rpc-provider, @metamask/json-rpc-engine",548,69,300,203,2018-05-29,TypeScript,MIT License
165,Metamask,https://github.com/metamask/eth-block-tracker,Smol Dapp,eth-block-tracker,1705,136,131,82,2017-02-04,TypeScript,MIT License
181,Multiformats,https://github.com/multiformats/js-multiformats,Smol Dapp,multiformats,1470,112,242,54,2020-04-22,TypeScript,Other
