date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-beefy,forecasted_TVL_opchain-beefy
2024-10-11 00:00:00,0.18771821800401298,0.21533419128469775,0.04185299756112389,3.4055697574192954e-05,0.0,0.0,242694932.27913448,245155728.7609293
2024-10-12 00:00:00,0.25854355687782177,0.1947825817938104,0.062498888025872626,2.9936676754531764e-05,0.0,0.0,276236702.77099377,238605304.35437515
2024-10-13 00:00:00,0.2802747495098912,0.19400309338928387,0.03946552620124237,2.236900127201756e-05,0.0,0.0,271479043.6608814,286795772.23025024
2024-10-14 00:00:00,0.26866446167423885,0.22746237214288934,0.01572677680989404,2.1103775275197353e-05,0.0,0.0,278129030.6932648,283056930.3716332
2024-10-15 00:00:00,0.20549059828511876,0.20833058182237674,0.043597937294322625,1.3619754776685276e-05,0.0,0.0,282578431.41946983,287995790.5891851
2024-10-16 00:00:00,0.28569504725072026,0.1760631247203064,0.033950511289491704,7.167852074457981e-05,0.0,0.0,276837483.04841006,291318182.55727476
2024-10-17 00:00:00,0.1203176362674314,0.21755069546320183,0.018602128617538786,4.1542109682238196e-05,0.0,0.0,268693664.2564669,251154388.1235967
2024-10-18 00:00:00,0.29319905271728786,0.26082173552347276,0.04197955094763815,3.741695016958368e-05,0.0,0.0,278826843.67991644,253233564.71620563
2024-10-19 00:00:00,0.20951528967945326,0.17116691350058363,0.03451120142446977,3.2862187175482394e-05,0.0,0.0,269162442.60435444,269514774.9994
2024-10-20 00:00:00,0.2387821148449059,0.14407162087018316,0.0357439450353262,2.4766161906852295e-05,0.0,0.0,267262883.37381867,255951587.2401548
2024-10-21 00:00:00,0.18304785500160836,0.21472730771344847,0.04735743606400097,2.0940083516755993e-05,0.0,0.0,265175781.48214936,288607679.49050444
2024-10-22 00:00:00,0.3926543360871189,0.26063448313996673,0.026016655430011134,2.323364299632147e-05,0.0,0.0,288620332.9428131,261613816.7688553
2024-10-23 00:00:00,0.17433652772470676,0.226877956778894,0.034707051144232476,2.0524327027159698e-05,0.0,0.0,268865729.4824675,263657447.5399905
2024-10-24 00:00:00,0.24942173065658513,0.16286677570152447,0.04509428063329026,2.5003148507602606e-05,0.0,0.0,265998320.09383845,239538473.52535138
2024-10-25 00:00:00,0.21742746075527253,0.20514364739903082,0.08435244310587181,2.9582236611483288e-05,0.0,0.0,261685771.67270216,256306662.27757815
2024-10-26 00:00:00,0.044238662981895834,0.17343421404903947,0.045860908936456855,1.435994456739154e-05,0.0,0.0,275881896.4089023,276812797.3335266
2024-10-27 00:00:00,0.10984293234180836,0.07983002743936626,0.05933427900493981,2.5130013807290138e-05,0.0,0.0,257964563.38390386,260167482.37696552
2024-10-28 00:00:00,0.28330311868709623,0.1988305187038244,0.06422244056273134,2.8725959299124166e-05,0.0,0.0,249873747.35081849,273464843.85541713
2024-10-29 00:00:00,0.29866338216822547,0.2127348486678184,0.04454434308579674,3.0084826760663608e-05,0.0,0.0,262992069.0412436,256766372.95465323
2024-10-30 00:00:00,0.2701851048371974,0.17727042578245403,0.029685234508437904,9.826924912518418e-06,0.0,0.0,252612604.26958057,264271544.6689064
2024-10-31 00:00:00,0.23255328463274913,0.18257611703034118,0.05477482461970217,3.3647227733149136e-05,0.0,0.0,260800484.56639686,254816008.80123985
2024-11-01 00:00:00,0.16221133313081243,0.16468053098341343,0.0624210432361199,2.4569064327104663e-05,0.0,0.0,248674294.73574787,258625306.05487975
