project_id,project_source,project_namespace,project_name,collection_id,collection_source,collection_namespace,collection_name,project_id_1,project_source_1,project_namespace_1,project_name_1,display_name,event_source,days_since_first_transaction,active_contract_count_90_days,transaction_count,transaction_count_6_months,gas_fees_sum,gas_fees_sum_6_months,address_count,address_count_90_days,new_address_count_90_days,returning_address_count_90_days,high_activity_address_count_90_days,medium_activity_address_count_90_days,low_activity_address_count_90_days,multi_project_address_count_90_days
TYhSegY7vsHQCOpJw2K2Y1YthfnxACvjYEwbVJxXm6g=,OSS_DIRECTORY,oso,paws-vote-mykcryptodev,89Tit1JWeJvJFw5pp7BjqTlEOvLXRQIw7tgZUI1_pj4=,OSS_DIRECTORY,oso,optimism,TYhSegY7vsHQCOpJw2K2Y1YthfnxACvjYEwbVJxXm6g=,OSS_DIRECTORY,oso,paws-vote-mykcryptodev,PAWS Wildlife Room Onchain Vote in a Frame,BASE,229.0,1.0,4360.0,923.0,0.031715784943593145,0.0039889862679650381,2688.0,133.0,85.0,48.0,0.0,1.0,132.0,114.0
b7PAjNuAHs1ubfmem9cdHhk0x5ONvdAjo2k_0k9CTfI=,OSS_DIRECTORY,oso,0xsequence,89Tit1JWeJvJFw5pp7BjqTlEOvLXRQIw7tgZUI1_pj4=,OSS_DIRECTORY,oso,optimism,b7PAjNuAHs1ubfmem9cdHhk0x5ONvdAjo2k_0k9CTfI=,OSS_DIRECTORY,oso,0xsequence,Sequence,OPTIMISM,968.0,12.0,1040.0,52.0,0.015622329040681218,0.0050729418953878109,17.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0
b7PAjNuAHs1ubfmem9cdHhk0x5ONvdAjo2k_0k9CTfI=,OSS_DIRECTORY,oso,0xsequence,89Tit1JWeJvJFw5pp7BjqTlEOvLXRQIw7tgZUI1_pj4=,OSS_DIRECTORY,oso,optimism,b7PAjNuAHs1ubfmem9cdHhk0x5ONvdAjo2k_0k9CTfI=,OSS_DIRECTORY,oso,0xsequence,Sequence,ARBITRUM_ONE,1150.0,10.0,1006.0,168.0,0.26210613335922128,0.0025352625069030004,15.0,3.0,0.0,3.0,0.0,2.0,1.0,0.0
b7PAjNuAHs1ubfmem9cdHhk0x5ONvdAjo2k_0k9CTfI=,OSS_DIRECTORY,oso,0xsequence,89Tit1JWeJvJFw5pp7BjqTlEOvLXRQIw7tgZUI1_pj4=,OSS_DIRECTORY,oso,optimism,b7PAjNuAHs1ubfmem9cdHhk0x5ONvdAjo2k_0k9CTfI=,OSS_DIRECTORY,oso,0xsequence,Sequence,BASE,464.0,25.0,889.0,750.0,0.22625624278828088,0.19643850318434231,38.0,14.0,7.0,7.0,2.0,2.0,10.0,4.0
2g30p5A8ixZHkvhQomua4U9L1V1lcAyWnTu9X2JUVKo=,OSS_DIRECTORY,oso,harvestfi,89Tit1JWeJvJFw5pp7BjqTlEOvLXRQIw7tgZUI1_pj4=,OSS_DIRECTORY,oso,optimism,2g30p5A8ixZHkvhQomua4U9L1V1lcAyWnTu9X2JUVKo=,OSS_DIRECTORY,oso,harvestfi,Harvest Finance,BASE,465.0,157.0,112991.0,95861.0,1.1636685481541804,0.45541894181392611,41605.0,2793.0,1768.0,1025.0,6.0,111.0,2674.0,1729.0
P2CiXYGSjZfnIpu87iCG2QnJhdAK_DKK-vUrjr-Hi7Y=,OSS_DIRECTORY,oso,kingsimpa69-homes,89Tit1JWeJvJFw5pp7BjqTlEOvLXRQIw7tgZUI1_pj4=,OSS_DIRECTORY,oso,optimism,P2CiXYGSjZfnIpu87iCG2QnJhdAK_DKK-vUrjr-Hi7Y=,OSS_DIRECTORY,oso,kingsimpa69-homes,HOMES,BASE,314.0,23.0,17678.0,6158.0,0.23797986837928636,0.03824036756679243,2624.0,432.0,286.0,146.0,2.0,59.0,371.0,318.0
P2CiXYGSjZfnIpu87iCG2QnJhdAK_DKK-vUrjr-Hi7Y=,OSS_DIRECTORY,oso,kingsimpa69-homes,89Tit1JWeJvJFw5pp7BjqTlEOvLXRQIw7tgZUI1_pj4=,OSS_DIRECTORY,oso,optimism,P2CiXYGSjZfnIpu87iCG2QnJhdAK_DKK-vUrjr-Hi7Y=,OSS_DIRECTORY,oso,kingsimpa69-homes,HOMES,OPTIMISM,137.0,0.0,81.0,81.0,0.0017721398869969885,0.0017721398869969885,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8x6n7ilfQWD-7QDBvzT3LpygWua-t1BLs-_c2FTSOaw=,OSS_DIRECTORY,oso,summer-fi,89Tit1JWeJvJFw5pp7BjqTlEOvLXRQIw7tgZUI1_pj4=,OSS_DIRECTORY,oso,optimism,8x6n7ilfQWD-7QDBvzT3LpygWua-t1BLs-_c2FTSOaw=,OSS_DIRECTORY,oso,summer-fi,Summer.fi,BASE,409.0,304.0,6712.0,3181.0,0.21158990270413519,0.061238881910183875,712.0,284.0,167.0,117.0,2.0,16.0,266.0,122.0
8x6n7ilfQWD-7QDBvzT3LpygWua-t1BLs-_c2FTSOaw=,OSS_DIRECTORY,oso,summer-fi,89Tit1JWeJvJFw5pp7BjqTlEOvLXRQIw7tgZUI1_pj4=,OSS_DIRECTORY,oso,optimism,8x6n7ilfQWD-7QDBvzT3LpygWua-t1BLs-_c2FTSOaw=,OSS_DIRECTORY,oso,summer-fi,Summer.fi,OPTIMISM,583.0,90.0,2444.0,1010.0,0.19014217386529306,0.093766926310684909,242.0,75.0,34.0,41.0,0.0,12.0,63.0,32.0
8x6n7ilfQWD-7QDBvzT3LpygWua-t1BLs-_c2FTSOaw=,OSS_DIRECTORY,oso,summer-fi,89Tit1JWeJvJFw5pp7BjqTlEOvLXRQIw7tgZUI1_pj4=,OSS_DIRECTORY,oso,optimism,8x6n7ilfQWD-7QDBvzT3LpygWua-t1BLs-_c2FTSOaw=,OSS_DIRECTORY,oso,summer-fi,Summer.fi,ARBITRUM_ONE,495.0,0.0,52.0,0.0,0.0038550674999999995,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
