project_id,project_slug,project_name,repository_source,first_commit_date,last_commit_date,repositories,stars,forks,contributors,new_contributors_6_months,contributors_6_months,avg_fulltime_devs_6_months,avg_active_devs_6_months,commits_6_months,issues_opened_6_months,issues_closed_6_months,pull_requests_opened_6_months,pull_requests_merged_6_months,project_id_1,project_slug_1,project_name_1,collection_id,collection_slug,collection_name
_rSUGbgCLjCC0SxFrS6u6299eSa8Vde7C1ftbaFzBuo=,giveth,Giveth,GITHUB,2016-10-04 00:00:00.000000 UTC,2024-04-22 00:00:00.000000 UTC,131,1666,1058,314,9,314,1.6666666666666667,9.6666666666666661,2760.0,552.0,686.0,609.0,563.0,_rSUGbgCLjCC0SxFrS6u6299eSa8Vde7C1ftbaFzBuo=,giveth,Giveth,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,octant-02,Octant (Epoch 2)
UsLiYpuh5exI0XENoG3FGM-UhRSf6Xbis8NvjvwMh5w=,hypercerts,Hypercerts,GITHUB,2022-12-06 00:00:00.000000 UTC,2024-04-15 00:00:00.000000 UTC,12,86,31,25,9,25,0.33333333333333331,2.666666666666667,365.0,131.0,197.0,189.0,172.0,UsLiYpuh5exI0XENoG3FGM-UhRSf6Xbis8NvjvwMh5w=,hypercerts,Hypercerts,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,octant-02,Octant (Epoch 2)
tjebT2TQMaehU8xF6AhwFzT6DSr4wrjoxLh1pE5Q7oo=,drips-network,Drips,GITHUB,2021-10-05 00:00:00.000000 UTC,2024-04-22 00:00:00.000000 UTC,13,114,51,38,13,38,1.0,3.8333333333333335,379.0,146.0,136.0,175.0,160.0,tjebT2TQMaehU8xF6AhwFzT6DSr4wrjoxLh1pE5Q7oo=,drips-network,Drips,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,octant-02,Octant (Epoch 2)
Erx9J64anc8oSeN-wDKm0sojJf8ONrFVYbQ7GFnqSyc=,opensource-observer,Open Source Observer,GITHUB,2023-07-28 00:00:00.000000 UTC,2024-04-23 00:00:00.000000 UTC,6,90,37,30,25,30,1.8333333333333333,4.333333333333333,676.0,442.0,326.0,500.0,479.0,Erx9J64anc8oSeN-wDKm0sojJf8ONrFVYbQ7GFnqSyc=,opensource-observer,Open Source Observer,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,octant-02,Octant (Epoch 2)
4IF5N43rh3j9S83bUBcfoWy_2I4qcP8UulcrMsuJX-o=,tor-project,The Tor Project,GITHUB,2018-04-23 00:00:00.000000 UTC,2024-04-22 00:00:00.000000 UTC,37,6265,1976,741,26,741,0.83333333333333337,1.8333333333333335,426.0,15.0,7.0,11.0,2.0,4IF5N43rh3j9S83bUBcfoWy_2I4qcP8UulcrMsuJX-o=,tor-project,The Tor Project,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,octant-02,Octant (Epoch 2)
UNKoHLpnT_OziRiPCuX21uhgLNIJygsxuZz3A0TL-cg=,protocol-guild,Protocol Guild,GITHUB,2015-01-01 00:00:00.000000 UTC,2024-04-23 00:00:00.000000 UTC,303,279537,118338,17171,1061,17171,12.333333333333334,67.666666666666671,11506.0,1636.0,1537.0,5185.0,4009.0,UNKoHLpnT_OziRiPCuX21uhgLNIJygsxuZz3A0TL-cg=,protocol-guild,Protocol Guild,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,octant-02,Octant (Epoch 2)
wdBmT3yweChtV4g4qcc1NN1QtfnmMPAuCVxoPkiAowY=,ethstaker,EthStaker,GITHUB,2020-10-14 00:00:00.000000 UTC,2024-04-22 00:00:00.000000 UTC,12,807,376,227,39,227,1.0,4.6666666666666661,424.0,51.0,43.0,278.0,274.0,wdBmT3yweChtV4g4qcc1NN1QtfnmMPAuCVxoPkiAowY=,ethstaker,EthStaker,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,octant-02,Octant (Epoch 2)
64qp1ybgolFxPB47LJA0p7BGYKekaqGS8p3yqqvkL3o=,rotki,rotki,GITHUB,2018-12-15 00:00:00.000000 UTC,2024-04-22 00:00:00.000000 UTC,26,2652,554,493,62,493,3.3333333333333335,5.3333333333333339,1962.0,189.0,169.0,1109.0,1079.0,64qp1ybgolFxPB47LJA0p7BGYKekaqGS8p3yqqvkL3o=,rotki,rotki,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,octant-02,Octant (Epoch 2)
zMr9ziUIls0NIAm5eLswVdNAjL-X9j4o2RcEQmrLf4c=,revoke-cash,Revoke,GITHUB,2019-10-12 00:00:00.000000 UTC,2024-04-22 00:00:00.000000 UTC,8,713,239,162,66,162,0.83333333333333337,1.0,311.0,68.0,69.0,45.0,43.0,zMr9ziUIls0NIAm5eLswVdNAjL-X9j4o2RcEQmrLf4c=,revoke-cash,Revoke,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,octant-02,Octant (Epoch 2)
SNdMHnnes04aSQQwpNdWT0uBt6VdKyT3Zog7miIsaK0=,gitcoin,Gitcoin,GITHUB,2017-07-10 00:00:00.000000 UTC,2024-04-22 00:00:00.000000 UTC,197,6597,3153,1807,67,1807,5.0,17.0,2852.0,1012.0,915.0,1087.0,968.0,SNdMHnnes04aSQQwpNdWT0uBt6VdKyT3Zog7miIsaK0=,gitcoin,Gitcoin,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,octant-02,Octant (Epoch 2)
kZVtBKGSl84JGQpuRfuqaUVlY0BP3XZWNy2wYKjB79s=,l2beat,L2BEAT,GITHUB,2021-12-09 00:00:00.000000 UTC,2024-04-22 00:00:00.000000 UTC,11,822,356,276,95,276,1.5,12.5,724.0,34.0,38.0,1366.0,1226.0,kZVtBKGSl84JGQpuRfuqaUVlY0BP3XZWNy2wYKjB79s=,l2beat,L2BEAT,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,octant-02,Octant (Epoch 2)
VPRpp_l5T9Eh0u95IqfzUGdh-2DCLEp5TIxDQ8XMWJE=,ethereum-cat-herders,Ethereum Cat Herders,GITHUB,2015-10-27 00:00:00.000000 UTC,2024-04-22 00:00:00.000000 UTC,1,25038,10074,1511,125,1511,1.0,2.833333333333333,268.0,54.0,31.0,393.0,251.0,VPRpp_l5T9Eh0u95IqfzUGdh-2DCLEp5TIxDQ8XMWJE=,ethereum-cat-herders,Ethereum Cat Herders,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,octant-02,Octant (Epoch 2)
