date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-derive,forecasted_TVL_opchain-derive,forecasted_TVL-derive_v1_protocol,forecasted_TVL_opchain-derive_v1_protocol,forecasted_TVL-derive_v2_protocol,forecasted_TVL_opchain-derive_v2_protocol
2024-09-11 00:00:00,0.2059864648644853,0.20704655527636626,0.031130984253768982,6.885318901420984e-06,0.0,0.0,43274122.00316722,56665223.63121982,1253534.9134971933,1294034.7144751952,48671579.82142564,52650187.95534843
2024-09-12 00:00:00,0.23337785409693043,0.3595759730757934,0.02899482494520932,9.62645539791402e-06,0.0,0.0,45620898.16757656,58362800.22942422,1295830.2673566162,1446595.9052783267,45054219.75737361,58186523.43667506
2024-09-13 00:00:00,0.3447664826343681,0.13440414806932344,0.05970235259174494,8.332525474979958e-06,0.0,0.0,44151728.85063113,61510297.14232503,1157798.7568069757,1330653.8792410488,47082313.498106666,57243459.95818976
2024-09-14 00:00:00,0.32633297065728384,0.17947718331442325,0.02937988871687458,1.0958157647869816e-05,0.0,0.0,42664102.26205979,60748674.28689981,1219036.6094312083,1434906.8767933901,44301762.26687448,54216225.37268256
2024-09-15 00:00:00,0.349112298757195,0.24723400877302032,0.05274210029394873,6.718897783006966e-06,0.0,0.0,42279180.17751387,59366801.51876449,1267605.4682100967,1282666.0709642349,43293407.46858441,57360942.20278441
2024-09-16 00:00:00,0.2033482485606267,0.3030628067207055,0.02535817642403428,7.601217182706692e-23,0.0,0.0,45090652.05256547,59630797.168688975,1234059.7052102564,1447849.5190249083,41202256.66642912,61359958.52730026
2024-09-17 00:00:00,0.16003902281530274,0.2832074279639016,0.07519485232400402,2.79024537969253e-23,0.0,0.0,45076311.92854518,58295878.891501434,1049372.2637742306,1356388.0276085814,43178207.45597063,54750434.76840367
2024-09-18 00:00:00,0.178374302480544,0.16590968667935121,0.035147810776499415,1.1230459151181865e-23,0.0,0.0,42496549.906866185,57395463.70229565,1243780.0720842662,1462655.373492492,41213057.31768588,53873574.335825786
2024-09-19 00:00:00,0.33348044414604516,0.2135657477314277,0.09625108541604425,7.653468481418727e-06,0.0,0.0,42386030.58823294,56383937.13881643,1301568.3116909827,1196177.8729748656,45992399.16480414,54739467.84761912
2024-09-20 00:00:00,0.20083272787455922,0.24963613243665217,0.05488333015504736,7.0862544838461025e-06,0.0,0.0,44734509.66829286,66051661.781244434,1126629.9704792784,1327787.2373088647,38982267.443326786,59976914.11214198
2024-09-21 00:00:00,0.22519414561706913,0.21268320851024025,0.08983574761706038,7.524804809265501e-06,0.0,0.0,46444762.757050335,62603940.76059844,1043467.5563831847,1429549.5599254137,40708439.21609246,53003534.0452926
2024-09-22 00:00:00,0.48789556051175265,0.3123326813650505,0.08900398851293581,1.723609292915169e-05,0.0,0.0,44608576.74441916,52907852.024961896,1296088.643696615,1419201.9707834774,40110087.94492767,50667312.98799947
2024-09-23 00:00:00,0.335381329433496,0.4468268132213024,0.04550512089436188,1.797872973474955e-05,0.0,0.0,42577342.19347122,60035268.571286276,1242222.3433151066,1355144.6409752294,41212085.38143777,58381821.40372589
2024-09-24 00:00:00,0.15011395663702595,0.30627980014648387,0.09288674119890575,1.3303136384749197e-05,0.0,0.0,49808240.749067,56891622.91415646,1101017.4129073478,1490868.846830819,39451001.233335294,58077531.88853385
2024-09-25 00:00:00,0.30033176943686396,0.17282904781178549,0.08023575965128767,3.5113751469169528e-06,0.0,0.0,54380526.374310635,61293585.334293574,1012894.3662626272,1389787.9625119937,40153933.10995624,53698393.522258736
2024-09-26 00:00:00,0.4227552067486784,0.20874310458867784,0.015133137986106578,7.046320018699344e-06,0.0,0.0,50273133.43428255,60770673.07190423,1298698.2722392075,1408916.8013369755,37811648.152602255,56254564.082454056
2024-09-27 00:00:00,0.3256291364385959,0.32816389726211387,0.0,6.508889189423634e-06,0.0,0.0,47830978.73361278,51056589.24867459,1148346.0148802137,1369939.204631612,38582423.02707603,54567007.54572211
2024-09-28 00:00:00,0.4647003276787302,0.390534215234163,1.7872837890152011,8.006446034934953e-06,0.0,0.0,56536775.991874404,55257208.28845147,1135100.2594503113,1475752.6796415665,34864541.68695022,57893353.13114042
2024-09-29 00:00:00,0.2989206516965822,0.34793140133667994,2.2904269560999024,5.092744254808157e-06,0.0,0.0,59188510.12540962,58209492.55157539,1010031.1663882561,1443392.887836901,38612043.61976271,58610809.53725047
2024-09-30 00:00:00,0.39094991806122653,0.37920238672725676,0.7008186027457695,6.8817675817340506e-06,0.0,0.0,57218854.89337114,55156109.82907338,1347954.1545557487,1455291.2758042878,37861040.44445088,58728365.47392953
