General Info,General Info,General Info,General Info,General Info,General Info,General Info,General Info,General Info,Transaction Count,Transaction Count,Transaction Count,Transaction Count,Transaction Count (forecasted),Transaction Count (forecasted),Transaction Count (forecasted),Transaction Count (forecasted),Active Users,Active Users,Active Users,Active Users,Active Users (forecasted),Active Users (forecasted),Active Users (forecasted),Active Users (forecasted),Unique Users,Unique Users,Unique Users,Unique Users,Unique Users (forecasted),Unique Users (forecasted),Unique Users (forecasted),Unique Users (forecasted),Total Transferred,Total Transferred,Total Transferred,Total Transferred,Total Transferred (forecasted),Total Transferred (forecasted),Total Transferred (forecasted),Total Transferred (forecasted),Net Transferred,Net Transferred,Net Transferred,Net Transferred,Net Transferred (forecasted),Net Transferred (forecasted),Net Transferred (forecasted),Net Transferred (forecasted),TVL,TVL,TVL,TVL,TVL (forecasted),TVL (forecasted),TVL (forecasted),TVL (forecasted),Retained Daily Active Users,Retained Daily Active Users,Retained Daily Active Users,Retained Daily Active Users,Retained Daily Active Users (forecasted),Retained Daily Active Users (forecasted),Retained Daily Active Users (forecasted),Retained Daily Active Users (forecasted),DAA/MAA,DAA/MAA,DAA/MAA,DAA/MAA,DAA/MAA (forecasted),DAA/MAA (forecasted),DAA/MAA (forecasted),DAA/MAA (forecasted),Gas Fees,Gas Fees,Gas Fees,Gas Fees,Gas Fees (forecasted),Gas Fees (forecasted),Gas Fees (forecasted),Gas Fees (forecasted),New Delegators,New Delegators,New Delegators,New Delegators,New Delegators (forecasted),New Delegators (forecasted),New Delegators (forecasted),New Delegators (forecasted),New Voters,New Voters,New Voters,New Voters,New Voters (forecasted),New Voters (forecasted),New Voters (forecasted),New Voters (forecasted)
Contango ,Grants Season 6,Cycle 28,Passed,100000,False,2024-09-01 00:00:00,100000,2024-06-03 - 2025-04-10,-0.9079,2.513,0.013617227573889279,0.0136,-0.9185,13.1301,0.0,0.00e+00,-0.8964,2.5799,0.01134454238675442,0.0113,-0.869,8.7254,2.220446049250313e-16,2.22e-16,-1.0,1.422,0.15843066782274673,0.1584,-1.0,28.99,0.0,0.00e+00,,,,nan,,,,nan,,,,nan,,,,nan,-0.097,1.4386,0.15143309809383054,0.1514,-0.4277,5.8805,8.900461256899916e-09,8.90e-09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.9799,1.69,0.09443485496012949,0.0944,-1.0142,-2.7515,0.006602057524152771,0.0066,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Velodrome Finance,Grants Season 6,Cycle 28,Sent,200000,False,2024-09-01 00:00:00,200000,2024-06-05 - 2025-04-10,-0.7186,2.7341,0.007295733460305431,0.0073,-0.8195,12.523,0.0,0.00e+00,-0.6561,2.4185,0.01707624808965469,0.0171,-0.7987,11.6262,0.0,0.00e+00,-1.0,1.7523,0.08324391013942867,0.0832,-1.0,4.2952,2.9901196660464535e-05,2.99e-05,,,,nan,,,,nan,,,,nan,,,,nan,-0.4829,14.6519,0.0,0.00e+00,-0.4552,9.0394,0.0,0.00e+00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.7697,1.2794,0.2038924718710935,0.2039,-0.9387,19.7845,0.0,0.00e+00,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Uniswap: YBA Grant,Grants Season 6,Cycle 28,Sent,180000,False,2024-09-01 00:00:00,180000,2024-06-01 - 2025-04-10,0.0186,-0.123,0.9021647640430217,0.9022,0.7144,-4.8978,1.8093629368109987e-06,1.81e-06,-0.1073,0.8317,0.4061950084501582,0.4062,0.1312,-1.4856,0.1386496967837294,0.1386,-0.2843,2.3209,0.020938587752310944,0.0209,0.0716,-0.7609,0.4474515835149919,0.4475,,,,nan,,,,nan,0.468,-3.0995,0.0021149542446095015,0.0021,1.7706,-10.4589,0.0,0.00e+00,-0.383,10.8571,0.0,0.00e+00,-0.074,1.3937,0.1642946281616049,0.1643,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.5953,2.3664,0.01857472975170449,0.0186,-0.5656,4.0021,8.458166821800894e-05,8.46e-05,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Uniswap: LRT Grant,Grants Season 6,Cycle 28,Sent,120000,False,2024-09-01 00:00:00,120000,2024-06-01 - 2025-04-10,0.0186,-0.123,0.9021647640430217,0.9022,0.5492,-4.1473,4.6833586686778617e-05,4.68e-05,-0.1073,0.8317,0.4061950084501582,0.4062,0.2142,-2.2603,0.024671743879474572,0.0247,-0.2843,2.3209,0.020938587752310944,0.0209,-0.0592,0.7106,0.47795669360848336,0.4780,,,,nan,,,,nan,0.468,-3.0995,0.0021149542446095015,0.0021,1.0361,-8.127,1.887379141862766e-14,1.89e-14,-0.383,10.8571,0.0,0.00e+00,-0.1353,2.6944,0.007384390199180135,0.0074,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.5953,2.3664,0.01857472975170449,0.0186,-0.574,4.1167,5.310408613645734e-05,5.31e-05,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Mint Blockchain- grow the Superchain NFT economy,Grants Season 6,Cycle 28,Passed,250000,True,2024-11-18 00:00:00,0,2024-07-23 - 2025-04-10,0.1047,-0.957,0.3394442590375397,0.3394,0.0593,-0.673,0.5017680810215841,0.5018,0.0407,-0.3751,0.7079268583004223,0.7079,-0.015,0.175,0.8612058461045313,0.8612,-0.4041,1.9121,0.05696783813219475,0.0570,1.294,-2.7295,0.007129422711103173,0.0071,0.0711,-0.5166,0.605855131339565,0.6059,3.3562,-8.75,4.884981308350689e-15,4.88e-15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.2152,3.0241,0.0027539141265544576,0.0028,-0.3601,6.3381,1.276620587020716e-09,1.28e-09,-0.2192,2.5059,0.012827362142262322,0.0128,-0.4565,8.7486,6.661338147750939e-16,6.66e-16,-0.2838,2.6293,0.009066457753413415,0.0091,-0.3682,5.0894,8.344825377371023e-07,8.34e-07,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Idle - Credit Vaults III,Grants Season 6,Cycle 28,Sent,140000,False,2024-09-01 00:00:00,140000,2024-06-01 - 2025-04-10,-0.0131,0.1817,0.8559636012258474,0.8560,0.2643,-2.9201,0.003810786532216781,0.0038,0.9053,-1.977,0.049256592685549494,0.0493,1.2349,-2.3114,0.021729815363507043,0.0217,1.9267,-2.1317,0.03411169643525924,0.0341,3.1677,-2.4729,0.014156414558243346,0.0142,3.0118,-2.4668,0.01424230202264587,0.0142,31.6803,-3.4023,0.0007931351918790686,0.0008,1.7596,-7.6859,2.8754776337791554e-13,2.88e-13,3.2688,-9.7128,0.0,0.00e+00,-0.6039,18.0234,0.0,0.00e+00,11.3254,-11.8092,0.0,0.00e+00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.5223,4.782,2.679794792070922e-06,2.68e-06,-0.515,8.558,6.661338147750939e-16,6.66e-16,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
dForce on OP (Resubmission II),Grants Season 6,Cycle 28,Passed,70000,False,2024-09-01 00:00:00,70000,2024-06-26 - 2025-04-10,3.8439,-4.7824,2.928018457915016e-06,2.93e-06,8.8809,-6.8621,6.728329005056821e-11,6.73e-11,3.4767,-5.3611,1.8995574158076067e-07,1.90e-07,6.5429,-7.7249,3.843592111252292e-13,3.84e-13,0.897,-1.2613,0.2082082857222074,0.2082,2.2643,-3.7079,0.0002640272170648661,0.0003,,,,nan,,,,nan,,,,nan,,,,nan,0.5485,-3.2361,0.0013978470483393401,0.0014,1.4076,-5.2414,3.514317876707196e-07,3.51e-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.8901,0.9987,0.321552437832775,0.3216,-0.7992,6.5501,2.1142798622975079e-10,2.11e-10,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Alchemix Grant Request,Grants Season 6,Cycle 28,Passed,50000,True,2024-12-17 00:00:00,0,2024-01-24 - 2025-04-10,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,-1.4205,0.15820383986960662,0.1582,,-1.4205,0.15820383986960662,0.1582,-0.8874,21.0159,0.0,0.00e+00,,-2.989,0.0034288002952955754,0.0034,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,nan,,,,nan,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Toros Finance,Grants Season 6,Cycle 28,Sent,50000,False,2024-09-01 00:00:00,50000,2024-01-24 - 2025-04-10,,-2.4163,0.016489793556326626,0.0165,,,,nan,,-2.5612,0.011095190294455826,0.0111,,,,nan,,-1.4174,0.15776517426664394,0.1578,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,-0.0511,0.6927,0.48887684807958065,0.4889,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,-1.9672,0.05040806388384489,0.0504,,,,nan,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Strands,Grants Season 6,Cycle 28,Passed,50000,False,2024-09-01 00:00:00,50000,2024-01-24 - 2025-04-10,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,nan,,,,nan,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Pyth Network: Infrastructure Subsidies,Grants Season 6,Cycle 28,Passed,70000,False,2024-09-01 00:00:00,70000,2024-01-24 - 2025-04-10,,-1.4174,0.1577672758936357,0.1578,,-1.4174,0.1577672758936357,0.1578,,-1.4174,0.1577672758936357,0.1578,,-1.4174,0.1577672758936357,0.1578,,-1.0,0.3184041585225432,0.3184,,-1.0,0.3184041585225432,0.3184,,,,nan,,,,nan,2.701,-2.5645,0.010971871519464882,0.0110,-1.0,-2.2116,0.028388015050891724,0.0284,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,-1.3616,0.17471786907268871,0.1747,,-1.3616,0.17471786907268871,0.1747,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Ionic Superchain Borrow/Lend Aggregator,Grants Season 6,Cycle 28,Passed,3000,False,2024-09-01 00:00:00,3000,2024-01-24 - 2025-04-10,,-1.0,0.3184041585225432,0.3184,,-1.0,0.3184041585225432,0.3184,,-1.0,0.3184041585225432,0.3184,,-1.0,0.3184041585225432,0.3184,,-1.0,0.3184041585225432,0.3184,,-1.0,0.3184041585225432,0.3184,,-1.0,0.3184041585225432,0.3184,,-1.0,0.3184041585225432,0.3184,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.401,8.0662,6.8833827526759706e-15,6.88e-15,-0.5441,20.8666,0.0,0.00e+00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,-1.0,0.31840415852254345,0.3184,,-1.0,0.31840415852254345,0.3184,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Pyth Network: Decentralized Solvers (Pyth Express Relay),Grants Season 6,Cycle 28,Passed,70000,False,2024-09-01 00:00:00,70000,2024-01-24 - 2025-04-10,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,nan,,,,nan,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Kroma Intent 3B Grants Application,Grants Season 6,Cycle 28,Passed,500000,False,2024-09-01 00:00:00,500000,2024-06-02 - 2025-04-10,0.0159,-0.0813,0.9352171271926137,0.9352,1.9422,-6.4778,5.347626785834336e-10,5.35e-10,0.0815,-0.3833,0.7017415817920836,0.7017,0.5586,-3.2784,0.0011760472508555164,0.0012,-0.8026,4.2543,5.009896102547984e-05,5.01e-05,-0.2489,2.7679,0.006044917377072245,0.0060,-0.4439,2.2794,0.024335717974111715,0.0243,0.2316,-1.2794,0.20185765598593863,0.2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.379,9.9681,0.0,0.00e+00,0.3654,-4.4912,9.669177825299968e-06,9.67e-06,-0.7563,7.7019,1.8052226380405045e-13,1.81e-13,-0.7587,13.2584,0.0,0.00e+00,-0.099,0.5685,0.5701318706279292,0.5701,-0.4582,5.9145,7.427363168943657e-09,7.43e-09,-0.7406,7.5737,4.1744385725905886e-13,4.17e-13,-0.7253,11.3597,0.0,0.00e+00,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Derive (Formerly Lyra) Chain - Intent 3B Take 2,Grants Season 6,Cycle 28,Passed,700000,False,2024-09-01 00:00:00,700000,2024-06-02 - 2025-04-10,-0.3384,5.6263,4.108612494668762e-08,4.11e-08,-0.7648,27.5907,0.0,0.00e+00,-0.2344,6.256,1.4994308017435287e-09,1.50e-09,-0.7473,30.6563,0.0,0.00e+00,-0.5791,1.9374,0.05359932910595755,0.0536,-0.387,1.7999,0.07319446170521848,0.0732,0.117,-0.3332,0.7391896666251614,0.7392,5229884.1851,-5.6805,4.205601689122318e-08,4.21e-08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.1789,3.6845,0.00027384702025612384,0.0003,-0.1064,1.8151,0.070336318561393,0.0703,-0.4072,14.093,0.0,0.00e+00,-0.798,30.9466,0.0,0.00e+00,-0.4391,15.4555,0.0,0.00e+00,-0.8146,36.3691,0.0,0.00e+00,-0.6121,1.9368,0.05585376769145567,0.0559,-0.8078,22.0667,0.0,0.00e+00,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Polynomial Chain,Grants Season 6,Cycle 28,Passed,400000,False,2024-09-01 00:00:00,400000,2024-01-24 - 2025-04-10,,-1.0,0.31838473750388663,0.3184,,,,nan,,-1.0,0.31838473750388663,0.3184,,,,nan,,-1.0,0.31838473750388663,0.3184,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,-0.0613,1.2352,0.2179296607379142,0.2179,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,-1.0,0.3183847375038864,0.3184,,,,nan,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Spearbit/Cantina for Balmy,Grants Season 6,Cycle 28,Passed,70000,False,2024-09-01 00:00:00,70000,2024-06-06 - 2025-04-10,-0.373,0.4311,0.6672885895778919,0.6673,1.4951,-1.3932,0.1649353467882071,0.1649,0.1757,-0.2004,0.8412895867402692,0.8413,0.8529,-1.1381,0.25629650582734853,0.2563,-0.6081,0.5662,0.5723878954405435,0.5724,0.3736,-0.2712,0.7865210221394712,0.7865,,,,nan,,,,nan,,,,nan,,,,nan,-0.3234,9.1546,0.0,0.00e+00,0.1278,-2.0121,0.045034373454729604,0.0450,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.9706,1.1416,0.25677766813336134,0.2568,-1.0166,-5.7559,4.1178088938664814e-08,4.12e-08,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Autonomint Security Grant Application,Grants Season 6,Cycle 28,Passed,49500,False,2024-09-01 00:00:00,49500,2024-06-06 - 2025-04-10,0.7635,-0.5358,0.5924578858786598,0.5925,1.7311,-1.3946,0.16453530375024528,0.1645,1.3514,-0.9802,0.3279849746687291,0.3280,48.266,-2.4266,0.016043074318141226,0.0160,-0.6081,0.5662,0.5723878954405435,0.5724,0.1555,-0.1342,0.893374399689554,0.8934,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.4402,0.4433,0.6578370029049152,0.6578,-1.0446,-9.638,0.0,0.00e+00,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Extra Finance Security Grant Application,Grants Season 6,Cycle 28,Passed,28850,False,2024-09-01 00:00:00,28850,2024-06-06 - 2025-04-10,0.9595,-0.6302,0.5290153699787168,0.5290,2.4264,-1.5971,0.11167280443438243,0.1117,1.7432,-1.1361,0.25689279308163315,0.2569,3.9246,-1.8777,0.06173830517614953,0.0617,-0.6081,0.5662,0.5723878954405435,0.5724,0.5256,-0.3434,0.7315850719958488,0.7316,,,,nan,,,,nan,,,,nan,,,,nan,-0.1812,4.3821,1.7279606921327684e-05,1.73e-05,0.126,-2.0143,0.044782760718593106,0.0448,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.4358,0.4389,0.6610396782482186,0.6610,-1.0481,-8.2597,1.9095836023552692e-14,1.91e-14,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Clusters.xyz,Grants Season 6,Cycle 28,Passed,35000,False,2024-09-01 00:00:00,35000,2024-06-06 - 2025-04-10,-0.373,0.4311,0.6672885895778919,0.6673,0.6454,-0.9116,0.36297676091359143,0.3630,0.1757,-0.2004,0.8412895867402692,0.8413,0.5465,-0.8722,0.38400666815721185,0.3840,-0.6081,0.5662,0.5723878954405435,0.5724,-0.2624,0.3542,0.72349629403971,0.7235,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.9706,1.1416,0.25677766813336134,0.2568,-1.0169,-5.6057,8.580652766099206e-08,8.58e-08,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Alchemix Audit Grant Request (Cyfrin),Grants Season 6,Cycle 28,Passed,14741,False,2024-09-01 00:00:00,14741,2024-01-24 - 2025-04-10,,-1.214,0.22605077248776606,0.2261,,,,nan,,-1.3441,0.1802994024400688,0.1803,,,,nan,,-1.4174,0.15776517426664394,0.1578,,,,nan,,-1.0,0.3183992377305487,0.3184,,,,nan,,,,nan,,,,nan,-0.4773,13.4089,0.0,0.00e+00,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,-1.0175,0.31003319792713513,0.3100,,,,nan,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Resolv Labs Security Grant Application,Grants Season 6,Cycle 28,Passed,31500,False,2024-09-01 00:00:00,31500,2024-06-06 - 2025-04-10,2.1351,-1.1671,0.24407284610158575,0.2441,21.7944,-1.9565,0.05166152771699628,0.0517,2.9189,-1.5159,0.13056154465832237,0.1306,25.0897,-2.2899,0.022967304624703644,0.0230,-0.2162,0.1544,0.8773822861683451,0.8774,3.1646,-0.7591,0.44858137490936456,0.4486,,,,nan,,,,nan,,,,nan,,,,nan,5.9949,-7.519,1.3664624987086427e-12,1.37e-12,5.636,-7.4333,2.241318242113266e-12,2.24e-12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.1054,-0.0758,0.939631677985213,0.9396,-1.0772,-9.8398,0.0,0.00e+00,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
QuantAMM Audit Grant Request (Cyfrin),Grants Season 6,Cycle 28,Passed,49600,False,2024-09-01 00:00:00,49600,2024-01-24 - 2025-04-10,,-1.214,0.22605077248776606,0.2261,,,,nan,,-1.3441,0.1802994024400688,0.1803,,,,nan,,-1.4174,0.15776517426664394,0.1578,,,,nan,,-1.0,0.3183992377305487,0.3184,,,,nan,,,,nan,,,,nan,-0.4773,13.4089,0.0,0.00e+00,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,-1.0175,0.31003319792713513,0.3100,,,,nan,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
