,Project Name,Grants Season or Mission,Status,Initial delivery date,OP Delivered,OP Total Amount,Intent,Link,Other metadata,html,oso_slug
1176,PoolTogether Rocket Pool Prize Vaults,Grants Season 5,Sent,,120000.0,120000.0,Intent 3,https://app.charmverse.io/op-grants/pooltogether-rocket-pool-prize-vaults-2932225218365898,"{""Incentive Program Launched?"": ""Growth"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/pooltogether-rocket-pool-prize-vaults-2932225218365898"", ""L2 Address"": ""0xbAab6adfd3bC6DA2b4F19A3F5659915F599BE472""}",charmverse-proposal-pooltogether-rocket-pool-prize-vaults-2932225218365898.html,pool-together
1177,Sommelier Real Yield ETH (LST Vault) on OP,Grants Season 5,Sent,2024-07-01 00:00:00,20000.0,50000.0,Intent 3,https://app.charmverse.io/op-grants/sommelier-real-yield-eth-lst-vault-on-op-0035876006608450695,"{""Incentive Program Launched?"": ""Growth"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/sommelier-real-yield-eth-lst-vault-on-op-0035876006608450695"", ""L2 Address"": ""0x85974Dc8978De3Ba84E8B1D0CC67b54F40028Eda""}",charmverse-proposal-sommelier-real-yield-eth-lst-vault-on-op-0035876006608450695.html,unknown
1178,Stake Together L2 Staking Products on Optimism,Grants Season 5,Sent to locked Multisig,,,50000.0,Intent 3,https://app.charmverse.io/op-grants/stake-together-l2-staking-products-on-optimism-7670530949549383,"{""Incentive Program Launched?"": ""Builders"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/stake-together-l2-staking-products-on-optimism-7670530949549383"", ""L2 Address"": ""0xebE8027500855342a7eC3541624BCBaE4B03743F""}",charmverse-proposal-stake-together-l2-staking-products-on-optimism-7670530949549383.html,unknown
1179,Wormhole Foundation - wstETH Bridge,Grants Season 5,Sent,2024-06-01 00:00:00,20000.0,50000.0,Intent 3,https://app.charmverse.io/op-grants/wormhole-foundation-wsteth-bridge-21777030002965025,"{""Incentive Program Launched?"": ""Growth"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/wormhole-foundation-wsteth-bridge-21777030002965025"", ""L2 Address"": ""0xF8a4c2e9903a922925F3b81b8ceAE05e5B667D26""}",charmverse-proposal-wormhole-foundation-wsteth-bridge-21777030002965025.html,wormhole
1187,Opti.domains ENS L2 Development,Grants Season 5,Sent to locked Multisig,,,50000.0,Intent 3,https://app.charmverse.io/op-grants/opti-domains-ens-l2-development-9893299892995353,"{""Incentive Program Launched?"": ""Builders"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/opti-domains-ens-l2-development-9893299892995353"", ""L2 Address"": ""0x20eA23Db080E74aB964FEDd396440725385E70ba""}",charmverse-proposal-opti-domains-ens-l2-development-9893299892995353.html,opti-domains
1190,Halborn - Smart Contract Auditing,Grants Season 5,Sent to locked Multisig,,,50000.0,Intent 3,https://app.charmverse.io/op-grants/page-47037618149308247,"{""Incentive Program Launched?"": ""Builders"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/page-47037618149308247"", ""L2 Address"": ""0x47959DBE5755df97CB5FEc9957Bc4a2fAFdD0847""}",charmverse-page-47037618149308247.html,unknown
1191,Nethermind Security - Smart Contract Audit Services,Grants Season 5,Sent to locked Multisig,,,70000.0,Intent 3,https://app.charmverse.io/op-grants/nethermind-security-smart-contract-audit-services-11530537120253204,"{""Incentive Program Launched?"": ""Builders"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/nethermind-security-smart-contract-audit-services-11530537120253204"", ""L2 Address"": ""0xDD71EbF2B1ce923E3e231388a8a7cDba253485c1""}",charmverse-proposal-nethermind-security-smart-contract-audit-services-11530537120253204.html,nethermindeth
1192,Sherlock - Smart Contract Audits Mission Request,Grants Season 5,Sent to locked Multisig,,,200000.0,Intent 3,https://app.charmverse.io/op-grants/page-11949409404374878,"{""Incentive Program Launched?"": ""Builders"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/page-11949409404374878"", ""L2 Address"": ""0x5A973117Dd273676bf4D14313b80562DC8973ba9""}",charmverse-page-11949409404374878.html,sherlock-protocol
1193,Spearbit/Cantina for SC auditing and security services,Grants Season 5,Sent to locked Multisig,,,145000.0,Intent 3,https://app.charmverse.io/op-grants/spearbit-cantina-for-sc-auditing-and-security-services-07211205975125723,"{""Incentive Program Launched?"": ""Builders"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/spearbit-cantina-for-sc-auditing-and-security-services-07211205975125723"", ""L2 Address"": ""0xB6B9E9e56AB5a4AF927faa802ac93786352f3af9""}",charmverse-proposal-spearbit-cantina-for-sc-auditing-and-security-services-07211205975125723.html,spearbit-portfolio
1194,Trail of Bits Security Reviews,Grants Season 5,Sent to locked Multisig,,,200000.0,Intent 3,https://app.charmverse.io/op-grants/trail-of-bits-security-reviews-6640568925221075,"{""Proposal Link"": ""https://app.charmverse.io/op-grants/trail-of-bits-security-reviews-6640568925221075"", ""L2 Address"": ""willproviduponselection""}",charmverse-proposal-trail-of-bits-security-reviews-6640568925221075.html,slither-crytic
1197,Bleu Assistant AI,Grants Season 5,Sent to locked Multisig,,,7000.0,Intent 4,https://app.charmverse.io/op-grants/bleu-assistant-ai-6926133139021808,"{""Incentive Program Launched?"": ""Builders"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/bleu-assistant-ai-6926133139021808"", ""L2 Address"": ""0xa41214012d4462ecBB0724673897Ee0dCc0fDF49""}",charmverse-proposal-bleu-assistant-ai-6926133139021808.html,unknown
1198,x23.ai - AI governance summariser + chatbot,Grants Season 5,Sent to locked Multisig,,,4000.0,Intent 4,https://app.charmverse.io/op-grants/x23-ai-ai-governance-summariser-chatbot-11953603162581583,"{""Incentive Program Launched?"": ""Builders"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/x23-ai-ai-governance-summariser-chatbot-11953603162581583"", ""L2 Address"": ""0xd48FbAF788EE2831086F074c208CD90269eAD050""}",charmverse-proposal-x23-ai-ai-governance-summariser-chatbot-11953603162581583.html,unknown
1208,Boosting Delegation on Optimism,Grants Season 5,Sent to locked Multisig,,,50000.0,Intent 4,https://app.charmverse.io/op-grants/boosting-delegation-on-optimism-6612121850122266,"{""Incentive Program Launched?"": ""Builders"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/boosting-delegation-on-optimism-6612121850122266"", ""L2 Address"": ""0xbD72a3Cd66B3e40E5151B153164905FD65b55145""}",charmverse-proposal-boosting-delegation-on-optimism-6612121850122266.html,rabbithole
1213,GovTalks: Unlocking Optimistic Potential,Grants Season 5,Sent to locked Multisig,,,10000.0,Intent 4,https://app.charmverse.io/op-grants/govtalks-unlocking-optimistic-potential-2957594524260736,"{""Incentive Program Launched?"": ""Builders"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/govtalks-unlocking-optimistic-potential-2957594524260736""}",charmverse-proposal-govtalks-unlocking-optimistic-potential-2957594524260736.html,unknown
1215,Velodrome Finance - Governance Participation,Grants Season 5,Sent,2024-08-01 00:00:00,40000.0,40000.0,Intent 4,https://app.charmverse.io/op-grants/velodrome-finance-governance-participation-23531902138656102,"{""Incentive Program Launched?"": ""Builders"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/velodrome-finance-governance-participation-23531902138656102"", ""L2 Address"": ""0xb074ec6c37659525eef2fb44478077901f878012""}",charmverse-proposal-velodrome-finance-governance-participation-23531902138656102.html,velodrome
1223,[CENFOTEC] Optimism in Costa Rica University,Grants Season 5,Sent,2024-06-01 00:00:00,2500.0,2500.0,Intent 4,https://app.charmverse.io/op-grants/cenfotec-optimism-in-costa-rica-university-36967085286006984,"{""Incentive Program Launched?"": ""Growth"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/cenfotec-optimism-in-costa-rica-university-36967085286006984"", ""L2 Address"": ""0x721231a663564935b2E8fd11CEE1614441fBaf68""}",charmverse-proposal-cenfotec-optimism-in-costa-rica-university-36967085286006984.html,unknown
1224,Optimism at Rio de Janeiro Federal Universities: a collaboration with the Blockchain Innovation Hub,Grants Season 5,Sent,2024-06-01 00:00:00,8000.0,20000.0,Intent 4,https://app.charmverse.io/op-grants/optimism-at-rio-de-janeiro-federal-universities-a-collaboration-with-the-blockchain-innovation-hub-6395457446717472,"{""Incentive Program Launched?"": ""Growth"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/optimism-at-rio-de-janeiro-federal-universities-a-collaboration-with-the-blockchain-innovation-hub-6395457446717472"", ""L2 Address"": ""0x712D833533D9dB0359383Fb00564530d8cabf300""}",charmverse-proposal-optimism-at-rio-de-janeiro-federal-universities-a-collaboration-with-the-blockchain-innovation-hub-6395457446717472.html,unknown
