artifact_name,project_name,metric_name,sample_date,amount
nftminterscript,wakeuplabs,GITHUB_active_developers_monthly,2023-06-01,1
python-sdk,third-web,GITHUB_active_developers_monthly,2023-08-01,1
cast_checks,trailofbits,GITHUB_active_developers_monthly,2023-08-01,1
vast,trailofbits,GITHUB_active_developers_monthly,2023-08-01,5
go-sdk,third-web,GITHUB_active_developers_monthly,2023-08-01,1
rv-toolkit-docs,runtimeverification,GITHUB_active_developers_monthly,2023-08-01,1
forge-std,arbos-foundry-bernard-wagner,GITHUB_active_developers_monthly,2023-08-01,1
rv-toolkit-docs,runtimeverification,GITHUB_active_developers_monthly,2023-02-01,1
divergent-representations,trailofbits,GITHUB_active_developers_monthly,2023-02-01,1
canto-showroom,redstone-finance,GITHUB_active_developers_monthly,2023-02-01,1
go-sdk,third-web,GITHUB_active_developers_monthly,2023-02-01,1
k-web-theme,runtimeverification,GITHUB_active_developers_monthly,2023-02-01,1
welldonestudio.github.io,remix-arbitrum-welldonestudio,GITHUB_active_developers_monthly,2023-02-01,3
polytracker,trailofbits,GITHUB_active_developers_monthly,2023-05-01,1
awesome-ml-security,trailofbits,GITHUB_active_developers_monthly,2023-11-01,1
kup,runtimeverification,GITHUB_active_developers_monthly,2023-02-01,1
python-project-template,runtimeverification,GITHUB_active_developers_monthly,2023-02-01,2
js,third-web,GITHUB_active_developers_monthly,2023-02-01,6
sholva,trailofbits,GITHUB_active_developers_monthly,2023-02-01,1
redstone-evm-examples,redstone-finance,GITHUB_active_developers_monthly,2023-02-01,1
redstone-landing,redstone-finance,GITHUB_active_developers_monthly,2023-11-01,1
dylint,trailofbits,GITHUB_active_developers_monthly,2023-11-01,2
cookiecutter-python,trailofbits,GITHUB_active_developers_monthly,2023-11-01,1
contracts,third-web,GITHUB_active_developers_monthly,2023-02-01,4
evm-semantics,runtimeverification,GITHUB_active_developers_monthly,2023-02-01,2
eth-security-toolbox,trailofbits,GITHUB_active_developers_monthly,2023-11-01,1
redstone-app,redstone-finance,GITHUB_active_developers_monthly,2023-02-01,1
k,runtimeverification,GITHUB_active_developers_monthly,2023-02-01,1
mishegos,trailofbits,GITHUB_active_developers_monthly,2023-02-01,1
redstone-images,redstone-finance,GITHUB_active_developers_monthly,2023-02-01,1
widgets,third-web,GITHUB_active_developers_monthly,2023-02-01,1
docs,third-web,GITHUB_active_developers_monthly,2023-05-01,11
support-discord-bot,third-web,GITHUB_active_developers_monthly,2023-05-01,1
pyth-crosschain,pyth-network,GITHUB_active_developers_monthly,2023-02-01,8
pyth-client,pyth-network,GITHUB_active_developers_monthly,2023-02-01,1
k-editor-support,runtimeverification,GITHUB_active_developers_monthly,2023-02-01,1
blight,trailofbits,GITHUB_active_developers_monthly,2023-02-01,2
necessist,trailofbits,GITHUB_active_developers_monthly,2023-06-01,2
proof-generation,runtimeverification,GITHUB_active_developers_monthly,2023-06-01,3
wasm-semantics,runtimeverification,GITHUB_active_developers_monthly,2023-08-01,1
