Name,Metric,Date,Value
Trail of Bits Security Reviews,GITHUB_opened_pull_requests_daily,2024-06-22,4.0
Runtime Verification,GITHUB_merged_pull_requests_daily,2024-06-22,1.0
Trail of Bits Security Reviews,GITHUB_merged_pull_requests_daily,2024-06-22,3.0
Open Source Observer,GITHUB_opened_issues_daily,2024-06-22,1.0
Enclave,GITHUB_comments_daily,2024-12-26,1.0
Trail of Bits Security Reviews,GITHUB_comments_daily,2024-12-26,7.0
thirdweb,GITHUB_comments_daily,2024-12-26,16.0
Pyth Network,GITHUB_stars_daily,2024-12-26,1.0
Debid - Fairblock,GITHUB_commits_daily,2024-12-26,2.0
Enclave,GITHUB_repositories_daily,2024-12-26,1.0
Moving Stylus,GITHUB_contributors_daily,2024-12-26,1.0
Enclave,GITHUB_contributors_daily,2024-12-26,1.0
thirdweb,GITHUB_opened_pull_requests_daily,2024-12-26,1.0
Enclave,GITHUB_opened_pull_requests_daily,2024-12-26,1.0
Pyth Network,GITHUB_opened_pull_requests_daily,2024-12-26,1.0
Open Source Observer,GITHUB_opened_pull_requests_daily,2024-12-26,1.0
Moving Stylus,GITHUB_opened_pull_requests_daily,2024-12-26,1.0
Pyth Network,GITHUB_merged_pull_requests_daily,2024-12-26,2.0
Moving Stylus,GITHUB_merged_pull_requests_daily,2024-12-26,1.0
Trail of Bits Security Reviews,GITHUB_merged_pull_requests_daily,2024-12-26,11.0
thirdweb,GITHUB_merged_pull_requests_daily,2024-12-26,2.0
thirdweb,GITHUB_opened_issues_daily,2024-12-26,1.0
Walnut,GITHUB_comments_daily,2024-04-24,3.0
Runtime Verification,GITHUB_comments_daily,2024-04-24,43.0
Open Source Observer,GITHUB_stars_daily,2024-04-24,1.0
thirdweb,GITHUB_commits_daily,2024-04-24,11.0
Pyth Network,GITHUB_commits_daily,2024-04-24,4.0
Walnut,GITHUB_forks_daily,2024-04-24,1.0
thirdweb,GITHUB_forks_daily,2024-04-24,1.0
thirdweb,GITHUB_repositories_daily,2024-04-24,6.0
Debid - Fairblock,GITHUB_repositories_daily,2024-04-24,1.0
Walnut,GITHUB_repositories_daily,2024-04-24,1.0
Redstone Finance,GITHUB_repositories_daily,2024-04-24,5.0
Trail of Bits Security Reviews,GITHUB_repositories_daily,2024-04-24,14.0
Debid - Fairblock,GITHUB_contributors_daily,2024-04-24,1.0
Open Source Observer,GITHUB_contributors_daily,2024-04-24,3.0
Debid - Fairblock,GITHUB_active_developers_daily,2024-04-24,1.0
Redstone Finance,GITHUB_active_developers_daily,2024-04-24,1.0
thirdweb,GITHUB_opened_pull_requests_daily,2024-04-24,13.0
Runtime Verification,GITHUB_opened_pull_requests_daily,2024-04-24,8.0
Trail of Bits Security Reviews,GITHUB_opened_pull_requests_daily,2024-04-24,2.0
thirdweb,GITHUB_merged_pull_requests_daily,2024-04-24,12.0
Runtime Verification,GITHUB_merged_pull_requests_daily,2024-04-24,9.0
Open Source Observer,GITHUB_merged_pull_requests_daily,2024-04-24,4.0
thirdweb,GITHUB_opened_issues_daily,2024-04-24,1.0
thirdweb,GITHUB_comments_daily,2024-04-28,27.0
Runtime Verification,GITHUB_stars_daily,2024-04-28,1.0
thirdweb,GITHUB_stars_daily,2024-04-28,5.0
Trail of Bits Security Reviews,GITHUB_stars_daily,2024-04-28,11.0
Trail of Bits Security Reviews,GITHUB_commits_daily,2024-04-28,3.0
Trail of Bits Security Reviews,GITHUB_forks_daily,2024-04-28,2.0
Trail of Bits Security Reviews,GITHUB_repositories_daily,2024-04-28,11.0
Pyth Network,GITHUB_contributors_daily,2024-04-28,1.0
Runtime Verification,GITHUB_contributors_daily,2024-04-28,2.0
thirdweb,GITHUB_contributors_daily,2024-04-28,2.0
Open Source Observer,GITHUB_opened_pull_requests_daily,2024-04-28,2.0
Pyth Network,GITHUB_opened_pull_requests_daily,2024-04-28,1.0
thirdweb,GITHUB_opened_pull_requests_daily,2024-04-28,6.0
Pyth Network,GITHUB_comments_daily,2025-03-11,32.0
Trail of Bits Security Reviews,GITHUB_comments_daily,2025-03-11,8.0
Runtime Verification,GITHUB_comments_daily,2025-03-11,10.0
Runtime Verification,GITHUB_stars_daily,2025-03-11,3.0
Open Source Observer,GITHUB_repositories_daily,2025-03-11,2.0
Redstone Finance,GITHUB_active_developers_daily,2025-03-11,4.0
Passport XYZ,GITHUB_active_developers_daily,2025-03-11,1.0
thirdweb,GITHUB_active_developers_daily,2025-03-11,1.0
Runtime Verification,GITHUB_opened_pull_requests_daily,2025-03-11,5.0
Open Source Observer,GITHUB_opened_pull_requests_daily,2025-03-11,10.0
Passport XYZ,GITHUB_merged_pull_requests_daily,2025-03-11,2.0
Passport XYZ,GITHUB_opened_issues_daily,2025-03-11,6.0
Runtime Verification,GITHUB_opened_issues_daily,2025-03-11,2.0
Runtime Verification,GITHUB_closed_issues_daily,2025-03-11,1.0
Passport XYZ,GITHUB_closed_issues_daily,2025-03-11,2.0
Runtime Verification,GITHUB_comments_daily,2024-07-23,22.0
Runtime Verification,GITHUB_stars_daily,2024-07-23,2.0
Trail of Bits Security Reviews,GITHUB_stars_daily,2024-07-23,17.0
Runtime Verification,GITHUB_commits_daily,2024-07-23,42.0
Passport XYZ,GITHUB_commits_daily,2024-07-23,21.0
Trail of Bits Security Reviews,GITHUB_releases_daily,2024-07-23,1.0
Runtime Verification,GITHUB_releases_daily,2024-07-23,14.0
Trail of Bits Security Reviews,GITHUB_repositories_daily,2024-07-23,22.0
Open Source Observer,GITHUB_repositories_daily,2024-07-23,2.0
Redstone Finance,GITHUB_repositories_daily,2024-07-23,3.0
Open Source Observer,GITHUB_contributors_daily,2024-07-23,2.0
Redstone Finance,GITHUB_contributors_daily,2024-07-23,3.0
Trail of Bits Security Reviews,GITHUB_active_developers_daily,2024-07-23,4.0
Runtime Verification,GITHUB_active_developers_daily,2024-07-23,4.0
Pyth Network,GITHUB_active_developers_daily,2024-07-23,2.0
thirdweb,GITHUB_opened_pull_requests_daily,2024-07-23,17.0
Trail of Bits Security Reviews,GITHUB_opened_pull_requests_daily,2024-07-23,4.0
Pyth Network,GITHUB_merged_pull_requests_daily,2024-07-23,3.0
Open Source Observer,GITHUB_merged_pull_requests_daily,2024-07-23,4.0
Trail of Bits Security Reviews,GITHUB_closed_issues_daily,2024-07-23,1.0
Trail of Bits Security Reviews,GITHUB_comments_daily,2024-10-17,16.0
Trail of Bits Security Reviews,GITHUB_stars_daily,2024-10-17,14.0
Redstone Finance,GITHUB_commits_daily,2024-10-17,11.0
Open Source Observer,GITHUB_commits_daily,2024-10-17,18.0
Runtime Verification,GITHUB_releases_daily,2024-10-17,7.0
thirdweb,GITHUB_contributors_daily,2024-10-17,10.0
Open Source Observer,GITHUB_active_developers_daily,2024-10-17,5.0
Runtime Verification,GITHUB_active_developers_daily,2024-10-17,6.0
Runtime Verification,GITHUB_merged_pull_requests_daily,2024-10-17,6.0
Runtime Verification,GITHUB_opened_issues_daily,2024-10-17,2.0
Walnut,GITHUB_comments_daily,2024-08-14,1.0
Pyth Network,GITHUB_commits_daily,2024-08-14,4.0
Pyth Network,GITHUB_forks_daily,2024-08-14,1.0
Trail of Bits Security Reviews,GITHUB_forks_daily,2024-08-14,3.0
Redstone Finance,GITHUB_repositories_daily,2024-08-14,1.0
Passport XYZ,GITHUB_repositories_daily,2024-08-14,2.0
Walnut,GITHUB_repositories_daily,2024-08-14,1.0
Walnut,GITHUB_contributors_daily,2024-08-14,1.0
Redstone Finance,GITHUB_contributors_daily,2024-08-14,1.0
Trail of Bits Security Reviews,GITHUB_contributors_daily,2024-08-14,4.0
thirdweb,GITHUB_active_developers_daily,2024-08-14,4.0
Trail of Bits Security Reviews,GITHUB_opened_pull_requests_daily,2024-08-14,3.0
thirdweb,GITHUB_merged_pull_requests_daily,2024-08-14,11.0
Passport XYZ,GITHUB_merged_pull_requests_daily,2024-08-14,4.0
Trail of Bits Security Reviews,GITHUB_merged_pull_requests_daily,2024-08-14,1.0
Walnut,GITHUB_opened_issues_daily,2024-08-14,1.0
Open Source Observer,GITHUB_opened_issues_daily,2024-08-14,3.0
Runtime Verification,GITHUB_closed_issues_daily,2024-08-14,2.0
Walnut,GITHUB_closed_issues_daily,2024-08-14,1.0
Pyth Network,GITHUB_comments_daily,2024-03-03,1.0
thirdweb,GITHUB_comments_daily,2024-03-03,1.0
Trail of Bits Security Reviews,GITHUB_stars_daily,2024-03-03,15.0
Trail of Bits Security Reviews,GITHUB_forks_daily,2024-03-03,2.0
Redstone Finance,GITHUB_forks_daily,2024-03-03,1.0
Pyth Network,GITHUB_forks_daily,2024-03-03,2.0
Trail of Bits Security Reviews,GITHUB_repositories_daily,2024-03-03,9.0
Redstone Finance,GITHUB_repositories_daily,2024-03-03,2.0
thirdweb,GITHUB_contributors_daily,2024-03-03,1.0
thirdweb,GITHUB_opened_pull_requests_daily,2024-03-03,1.0
Runtime Verification,GITHUB_forks_daily,2024-06-08,1.0
Trail of Bits Security Reviews,GITHUB_repositories_daily,2024-06-08,7.0
Runtime Verification,GITHUB_repositories_daily,2024-06-08,3.0
Open Source Observer,GITHUB_repositories_daily,2024-06-08,3.0
Trail of Bits Security Reviews,GITHUB_contributors_daily,2024-06-08,1.0
Runtime Verification,GITHUB_contributors_daily,2024-06-08,1.0
Runtime Verification,GITHUB_active_developers_daily,2024-06-08,1.0
Open Source Observer,GITHUB_opened_pull_requests_daily,2024-06-08,3.0
Open Source Observer,GITHUB_merged_pull_requests_daily,2024-06-08,1.0
thirdweb,GITHUB_merged_pull_requests_daily,2024-06-08,6.0
Trail of Bits Security Reviews,GITHUB_merged_pull_requests_daily,2024-06-08,2.0
Redstone Finance,GITHUB_stars_daily,2024-01-28,1.0
Debid - Fairblock,GITHUB_stars_daily,2024-01-28,6.0
thirdweb,GITHUB_commits_daily,2024-01-28,1.0
Runtime Verification,GITHUB_releases_daily,2024-01-28,2.0
Pyth Network,GITHUB_forks_daily,2024-01-28,1.0
Runtime Verification,GITHUB_contributors_daily,2024-01-28,1.0
Passport XYZ,GITHUB_comments_daily,2024-12-19,8.0
thirdweb,GITHUB_comments_daily,2024-12-19,113.0
Walnut,GITHUB_stars_daily,2024-12-19,1.0
Walnut,GITHUB_commits_daily,2024-12-19,3.0
Remix IDE plugin for Arbitrum Stylus,GITHUB_commits_daily,2024-12-19,1.0
Enclave,GITHUB_commits_daily,2024-12-19,1.0
Redstone Finance,GITHUB_commits_daily,2024-12-19,12.0
Runtime Verification,GITHUB_releases_daily,2024-12-19,4.0
Runtime Verification,GITHUB_repositories_daily,2024-12-19,5.0
Walnut,GITHUB_repositories_daily,2024-12-19,4.0
Solang,GITHUB_repositories_daily,2024-12-19,1.0
Enclave,GITHUB_repositories_daily,2024-12-19,1.0
Enclave,GITHUB_contributors_daily,2024-12-19,2.0
Pyth Network,GITHUB_contributors_daily,2024-12-19,9.0
Remix IDE plugin for Arbitrum Stylus,GITHUB_contributors_daily,2024-12-19,1.0
Pyth Network,GITHUB_active_developers_daily,2024-12-19,6.0
Runtime Verification,GITHUB_opened_pull_requests_daily,2024-12-19,1.0
Trail of Bits Security Reviews,GITHUB_opened_pull_requests_daily,2024-12-19,4.0
Pyth Network,GITHUB_opened_pull_requests_daily,2024-12-19,4.0
Open Source Observer,GITHUB_merged_pull_requests_daily,2024-12-19,9.0
Pyth Network,GITHUB_closed_issues_daily,2024-12-19,1.0
Open Source Observer,GITHUB_commits_daily,2024-11-17,9.0
Open Source Observer,GITHUB_repositories_daily,2024-11-17,3.0
Remix IDE plugin for Arbitrum Stylus,GITHUB_repositories_daily,2024-11-17,1.0
Trail of Bits Security Reviews,GITHUB_repositories_daily,2024-11-17,14.0
Pyth Network,GITHUB_repositories_daily,2024-11-17,1.0
Runtime Verification,GITHUB_repositories_daily,2024-11-17,3.0
Remix IDE plugin for Arbitrum Stylus,GITHUB_contributors_daily,2024-11-17,1.0
Enclave,GITHUB_contributors_daily,2024-11-17,1.0
Runtime Verification,GITHUB_active_developers_daily,2024-11-17,1.0
Remix IDE plugin for Arbitrum Stylus,GITHUB_active_developers_daily,2024-11-17,1.0
Trail of Bits Security Reviews,GITHUB_active_developers_daily,2024-11-17,2.0
Runtime Verification,GITHUB_merged_pull_requests_daily,2024-11-17,2.0
Open Source Observer,GITHUB_stars_daily,2024-12-08,1.0
Open Source Observer,GITHUB_commits_daily,2024-12-08,5.0
Runtime Verification,GITHUB_commits_daily,2024-12-08,1.0
Trail of Bits Security Reviews,GITHUB_repositories_daily,2024-12-08,7.0
Runtime Verification,GITHUB_repositories_daily,2024-12-08,1.0
Ember,GITHUB_contributors_daily,2024-12-08,1.0
Open Source Observer,GITHUB_contributors_daily,2024-12-08,2.0
Open Source Observer,GITHUB_active_developers_daily,2024-12-08,1.0
thirdweb,GITHUB_opened_issues_daily,2024-12-08,1.0
Walnut,GITHUB_forks_weekly,2024-04-08,1.0
Runtime Verification,GITHUB_forks_weekly,2024-04-08,5.0
Walnut,GITHUB_stars_weekly,2024-04-08,3.0
Pyth Network,GITHUB_stars_weekly,2024-04-08,1.0
Redstone Finance,GITHUB_commits_daily,2024-04-08,4.0
Walnut,GITHUB_commits_daily,2024-04-08,42.0
Trail of Bits Security Reviews,GITHUB_commits_daily,2024-04-08,28.0
Pyth Network,GITHUB_releases_weekly,2024-04-08,4.0
Runtime Verification,GITHUB_releases_daily,2024-04-08,4.0
Pyth Network,GITHUB_commits_weekly,2024-04-08,39.0
Trail of Bits Security Reviews,GITHUB_commits_weekly,2024-04-08,54.0
WakeUp Labs,GITHUB_commits_weekly,2024-04-08,1.0
Runtime Verification,GITHUB_forks_daily,2024-04-08,1.0
Pyth Network,GITHUB_repositories_weekly,2024-04-08,8.0
Redstone Finance,GITHUB_repositories_daily,2024-04-08,3.0
Runtime Verification,GITHUB_repositories_daily,2024-04-08,10.0
Syndicate Protocol,GITHUB_contributors_weekly,2024-04-08,1.0
Redstone Finance,GITHUB_contributors_weekly,2024-04-08,6.0
Walnut,GITHUB_contributors_weekly,2024-04-08,4.0
Pyth Network,GITHUB_contributors_daily,2024-04-08,7.0
Runtime Verification,GITHUB_active_developers_weekly,2024-04-08,10.0
Trail of Bits Security Reviews,GITHUB_active_developers_daily,2024-04-08,6.0
Walnut,GITHUB_active_developers_daily,2024-04-08,1.0
Pyth Network,GITHUB_active_developers_daily,2024-04-08,3.0
Walnut,GITHUB_opened_pull_requests_weekly,2024-04-08,5.0
Runtime Verification,GITHUB_opened_pull_requests_weekly,2024-04-08,59.0
Redstone Finance,GITHUB_merged_pull_requests_weekly,2024-04-08,2.0
Trail of Bits Security Reviews,GITHUB_merged_pull_requests_weekly,2024-04-08,48.0
Walnut,GITHUB_merged_pull_requests_weekly,2024-04-08,3.0
thirdweb,GITHUB_merged_pull_requests_weekly,2024-04-08,103.0
Debid - Fairblock,GITHUB_merged_pull_requests_weekly,2024-04-08,1.0
Pyth Network,GITHUB_opened_pull_requests_daily,2024-04-08,8.0
thirdweb,GITHUB_opened_pull_requests_daily,2024-04-08,31.0
Pyth Network,GITHUB_merged_pull_requests_daily,2024-04-08,2.0
Runtime Verification,GITHUB_merged_pull_requests_daily,2024-04-08,4.0
Trail of Bits Security Reviews,GITHUB_opened_issues_daily,2024-04-08,3.0
Open Source Observer,GITHUB_comments_daily,2024-05-18,3.0
thirdweb,GITHUB_commits_daily,2024-05-18,2.0
Runtime Verification,GITHUB_commits_daily,2024-05-18,5.0
thirdweb,GITHUB_repositories_daily,2024-05-18,6.0
Open Source Observer,GITHUB_opened_pull_requests_daily,2024-05-18,1.0
Runtime Verification,GITHUB_comments_daily,2025-03-09,4.0
Trail of Bits Security Reviews,GITHUB_stars_daily,2025-03-09,13.0
CodeTracer,GITHUB_forks_daily,2025-03-09,1.0
Walnut,GITHUB_repositories_daily,2025-03-09,3.0
Trail of Bits Security Reviews,GITHUB_contributors_daily,2025-03-09,1.0
Open Source Observer,GITHUB_active_developers_daily,2025-03-09,2.0
Solang,GITHUB_opened_issues_daily,2025-03-09,1.0
Open Source Observer,GITHUB_opened_issues_daily,2025-03-09,3.0
Open Source Observer,GITHUB_closed_issues_daily,2025-03-09,1.0
Redstone Finance,GITHUB_comments_daily,2024-09-07,3.0
thirdweb,GITHUB_stars_daily,2024-09-07,1.0
Trail of Bits Security Reviews,GITHUB_stars_daily,2024-09-07,12.0
Pyth Network,GITHUB_forks_daily,2024-09-07,1.0
Runtime Verification,GITHUB_repositories_daily,2024-09-07,2.0
Open Source Observer,GITHUB_closed_issues_daily,2024-09-07,14.0
thirdweb,GITHUB_comments_daily,2024-12-18,78.0
Remix IDE plugin for Arbitrum Stylus,GITHUB_comments_daily,2024-12-18,1.0
thirdweb,GITHUB_stars_daily,2024-12-18,2.0
Redstone Finance,GITHUB_commits_daily,2024-12-18,25.0
Runtime Verification,GITHUB_commits_daily,2024-12-18,5.0
Remix IDE plugin for Arbitrum Stylus,GITHUB_repositories_daily,2024-12-18,1.0
thirdweb,GITHUB_repositories_daily,2024-12-18,2.0
Enclave,GITHUB_repositories_daily,2024-12-18,1.0
Debid - Fairblock,GITHUB_contributors_daily,2024-12-18,2.0
thirdweb,GITHUB_contributors_daily,2024-12-18,11.0
Enclave,GITHUB_contributors_daily,2024-12-18,1.0
Solang,GITHUB_contributors_daily,2024-12-18,1.0
Redstone Finance,GITHUB_contributors_daily,2024-12-18,2.0
Debid - Fairblock,GITHUB_active_developers_daily,2024-12-18,2.0
Walnut,GITHUB_active_developers_daily,2024-12-18,1.0
Passport XYZ,GITHUB_opened_pull_requests_daily,2024-12-18,4.0
Remix IDE plugin for Arbitrum Stylus,GITHUB_merged_pull_requests_daily,2024-12-18,2.0
Pyth Network,GITHUB_merged_pull_requests_daily,2024-12-18,3.0
Enclave,GITHUB_closed_issues_daily,2024-12-18,1.0
Trail of Bits Security Reviews,GITHUB_comments_daily,2024-06-05,12.0
Enclave,GITHUB_stars_daily,2024-06-05,1.0
Walnut,GITHUB_commits_daily,2024-06-05,7.0
Redstone Finance,GITHUB_commits_daily,2024-06-05,3.0
thirdweb,GITHUB_active_developers_daily,2024-06-05,5.0
Trail of Bits Security Reviews,GITHUB_opened_pull_requests_daily,2024-06-05,2.0
thirdweb,GITHUB_merged_pull_requests_daily,2024-06-05,5.0
Runtime Verification,GITHUB_opened_issues_daily,2024-06-05,4.0
Walnut,GITHUB_closed_issues_daily,2024-06-05,7.0
Pyth Network,GITHUB_comments_daily,2024-05-08,5.0
Open Source Observer,GITHUB_comments_daily,2024-05-08,13.0
Redstone Finance,GITHUB_stars_daily,2024-05-08,1.0
Walnut,GITHUB_repositories_daily,2024-05-08,1.0
Open Source Observer,GITHUB_repositories_daily,2024-05-08,1.0
Pyth Network,GITHUB_active_developers_daily,2024-05-08,1.0
Open Source Observer,GITHUB_contributors_daily,2024-05-08,3.0
Walnut,GITHUB_contributors_daily,2024-05-08,2.0
WakeUp Labs,GITHUB_contributors_daily,2024-05-08,1.0
Pyth Network,GITHUB_opened_pull_requests_daily,2024-05-08,3.0
Pyth Network,GITHUB_merged_pull_requests_daily,2024-05-08,1.0
thirdweb,GITHUB_merged_pull_requests_daily,2024-05-08,7.0
Runtime Verification,GITHUB_stars_daily,2024-12-25,1.0
Trail of Bits Security Reviews,GITHUB_forks_daily,2024-12-25,1.0
Pyth Network,GITHUB_contributors_daily,2024-12-25,2.0
Trail of Bits Security Reviews,GITHUB_comments_daily,2024-03-23,1.0
Trail of Bits Security Reviews,GITHUB_commits_daily,2024-03-23,1.0
Trail of Bits Security Reviews,GITHUB_forks_daily,2024-03-23,4.0
Runtime Verification,GITHUB_forks_daily,2024-03-23,1.0
Pyth Network,GITHUB_repositories_daily,2024-03-23,10.0
Runtime Verification,GITHUB_repositories_daily,2024-03-23,4.0
Trail of Bits Security Reviews,GITHUB_active_developers_daily,2024-03-23,1.0
thirdweb,GITHUB_merged_pull_requests_daily,2024-03-23,4.0
Walnut,GITHUB_opened_pull_requests_daily,2024-03-23,1.0
Runtime Verification,GITHUB_opened_pull_requests_daily,2024-03-23,1.0
Runtime Verification,GITHUB_opened_issues_daily,2024-03-23,2.0
Pyth Network,GITHUB_comments_daily,2024-08-05,6.0
Open Source Observer,GITHUB_comments_daily,2024-08-05,10.0
Passport XYZ,GITHUB_comments_daily,2024-08-05,8.0
Redstone Finance,GITHUB_forks_weekly,2024-08-05,1.0
Open Source Observer,GITHUB_stars_weekly,2024-08-05,4.0
Pyth Network,GITHUB_stars_weekly,2024-08-05,6.0
Redstone Finance,GITHUB_stars_weekly,2024-08-05,3.0
Open Source Observer,GITHUB_stars_daily,2024-08-05,1.0
thirdweb,GITHUB_stars_daily,2024-08-05,1.0
Passport XYZ,GITHUB_releases_weekly,2024-08-05,8.0
Pyth Network,GITHUB_releases_weekly,2024-08-05,1.0
Debid - Fairblock,GITHUB_releases_weekly,2024-08-05,2.0
thirdweb,GITHUB_releases_weekly,2024-08-05,9.0
Passport XYZ,GITHUB_commits_daily,2024-08-05,8.0
Walnut,GITHUB_commits_daily,2024-08-05,19.0
Trail of Bits Security Reviews,GITHUB_commits_weekly,2024-08-05,96.0
Remix IDE plugin for Arbitrum Stylus,GITHUB_commits_weekly,2024-08-05,9.0
Walnut,GITHUB_commits_weekly,2024-08-05,54.0
Arbos Foundry,GITHUB_commits_weekly,2024-08-05,40.0
Redstone Finance,GITHUB_comments_weekly,2024-08-05,30.0
Pyth Network,GITHUB_comments_weekly,2024-08-05,108.0
Walnut,GITHUB_comments_weekly,2024-08-05,55.0
Pyth Network,GITHUB_repositories_weekly,2024-08-05,10.0
Enclave,GITHUB_repositories_weekly,2024-08-05,1.0
Runtime Verification,GITHUB_repositories_weekly,2024-08-05,18.0
Redstone Finance,GITHUB_repositories_weekly,2024-08-05,5.0
Walnut,GITHUB_repositories_weekly,2024-08-05,3.0
Pyth Network,GITHUB_repositories_daily,2024-08-05,5.0
Redstone Finance,GITHUB_repositories_daily,2024-08-05,2.0
thirdweb,GITHUB_repositories_daily,2024-08-05,4.0
Passport XYZ,GITHUB_repositories_daily,2024-08-05,3.0
Debid - Fairblock,GITHUB_contributors_weekly,2024-08-05,4.0
Runtime Verification,GITHUB_contributors_weekly,2024-08-05,25.0
Walnut,GITHUB_contributors_weekly,2024-08-05,13.0
Remix IDE plugin for Arbitrum Stylus,GITHUB_active_developers_weekly,2024-08-05,1.0
Trail of Bits Security Reviews,GITHUB_active_developers_weekly,2024-08-05,8.0
Walnut,GITHUB_active_developers_weekly,2024-08-05,2.0
Enclave,GITHUB_contributors_daily,2024-08-05,1.0
Passport XYZ,GITHUB_contributors_daily,2024-08-05,2.0
Walnut,GITHUB_active_developers_daily,2024-08-05,1.0
thirdweb,GITHUB_active_developers_daily,2024-08-05,2.0
Open Source Observer,GITHUB_contributors_daily,2024-08-05,2.0
Debid - Fairblock,GITHUB_opened_pull_requests_weekly,2024-08-05,3.0
Arbos Foundry,GITHUB_opened_pull_requests_weekly,2024-08-05,1.0
Redstone Finance,GITHUB_opened_pull_requests_weekly,2024-08-05,6.0
Runtime Verification,GITHUB_merged_pull_requests_weekly,2024-08-05,74.0
Walnut,GITHUB_merged_pull_requests_weekly,2024-08-05,9.0
Pyth Network,GITHUB_merged_pull_requests_daily,2024-08-05,2.0
thirdweb,GITHUB_merged_pull_requests_daily,2024-08-05,15.0
Runtime Verification,GITHUB_merged_pull_requests_daily,2024-08-05,13.0
Trail of Bits Security Reviews,GITHUB_opened_issues_weekly,2024-08-05,6.0
Walnut,GITHUB_closed_issues_daily,2024-08-05,3.0
Open Source Observer,GITHUB_closed_issues_daily,2024-08-05,2.0
Pyth Network,GITHUB_comments_daily,2024-11-29,25.0
Redstone Finance,GITHUB_comments_daily,2024-11-29,7.0
Solang,GITHUB_comments_daily,2024-11-29,2.0
Open Source Observer,GITHUB_stars_daily,2024-11-29,3.0
Solang,GITHUB_stars_daily,2024-11-29,1.0
Enclave,GITHUB_commits_daily,2024-11-29,5.0
Trail of Bits Security Reviews,GITHUB_forks_daily,2024-11-29,1.0
Enclave,GITHUB_repositories_daily,2024-11-29,1.0
Pyth Network,GITHUB_repositories_daily,2024-11-29,6.0
Walnut,GITHUB_repositories_daily,2024-11-29,1.0
Pyth Network,GITHUB_contributors_daily,2024-11-29,6.0
Trail of Bits Security Reviews,GITHUB_contributors_daily,2024-11-29,4.0
Redstone Finance,GITHUB_active_developers_daily,2024-11-29,3.0
Open Source Observer,GITHUB_active_developers_daily,2024-11-29,2.0
Redstone Finance,GITHUB_opened_pull_requests_daily,2024-11-29,3.0
Pyth Network,GITHUB_opened_pull_requests_daily,2024-11-29,6.0
Open Source Observer,GITHUB_comments_daily,2025-02-16,3.0
Trail of Bits Security Reviews,GITHUB_stars_daily,2025-02-16,9.0
Passport XYZ,GITHUB_stars_daily,2025-02-16,8.0
Pyth Network,GITHUB_commits_daily,2025-02-16,3.0
Open Source Observer,GITHUB_commits_daily,2025-02-16,1.0
Pyth Network,GITHUB_forks_daily,2025-02-16,1.0
Trail of Bits Security Reviews,GITHUB_repositories_daily,2025-02-16,8.0
Open Source Observer,GITHUB_contributors_daily,2025-02-16,1.0
thirdweb,GITHUB_active_developers_daily,2025-02-16,1.0
Pyth Network,GITHUB_merged_pull_requests_daily,2025-02-16,3.0
Pyth Network,GITHUB_comments_daily,2025-01-16,31.0
Runtime Verification,GITHUB_comments_daily,2025-01-16,35.0
Passport XYZ,GITHUB_comments_daily,2025-01-16,2.0
thirdweb,GITHUB_comments_daily,2025-01-16,77.0
Trail of Bits Security Reviews,GITHUB_commits_daily,2025-01-16,8.0
9Lives,GITHUB_commits_daily,2025-01-16,6.0
Pyth Network,GITHUB_releases_daily,2025-01-16,1.0
Trail of Bits Security Reviews,GITHUB_repositories_daily,2025-01-16,16.0
Walnut,GITHUB_repositories_daily,2025-01-16,1.0
Pyth Network,GITHUB_repositories_daily,2025-01-16,6.0
Walnut,GITHUB_contributors_daily,2025-01-16,2.0
Pyth Network,GITHUB_contributors_daily,2025-01-16,9.0
Walnut,GITHUB_active_developers_daily,2025-01-16,1.0
Pyth Network,GITHUB_active_developers_daily,2025-01-16,7.0
Redstone Finance,GITHUB_active_developers_daily,2025-01-16,1.0
Walnut,GITHUB_merged_pull_requests_daily,2025-01-16,2.0
Trail of Bits Security Reviews,GITHUB_merged_pull_requests_daily,2025-01-16,7.0
Open Source Observer,GITHUB_opened_issues_daily,2025-01-16,12.0
Solang,GITHUB_opened_issues_daily,2025-01-16,1.0
thirdweb,GITHUB_closed_issues_daily,2025-01-16,1.0
thirdweb,GITHUB_stars_daily,2024-03-31,4.0
thirdweb,GITHUB_repositories_daily,2024-03-31,4.0
Trail of Bits Security Reviews,GITHUB_contributors_daily,2024-03-31,3.0
Open Source Observer,GITHUB_active_developers_daily,2024-03-31,1.0
thirdweb,GITHUB_merged_pull_requests_daily,2024-03-31,3.0
Enclave,GITHUB_comments_daily,2025-01-02,7.0
Open Source Observer,GITHUB_comments_daily,2025-01-02,8.0
Trail of Bits Security Reviews,GITHUB_stars_daily,2025-01-02,10.0
thirdweb,GITHUB_stars_daily,2025-01-02,1.0
Trail of Bits Security Reviews,GITHUB_commits_daily,2025-01-02,23.0
Solang,GITHUB_forks_daily,2025-01-02,1.0
thirdweb,GITHUB_forks_daily,2025-01-02,1.0
Pyth Network,GITHUB_forks_daily,2025-01-02,1.0
Runtime Verification,GITHUB_repositories_daily,2025-01-02,3.0
Pyth Network,GITHUB_repositories_daily,2025-01-02,6.0
Trail of Bits Security Reviews,GITHUB_repositories_daily,2025-01-02,13.0
Solang,GITHUB_repositories_daily,2025-01-02,1.0
Enclave,GITHUB_contributors_daily,2025-01-02,2.0
thirdweb,GITHUB_contributors_daily,2025-01-02,5.0
