uuid,category,active_addresses_180D,active_addresses_90D,daily_active_addresses_180D,daily_active_addresses_90D,farcaster_users_180D,farcaster_users_90D,transactions_180D,transactions_90D
3ea994a4-c20a-4849-8b72-5b0c33c12b73,DEX,3.0,1.0,1.0,1.0,,,3.0,1.0
3fe23b54-e0a8-4869-9e59-c2d1ef8fa5c7,Betting & Prediction Markets,2975.0,2974.0,121.0,127.0,1532.0,1532.0,207593.0,207521.0
4133afe8-311a-417d-b4fa-ea520cfad5df,Gaming,170.0,58.0,1.0,1.0,59.0,24.0,223.0,70.0
44cceb66-8501-40b7-b977-b9aecf4d4b3b,Art NFTs,273.0,273.0,28.0,28.0,115.0,115.0,305.0,305.0
45ca2132-cb78-4e41-aca2-61f2fe8c71c1,Frames,143.0,143.0,8.0,8.0,117.0,117.0,1683.0,1683.0
480aae5a-3e1b-4b9e-a8e8-3a06a47f78af,Lending,6135.0,404.0,108.0,19.0,1615.0,109.0,15668.0,562.0
49ee3492-1af1-41e2-8ef2-f5f388470d46,DEX,232.0,59.0,3.0,2.0,2.0,1.0,646.0,146.0
4c2bd46d-c518-4798-84f8-27b0bdca3c73,DEX,755.0,257.0,21.0,12.0,214.0,78.0,7445.0,1461.0
4d172a4b-7c8e-40b6-84f6-475906c42d67,Airdrop,1258.0,1058.0,12.0,14.0,72.0,69.0,3935.0,3699.0
4d7a1967-86d1-4818-820f-5b2695243cbc,Identity,1908.0,1.0,97.0,1.0,343.0,,2076.0,1.0
4de4462a-f27c-40ff-aeb6-01c2f1bbd3b0,Lending,16.0,3.0,3.0,1.0,,,30.0,7.0
52af194c-b618-47a2-9a64-61c27a21d16b,Meme Community,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0
5523b0e7-3038-46cc-9218-5f5e52042b14,Other Category,106.0,106.0,2.0,2.0,74.0,74.0,129.0,129.0
55ea809f-3a8b-4ccf-abbf-4e25374dd239,Gaming,16325.0,14887.0,106.0,189.0,2753.0,2610.0,23255.0,20641.0
56c0530e-aa91-46ae-9cae-66d17ebb639b,Gaming,5.0,5.0,1.0,1.0,3.0,3.0,8.0,8.0
5df30ae5-bda9-4799-998f-a82e794396d9,Gaming,61.0,61.0,4.0,4.0,17.0,17.0,4512.0,4512.0
6104ece1-68f7-40a9-aeef-723f33e440ce,Staking,4.0,1.0,1.0,1.0,,,13.0,3.0
62fc6280-e66f-4e03-a93f-c04f2b11f383,Lending,25386.0,626.0,396.0,27.0,6469.0,247.0,78233.0,857.0
63313238-bd94-43ab-b981-b9e778917ad2,Art NFTs,21.0,15.0,1.0,1.0,14.0,9.0,55.0,47.0
63ccc515-d1aa-4f68-b5a4-2177b10f81cc,Community & Curation,237.0,178.0,2.0,3.0,176.0,128.0,404.0,287.0
649e921b-3f19-4a5a-8d8e-6a42508c2741,Gaming,320.0,320.0,9.0,9.0,290.0,290.0,1922.0,1922.0
657d3052-63b9-499a-8898-ee74a2d4c0e7,Art NFTs,3.0,3.0,1.0,1.0,,,1179.0,1179.0
67209e62-be17-43ad-9259-b8cd4a8ae1b2,Frames,13.0,13.0,2.0,2.0,12.0,12.0,13.0,13.0
6a11ad77-d1d4-47ce-ba2f-d89cf853fd00,DEX,512.0,169.0,13.0,9.0,,,176010.0,83325.0
6abc3227-4e7f-4786-863c-abdd23f488a2,Community & Curation,9.0,9.0,1.0,1.0,,,17.0,17.0
6b6c1870-6136-488d-a8bb-d55a65a3f69a,Community & Curation,39.0,1.0,1.0,1.0,23.0,1.0,73.0,1.0
6d5a0660-c0c9-4936-8621-406289645d2b,Identity,19.0,19.0,1.0,1.0,2.0,2.0,52.0,52.0
7159cf57-51d0-40dd-8841-f962d6d32496,Art NFTs,42458.0,6403.0,320.0,95.0,1297.0,197.0,73678.0,11216.0
7184f549-29f4-47c2-bdef-d5c6d569f678,Gaming,1511.0,1503.0,11.0,20.0,62.0,60.0,18898.0,17553.0
724e08e7-f5dd-4dcd-bb4f-cf50045c4d53,Other Media NFTs,119.0,2.0,6.0,1.0,93.0,2.0,208.0,2.0
72d91704-0a5f-4ec7-9e6b-92d5d72df0bc,Community & Curation,9.0,9.0,1.0,1.0,,,17.0,17.0
74068a98-86e1-412c-8e44-c3602d55b284,DEX,1026.0,130.0,8.0,3.0,142.0,23.0,57917.0,45764.0
7456feaf-aa9b-432c-9918-822225685171,Community & Curation,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
74f31cd5-dcd5-4ae5-a481-a2b70b2d5200,Art Marketplace,49057.0,3959.0,745.0,121.0,18719.0,1614.0,136948.0,8095.0
76a5ab6c-a252-4c73-90c9-cff05b85a2b1,Other Category,12055.0,11756.0,212.0,390.0,3457.0,3434.0,44950.0,40786.0
76e7ae2e-7aa9-4d6b-832a-6a838772da18,Lending,4.0,2.0,1.0,1.0,,,25.0,2.0
785e4a36-2b93-4879-9f61-de92145313b7,Art NFTs,17712.0,3887.0,123.0,49.0,455.0,143.0,25997.0,4800.0
78f0eac0-c56e-489c-a4e3-9c700ccf4ce8,Frames,4.0,4.0,1.0,1.0,3.0,3.0,73.0,73.0
78f5358d-b614-42ec-a07b-7cad08ac4d9b,DEX,22865.0,6478.0,200.0,96.0,1070.0,248.0,48449.0,10971.0
7c20aa1a-9c30-4a6c-aa77-f1fdf0570c59,Other Category,48798.0,41033.0,508.0,799.0,12980.0,11284.0,119905.0,91890.0
7c4ccb00-8e0d-4b6f-8f95-befe7d702d10,Art NFTs,92.0,92.0,23.0,23.0,43.0,43.0,193.0,193.0
7f2d11e3-2b97-4e36-b732-ac349ed2f1c7,Donations,8.0,6.0,1.0,1.0,1.0,1.0,44.0,29.0
83ab7eff-40a3-4d89-bf28-368a5a16faa3,DEX,35.0,12.0,1.0,1.0,6.0,2.0,51.0,21.0
869cb124-1c70-477c-936d-449a9bccd567,Airdrop,21.0,12.0,1.0,1.0,1.0,1.0,46.0,15.0
88548564-6deb-42dc-bf2b-ba00ebdc2dda,Other Category,4033.0,657.0,39.0,15.0,2349.0,370.0,13682.0,3304.0
89eb0a1c-36f6-4455-af98-c822064425bb,DEX,351250.0,154685.0,5165.0,3898.0,25332.0,9828.0,2769982.0,1543115.0
8b32b54d-42e7-4b11-8e97-d2c95a160164,Community & Curation,8.0,8.0,2.0,2.0,1.0,1.0,91.0,91.0
8bd5539d-ef65-4f2c-9014-3fc11620f12f,Betting & Prediction Markets,2500.0,1045.0,32.0,17.0,262.0,99.0,5241.0,1966.0
8dcfac3e-f424-4589-9f63-ac08d3783d0a,Gaming,153.0,139.0,8.0,23.0,9.0,3.0,290.0,272.0
8e44e5b4-87ae-4d63-96eb-b0849eb394ad,DEX,2911.0,1952.0,35.0,49.0,199.0,118.0,9824.0,7374.0
951cae03-ee9e-4408-8e5e-203d97be52e9,Frames,7.0,5.0,1.0,1.0,3.0,1.0,135362.0,133808.0
95769850-e99b-4e7f-9aea-734c28df9401,Other Category,1.0,1.0,1.0,1.0,,,2.0,2.0
97a50e6a-18df-4572-bcb5-235b63f7e256,Community & Curation,7.0,3.0,1.0,1.0,,,32.0,19.0
9833b9ba-50c0-4119-a480-1815f0b8fd3f,Community & Curation,27987.0,19904.0,325.0,262.0,13976.0,10892.0,52370.0,33857.0
98dc9e5e-44d2-4c74-85fc-ea192fc2a251,Airdrop,493.0,239.0,8.0,9.0,42.0,12.0,80074.0,45937.0
9a780215-3aaf-402a-aa0e-ad33af6c9efb,Art NFTs,1143.0,664.0,11.0,10.0,447.0,300.0,2648.0,1093.0
9b4e49fb-b436-41eb-8cf2-d66f53bab05a,Other Media NFTs,1540.0,1540.0,31.0,31.0,642.0,642.0,2150.0,2150.0
9dbc583f-6672-48cd-9ddc-90d35e1a9474,Donations,8.0,8.0,1.0,1.0,3.0,3.0,10.0,10.0
9ebf0214-b40d-4310-83ed-acc1f7b2d456,Gaming,183.0,183.0,4.0,4.0,29.0,29.0,769.0,768.0
a1346d7c-d677-4db1-8bba-1c77d8875775,Other Media NFTs,2351.0,37.0,32.0,1.0,1824.0,30.0,2773.0,50.0
ac830644-44ff-4e95-be1d-3da592f691b2,Other Category,76913.0,25539.0,585.0,326.0,5102.0,1710.0,242573.0,78692.0
ad694136-109e-4227-a214-1329f099aff0,Other Media NFTs,2.0,2.0,1.0,1.0,,,12926.0,12926.0
ad7d7772-20a5-4786-b34a-3df2cdbe2ff3,Gaming,9.0,6.0,1.0,1.0,6.0,5.0,48.0,9.0
af197310-d16f-4b6d-8b14-6c18a60ef145,Frames,2.0,1.0,1.0,1.0,,,6531.0,191.0
b0de8ea4-0efe-4cd0-95be-d3fd697b8986,DEX,5345.0,4593.0,150.0,277.0,279.0,148.0,51268.0,48375.0
b1b4f593-14a5-4eb0-8b08-f08aea75137d,Frames,624.0,273.0,6.0,7.0,316.0,139.0,55844.0,50518.0
b27c62f4-d5f7-4b9a-8769-468b5fa4c792,DEX,9496.0,3510.0,59.0,41.0,635.0,216.0,13942.0,5007.0
b4d81636-0080-49bd-8039-0721b3ea716c,DEX,199521.0,130073.0,2969.0,3198.0,13091.0,8207.0,974438.0,500236.0
b607f3fb-dd0e-4a9e-b56e-191f8f28fa01,DEX,33770.0,19518.0,508.0,458.0,6958.0,5341.0,158875.0,65812.0
b81130c1-7f80-46f2-a26e-dfa4fcc1ce7d,Frames,104.0,32.0,2.0,1.0,6.0,3.0,270.0,50.0
b85791b4-89d0-4eb5-89a6-a3e5f2e5e30c,DEX,2.0,1.0,1.0,1.0,,,3.0,1.0
bcd66f25-3e2b-4d54-8d15-547363542936,Community & Curation,1.0,1.0,1.0,1.0,1.0,1.0,17.0,17.0
be4c1824-c482-4316-b5c6-706e926061da,Frames,17.0,17.0,1.0,1.0,13.0,13.0,114.0,114.0
bf0f3f7d-e39c-43eb-a546-a0d383a1cae5,Betting & Prediction Markets,36.0,36.0,3.0,3.0,1.0,1.0,96.0,96.0
c091964f-8f72-433b-a294-effd324e34ed,Bridges,67.0,40.0,1.0,1.0,3.0,2.0,79.0,44.0
c2c5a003-7424-41af-8ad5-6873be413eaf,Frames,2915.0,46.0,29.0,1.0,1981.0,32.0,4210.0,49.0
c31e36bc-69ad-40e8-a3b9-29f5c1d6d86a,Real World Assets,346.0,301.0,7.0,8.0,5.0,5.0,1876.0,1496.0
c4d583a8-91fc-424e-861f-f995e976f58d,Community & Curation,32.0,32.0,2.0,2.0,28.0,28.0,37.0,37.0
c6bad58d-bae9-443d-baa4-40f2548a7e3c,Frames,17.0,17.0,5.0,5.0,15.0,15.0,23.0,23.0
c89a18cb-081f-4a9b-b580-e1285163613a,Community & Curation,1.0,1.0,1.0,1.0,,,19.0,19.0
cb6ef65c-3136-4af7-9be1-c993d8789376,Art NFTs,164.0,164.0,4.0,4.0,52.0,52.0,217.0,217.0
ceac6653-ea1d-43b8-9e02-8329e5ee2a90,Payments,2.0,2.0,1.0,1.0,,,9.0,9.0
d1571cc0-0d88-455b-be2e-91447ddac859,Other Category,624.0,273.0,6.0,7.0,316.0,139.0,55844.0,50518.0
d415ba93-8f6e-409a-bd9b-d310c6112dc8,Art NFTs,1611.0,49.0,14.0,1.0,777.0,29.0,1869.0,59.0
d43a073e-a744-43a7-804c-3e1c402c2c9a,Identity,10.0,10.0,2.0,2.0,4.0,4.0,11.0,11.0
d4a2d1b2-ae53-4e4a-a860-8fcbffb48351,Identity,406.0,271.0,3.0,4.0,103.0,55.0,1442.0,598.0
d8a86cb4-15a9-46b8-a746-9319c9104951,Gaming,3.0,1.0,1.0,1.0,,,1939.0,221.0
d9a17633-b5fc-47c8-a00f-6a0b89dadd67,Meme Community,23613.0,6220.0,199.0,100.0,2686.0,558.0,58224.0,15305.0
dcb7fb46-54dd-4887-954f-53c69f819f8e,Payments,2.0,2.0,1.0,1.0,,,3939.0,1965.0
dcc07c2b-30d8-4aec-86a0-1d492f09d61d,Airdrop,18.0,3.0,1.0,1.0,2.0,,68.0,11.0
ddbf8816-6804-4541-8e2a-1b99cd1a4d5a,Gaming,28.0,21.0,1.0,2.0,9.0,4.0,94.0,62.0
e1020776-ad77-4f46-9736-180038ff0896,DEX,34.0,17.0,1.0,1.0,5.0,2.0,55.0,26.0
e50d1f7e-57e9-4d5c-8e71-ec627032d4b0,Other Media Marketplace,139.0,69.0,2.0,2.0,62.0,38.0,231.0,119.0
e76e956b-4d97-4568-ab35-3f2753f37969,Community & Curation,1233.0,834.0,18.0,18.0,489.0,346.0,30430.0,12886.0
e9644a11-f9dd-4efd-b4dc-0d197047512d,Gaming,1.0,1.0,1.0,1.0,1.0,1.0,12.0,9.0
e9aa7925-c471-4c63-961a-c35abfe20159,Other Category,11.0,7.0,1.0,1.0,,,52.0,37.0
ec336ada-b777-42e2-9878-812a87d7bf13,Gaming,1690.0,1688.0,22.0,27.0,739.0,739.0,4209.0,4119.0
ecf60edd-bb88-415f-97b2-7c612897ebe0,Donations,1028.0,182.0,8.0,3.0,151.0,88.0,2158.0,591.0
f229ae60-0332-47ad-8f82-87ab52e06b68,Frames,81.0,81.0,6.0,6.0,69.0,69.0,131.0,131.0
f3a42626-c33e-40c6-bea0-fbfc53aa402a,Identity,1.0,1.0,1.0,1.0,,,1.0,1.0
f7e0b2d9-b0c5-4464-9994-9ae3984a3579,Payments,1808.0,456.0,15.0,7.0,158.0,36.0,3150.0,767.0
f9538d16-5991-4972-b240-9a341c26bb87,Art NFTs,1385.0,44.0,26.0,1.0,371.0,16.0,8254.0,52.0
fdb1b477-97c1-40a3-8fba-8cdcd1db580b,Meme Community,7648.0,890.0,61.0,12.0,1045.0,133.0,12645.0,1426.0
fdceb040-c3e7-4096-a801-6c75adf400ed,Payments,1.0,1.0,1.0,1.0,,,1.0,1.0
