,id,recipient,time,name,status,profile_name,profile_url,metadata_name,metadata_website,project_type,category,address_type,address,chain_id,chain,auto_validation,passed_auto_validation
763,0x55611ed790172ef77fe9838f869937ee0e58f3b5ad41993c5bdff07111cedf2e,0x81967899BA09FB9351174a032593549bE93C4400,1724767807,maheshreddy,pending,og966,https://warpcast.com/og966,maheshreddy,https:manamahesh.com,Other Application,Other Media NFTs,N/A,,,,Reject - Missing/invalid address,False
764,0x90db75ad480edb614f2088190e92de435534e03216134012a3824ee1dc616bf6,0x1AA9aCE6A350d834dA92c86E3fdAca2e7D492Ae3,1724769389,Mahla,pending,mahla,https://warpcast.com/mahla,Mahla,https://warpcast.com/mahla,Other Application,Art NFTs,N/A,,,,Reject - Missing/invalid address,False
765,0xc08e892f9814d474b25e8888186df1e9dc98f5ccc06201b556878eea1b371e17,0x8Df4e551cC464492eF7858256e57A57006D338e5,1724769461,Majestic Art ,pending,0xethl2,https://warpcast.com/0xethl2,Majestic Art ,https://opensea.io/0x8Df4e551cC464492eF7858256e57A57006D338e5,Other Application,Art NFTs,N/A,,,,Reject - Missing/invalid address,False
766,0xcdc0b9d97a047e4ab657378849f018ae278c8e715d1d8db65d6b63d8f18896c0,0x181Cd4FfF2a9cB5afa947b7353e65CBB563870C2,1725816031,Make sharky smile ^^),pending,tatiansa,https://warpcast.com/tatiansa,Make sharky smile ^^),https://warpcast.com/tatiansa/0x73408558,Other Application,Frames,N/A,,,,Review - Farcaster App,False
767,0x3420d05321b8770752a5f5b9637fdc83a95accb63d59b0348b340fb3f4d2e139,0x58c86637C84730d61023EAde6e5D8b4792A1097d,1724925849,Maksha ,pending,makshaeva,https://warpcast.com/makshaeva,Maksha ,https://www.instagram.com/p/C_J7mM7M71_/?igsh=NDEzMzhkcjVjcnM5,Other Application,Other Category,N/A,,,,Review - Other Category,False
768,0xc2f9f9271fb05d16f1a4694e6c8fee222abfe9dc2ef45a55baf1615134bf221d,0x0000000000000000000000000000000000000000,1725006657,Malik Naim Music: Over 100 Songs on the Super Chain - A Journey of Expression and Connection,approved,kawz,https://warpcast.com/kawz,Malik Naim Music: Over 100 Songs on the Super Chain - A Journey of Expression and Connection,https://www.sound.xyz/maliknaim,Creator,Other Media NFTs,mintingWallet,0x57ab1bb893577b2e3f91f979855ec6d913d643ef,,All Superchain,OK,True
769,0xce506988c6a1e91c917e14ce6cd8626f3348eb80185912a86d59601641b42ee2,0xB534C7f9330c77E7BB7702A017939C792Af652e9,1724762857,mamanakal,pending,mamanakal.eth,https://warpcast.com/mamanakal.eth,mamanakal,https://x.com/mamanakaleth?t=NvALwti5Zl6XkYfTqGP19w&s=09,Other Application,Art NFTs,N/A,,,,Reject - Missing/invalid address,False
770,0x643e1a8d6d1de8cc7f000f9af78115d0041cd714cf8fff51c1a1aea45778afef,0xcB565Ee70934c5887F9459fb0Dcec6ADD7F43CF2,1724763833,Man of Crypto,pending,boogaav.eth,https://warpcast.com/boogaav.eth,Man of Crypto,https://zora.co/collect/zora:0xea179bdf524d17faccbfd231ebe5983102e1eeb7/3,Other Application,Other Media NFTs,N/A,,,,Reject - Missing/invalid address,False
771,0x65d2350e916d7ef5131c7f49588373bbd2de083348557e3f7e499e708b52b66a,0x3d4B58964Ed615a2622E7e0eB66013B395718C98,1724924077,Manytle on Rodeo,pending,manytle.eth,https://warpcast.com/manytle.eth,Manytle on Rodeo,https://rodeo.club/@manytle.eth/posts,Creator,Art NFTs,mintingWallet,0x3d4b58964ed615a2622e7e0eb66013b395718c98,,All Superchain,OK,True
772,0x73c0a9932324c7891de9515dfab69e780cae731492257b77d9762c2a6c031ac9,0xCA543E72E8b2e01fCb82931A0c973DED33BeBb4D,1724764239,Marvel Cap,pending,xeet,https://warpcast.com/xeet,Marvel Cap,https://zora.co/collect/zora:0x35d3c50131fe1127fd7499b6bfe9a09fa48a8d8c/1,Creator,Art NFTs,mintingWallet,0xca543e72e8b2e01fcb82931a0c973ded33bebb4d,,All Superchain,OK,True
773,0x1cf66ef2ecce60a80558445e4816060105339808c2f9ba3e43d6caf14760f4b1,0x90bD7151c2F0E4000C06254BBf25e6416d527b7d,1724722989,MASKS,pending,denzooo,https://warpcast.com/denzooo,MASKS,https://www.masks.wtf/,Other Application,Airdrop,N/A,,,,Reject - Missing/invalid address,False
774,0x6c2e0b309f542df71961277554372f09cdc3d97cd8449b3fea61f8f5210d9415,0x234dC0C407228B56147c56e4a20b89aaEf6b676e,1724724379,Masks,pending,thecryptomath,https://warpcast.com/thecryptomath,Masks,https://www.masks.wtf/,Other Application,Community & Curation,N/A,,,,Reject - Missing/invalid address,False
775,0xedf39be29eefd26a90ee8f9701550fd43c06a86bf9a1c3f69077345f9f985a8d,0x7960F1B90b257BfF29D5164D16bca4C8030b7f6D,1724725083,Masks Stats,pending,compez.eth,https://warpcast.com/compez.eth,Masks Stats,https://masks.genyframe.xyz,Other Application,Frames,N/A,,,,Review - Farcaster App,False
776,0xe1cac03799f4ef9862b4b5db5ac9e65b2282c20607ca1be5bc36b941c1ef7d17,0xB53B26F0bDe66Fb1203A187c79E1d25c8F0e9549,1725971041,$MASKS Token logo,pending,theonlycakeone,https://warpcast.com/theonlycakeone,$MASKS Token logo,https://www.masks.wtf/,Creator,Other Category,mintingWallet,0xb53b26f0bde66fb1203a187c79e1d25c8f0e9549,,All Superchain,Review - Other Category,False
777,0x9430a8b84ef15b83e26d56d76a4bd2adc1c654ead3d3b63357b8e9755edee1e9,0x2f742272e0d4B9737c5598678CDc59C5Be252d39,1724764211,MATUBMA,pending,matubma,https://warpcast.com/matubma,MATUBMA,https://zora.co/@compile,Creator,Art NFTs,mintingWallet,0x2f742272e0d4b9737c5598678cdc59c5be252d39,,All Superchain,OK,True
778,0xcd773817bffa3a5925de0263636b07e1aec5831646a8c83c88596a22e1a302ef,0x3beE32F52458D1C0069cb51438b8C3474c333516,1725971065,maull,pending,maull,https://warpcast.com/maull,maull,https://charmverse.io,Other Application,Art Marketplace,N/A,,,,Reject - Missing/invalid address,False
779,0x2d825e62d152e1ebb124a4ee45a1ebc89fe5060ac31b357531aa4e606f06158b,0x0fb35c6065980dfBc03b01e8D1B7bC88fAfb5bC0,1725270301,maya,pending,jojema,https://warpcast.com/jojema,maya,https://warpcast.com/jojema,Other Application,Art NFTs,N/A,,,,Reject - Missing/invalid address,False
780,0x598a693efe1605607a27bb519a04a2a6e8b9ce2f92902367fdb2355dd2d1fc00,0xdE3975723d5dE76070Ca2169aB8716e48b3B4b81,1724723545,Mayday,approved,trevortraynor,https://warpcast.com/trevortraynor,Mayday,https://zora.co/collect/base:0x2afaab8a78306041a371411e89a4db8f9e15780f,Creator,Art NFTs,mintingWallet,0xde3975723d5de76070ca2169ab8716e48b3b4b81,,All Superchain,OK,True
781,0x733f8d3e0b7b2f292638d029086a94cb3f49fbc5a813d31329fdcef440e86011,0x91b52e9833dc4C681b5419F3E96093e85BBE8F91,1724790935,m/branson hypersub,pending,mbranson,https://warpcast.com/mbranson,m/branson,https://www.hypersub.xyz/s/mbranson,Creator,Art NFTs,mintingWallet,0x91b52e9833dc4c681b5419f3e96093e85bbe8f91,,All Superchain,OK,True
782,0x968bbcbd8b010a4b2bdae9f24ba0d2d8cfd894cd340c45c01ca81a8a6ff65d82,0x6f6F39d1D7A17BDfD8f91d5BD681ddd110f84a50,1724768041,Md Riyad,pending,riyad077,https://warpcast.com/riyad077,Md Riyad,https://han.io,Other Application,Other Media NFTs,N/A,,,,Reject - Missing/invalid address,False
783,0x2b33ba08fc02170efb41c831bd04fc59646903e897c2e792693a10ddaa9eac1e,0x0000000000000000000000000000000000000000,1725130843,Mecha Girl NFT,pending,kawz,https://warpcast.com/kawz,Mecha Girl NFT,https://create.party.app/mint/base/0x02b56bf7d6c8f1498475763466de79e92d9ab69b,Creator,Art NFTs,mintingWallet,0x5c23ed6da75a583b579459e744f05a65cb51d8fd,,All Superchain,OK,True
784,0x4b6da5cc80cc59e4e783e53016968815561a0210c2e82a82a4763badf16c04e2,0xc578958DD1880cF00BFfbb7Feb9c28cbbbcaD3bF,1725123367,MeetQuack,approved,anaroth,https://warpcast.com/anaroth,MeetQuack,https://meetquack.com/,Creator,Other Media NFTs,mintingWallet,0x5c2aeb0f2b70e3896d5cde7ed02e78961e53fa2c,,All Superchain,OK,True
785,0xfc324119bd0aacb5b2b3dbd684fc82dae7d406c1f949124b4711438a99dc5594,0xb31Cf365b31B76D5f449FF79c6e2BB0AB06d968E,1724769403,Melika,pending,melikapooya,https://warpcast.com/melikapooya,Melika,https://zora.co/Melikabb,Other Application,Art NFTs,N/A,,,,Reject - Missing/invalid address,False
786,0xb2f342dd259de84179e8efc86d65265011a7698fef38d89c9e8a4fcbd3092538,0x66525057AC951a0DB5C9fa7fAC6E056D6b8997E2,1724722429,member test,pending,mattcasey,https://warpcast.com/mattcasey,member test,http://x.ai,Other Application,Staking,N/A,,,,Reject - Missing/invalid address,False
787,0x4b8090158da33e1af874d9231d6a4831e4fa10fb68c999752c691a36f01bb4b8,0x67b19b02eC3922e4FBd7A972DFd09F0485b17EEC,1724766903,meme fun,pending,cryptostudent,https://warpcast.com/cryptostudent,meme fun,https://www.farcaster.xyz/,Other Application,Meme Community,N/A,,,,Reject - Missing/invalid address,False
788,0x321b3391c1363a40422d75cdab9cca1c358fa7c32f479e4cc174245d180fc105,0x315a8320dF198A4C3F720352065E5f96513d2F12,1724762355,Memer,pending,shawon1,https://warpcast.com/shawon1,Memer,https://www.adobe.com/express/create/meme,Other Application,Meme Community,N/A,,,,Reject - Missing/invalid address,False
789,0xf9588108e73f7e58b4dc9d16eb1d7aeb086a6e03a1bb0678314e8110fb8f4be8,0xd2A6fE97bf90FC8Dd6c9214AC66f2a4a016927c1,1724761693,Memeverse,pending,frend.eth,https://warpcast.com/frend.eth,Memeverse,https://imgflip.com/memegenerator,Other Application,Meme Community,N/A,,,,Reject - Missing/invalid address,False
790,0xa4f98c11f1298e0c67c7e0b8bee1dcf1a7149068fbb0c74a5818517261a80d71,0x0000000000000000000000000000000000000000,1724766209,memk,pending,kawz,https://warpcast.com/kawz,memk,https://flooz.xyz/wallet/0xf56e36f675c61c5446e8bcb534ab57810a2cdf41?utm_source=telegram&utm_medium=buy-message-iris-teams&utm_campaign=user-profile&section=activities,Other Application,Gaming,N/A,,,,Reject - Missing/invalid address,False
791,0xedee2ec0215298eed5a475cb413b7c0301af2cd26af55896fd22964b00f55417,0x1A1c37C145a1EaB58C43F003EBB55C18083b5987,1725866583,memoryVISTAS: IRLtoURLdocumentation,pending,davidtphung,https://warpcast.com/davidtphung,memoryVISTAS: IRLtoURLdocumentation,https://zora.co/collect/base:0x7e83f35c9da857d84a2a62a9a2af4f1c34e51d3b,Creator,Art NFTs,mintingWallet,0x1a1c37c145a1eab58c43f003ebb55c18083b5987,,All Superchain,OK,True
792,0xa7db1472591dce7520f8d865397e9dd5ac095f6067fc28dd571e003cdb14cd9c,0x16364a6B7ac1d7085346Ce6A144A1FD35bA80871,1725036097,Meow Onchain Summer,pending,pumjai,https://warpcast.com/pumjai,Meow Onchain Summer,https://opensea.io/collection/meow-onchain-summer,Creator,Art NFTs,mintingWallet,0x16364a6b7ac1d7085346ce6a144a1fd35ba80871,,All Superchain,OK,True
793,0x90974c075f68d4a52f6a871f68fbbf89db8d1316478ef014502d75e31a10bfa7,0x92caBFc81734bf827B037065076eF8C78AcBd12F,1725904135,Merkl,pending,merkl-xyz,https://warpcast.com/merkl-xyz,Merkl,https://merkl.xyz/,App,Other Category,contract,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,10.0,OP Mainnet,Review - Other Category,False
