,slug,# GitHub Repos,Date First Commit,Total Stars,Total Forks,Total Contributors,Commits Last 90 Days,PRs Created Last 90 Days,PRs Merged Last 90 Days,Issues Created Last 90 Days,Issues Closed Last 90 Days,Contributors Last 90 Days,Commits Last 90 Days,PRs Created Last 90 Days,PRs Merged Last 90 Days,Issues Created Last 90 Days,Issues Closed Last 90 Days
91,definomics-labs,1,2022-11-30 23:30:23+00:00,,,1,27.0,,,,,0,,,,,
92,depayfi,46,2020-09-09 19:36:14+00:00,79.0,36.0,49,3457.0,256.0,232.0,80.0,74.0,5,71.0,7.0,6.0,4.0,5.0
93,desci-asia,1,2023-08-14 12:28:07+00:00,44.0,,1,1.0,,,1.0,,0,,,,,
94,desci-latam,3,2023-04-21 23:37:45+00:00,,,1,2.0,,,,,0,,,,,
95,descier,5,2022-09-23 17:55:42+00:00,,,3,30.0,,,,,1,1.0,,,,
96,dexgridpr,3,2019-10-15 19:44:37+00:00,,,3,174.0,76.0,,1.0,,0,,,,,
97,dexkit,30,2020-10-29 06:02:26+00:00,69.0,89.0,17,752.0,18.0,10.0,21.0,10.0,5,106.0,1.0,,1.0,
98,dfarchon,7,2020-09-11 20:43:27+00:00,10.0,3.0,8,207.0,,,,,0,,,,,
99,digioracle-klayoracle,3,2020-03-03 06:05:45+00:00,5.0,1.0,7,311.0,47.0,34.0,37.0,38.0,1,,3.0,,,
100,directed-development-foundation,7,2022-08-20 09:46:12+00:00,4.0,1.0,13,1152.0,134.0,129.0,,,3,31.0,7.0,7.0,,
101,dm3-protocol,3,2021-12-14 11:39:35+00:00,61.0,12.0,17,966.0,402.0,371.0,398.0,278.0,4,110.0,25.0,22.0,21.0,20.0
102,dna-seq,26,2019-06-29 00:27:46+00:00,19.0,10.0,12,631.0,49.0,40.0,11.0,8.0,1,2.0,,,,
103,dom-money,2,2022-06-30 23:24:58+00:00,,1.0,6,583.0,,,,,0,,,,,
104,dragverse,3,2022-01-15 16:46:10+00:00,,,3,42.0,4.0,4.0,,,0,,,,,
105,eco-mint,9,2018-11-03 17:11:51+00:00,2.0,,7,312.0,35.0,28.0,28.0,27.0,0,,,,,
106,edendao,14,2021-04-25 21:54:11+00:00,10.0,2.0,15,645.0,4.0,2.0,,,0,,,,,
107,eea-oasis,13,2019-06-20 09:41:08+00:00,572.0,249.0,181,4158.0,819.0,647.0,802.0,756.0,11,45.0,17.0,14.0,6.0,10.0
108,ekonavi,0,,,,0,,,,,,0,,,,,
109,endangeredtokens,2,2021-12-02 19:03:35+00:00,,,2,6.0,,,,,0,,,,,
110,ens-redirect,3,2022-11-21 11:10:07+00:00,3.0,2.0,3,73.0,8.0,8.0,,,0,,,,,
111,ens-wayback-machine,1,2023-04-02 05:10:07+00:00,,,3,72.0,,,,,1,6.0,,,,
112,ephemery-testnet,3,2022-11-13 10:35:44+00:00,13.0,10.0,12,393.0,37.0,33.0,3.0,1.0,2,32.0,3.0,2.0,,
113,epochprotocol,6,2022-08-17 12:39:17+00:00,1.0,,3,80.0,,,,,3,13.0,,,,
114,eppie-io,14,2022-09-25 14:12:06+00:00,1.0,5.0,8,1102.0,943.0,869.0,9.0,7.0,4,159.0,183.0,164.0,,
115,esteroids,6,2021-10-06 14:18:21+00:00,13.0,3.0,6,176.0,48.0,46.0,2.0,,0,,,,,
116,eth-limo,4,2022-08-25 02:10:14+00:00,36.0,4.0,4,52.0,14.0,7.0,2.0,,2,2.0,3.0,1.0,,
117,eth-wizard-stake-house,1,2021-02-24 22:24:56+00:00,102.0,13.0,4,610.0,2.0,1.0,90.0,72.0,1,10.0,,,1.0,1.0
118,ethdominicana,3,2022-07-28 12:31:45+00:00,1.0,1.0,2,3.0,1.0,,11.0,7.0,0,,,,,
119,ethelo,5,2014-04-10 22:52:10+00:00,106.0,19.0,23,291.0,6.0,4.0,16.0,5.0,0,,,,,
120,etheralpha,19,2021-11-10 08:50:39+00:00,19.0,16.0,33,637.0,101.0,88.0,12.0,10.0,6,128.0,4.0,2.0,1.0,1.0
121,ethereum-cat-herders,13,2015-10-27 07:44:32+00:00,12272.0,5360.0,1423,6555.0,6386.0,4777.0,2078.0,2093.0,84,115.0,122.0,79.0,51.0,63.0
122,ethereum-chile,1,2023-06-28 21:10:18+00:00,,,1,18.0,,,,,0,,,,,
123,ethereum-ecuador,3,2023-01-17 00:31:34+00:00,1.0,3.0,7,184.0,14.0,12.0,15.0,6.0,0,,,,,
124,ethereum-on-arm,1,2020-12-15 16:00:47+00:00,132.0,30.0,55,567.0,22.0,17.0,50.0,37.0,7,47.0,2.0,1.0,3.0,2.0
