chain_id,round_id,round_name,project_name,project_github,payout_address,status
42161,26,Web3 Infrastructure,Ethereum Attestation Service (EAS),ethereum-attestation-service,0x532Ff53DCf3740832Dc6D0AdE9084Fa2deDd1269,APPROVED
42161,26,Web3 Infrastructure,Epoch Protocol,epochprotocol,0xe223Af979BFf3397Ce02b6741B5D43566B2f3F38,APPROVED
42161,26,Web3 Infrastructure,Ephemery Testnet,ephemery-testnet,0x8d3809951C7F1D18227251B0Cb047735dbf8f8fC,APPROVED
42161,26,Web3 Infrastructure,Candide,candidelabs,0xc52FbF3769056cA421656b9C98b14A453A251a28,APPROVED
42161,26,Web3 Infrastructure,Commons Stack,commons-stack,0x8110d1D04ac316fdCACe8f24fD60C86b810AB15A,APPROVED
42161,26,Web3 Infrastructure,Dappnode,dappnode,0x53390590476dC98860316e4B46Bb9842AF55efc4,APPROVED
42161,26,Web3 Infrastructure,AuditDB,auditdbio,0x9069f28B797eCA9D6a75BB3Fad9EC4F2a701Cf49,APPROVED
42161,26,Web3 Infrastructure,Ethscriptions,ethscriptions-protocol,0xC2172a6315c1D7f6855768F843c420EbB36eDa97,APPROVED
42161,26,Web3 Infrastructure,Ethereum Tag Service,ethereum-tag-service,0x8eD2BD43b9769eBc22873474ED347D2799d241F0,APPROVED
42161,26,Web3 Infrastructure,Stereum - Ethereum Node Installer & Manager,stereum-dev,0x81D30BF2047cC5Ee5f903CC00594edC8D5018D31,APPROVED
42161,26,Web3 Infrastructure,DAOstar,metagov,0x539bDe90Cc8005727a7f2dd5dEA5F6D83e82BbA2,APPROVED
42161,26,Web3 Infrastructure,True Network,TrueNetworkIO,0x5B77b8B2f10f52f53b6fF732568790CbaAf0b5eF,APPROVED
42161,26,Web3 Infrastructure,Seed Protocol by JournoDAO,journodao,0xec8E47e050A122970CBB4bAf44413f3f070b543D,APPROVED
42161,26,Web3 Infrastructure,LunarDAO,lunardao,0x325c9d212E4718330800b29eF2BdC18dE0AAD351,APPROVED
42161,26,Web3 Infrastructure,PORTERS,porters-xyz,0xC2B18B24175b274d52f609c1Bcd44f801262B895,APPROVED
42161,26,Web3 Infrastructure,Wizard Bridge EVM,Wizard-Bridge-EVM,0x35648519a2a89532aB534b9F08C5f180D48F1b4B,APPROVED
42161,26,Web3 Infrastructure,Inverter Network,InverterNetwork,0x8Bc82aa112d6f0Bc666146dF3Ee97CaA98dc1a4F,APPROVED
42161,26,Web3 Infrastructure,Shielded Voting by Shutter Network,shutter-network,0xB476Ee7D610DAe7B23B671EBC7Bd6112E9772969,APPROVED
42161,26,Web3 Infrastructure,BrightID 🔆 Universal Proof of Uniqueness,BrightID,0x4B8810b079eb22ecF2D1f75E08E0AbbD6fD87dbF,APPROVED
42161,26,Web3 Infrastructure,"Blockhead: portfolio tracker, block explorer and web3 browser",blockhead-info,0x048669c431230A9A8298b7Ec045f1E1137827cCA,APPROVED
42161,26,Web3 Infrastructure,L2BEAT,l2beat,0x07631B9e7b017e60809C35D556d5BFDf64401D4d,APPROVED
42161,26,Web3 Infrastructure,Umbra,ScopeLift,0x57ea12a3a8e441f5fe7b1f3af1121097b7d3b6a8,APPROVED
42161,26,Web3 Infrastructure,Flexible Voting,ScopeLift,0xF138f8e006947d4482458510AB701299F46c12a3,APPROVED
42161,26,Web3 Infrastructure,Lighthouse by Sigma Prime,sigp,0xC9a872868afA68BA937f65A1c5b4B252dAB15D85,APPROVED
42161,26,Web3 Infrastructure,Louper - The Ethereum Diamond Inspector,mark3labs,0x4DBBe712CDbdc63D7B2b374Bb3Ad143BEC1EecBb,APPROVED
42161,26,Web3 Infrastructure,ArbitrumHub - The Gateway to Seamless Navigation and Exploration in the ArbitrumDAO Ecosystem ,arbitrumhub/arbitrumdao_hub,0xB1b1dEbB6C65258d05842a1CFc9CCb5D8B868286,APPROVED
42161,26,Web3 Infrastructure,nim-libp2p,vacp2p,0x5F1e9C43cF04477B48934EAAb43E207d46595735,APPROVED
42161,26,Web3 Infrastructure,Silius  - ERC-4337 bundler,silius-rs,0x7cB801446AC4f5EA8f7333EFc58ab787eB611558,APPROVED
42161,26,Web3 Infrastructure,Zerokit,vacp2p,0x5F1e9C43cF04477B48934EAAb43E207d46595735,APPROVED
42161,26,Web3 Infrastructure,Gitcoin Grants Data Portal,datonic,0xb9ecee9a0e273d8A1857F3B8EeA30e5dD3cb6335,APPROVED
42161,26,Web3 Infrastructure,Open to the Public,opentothepublic,0xfCbCceed1eAFcA6198e23585550f4eB76838Cf4D,APPROVED
42161,26,Web3 Infrastructure,RPCh,hoprnet,0x8f7a2AbbC8741572427e3426538cD516A41102f3,APPROVED
42161,26,Web3 Infrastructure,Pheasant Network,Pheasant-Network,0x0CdeF21714e12A518B818C9a70c7AA39D4A69974,APPROVED
42161,26,Web3 Infrastructure,Supermajority.info,one-three-three-seven-ethereum,0xc794Bf32661C50f9A975856589E7666519ff52d8,APPROVED
42161,26,Web3 Infrastructure,Opti.Domains | Scale ENS to OP,Opti-domains,0x8b6c27ec466923fad66Ada94c78AA320eA876969,APPROVED
42161,26,Web3 Infrastructure,Dessage,ninjahome,0x87F90842A66cfdaa9Fea9169838d583B16F5Af73,APPROVED
42161,26,Web3 Infrastructure,OnChainTrust,OnChainTrust,0x96De47Ffd3eCE4ef87fF07BB99c66eCa96aFE151,APPROVED
42161,26,Web3 Infrastructure,NFT.Storage,nftstorage,0x8366aDcAdBc63B2C22cc3F48979c837D890054d0,APPROVED
42161,26,Web3 Infrastructure,Ultimate Digits,UltimateDigits,0xb44bfDC2a7a1E753a58241Ec101159a20a111fF8,APPROVED
42161,26,Web3 Infrastructure,eth.limo,ethlimo,0xB352bB4E2A4f27683435f153A259f1B207218b1b,APPROVED
42161,31,OpenCivics Consortium Round 02,AgroforestDAO april 2024,,0x9Cc3eF719D354592f63A838a8A121C55012762b7,APPROVED
42161,31,OpenCivics Consortium Round 02,Crossroads,,0x161d926469e99cdf72d60829754e48aab29257a3,APPROVED
42161,31,OpenCivics Consortium Round 02,VoiceDeck: A Marketplace for Journalism Impact Certificates,VoiceDeck,0xd1825Dd9a5e49791FB7961AC3c4170DeeD5710b4,APPROVED
42161,31,OpenCivics Consortium Round 02,Common Agency,,0xFa6a4b001229D684c6cdCd31A213cD0c9Aa18EA3,APPROVED
42161,31,OpenCivics Consortium Round 02,Ethereal Forest,,0xE0fBc583bbc90fD3529833817A03604e136C010C,APPROVED
