round_num,title,total_unique_contributors,total_contributions,total_crowdfund_amount,total_match_amount,total_funding,themes,address,github,org_name
16,POAPin,2686,2734,6633.01,7349.63,13982.64,['oss'],0x5afc7720b161788f9d833555b7ebc3274fd98da1,https://github.com/glorylab,glorylab
16,Punk Domains - Modular Web3 Names Protocol,991,1004,1797.6,2720.69,4518.29,['oss'],0x12e838f846ffdade34b2e006f84117a370d71687,https://github.com/punk-domains,punk-domains
16,ReCommon,191,198,573.44,1305.85,1879.29,['climate'],0xd704c5f9826191f3bd06cae867d0f20cafa8aeba,,
16,ReFi Spring,443,465,12023.99,33333.33,45357.32,['climate'],0x14cb60f6aca2b2a68d975743bacb33f01f587da5,,
16,Regens Unite: building public goods and a community to support all regens from web3 and beyond,191,205,943.36,5927.28,6870.64,['climate'],0x371ca2c8f1d02864c7306e5e5ed5dc6edf2dd19c,,
16,Relay,797,817,1901.94,2415.79,4317.73,['oss'],0x0cb27e883e207905ad2a94f9b6ef0c7a99223c37,,
16,ReSci Network,235,249,821.73,3732.67,4554.4,['climate'],0x9d120bee68ed792884d340f911d8434306b28605,,
16,Revoke.cash - Helping you stay safe in web3,7496,7644,20504.1,16666.67,20504.1,['oss'],0xe126b3e5d052f1f575828f61feba4f4f2603652a,https://github.com/RevokeCash,RevokeCash
16,Rings Network,360,366,750.65,995.24,1745.89,['oss'],0xf7fea1722f9b27b0666919a5664bab486a4b18d3,https://github.com/RingsNetwork/rings-node,RingsNetwork
16,Rouge Ticket,712,720,1812.92,1581.5,3394.42,['oss'],0xeb439eed5642641968f9d8b52f2788e0f19b443b,https://github.com/TheRougeProject,TheRougeProject
16,Saving forests in Colombia with KOKO DAO,175,184,955.34,3771.14,4726.48,['climate'],0x7f722b8b013ac7bd654b3b102acc7573a32db9bc,https://gitcoin.co/anamariamb16,
16,Scaling Grassroots Commons for Local Regeneration in E. Africa and S. E. Asia,110,118,599.54,1223.26,1822.8,['climate'],0xd68e5b216fc2af2854152eac501f9e00807d8c1d,,
16,Seedle,690,706,1191.89,1002.53,2194.42,['oss'],0x5c34386552091744717b1c0154b9d48d35f5f435,https://github.com/SeedleFinance,SeedleFinance
16,Shamba Ecological Oracle and DMRV Network,263,286,953.12,7857.95,8811.07,['climate'],0x86579ebce57605929da73d8ce17f40960c3b052a,https://github.com/shambadynamic,shambadynamic
16,Silvi,195,205,637.79,1737.85,2375.64,['climate'],0xa7ca400d49bba87eb606ee05af93689bd21fab99,,
16,smol-evm,431,444,1481.97,5209.78,6691.75,['ethinfra'],0xd41bdbd4101e02057b7f621f681540ef3ac81e55,,
16,Solarpunk Nomads: building the first two Public Goods adventure vehicles,414,439,1893.24,13262.91,15156.15,['climate'],0x474716e617fea8898d4fa9d891aa67b5bedd6c4b,,
16,Somer Esat Ethereum Staking Guides (Ubuntu),538,555,2102.08,7691.52,9793.6,['ethinfra'],0x32b74b90407309f6637245292cd90347de658a37,https://github.com/SomerEsatGuides,SomerEsatGuides
16,Soul Wallet,3051,3102,6461.27,9036.87,15498.14,['oss'],0xfe97e32a873aa2f926fbfc560abeef01f753c128,https://github.com/proofofsoulprotocol/smart-contract-wallet-4337,proofofsoulprotocol
16,Spect,104,111,452.45,866.59,1319.04,['oss'],0x55b23ed53fe13060183b92979c737a8ef9a73b73,https://github.com/spect-ai/circles.v1,spect-ai
16,StarkDeFi,11330,11643,33462.41,16666.67,50129.08,['oss'],0x9d100f017095e53b24d81296bca1d26742f1800f,,
16,Starksheet,621,637,1285.49,1384.01,2669.5,['oss'],0x7a0857d314f62d383341b4ed8fe380e7c98fb978,https://github.com/the-candy-shop,the-candy-shop
16,Stereum - Ethereum Node Setup,559,580,1942.26,6979.11,8921.37,['ethinfra'],0x6e41fe2f8303b89c9dbccabe59a7f7f8f4312ca9,https://github.com/stereum-dev,stereum-dev
16,Tally Ho! - Open Source and Community Owned Wallet,12619,12922,40598.35,16666.67,40598.35,['oss'],0x99b36fdbc582d113af36a21eba06bfeab7b9be12,https://github.com/tahowallet,tahowallet
16,TaterDAO,361,383,1116.97,3508.16,4625.13,['climate'],0xcbbd18d3ac27ab0fffd04bccd091b2802c92e0ca,,
16,The Angry Teenagers - democratising investment in reforestation projects,136,145,528.56,2851.79,3380.35,['climate'],0x3460bf837b6741035d20ea2d894a4423a859af12,https://github.com/eco-mint,eco-mint
16,The CM Guild,160,171,434.94,954.06,1389,['climate'],0x18ddbb6e344b11eedff5a49fa0c0f1a03cc1097e,,
16,The Future of Work is Decentralized,151,156,777.5,622.1,1399.6,['oss'],0x0406bf2dae6a42d567b4e3dba6ada99069622ff1,https://github.com/talentDAO,talentDAO
16,The Impact App + Eco Labs,137,146,699.69,1877.21,2576.9,['climate'],0x59490c362c54c1b60158f19ce499c82aa3669820,https://github.com/Eco-Labs,Eco-Labs
16,The MoonMath Manual to zk-SNARKs,352,363,724.41,954.5,1678.91,['oss'],0xa8a4912938549d50ef3e7c698c890e18d73408ee,https://github.com/LeastAuthority,LeastAuthority
16,The Science Commons Initiative,81,86,599.92,1550.3,2150.22,['oss'],0x3ecb9640ea6cc9bd9d5040713f854634fd0fcf8a,https://github.com/TheSCInitiative,TheSCInitiative
16,The Solar Foundation,448,477,2216.56,10809.79,13026.35,['climate'],0x5b625088ee2e0e9e3d0bd8ab6ba3839d68886d2d,,
16,Treejer Protocol,212,220,1581.39,8581.38,10162.77,['climate'],0x81c776d0d7f7d9d3699851993ecaa88a46187f11,https://github.com/treejer,treejer
16,TrueBlocks and the Unchained Index,682,704,2361.52,6590.47,8951.99,['ethinfra'],0xf503017d7baf7fbc0fff7492b751025c6a78179b,https://github.com/TrueBlocks,TrueBlocks
16,UBI,681,695,2333.7,1666.83,4000.53,['oss'],0x1d6cb99ff20223d730ae5d4680ec5154b7fdaefe,,
16,Umbra,5651,5769,16248.61,16609.22,32857.83,['oss'],0x57ea12a3a8e441f5fe7b1f3af1121097b7d3b6a8,https://github.com/ScopeLift,ScopeLift
16,Upala 🤖 Price-of-forgery digital identity,393,405,851.6,1360.93,851.6,['oss'],0x0230c6dd5db1d3f871386a3ce1a5a836b2590044,,
16,vfat.tools,674,680,1743.63,1402.72,3146.35,['oss'],0xef0ca09fbf9a5f61e657fb208b46b8685c1d4766,,
16,Vocdoni,373,384,941.14,1591.32,2532.46,['oss'],0x74d8967e812de34702ecd3d453a44bf37440b10b,,
16,Voting Contracts,77,79,237.73,312.73,550.46,['oss'],0x5514f4a2bc7194664b12a48e238876aa53140350,https://github.com/co-vo-co,co-vo-co
16,Vyper Smart Contract Language,372,378,823.76,958.97,1782.73,['oss'],0x70ccbe10f980d80b7ebaab7d2e3a73e87d67b775,https://github.com/vyperlang/vyper,vyperlang
16,W3.work,207,214,445.73,575.37,1021.1,['oss'],0x70b20209c83ec8d01e3c7f2ec77bde7c40cdf2f6,https://github.com/LabOriginWeb3,LabOriginWeb3
16,wagmi,987,1016,3770.49,17019.35,20789.84,['ethinfra'],0x4557b18e779944bfe9d78a672452331c186a9f48,https://github.com/wagmi-dev,wagmi-dev
16,WaterDAO,602,625,2731.84,12498.4,15230.24,['climate'],0xf427ebbeb0aee1b06c99333001009188b5086934,,
16,Web3beach,264,279,959.89,3161.95,4121.84,['climate'],0xefedaf9c07e6eb56bb8f82f30018e4461b1c5f4c,,
16,Web3MQ,202,209,453.08,598.4,1051.48,['oss'],0xa126f99e0defc3bfa963064314c4b1d54c872dcc,,
16,Web3 OSS Libraries by DePay,177,183,551.02,826.01,1377.03,['oss'],0x4e260bb2b25ec6f3a59b478fcde5ed5b8d783b02,https://github.com/DePayFi,DePayFi
16,web3swift,506,529,1842.99,1925.58,3768.57,['oss'],0x6a3738c6299f45c31697acea647d49edcc9c28a4,,
16,White Hat DAO,388,398,1168.54,1154.2,2322.74,['oss'],0x7bd7de26ebd064465bb9c272513bb3bcbddb1e93,https://github.com/WhiteHatDAO,WhiteHatDAO
16,word block,82,86,211.51,470.73,682.24,['oss'],0x65a0af703047dfdd270361659d02f4f0e8547202,https://github.com/lg565245594,lg565245594
16,WTF Academy,382,393,1193.89,1420.16,2614.05,['oss'],0x25df6da2f4e5c178ddff45038378c0b08e0bce54,https://github.com/WTFAcademy,WTFAcademy
16,Zero Knowledge Podcast,677,688,1448.55,1551.77,3000.32,['oss'],0x0b0e6486648fbbb8e9ab33e3ae9d0b44b6faa701,https://github.com/ZeroKnowledgefm,ZeroKnowledgefm
16,ZeroPool,1315,1338,2982,4324.04,7306.04,['oss'],0x947f8a49640b4770a8c7fe3c1e69ffc974295448,https://github.com/zeropoolnetwork,zeropoolnetwork
16,zkREPL,1133,1165,2181.87,1922.67,4104.54,['oss'],0x5b3920527cfe207100312f4685e048ee032fa391,https://github.com/eponymous-labs,eponymous-labs
