,project_name,project_github,oso_github_slug,grant_address,oso_address_slug,round_id,round_name,chain_id,program_address,round_date,amount_usd,match_usd,total_usd,oso_slug
1389,L2BEAT,l2beat,l2beat,0x41626ba92c0c2a1ad38fc83920300434082b1870,l2beat,0xa1d52f9b5339792651861329a046dd912761e9a9,"Ethereum Core Infrastructure, Research, and Development",137,0xd04d5b0257a9f2068a4f4ebd88748b2bb47da4ca,2023-11-29 18:59:00,11706.07935169,20010.78,31716.85935169,l2beat
1414,Commons Stack,commons-stack,commons-stack,0x8110d1d04ac316fdcace8f24fd60c86b810ab15a,commons-stack,0x546b0bf47c5b5253ff83c8d614662adb7d3ba9b1,Infra on Polygon#1,137,0x827983a768c9698286df720e462daa35c7130e77,2024-01-25 04:00:00,1248.54781652,,,commons-stack
1430,production test project (for rejection),gitcoinco,gitcoin,0x37e5e6eb36467f98392ebbb35f110fbb8238e6d3,,0xb84909f60b31db387baea1ea8c6dfe1b16100eee,Base round open until EOY 2024,8453,0x0feb59d556d7cec7f3eccfa8a6abae54af73609a,2025-01-01 19:00:00,3.34753699,,,gitcoin
1456,MetaMail,metamail,metamail,0x3806a85d9b8e017d2714b5a240f3e7737279a3ba,metamail,0x30c381033aa2830ceb0aa372c2e4d28f004b3db9,Global Chinese Community for Public Goods - GR18,10,0x3ad90c107d207a0866d20ef1696b6ee0c8bb0afe,2023-08-29 19:59:00,50.68024219,13.42875832958948,64.10900051958949,metamail
1457,MetaMail,metamail,metamail,0x3806a85d9b8e017d2714b5a240f3e7737279a3ba,metamail,0x6726fe9c89fb04eaef388c11cf55be6aa0a62fb9,Global Chinese Community Round at GG19,10,0x052091ea05d8d5c2d68ff866eaf8340b56deb0f1,2023-11-22 18:59:00,286.19498604,210.545500062652,496.74048610265197,metamail
1458,MetaMail,metamail,metamail,0x7cc252b3bde15f7cdb9d4156c45198ef904c760a,metamail,0x859faeaa266ba13bd1e72eb6dd7a223902d1adfe,Global Chinese Community beta round,1,0x540b4209d349e1a95f36ebd30dc264d7fce1c583,2023-04-24 20:00:00,79.75768496,,,metamail
1459,MetaMail,metamail,metamail,0x3806a85d9b8e017d2714b5a240f3e7737279a3ba,metamail,0x8de918f0163b2021839a8d84954dd7e8e151326d,Web3 Open Source Software,10,0xa1e8c5a8ca033ac3cb738506c6f1ad15bf54a730,2023-08-17 08:00:00,5364.99313095,10852.95748929252,16217.950620242518,metamail
1460,MetaMail,metamail,metamail,0x3806a85d9b8e017d2714b5a240f3e7737279a3ba,metamail,0x9331fde4db7b9d9d1498c09d30149929f24cf9d5,Web3 Social,10,0xf3b99793874b9f36bd6977f45300686224b72750,2023-08-29 08:00:00,222.08529921,999.8326422805436,1221.9179414905436,metamail
1461,MetaMail,metamail,metamail,0x3806a85d9b8e017d2714b5a240f3e7737279a3ba,metamail,0xc34745b3852df32d5958be88df2bee0a83474001,Web3 Social,10,0xf3b99793874b9f36bd6977f45300686224b72750,2023-11-29 18:59:00,767.24817752,899.5502798051601,1666.7984573251601,metamail
1462,Spect,spect-ai,spect-ai,0xf1b05f78940d774aabfb6fcae1ec883d04036ab7,spect-ai,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,Web3 Open Source Software Round,1,0xa1b6245d7ba4b126adf7ee1e05e96bfda974990c,2023-04-21 19:59:00,107.56023165,26.33379630948931,133.8940279594893,spect-ai
