date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-compound_finance,forecasted_TVL_opchain-compound_finance,forecasted_TVL-compound_v1_protocol,forecasted_TVL_opchain-compound_v1_protocol,forecasted_TVL-compound_v2_protocol,forecasted_TVL_opchain-compound_v2_protocol
2024-09-29 00:00:00,0.0,0.0,0.0,0.0,0.0,0.15128390924681054,1590004553.6087415,2171665319.9970384,3084918.929179344,3675552.604723581,465623031.81024885,701874451.0642427
2024-09-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.26685720710208904,1475513903.9819658,1900570937.0077739,2992826.07158544,4128915.3678452554,513941255.1238276,663349103.4833244
2024-10-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.19611585896833802,1543846408.5962296,1918497469.7588418,3006154.4621988484,3584343.4123089765,464487045.3195484,659220024.0767328
2024-10-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.20515700604950587,1470733104.6423998,1949356637.75319,2974308.907672685,3336152.8130064327,476664008.31902003,626661270.9127048
2024-10-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.22080306864234944,1509324218.277817,1744277353.0547223,2780943.5575200366,3192765.726105163,467242039.38705575,611710204.4990106
2024-10-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.1877047058075978,1443109404.8313737,1831070876.1212919,3014885.3005088517,3535650.891069072,450234997.54443324,591684082.739759
2024-10-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2389342776529466,1525016012.797293,1853223404.1100378,2672571.0065379683,3478501.9503317047,446120045.14764094,647054465.7929565
2024-10-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.24715765206417453,1459029586.8450804,1932763348.6397982,2856667.2274116566,3293098.823736359,467431053.7035146,654246644.383773
2024-10-07 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2843372042819634,1533555832.7404633,2090793535.8816597,2798421.623460807,3660880.612166656,473626208.1518455,647053668.3390752
2024-10-08 00:00:00,0.0,0.0,0.0,0.0,0.0,0.21198268025166983,1420478671.0621555,2061858317.8325882,2730280.680063787,3681420.4995004,460383003.6470343,724073316.510615
2024-10-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0.24571853828881612,1445050782.0610812,1833382613.8674815,2786535.7558339546,3369872.9060202697,446280988.10106087,644616049.4889717
2024-10-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0.09745677842338425,1429496430.6460106,1744420678.6334186,2724506.989700437,3437249.640671871,425232893.3537947,585621982.8202119
2024-10-11 00:00:00,0.0,0.0,0.0,0.0,0.0,0.12497003831340875,1482777750.411813,1676367603.6347582,2609088.496902059,3095775.8468268705,419787149.20546484,591377057.5187058
2024-10-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.10730536275776578,1330978062.2831943,2017076447.9084628,2591604.653985794,3359409.064211607,434018805.8053412,622637719.5388737
2024-10-13 00:00:00,0.0,0.0,0.0,0.0,0.0,0.1831675336568997,1411102167.847358,1950696247.7386003,2630318.8570039873,3360820.062261631,390014675.4101953,616131769.845455
