address,op_reward
0xab59639097ca49eb4ed7899adcee95762f079b3d,707.709877534
0xc17836e4e38a0eb8ca03371e3bcc9f752cf9b25e,707.428855635
0x4eb0b89685e5b9640d039c5c79ddd00762e05c4b,694.628157103
0x12f2605ebb17cca138d05bc05eca41012c151a08,684.914651633
0x38ef0910ce607b41280694c4dfe26bb0f7f4a2e7,675.09433431
0x026f48a8be78d86329731cc98bc24487c31c2620,674.452403252
0x6eb41c8f2f8662550dcdf20ebb9ae565e56e3e67,668.638430603
0xe78ff6714dfba9fb9c1ce971edb1d2179d797764,667.971965695
0x77b749fd09f0978fe6ef28244dc8a919497624df,663.569187632
0xe498e919dc961700c8d0f4a507344467a49609fa,657.25645945
0x8514dc9ad5d7593dc7853f3aea77eb6826e8420e,652.972563738
0x1db03de699fb488d1ad9b429420728367091d0c6,650.06267413
0x4e4c171c4312694292a0945afa1df108a8f33141,649.952634656
0xde8934eeea153a96f10623e40d4159b09540e1d4,649.930580618
0x5d08226ac0508a75cd6f7c2f23f5ad18c1b138f2,639.594264319
0x565d12e6af95057cb79ad424ae71e69c8d2829c7,638.592977422
0xbd4d2f6a001ba19e3c3a40f809677811acc4c790,633.975104024
0x389d89c8e1de55b45f0aeb70740489a7f8c78024,629.981092059
0xc721a537b5bbccbe1852bef6fd61c1b5874bdd99,629.232726677
0xe2bf74f082155a877719e83cb92292b5c2aee630,626.751170079
0xdeb92b0ff7330e34846ac50ffa6954971d5cc44a,619.495232655
0x01cf51a8be423f7220cdd59b7c6d82f64db5c90e,617.454755794
0xc2afa3fcb3715ccc73cd1105e0528c128e882ddd,616.846147484
0x8c84e82188409531c5213ee7ee978f719d08cb92,613.675216322
0x18f08639a772941b1d279edb35ebf95496277a84,612.371536899
0x237f2afa0372f590b9bcf87db64db50043da3322,603.674259444
0xc73e76c9c21bd1378d27e579f07dcff09b5b4b82,601.154478796
0x06a7f5455f7ef06ae204af276a7cd592ffb845a5,599.711838732
0xfb2ea07a6f3ff6ec8f3b31dc2a5a789c86bd0b85,599.525508085
0x0282160a0bd4c0d5d6a7e6b30308ad4357995dc4,598.28528894
0x24b839c37e2cb5b377d92e693240ed3c3029bfdc,592.953320074
0xc022ec6cee9d77f2e50064409229dd1243adb64d,591.543486791
0x06dba9442446ce6307c3245168d559816e802980,588.747709805
0x124774b47d55cbf86f252dd86a8dd70a292abbb3,587.223948314
0xf82ef19932f5297655ef69774de2a2abadefde9d,587.201976028
0x8c4aef6c3983fbeed0f635f03533bc3c18b0b4bd,585.626757782
0xacd817b9470e0a7b63650a292e4ed3a0df851dd1,585.158392798
0xe6c032e6137835bea1bd65ecc60cb5c1452e8964,583.972861887
0xdfdf615ba8371ea93cba735063b0c821965c5fb2,572.519514417
0xaa96ca62dff1dbc4cd5d7233ef62777603b2b49e,572.122954893
0xd4e6fd78c21085d01dbd596d287360d746acf4d8,566.834877432
0x068211f798327ecd48fe02574efded5714d7a887,560.275963741
0x7fa2aa367b7af3327b6489cc221e6f15885830f8,557.911596779
0xe3672b23e8719e207f2c4c10b15e52a0d3cb1298,557.225649514
0x7d6b24fd3ada7f5335d9f1f2077a6fa68c9e3589,555.931461773
0x8d1f1cfbd9b0b8701baabbff228f35ef6d4cd90a,552.159503575
0x815a5c8126b7589636093d9e2552bbdfb416d924,551.926620676
0x3baaa0793f464d39fc9e12c27c10b1cccdc6545a,539.772385513
0xea15a88884002ccdd2dfc416aa880cfe8d2402a5,538.369134292
0xd97acfa34d88013ca29c0ba06da3eca0ef8ab352,536.206749805
0xff1b29b91c66ef274180eea4319a49b7438db427,536.206601897
0x466caa8dde3fa12a04ad338ff3240f09c87286ce,528.473992916
