date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-velodrome_v3_protocol,forecasted_TVL_opchain-velodrome_v3_protocol
2024-10-12 00:00:00,0.22639981717251595,0.3444545994550189,0.043636072925542564,0.0,0.0,1394650.5362560104,6687839.941209864
2024-10-13 00:00:00,0.22173871946414098,0.3109658558513936,0.032933927897861724,0.0,0.0,1355647.1954424984,7406587.530070723
2024-10-14 00:00:00,0.23587072470643738,0.3886361209386826,0.043126341930783726,0.0,0.0,1365261.7480852278,6969042.941826266
2024-10-15 00:00:00,0.3627607361338791,0.25407459667181725,0.023360294306917762,0.0,0.0,1190266.0739222653,6755904.560093758
2024-10-16 00:00:00,0.40893567470432984,0.3205021181273214,0.08046155491853096,0.0,0.0,1084857.5037991465,7401483.496821713
2024-10-17 00:00:00,0.36987007599348104,0.2507544554968678,0.047797357346273515,0.0,0.0,1042025.254056414,7176463.999068677
2024-10-18 00:00:00,0.37978823422189645,0.2351618116185403,0.0837556068261236,0.0,0.0,1072130.4447318788,7693148.491647565
2024-10-19 00:00:00,0.9018438445456439,0.26658957963207497,0.04620678199682563,0.0,0.0,1026531.6530011066,8511689.336985063
2024-10-20 00:00:00,0.20035458975196177,0.3140483778277899,0.05539231750160619,0.0,0.0,1000204.0050752918,7381556.769960485
2024-10-21 00:00:00,0.16259978954311963,0.2618851384655205,0.06029603205629774,0.0,0.0,1019412.5228228971,7739304.963145869
2024-10-22 00:00:00,0.3442366277623961,0.30761116717283477,0.07226276813215946,0.0,0.0,1024778.7057080745,7226981.40647767
2024-10-23 00:00:00,0.515282230147262,0.3178271824657794,0.07421883929884406,0.0,0.0,967423.0002783844,7358887.109744779
2024-10-24 00:00:00,0.4762030104789952,0.39648318875009914,0.09892106520764724,0.0,0.0,996321.7440408167,6535344.317088925
2024-10-25 00:00:00,0.40264244486959805,0.4693015266652327,0.11062311344969494,0.0,0.0,958675.2695919018,6965970.521699207
2024-10-26 00:00:00,0.3064970389961153,0.32208614090735904,0.07348766190885707,0.0,0.0,947494.9703983696,6666417.4129685955
2024-10-27 00:00:00,0.1807827797367169,0.2783359524682379,0.07654121668442712,0.0,0.0,886994.3011149551,7455022.601786438
2024-10-28 00:00:00,0.3613592708140006,0.3516744734372362,0.07791968103933249,0.0,0.0,881875.5069421238,7179511.555711381
2024-10-29 00:00:00,0.23630464717038185,0.3509342982875659,0.06586905890637965,0.0,0.0,853890.0489429303,6640196.311913857
2024-10-30 00:00:00,0.3542241132875277,0.3413125646901747,0.053000951156661376,0.0,0.0,765780.6647465884,7101345.939571701
2024-10-31 00:00:00,0.3107815904493759,0.3033208626440455,0.07785370321876348,0.0,0.0,734851.2296036085,7278918.232745447
2024-11-01 00:00:00,0.36444790527776,0.3699150109615808,0.043946632632726905,0.0,0.0,702697.3674786257,6651981.377015792
2024-11-02 00:00:00,0.49776582407688164,0.35254841828217953,0.09335537794510738,0.0,0.0,710176.9884785769,6329086.15540603
2024-11-03 00:00:00,0.3593021900079561,0.9226769392343864,0.034692339384238956,0.0,0.0,675747.9265816694,6368064.2909003915
2024-11-04 00:00:00,0.5233205393014209,0.47846428433335697,0.05734347873495156,0.0,0.0,647761.5735279283,6735685.886488223
2024-11-05 00:00:00,0.5916589066407194,0.6836582289576452,0.05173159850421871,0.0,0.0,620079.1931021933,6428637.9816439105
2024-11-06 00:00:00,0.4995842930426793,-0.08331615780762269,0.05777340908660202,0.0,0.0,607586.2017336623,6363928.452815862
2024-11-07 00:00:00,0.30348226068015977,0.014954456634069751,0.040662790896828345,0.0,0.0,616563.9771924539,7083455.029632978
2024-11-08 00:00:00,0.5459118743806726,0.2242181882285813,0.06482019769883125,0.0,0.0,618384.3132546584,7172608.734676187
2024-11-09 00:00:00,0.3027104402098516,0.3817157918330689,0.04653731746462385,0.0,0.0,572966.6638022345,7161770.65792177
2024-11-10 00:00:00,0.3494082324384519,0.2278541764693792,0.030872546478352567,0.0,0.0,568387.8209081533,7698435.426030266
2024-11-11 00:00:00,0.5000540330986935,0.3284293674763242,0.03341418338732043,0.0,0.0,566486.8184504402,7966724.030633465
2024-11-12 00:00:00,0.4747895455415505,0.2763996577602982,0.07125461078144961,0.0,0.0,602263.9714683387,7920938.06888398
2024-11-13 00:00:00,0.5013690231918695,0.24462150891787213,0.0503100417044248,0.0,0.0,536243.6067164303,8320756.877291348
2024-11-14 00:00:00,0.3756497157822583,0.3063970362115333,0.04828571818614474,0.0,0.0,564585.1579783242,8376438.851392788
2024-11-15 00:00:00,0.3515898173073537,0.36937885232855766,0.04857248134234869,0.0,0.0,553340.3674065262,7494369.464253687
2024-11-16 00:00:00,0.4904333377576859,0.3942701598691693,0.0867127818519896,0.0,0.0,531309.7509008975,7441074.404000139
2024-11-17 00:00:00,0.3770208578686575,0.33147888891528954,0.08820987220148375,0.0,0.0,507775.37881341926,7741307.441702259
2024-11-18 00:00:00,0.16214915613161768,0.31464190030529837,0.06837370369713497,0.0,0.0,493203.2616466547,8074736.948565252
2024-11-19 00:00:00,0.2524640587324481,0.4476966808504633,0.07442388939564427,0.0,0.0,444233.5701236579,8502855.05191928
2024-11-20 00:00:00,0.25372410185746996,0.2316836744094294,0.07163154528118754,0.0,0.0,474578.85876952216,7745185.569523595
2024-11-21 00:00:00,0.3834830524836298,0.3127610019519759,0.047051753863860575,0.0,0.0,489185.97212887683,7783464.521992693
2024-11-22 00:00:00,0.4391637898441618,0.18936904901297025,0.03811852474347522,0.0,0.0,469640.34771172935,8868154.820476182
2024-11-23 00:00:00,0.3686972672661713,1.0561673518792505,0.04395306312306301,0.0,0.0,459724.0666346176,7172013.759180893
2024-11-24 00:00:00,0.3756537570981366,0.23099143500153782,0.07035637693552002,0.0,0.0,432026.62706887047,8235343.19851806
